Name,ExportName,CurrencyInUSD,DiamondCost,TID,Enabled,SCIDStore,DontShowInShop
com.supercell.soil.cashpackage2_t60,icon_coins_bag,179,95,TID_CASH_PACK_2,true,false,TRUE
com.supercell.soil.cashpackage3_t60,icon_coins_sack,479,270,TID_CASH_PACK_3,true,false,TRUE
com.supercell.soil.cashpackage4_t60,icon_coins_box,899,550,TID_CASH_PACK_4,true,false,TRUE
com.supercell.soil.cashpackage5_t60,icon_coins_chest,1799,1170,TID_CASH_PACK_5,true,false,TRUE
com.supercell.soil.cashpackage6_t60,icon_coins_trunk,4799,3970,TID_CASH_PACK_6,true,false,TRUE
com.supercell.soil.cashpackage1_t50,icon_coins_pile,49,30,TID_CASH_PACK_1,true,false,TRUE
com.supercell.soil.cashpackage2_t50,icon_coins_bag,149,95,TID_CASH_PACK_2,true,false,TRUE
com.supercell.soil.cashpackage3_t50,icon_coins_sack,399,270,TID_CASH_PACK_3,true,false,TRUE
com.supercell.soil.cashpackage4_t50,icon_coins_box,749,550,TID_CASH_PACK_4,true,false,TRUE
com.supercell.soil.cashpackage5_t50,icon_coins_chest,1499,1170,TID_CASH_PACK_5,true,false,TRUE
com.supercell.soil.cashpackage6_t50,icon_coins_trunk,3999,3970,TID_CASH_PACK_6,true,false,TRUE
com.supercell.soil.cashpackage1_t40,icon_coins_pile,39,30,TID_CASH_PACK_1,true,false,TRUE
com.supercell.soil.cashpackage2_t40,icon_coins_bag,119,95,TID_CASH_PACK_2,true,false,TRUE
com.supercell.soil.cashpackage3_t40,icon_coins_sack,329,270,TID_CASH_PACK_3,true,false,TRUE
com.supercell.soil.cashpackage4_t40,icon_coins_box,599,550,TID_CASH_PACK_4,true,false,TRUE
com.supercell.soil.cashpackage5_t40,icon_coins_chest,1199,1170,TID_CASH_PACK_5,true,false,TRUE
com.supercell.soil.cashpackage6_t40,icon_coins_trunk,3199,3970,TID_CASH_PACK_6,true,false,TRUE
com.supercell.soil.cashpackage1_t30,icon_coins_pile,29,30,TID_CASH_PACK_1,true,false,TRUE
com.supercell.soil.cashpackage2_t30,icon_coins_bag,89,95,TID_CASH_PACK_2,true,false,TRUE
com.supercell.soil.cashpackage3_t30,icon_coins_sack,239,270,TID_CASH_PACK_3,true,false,TRUE
com.supercell.soil.cashpackage4_t30,icon_coins_box,449,550,TID_CASH_PACK_4,true,false,TRUE
com.supercell.soil.cashpackage5_t30,icon_coins_chest,899,1170,TID_CASH_PACK_5,true,false,TRUE
com.supercell.soil.cashpackage6_t30,icon_coins_trunk,2399,3970,TID_CASH_PACK_6,true,false,TRUE
com.supercell.soil.cashpackage1_t110,icon_coins_pile,109,30,TID_CASH_PACK_1,true,false,TRUE
com.supercell.soil.cashpackage2_t110,icon_coins_bag,329,95,TID_CASH_PACK_2,true,false,TRUE
com.supercell.soil.cashpackage3_t110,icon_coins_sack,899,270,TID_CASH_PACK_3,true,false,TRUE
com.supercell.soil.cashpackage4_t110,icon_coins_box,1599,550,TID_CASH_PACK_4,true,false,TRUE
com.supercell.soil.cashpackage5_t110,icon_coins_chest,3299,1170,TID_CASH_PACK_5,true,false,TRUE
com.supercell.soil.cashpackage6_t110,icon_coins_trunk,8799,3970,TID_CASH_PACK_6,true,false,TRUE
com.supercell.soil.cashpackage1_t120,icon_coins_pile,119,30,TID_CASH_PACK_1,true,false,TRUE
com.supercell.soil.cashpackage2_t120,icon_coins_bag,349,95,TID_CASH_PACK_2,true,false,TRUE
com.supercell.soil.cashpackage3_t120,icon_coins_sack,949,270,TID_CASH_PACK_3,true,false,TRUE
com.supercell.soil.cashpackage4_t120,icon_coins_box,1799,550,TID_CASH_PACK_4,true,false,TRUE
com.supercell.soil.cashpackage5_t120,icon_coins_chest,3599,1170,TID_CASH_PACK_5,true,false,TRUE
com.supercell.soil.cashpackage6_t120,icon_coins_trunk,9499,3970,TID_CASH_PACK_6,true,false,TRUE
