Name,FileName,ExportName,UnlockLevel,ReputationUnlockLevel,GoodReward,GoodAmount,FreeAmount,Probability,ForbidFreeBox,DiamondPrice,RandomNumberMax,TileWidth,TileHeight,OpenSound,LockedSound,Mode,Type,Icon,RewardHUDExportName,MapGameQuestReward,QuestNotification
Box10,sc/common.sc,mystery_box_bronze,20,,Voucher2,3,,810,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box11,sc/common.sc,mystery_box_bronze,20,,Voucher1,1,,720,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box12,sc/common.sc,mystery_box_bronze,20,,Voucher2,1,,450,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box13,sc/common.sc,mystery_box_bronze,6,,Demolition Charge,1,,450,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box14,sc/common.sc,mystery_box_bronze,6,,Axe,1,,450,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box15,sc/common.sc,mystery_box_bronze,6,,Saw,1,,450,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
TownCrate1,sc/common.sc,mystery_crate_01,,3,FreeDiamonds,8,5,8,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,FALSE,
TownCrate2,sc/common.sc,mystery_crate_01,,3,Demolition Charge,1,,50,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate3,sc/common.sc,mystery_crate_01,,3,Dynamite,1,,50,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate4,sc/common.sc,mystery_crate_01,,3,Axe,1,,200,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate5,sc/common.sc,mystery_crate_01,,3,Saw,1,,50,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate6,sc/common.sc,mystery_crate_01,,3,Shovel,1,,50,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate7,sc/common.sc,mystery_crate_01,,3,Pickaxe,1,,50,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate8,sc/common.sc,mystery_crate_01,,3,Bolt,1,,50,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate9,sc/common.sc,mystery_crate_01,,3,Plank,1,,50,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate10,sc/common.sc,mystery_crate_01,,3,Duct Tape,1,,50,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate11,sc/common.sc,mystery_crate_01,,3,Nail,1,,50,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate12,sc/common.sc,mystery_crate_01,,3,Screw,1,,50,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate13,sc/common.sc,mystery_crate_01,,3,Wood Panel,1,,50,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate14,sc/common.sc,mystery_crate_01,,3,Voucher,1,,50,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate15,sc/common.sc,mystery_crate_01,,3,Hammer,1,,20,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate16,sc/common.sc,mystery_crate_01,,3,Hand Drill,1,,20,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate17,sc/common.sc,mystery_crate_01,,3,Paint Bucket,1,,20,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate18,sc/common.sc,mystery_crate_01,,3,Stone Block,1,,20,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate19,sc/common.sc,mystery_crate_01,,3,Brick,1,,20,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate20,sc/common.sc,mystery_crate_01,,3,Tar Bucket,1,,20,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate21_maps,sc/common.sc,mystery_crate_01,,3,Map Piece,1,,10,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
Box16,sc/common.sc,mystery_box_bronze,6,,Shovel,1,,450,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box17,sc/common.sc,mystery_box_bronze,34,,Pickaxe,1,,450,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box18,sc/common.sc,mystery_box_bronze,6,,Dynamite,1,,450,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box19,sc/common.sc,mystery_box_bronze,6,,Demolition Charge,2,,270,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box20,sc/common.sc,mystery_box_bronze,6,,Axe,2,,270,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box21,sc/common.sc,mystery_box_bronze,6,,Saw,2,,270,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box22,sc/common.sc,mystery_box_bronze,6,,Shovel,2,,270,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box23,sc/common.sc,mystery_box_bronze,34,,Pickaxe,2,,270,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box24,sc/common.sc,mystery_box_bronze,6,,Dynamite,2,,270,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box25,sc/common.sc,mystery_box_bronze,35,,MoreXP_lv1,1,,72,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box26,sc/common.sc,mystery_box_bronze,35,,MoreCash_lv1,1,,72,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box27,sc/common.sc,mystery_box_bronze,35,,MiningMoreOres_lv1,1,,72,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box28,sc/common.sc,mystery_box_bronze,35,,HeavierFish_lv1,1,,72,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box29,sc/common.sc,mystery_box_bronze,35,,FasterBuildings2_lv1,1,,72,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box30,sc/common.sc,mystery_box_bronze,35,,FasterBuildings1_lv1,1,,72,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box31,sc/common.sc,mystery_box_bronze,35,,FasterBuildings3_lv1,1,,72,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
TownCrate21,sc/common.sc,mystery_crate_01,35,3,FasterBoats_lv2,1,,4,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate22,sc/common.sc,mystery_crate_01,35,3,FasterCrops1_lv2,1,,4,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate23,sc/common.sc,mystery_crate_01,35,3,FasterCrops2_lv2,1,,4,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate24,sc/common.sc,mystery_crate_01,35,3,FasterCrops3_lv2,1,,4,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate25,sc/common.sc,mystery_crate_01,35,3,FasterCrops4_lv2,1,,4,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate26,sc/common.sc,mystery_crate_01,35,3,FasterTom_lv2,1,,4,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate27,sc/common.sc,mystery_crate_01,35,3,FasterBuildings1_lv2,1,,4,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate28,sc/common.sc,mystery_crate_01,35,3,FasterBuildings2_lv2,1,,4,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate29,sc/common.sc,mystery_crate_01,35,3,FasterBuildings3_lv2,1,,4,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate30,sc/common.sc,mystery_crate_01,35,3,FasterBuildings4_lv2,1,,4,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate31,sc/common.sc,mystery_crate_01,35,3,FasterTrees_lv2,1,,4,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate32,sc/common.sc,mystery_crate_01,35,3,FasterBushes_lv2,1,,4,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate33,sc/common.sc,mystery_crate_01,35,3,FreeTom_lv2,1,,2,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate34,sc/common.sc,mystery_crate_01,35,3,FreeRose_lv2,1,,4,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate35,sc/common.sc,mystery_crate_01,35,3,FreeErnest_lv2,1,,4,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate36,sc/common.sc,mystery_crate_01,35,3,EasierBoats_lv2,1,,4,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
Box32,sc/common.sc,mystery_box_bronze,35,,EasierBoats_lv1,1,,72,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box33,sc/common.sc,mystery_box_bronze,35,,FasterBuildings4_lv1,1,,72,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
TownCrate37,sc/common.sc,mystery_crate_01,,3,Puzzle Piece 1,1,,21,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
Box34,sc/common.sc,mystery_box_bronze,35,,FasterCrops3_lv1,1,,72,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
TownCrate38,sc/common.sc,mystery_crate_01,35,3,MoreXP_lv2,1,,4,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
Box35,sc/common.sc,mystery_box_bronze,35,,FasterCrops1_lv1,1,,72,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box36,sc/common.sc,mystery_box_bronze,35,,FreeTom_lv1,1,,72,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box37,sc/common.sc,mystery_box_bronze,35,,FasterCrops4_lv1,1,,72,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box38,sc/common.sc,mystery_box_bronze,35,,FasterCrops2_lv1,1,,72,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box39,sc/common.sc,mystery_box_bronze,44,,FasterLobsters_lv1,1,,72,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box40,sc/common.sc,mystery_box_bronze,35,,FasterFishingSpots_lv1,1,,72,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box41,sc/common.sc,mystery_box_bronze,35,,FasterBaitMaker_lv1,1,,72,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box42,sc/common.sc,mystery_box_bronze,50,,FasterDucks_lv1,1,,72,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
TownCrate39,sc/common.sc,mystery_crate_01,35,3,FasterBaitMaker_lv2,1,,4,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate40,sc/common.sc,mystery_crate_01,35,3,FasterNetMaker_lv2,1,,4,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate41,sc/common.sc,mystery_crate_01,35,3,FasterFishingSpots_lv2,1,,4,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate42,sc/common.sc,mystery_crate_01,44,3,FasterLobsters_lv2,1,,4,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate43,sc/common.sc,mystery_crate_01,50,3,FasterDucks_lv2,1,,4,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate44,sc/common.sc,mystery_crate_01,35,3,FasterTownBuildings1_lv2,1,,4,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate45,sc/common.sc,mystery_crate_01,35,11,FasterTownBuildings2_lv2,1,,4,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate46,sc/common.sc,mystery_crate_01,35,4,FasterPersonalTrain_lv2,1,,4,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
Box43,sc/common.sc,mystery_box_bronze,35,,FasterBoats_lv1,1,,72,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box44,sc/common.sc,mystery_box_bronze,35,,FasterTrees_lv1,1,,72,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box45,sc/common.sc,mystery_box_bronze,35,,FasterNetMaker_lv1,1,,72,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
TownCrate47,sc/common.sc,mystery_crate_01,35,3,MoreCash_lv2,1,,7,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
TownCrate48,sc/common.sc,mystery_crate_01,35,3,HeavierFish_lv2,1,,7,,5,16,2,2,TreasureBox,TreasureBoxLocked,train,1,icon_mystery_crate_town,TownMysteryBox,TRUE,
Box46,sc/common.sc,mystery_box_bronze,35,,FasterBushes_lv1,1,,72,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box47,sc/common.sc,mystery_box_bronze,35,,FreeErnest_lv1,1,,72,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box48,sc/common.sc,mystery_box_bronze,35,,FreeRose_lv1,1,,72,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box49,sc/common.sc,mystery_box_bronze,35,,FasterTom_lv1,1,,72,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box50,sc/common.sc,mystery_box_bronze,35,,MoreCash_lv2,1,,36,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box51,sc/common.sc,mystery_box_bronze,35,,MoreXP_lv2,1,,36,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box52,sc/common.sc,mystery_box_bronze,35,,HeavierFish_lv2,1,,36,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box53,sc/common.sc,mystery_box_bronze,35,,FreeTom_lv2,1,,36,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box54,sc/common.sc,mystery_box_bronze,35,,FasterBuildings2_lv2,1,,36,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box55,sc/common.sc,mystery_box_bronze,35,,FasterBuildings3_lv2,1,,36,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box56,sc/common.sc,mystery_box_bronze,35,,FasterBuildings1_lv2,1,,36,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box57,sc/common.sc,mystery_box_bronze,35,,EasierBoats_lv2,1,,36,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box58,sc/common.sc,mystery_box_bronze,35,,FasterBuildings4_lv2,1,,36,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box59,sc/common.sc,mystery_box_bronze,35,,FasterCrops4_lv2,1,,36,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box60,sc/common.sc,mystery_box_bronze,35,,FasterCrops3_lv2,1,,36,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box61,sc/common.sc,mystery_box_bronze,44,,FasterLobsters_lv2,1,,36,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box62,sc/common.sc,mystery_box_bronze,35,,FasterCrops1_lv2,1,,36,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box63,sc/common.sc,mystery_box_bronze,35,,FasterFishingSpots_lv2,1,,36,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box64,sc/common.sc,mystery_box_bronze,35,,FasterBaitMaker_lv2,1,,36,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box65,sc/common.sc,mystery_box_bronze,35,,FasterCrops2_lv2,1,,36,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box66,sc/common.sc,mystery_box_bronze,50,,FasterDucks_lv2,1,,36,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box67,sc/common.sc,mystery_box_bronze,35,,FasterNetMaker_lv2,1,,36,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box68,sc/common.sc,mystery_box_bronze,35,,FasterBoats_lv2,1,,36,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box69,sc/common.sc,mystery_box_bronze,35,,FasterTrees_lv2,1,,36,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box70,sc/common.sc,mystery_box_bronze,35,,FasterBushes_lv2,1,,36,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box71,sc/common.sc,mystery_box_bronze,35,,FreeErnest_lv2,1,,36,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box72,sc/common.sc,mystery_box_bronze,35,,FreeRose_lv2,1,,36,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box73,sc/common.sc,mystery_box_bronze,35,,FasterTom_lv2,1,,36,,3,16,2,2,TreasureBox,TreasureBoxLocked,home,1,icon_mysterybox_bronze,BronzeMysteryBox,TRUE,
Box74,sc/common.sc,mystery_box_silver,1,,Bolt,2,,200,,10,16,2,2,TreasureBox,TreasureBoxLocked,home,2,icon_mysterybox_silver,SilverMysteryBox,TRUE,
Box75,sc/common.sc,mystery_box_silver,1,,Plank,2,,200,,10,16,2,2,TreasureBox,TreasureBoxLocked,home,2,icon_mysterybox_silver,SilverMysteryBox,TRUE,
Box76,sc/common.sc,mystery_box_silver,1,,Duct Tape,2,,200,,10,16,2,2,TreasureBox,TreasureBoxLocked,home,2,icon_mysterybox_silver,SilverMysteryBox,TRUE,
Box77,sc/common.sc,mystery_box_silver,1,,Nail,2,,200,,10,16,2,2,TreasureBox,TreasureBoxLocked,home,2,icon_mysterybox_silver,SilverMysteryBox,TRUE,
Box78,sc/common.sc,mystery_box_silver,1,,Screw,2,,200,,10,16,2,2,TreasureBox,TreasureBoxLocked,home,2,icon_mysterybox_silver,SilverMysteryBox,TRUE,
Box79,sc/common.sc,mystery_box_silver,1,,Wood Panel,2,,200,,10,16,2,2,TreasureBox,TreasureBoxLocked,home,2,icon_mysterybox_silver,SilverMysteryBox,TRUE,
Box80,sc/common.sc,mystery_box_silver,12,,Land Deed,2,,200,,10,16,2,2,TreasureBox,TreasureBoxLocked,home,2,icon_mysterybox_silver,SilverMysteryBox,TRUE,
Box81,sc/common.sc,mystery_box_silver,12,,Mallet,2,,200,,10,16,2,2,TreasureBox,TreasureBoxLocked,home,2,icon_mysterybox_silver,SilverMysteryBox,TRUE,
Box82,sc/common.sc,mystery_box_silver,12,,Marker Stake,2,,200,,10,16,2,2,TreasureBox,TreasureBoxLocked,home,2,icon_mysterybox_silver,SilverMysteryBox,TRUE,
Box83,sc/common.sc,mystery_box_silver,20,,Voucher3,3,,320,,10,16,2,2,TreasureBox,TreasureBoxLocked,home,2,icon_mysterybox_silver,SilverMysteryBox,TRUE,
Box84,sc/common.sc,mystery_box_silver,20,,Voucher4,3,,400,,10,16,2,2,TreasureBox,TreasureBoxLocked,home,2,icon_mysterybox_silver,SilverMysteryBox,TRUE,
Box85,sc/common.sc,mystery_box_silver,1,,FreeDiamonds,13,5,300,,10,16,2,2,TreasureBox,TreasureBoxLocked,home,2,icon_mysterybox_silver,SilverMysteryBox,FALSE,
Box86,sc/common.sc,mystery_box_silver,35,,EasierBoats_lv5,1,,16,,10,16,2,2,TreasureBox,TreasureBoxLocked,home,2,icon_mysterybox_silver,SilverMysteryBox,TRUE,
Box87,sc/common.sc,mystery_box_silver,35,,FasterBuildings1_lv5,1,,16,,10,16,2,2,TreasureBox,TreasureBoxLocked,home,2,icon_mysterybox_silver,SilverMysteryBox,TRUE,
