Name,FileName,ExportName,ToolIconExportName,BoosterType,BoosterTarget,BoosterPercentage,BoosterDurationSeconds,UnlockLevel,ReputationUnlockLevel,BoosterStars,TID,BoosterValueTID,DescriptionTID,BoosterEffectExportName,BoosterTapEffectExportName,SpinWheelPrize,FreeBooster,PerceivedValue,OfferEntryTID,RandomOfferWeight
FasterCrops3_lv1,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Tomato,10,36000,35,,1,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,,,,TID_OFFER_BOOSTER_FASTER_CROPS3,1
,,,,,Strawberry,,,,,,,,,,,,,,,
,,,,,Potato,,,,,,,,,,,,,,,
FasterCrops3_lv2,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Tomato,20,36000,35,,2,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,,,,TID_OFFER_BOOSTER_FASTER_CROPS3,1
,,,,,Strawberry,,,,,,,,,,,,,,,
,,,,,Potato,,,,,,,,,,,,,,,
FasterCrops3_lv3,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Tomato,30,43200,35,,3,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,,,,TID_OFFER_BOOSTER_FASTER_CROPS3,1
,,,,,Strawberry,,,,,,,,,,,,,,,
,,,,,Potato,,,,,,,,,,,,,,,
FasterCrops3_lv4,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Tomato,40,43200,35,,4,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,,,,TID_OFFER_BOOSTER_FASTER_CROPS3,1
,,,,,Strawberry,,,,,,,,,,,,,,,
,,,,,Potato,,,,,,,,,,,,,,,
FasterCrops3_lv5,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Tomato,50,50400,35,,5,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,,,1450,TID_OFFER_BOOSTER_FASTER_CROPS3,1
,,,,,Strawberry,,,,,,,,,,,,,,,
,,,,,Potato,,,,,,,,,,,,,,,
FasterCrops4_lv1,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Onion,10,21600,58,,1,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,,,,TID_OFFER_BOOSTER_FASTER_CROPS4,1
,,,,,Rice,,,,,,,,,,,,,,,
,,,,,Lettuce,,,,,,,,,,,,,,,
FasterCrops4_lv2,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Onion,20,21600,58,,2,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,,,,TID_OFFER_BOOSTER_FASTER_CROPS4,1
,,,,,Rice,,,,,,,,,,,,,,,
,,,,,Lettuce,,,,,,,,,,,,,,,
FasterCrops4_lv3,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Onion,30,28800,58,,3,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,,,,TID_OFFER_BOOSTER_FASTER_CROPS4,1
,,,,,Rice,,,,,,,,,,,,,,,
,,,,,Lettuce,,,,,,,,,,,,,,,
FasterCrops4_lv4,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Onion,40,28800,58,,4,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,,,,TID_OFFER_BOOSTER_FASTER_CROPS4,1
,,,,,Rice,,,,,,,,,,,,,,,
,,,,,Lettuce,,,,,,,,,,,,,,,
FasterCrops4_lv5,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Onion,50,36000,58,,5,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,,,1458,TID_OFFER_BOOSTER_FASTER_CROPS4,1
,,,,,Rice,,,,,,,,,,,,,,,
,,,,,Lettuce,,,,,,,,,,,,,,,
FasterTrees_lv1,sc/hud.sc,booster_item01,icon_booster_treesbushes,FasterTrees,,10,86400,35,,1,TID_BOOSTER_FASTER_TREES,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_TREES,happy_character,happy_character,,,,,1
FasterTrees_lv2,sc/hud.sc,booster_item01,icon_booster_treesbushes,FasterTrees,,20,86400,35,,2,TID_BOOSTER_FASTER_TREES,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_TREES,happy_character,happy_character,,,,,1
FasterTrees_lv3,sc/hud.sc,booster_item01,icon_booster_treesbushes,FasterTrees,,30,86400,35,,3,TID_BOOSTER_FASTER_TREES,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_TREES,happy_character,happy_character,,,,,1
FasterTrees_lv4,sc/hud.sc,booster_item01,icon_booster_treesbushes,FasterTrees,,40,129600,35,,4,TID_BOOSTER_FASTER_TREES,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_TREES,happy_character,happy_character,,,,,1
FasterTrees_lv5,sc/hud.sc,booster_item01,icon_booster_treesbushes,FasterTrees,,50,172800,35,,5,TID_BOOSTER_FASTER_TREES,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_TREES,happy_character,happy_character,,,1149,,1
FasterBushes_lv1,sc/hud.sc,booster_item01,icon_booster_treesbushes,FasterBushes,,10,86400,35,,1,TID_BOOSTER_FASTER_BUSHES,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_BUSHES,happy_character,happy_character,,,,,1
FasterBushes_lv2,sc/hud.sc,booster_item01,icon_booster_treesbushes,FasterBushes,,20,86400,35,,2,TID_BOOSTER_FASTER_BUSHES,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_BUSHES,happy_character,happy_character,,,,,1
FasterBushes_lv3,sc/hud.sc,booster_item01,icon_booster_treesbushes,FasterBushes,,30,86400,35,,3,TID_BOOSTER_FASTER_BUSHES,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_BUSHES,happy_character,happy_character,,,,,1
FasterBushes_lv4,sc/hud.sc,booster_item01,icon_booster_treesbushes,FasterBushes,,40,129600,35,,4,TID_BOOSTER_FASTER_BUSHES,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_BUSHES,happy_character,happy_character,,,,,1
FasterBushes_lv5,sc/hud.sc,booster_item01,icon_booster_treesbushes,FasterBushes,,50,172800,35,,5,TID_BOOSTER_FASTER_BUSHES,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_BUSHES,happy_character,happy_character,,,1064,,1
FasterBuildings1_lv1,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Popcorn_Pot,10,21600,35,,1,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,,,,TID_OFFER_BOOSTER_FASTER_PRODUCTION1,1
,,,,,Pie_Oven,,,,,,,,,,,,,,,
,,,,,Loom,,,,,,,,,,,,,,,
FasterBuildings1_lv2,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Popcorn_Pot,20,28800,35,,2,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,,,,TID_OFFER_BOOSTER_FASTER_PRODUCTION1,1
,,,,,Pie_Oven,,,,,,,,,,,,,,,
,,,,,Loom,,,,,,,,,,,,,,,
FasterBuildings1_lv3,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Popcorn_Pot,30,28800,35,,3,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,TRUE,,,TID_OFFER_BOOSTER_FASTER_PRODUCTION1,1
,,,,,Pie_Oven,,,,,,,,,,,,,,,
,,,,,Loom,,,,,,,,,,,,,,,
FasterBuildings1_lv4,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Popcorn_Pot,40,28800,35,,4,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,,,,TID_OFFER_BOOSTER_FASTER_PRODUCTION1,1
,,,,,Pie_Oven,,,,,,,,,,,,,,,
,,,,,Loom,,,,,,,,,,,,,,,
FasterBuildings1_lv5,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Popcorn_Pot,50,36000,35,,5,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,,,1528,TID_OFFER_BOOSTER_FASTER_PRODUCTION1,1
,,,,,Pie_Oven,,,,,,,,,,,,,,,
,,,,,Loom,,,,,,,,,,,,,,,
FasterBuildings2_lv1,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Sewing_Machine,10,21600,35,,1,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,,,,TID_OFFER_BOOSTER_FASTER_PRODUCTION2,1
,,,,,Cake_Oven,,,,,,,,,,,,,,,
,,,,,Juice_Press,,,,,,,,,,,,,,,
FasterBuildings2_lv2,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Sewing_Machine,20,28800,35,,2,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,,,,TID_OFFER_BOOSTER_FASTER_PRODUCTION2,1
,,,,,Cake_Oven,,,,,,,,,,,,,,,
,,,,,Juice_Press,,,,,,,,,,,,,,,
FasterBuildings2_lv3,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Sewing_Machine,30,28800,35,,3,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,TRUE,,,TID_OFFER_BOOSTER_FASTER_PRODUCTION2,1
,,,,,Cake_Oven,,,,,,,,,,,,,,,
,,,,,Juice_Press,,,,,,,,,,,,,,,
FasterBuildings2_lv4,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Sewing_Machine,40,28800,35,,4,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,,,,TID_OFFER_BOOSTER_FASTER_PRODUCTION2,1
,,,,,Cake_Oven,,,,,,,,,,,,,,,
,,,,,Juice_Press,,,,,,,,,,,,,,,
FasterBuildings2_lv5,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Sewing_Machine,50,36000,35,,5,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,,,1542,TID_OFFER_BOOSTER_FASTER_PRODUCTION2,1
,,,,,Cake_Oven,,,,,,,,,,,,,,,
,,,,,Juice_Press,,,,,,,,,,,,,,,
FasterBuildings3_lv1,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Ice_Cream_Maker,10,28800,35,,1,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,,,,TID_OFFER_BOOSTER_FASTER_PRODUCTION3,1
,,,,,Jam_Maker,,,,,,,,,,,,,,,
,,,,,Soup_Kitchen,,,,,,,,,,,,,,,
FasterBuildings3_lv2,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Ice_Cream_Maker,20,28800,35,,2,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,,,,TID_OFFER_BOOSTER_FASTER_PRODUCTION3,1
,,,,,Jam_Maker,,,,,,,,,,,,,,,
,,,,,Soup_Kitchen,,,,,,,,,,,,,,,
FasterBuildings3_lv3,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Ice_Cream_Maker,30,36000,35,,3,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,TRUE,,,TID_OFFER_BOOSTER_FASTER_PRODUCTION3,1
,,,,,Jam_Maker,,,,,,,,,,,,,,,
,,,,,Soup_Kitchen,,,,,,,,,,,,,,,
FasterBuildings3_lv4,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Ice_Cream_Maker,40,36000,35,,4,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,,,,TID_OFFER_BOOSTER_FASTER_PRODUCTION3,1
,,,,,Jam_Maker,,,,,,,,,,,,,,,
,,,,,Soup_Kitchen,,,,,,,,,,,,,,,
FasterBuildings3_lv5,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Ice_Cream_Maker,50,43200,35,,5,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,,,1538,TID_OFFER_BOOSTER_FASTER_PRODUCTION3,1
,,,,,Jam_Maker,,,,,,,,,,,,,,,
,,,,,Soup_Kitchen,,,,,,,,,,,,,,,
FasterBuildings4_lv1,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Candle_Maker,10,36000,51,,1,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,,,,TID_OFFER_BOOSTER_FASTER_PRODUCTION4,1
,,,,,Candy_Machine,,,,,,,,,,,,,,,
,,,,,Salad_Bar,,,,,,,,,,,,,,,
FasterBuildings4_lv2,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Candle_Maker,20,36000,51,,2,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,,,,TID_OFFER_BOOSTER_FASTER_PRODUCTION4,1
,,,,,Candy_Machine,,,,,,,,,,,,,,,
,,,,,Salad_Bar,,,,,,,,,,,,,,,
FasterBuildings4_lv3,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Candle_Maker,30,43200,51,,3,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,TRUE,,,TID_OFFER_BOOSTER_FASTER_PRODUCTION4,1
,,,,,Candy_Machine,,,,,,,,,,,,,,,
,,,,,Salad_Bar,,,,,,,,,,,,,,,
FasterBuildings4_lv4,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Candle_Maker,40,43200,51,,4,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,,,,TID_OFFER_BOOSTER_FASTER_PRODUCTION4,1
,,,,,Candy_Machine,,,,,,,,,,,,,,,
,,,,,Salad_Bar,,,,,,,,,,,,,,,
FasterBuildings4_lv5,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Candle_Maker,50,54000,51,,5,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,,,1440,TID_OFFER_BOOSTER_FASTER_PRODUCTION4,1
,,,,,Candy_Machine,,,,,,,,,,,,,,,
,,,,,Salad_Bar,,,,,,,,,,,,,,,
FasterTom_lv1,sc/hud.sc,booster_item01,icon_booster_fastertom,FasterTom,,20,28800,35,,1,TID_BOOSTER_FASTER_TOM,TID_BOOSTER_PERCENTAGE_FASTER,TID_TEST_BOOSTER_DESCRIPTION_FASTER_TOM,happy_character,happy_character,,,,,1
FasterTom_lv2,sc/hud.sc,booster_item01,icon_booster_fastertom,FasterTom,,20,43200,35,,2,TID_BOOSTER_FASTER_TOM,TID_BOOSTER_PERCENTAGE_FASTER,TID_TEST_BOOSTER_DESCRIPTION_FASTER_TOM,happy_character,happy_character,,,,,1
FasterTom_lv3,sc/hud.sc,booster_item01,icon_booster_fastertom,FasterTom,,25,43200,35,,3,TID_BOOSTER_FASTER_TOM,TID_BOOSTER_PERCENTAGE_FASTER,TID_TEST_BOOSTER_DESCRIPTION_FASTER_TOM,happy_character,happy_character,TRUE,,,,1
FasterTom_lv4,sc/hud.sc,booster_item01,icon_booster_fastertom,FasterTom,,40,43200,35,,4,TID_BOOSTER_FASTER_TOM,TID_BOOSTER_PERCENTAGE_FASTER,TID_TEST_BOOSTER_DESCRIPTION_FASTER_TOM,happy_character,happy_character,,,,,1
FasterTom_lv5,sc/hud.sc,booster_item01,icon_booster_fastertom,FasterTom,,50,43200,35,,5,TID_BOOSTER_FASTER_TOM,TID_BOOSTER_PERCENTAGE_FASTER,TID_TEST_BOOSTER_DESCRIPTION_FASTER_TOM,happy_character,happy_character,,,978,,1
FreeTom_lv1,sc/hud.sc,booster_item02,icon_booster_freetom,FreeTom,,100,10800,35,,1,TID_BOOSTER_FREE_TOM,TID_HELPER_HIRE_FREE_BUTTON,TID_BOOSTER_DESCRIPTION_FREE_TOM,happy_character,happy_character,,,,,1
FreeTom_lv2,sc/hud.sc,booster_item02,icon_booster_freetom,FreeTom,,100,18000,35,,2,TID_BOOSTER_FREE_TOM,TID_HELPER_HIRE_FREE_BUTTON,TID_BOOSTER_DESCRIPTION_FREE_TOM,happy_character,happy_character,TRUE,,,,1
FreeTom_lv3,sc/hud.sc,booster_item02,icon_booster_freetom,FreeTom,,100,32400,35,,3,TID_BOOSTER_FREE_TOM,TID_HELPER_HIRE_FREE_BUTTON,TID_BOOSTER_DESCRIPTION_FREE_TOM,happy_character,happy_character,,,,,1
FreeTom_lv4,sc/hud.sc,booster_item02,icon_booster_freetom,FreeTom,,100,46800,35,,4,TID_BOOSTER_FREE_TOM,TID_HELPER_HIRE_FREE_BUTTON,TID_BOOSTER_DESCRIPTION_FREE_TOM,happy_character,happy_character,,,,,1
FreeTom_lv5,sc/hud.sc,booster_item02,icon_booster_freetom,FreeTom,,100,90000,35,,5,TID_BOOSTER_FREE_TOM,TID_HELPER_HIRE_FREE_BUTTON,TID_BOOSTER_DESCRIPTION_FREE_TOM,happy_character,happy_character,,,1563,,1
FreeRose_lv1,sc/hud.sc,booster_item02,icon_booster_freerose,FreeRose,,100,21600,35,,1,TID_BOOSTER_FREE_ROSE,TID_HELPER_HIRE_FREE_BUTTON,TID_BOOSTER_DESCRIPTION_FREE_ROSE,happy_character,happy_character,,,,,1
FreeRose_lv2,sc/hud.sc,booster_item02,icon_booster_freerose,FreeRose,,100,43200,35,,2,TID_BOOSTER_FREE_ROSE,TID_HELPER_HIRE_FREE_BUTTON,TID_BOOSTER_DESCRIPTION_FREE_ROSE,happy_character,happy_character,TRUE,,,,1
FreeRose_lv3,sc/hud.sc,booster_item02,icon_booster_freerose,FreeRose,,100,86400,35,,3,TID_BOOSTER_FREE_ROSE,TID_HELPER_HIRE_FREE_BUTTON,TID_BOOSTER_DESCRIPTION_FREE_ROSE,happy_character,happy_character,,,,,1
