Name,Type,FileName,ExportName,GiftIconExportName,GoodRewards,GoodIconSlotExportName,GoodAmounts,Probabilities,DiamondThreshold,Price,PriceData,TileWidth,TileHeight,OpenSound,TitleTID,TextTID,Text2TID,Text3TID,OpenGiftMessageTID,UnlockLevel,RepUnlockLevel,WalkGiftAnim,RewardHUDExportName
,,,,,FasterDucks_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FasterTownBuildings1_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FasterTownBuildings2_lv1,,1,1,,,,,,,,,,,,,,,
,,,,,FasterPersonalTrain_lv1,,1,1,,,,,,,,,,,,,,,
MediumPresent,Common,sc/buildings_new.sc,post_package,icon_gift_box_02,FreeDiamonds,Prize2,10,20,,20,GiftCards,1,1,TreasureBox,TID_GIFT_M_TITLE,TID_GIFT_M_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,,WalkGift,post_package_claim
,,,,,Flower path,Prize1,1,68,,,,,,,,,,,,,,,
,,,,,Axe,,4,23,,,,,,,,,,,,,,,
,,,,,Saw,,4,23,,,,,,,,,,,,,,,
,,,,,Shovel,,4,23,,,,,,,,,,,,,,,
,,,,,Dynamite,,4,23,,,,,,,,,,,,,,,
,,,,,Demolition Charge,,4,23,,,,,,,,,,,,,,,
,,,,,Pickaxe,,4,23,,,,,,,,,,,,,,,
,,,,,Plank,,2,18,,,,,,,,,,,,,,,
,,,,,Nail,,2,18,,,,,,,,,,,,,,,
,,,,,Bolt,,2,18,,,,,,,,,,,,,,,
,,,,,Screw,,2,18,,,,,,,,,,,,,,,
,,,,,Duct Tape,,2,18,,,,,,,,,,,,,,,
,,,,,Wood Panel,,2,18,,,,,,,,,,,,,,,
,,,,,Land Deed,,2,18,,,,,,,,,,,,,,,
,,,,,Mallet,,2,18,,,,,,,,,,,,,,,
,,,,,Marker Stake,,2,18,,,,,,,,,,,,,,,
,,,,,Hammer,,2,5,,,,,,,,,,,,,,,
,,,,,Hand Drill,,2,5,,,,,,,,,,,,,,,
,,,,,Paint Bucket,,2,5,,,,,,,,,,,,,,,
,,,,,Stone Block,,2,5,,,,,,,,,,,,,,,
,,,,,Brick,,2,5,,,,,,,,,,,,,,,
,,,,,Tar Bucket,,2,5,,,,,,,,,,,,,,,
,,,,,Map Piece,,1,5,,,,,,,,,,,,,,,
,,,,,Voucher1,,2,18,15,,,,,,,,,,,,,,
,,,,,Voucher2,,2,18,15,,,,,,,,,,,,,,
,,,,,Voucher3,,2,18,,,,,,,,,,,,,,,
,,,,,Voucher4,,2,18,,,,,,,,,,,,,,,
,,,,,Brown_Sugar,,6,5,15,,,,,,,,,,,,,,
,,,,,White Sugar,,6,5,15,,,,,,,,,,,,,,
,,,,,Syrup,,6,5,15,,,,,,,,,,,,,,
,,,,,Chocolate,,6,5,15,,,,,,,,,,,,,,
,,,,,Lollipop,,6,5,15,,,,,,,,,,,,,,
,,,,,Jelly Beans,,6,5,15,,,,,,,,,,,,,,
,,,,,Vanilla Ice Cream,,6,5,15,,,,,,,,,,,,,,
,,,,,Cherry Popsicle,,6,5,15,,,,,,,,,,,,,,
,,,,,Strawberry Ice Cream,,6,5,15,,,,,,,,,,,,,,
,,,,,Chocolate Ice Cream,,6,5,15,,,,,,,,,,,,,,
,,,,,Apple Jam,,6,5,15,,,,,,,,,,,,,,
,,,,,Raspberry Jam,,6,5,15,,,,,,,,,,,,,,
,,,,,Blackberry Jam,,6,5,15,,,,,,,,,,,,,,
,,,,,Cherry Jam,,6,5,15,,,,,,,,,,,,,,
,,,,,Strawberry Jam,,6,5,15,,,,,,,,,,,,,,
,,,,,FasterBoats_lv2,,1,1,,,,,,,,,,,,,,,
,,,,,FasterCrops1_lv2,,1,1,,,,,,,,,,,,,,,
,,,,,FasterCrops2_lv2,,1,1,,,,,,,,,,,,,,,
,,,,,FasterCrops3_lv2,,1,1,,,,,,,,,,,,,,,
,,,,,FasterCrops4_lv2,,1,1,,,,,,,,,,,,,,,
,,,,,FasterTom_lv2,,1,1,,,,,,,,,,,,,,,
,,,,,FasterBuildings1_lv2,,1,1,,,,,,,,,,,,,,,
,,,,,FasterBuildings2_lv2,,1,1,,,,,,,,,,,,,,,
,,,,,FasterBuildings3_lv2,,1,1,,,,,,,,,,,,,,,
,,,,,FasterBuildings4_lv2,,1,1,,,,,,,,,,,,,,,
,,,,,FasterTrees_lv2,,1,1,,,,,,,,,,,,,,,
,,,,,FasterBushes_lv2,,1,1,,,,,,,,,,,,,,,
,,,,,FreeTom_lv2,,1,1,,,,,,,,,,,,,,,
,,,,,FreeRose_lv2,,1,1,,,,,,,,,,,,,,,
,,,,,FreeErnest_lv2,,1,1,,,,,,,,,,,,,,,
,,,,,EasierBoats_lv2,,1,1,,,,,,,,,,,,,,,
,,,,,MoreXP_lv2,,1,1,,,,,,,,,,,,,,,
,,,,,FasterBaitMaker_lv2,,1,1,,,,,,,,,,,,,,,
,,,,,FasterNetMaker_lv2,,1,1,,,,,,,,,,,,,,,
,,,,,FasterFishingSpots_lv2,,1,1,,,,,,,,,,,,,,,
,,,,,FasterLobsters_lv2,,1,1,,,,,,,,,,,,,,,
,,,,,FasterDucks_lv2,,1,1,,,,,,,,,,,,,,,
,,,,,FasterTownBuildings1_lv2,,1,1,,,,,,,,,,,,,,,
,,,,,FasterTownBuildings2_lv2,,1,1,,,,,,,,,,,,,,,
,,,,,FasterPersonalTrain_lv2,,1,1,,,,,,,,,,,,,,,
BigPresent,Common,sc/buildings_new.sc,post_package,icon_gift_box_03,FreeDiamonds,Prize2,15,20,,30,GiftCards,1,1,TreasureBox,TID_GIFT_L_TITLE,TID_GIFT_L_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,,WalkGift,post_package_claim
,,,,,Flower log path,Prize1,1,68,,,,,,,,,,,,,,,
,,,,,Axe,,7,23,,,,,,,,,,,,,,,
,,,,,Saw,,7,23,,,,,,,,,,,,,,,
,,,,,Shovel,,7,23,,,,,,,,,,,,,,,
,,,,,Dynamite,,7,23,,,,,,,,,,,,,,,
,,,,,Demolition Charge,,7,23,,,,,,,,,,,,,,,
,,,,,Pickaxe,,7,23,,,,,,,,,,,,,,,
,,,,,Plank,,4,18,,,,,,,,,,,,,,,
,,,,,Nail,,4,18,,,,,,,,,,,,,,,
,,,,,Bolt,,4,18,,,,,,,,,,,,,,,
,,,,,Screw,,4,18,,,,,,,,,,,,,,,
,,,,,Duct Tape,,4,18,,,,,,,,,,,,,,,
,,,,,Wood Panel,,4,18,,,,,,,,,,,,,,,
,,,,,Land Deed,,4,18,,,,,,,,,,,,,,,
,,,,,Mallet,,4,18,,,,,,,,,,,,,,,
,,,,,Marker Stake,,4,18,,,,,,,,,,,,,,,
,,,,,Hammer,,3,5,,,,,,,,,,,,,,,
,,,,,Hand Drill,,3,5,,,,,,,,,,,,,,,
,,,,,Paint Bucket,,3,5,,,,,,,,,,,,,,,
,,,,,Stone Block,,3,5,,,,,,,,,,,,,,,
,,,,,Brick,,3,5,,,,,,,,,,,,,,,
,,,,,Tar Bucket,,3,5,,,,,,,,,,,,,,,
,,,,,Map Piece,,2,5,,,,,,,,,,,,,,,
,,,,,Voucher1,,3,18,15,,,,,,,,,,,,,,
,,,,,Voucher2,,3,18,15,,,,,,,,,,,,,,
,,,,,Voucher3,,3,18,,,,,,,,,,,,,,,
,,,,,Voucher4,,3,18,,,,,,,,,,,,,,,
,,,,,Brown_Sugar,,10,5,15,,,,,,,,,,,,,,
,,,,,White Sugar,,10,5,15,,,,,,,,,,,,,,
,,,,,Syrup,,10,5,15,,,,,,,,,,,,,,
,,,,,Chocolate,,10,5,15,,,,,,,,,,,,,,
,,,,,Lollipop,,10,5,15,,,,,,,,,,,,,,
,,,,,Jelly Beans,,10,5,15,,,,,,,,,,,,,,
,,,,,Vanilla Ice Cream,,10,5,15,,,,,,,,,,,,,,
,,,,,Cherry Popsicle,,10,5,15,,,,,,,,,,,,,,
,,,,,Strawberry Ice Cream,,10,5,15,,,,,,,,,,,,,,
,,,,,Chocolate Ice Cream,,10,5,15,,,,,,,,,,,,,,
,,,,,Apple Jam,,10,5,15,,,,,,,,,,,,,,
,,,,,Raspberry Jam,,10,5,15,,,,,,,,,,,,,,
,,,,,Blackberry Jam,,10,5,15,,,,,,,,,,,,,,
,,,,,Cherry Jam,,10,5,15,,,,,,,,,,,,,,
,,,,,Strawberry Jam,,10,5,15,,,,,,,,,,,,,,
,,,,,FasterBoats_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FasterCrops1_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FasterCrops2_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FasterCrops3_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FasterCrops4_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FasterTom_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FasterBuildings1_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FasterBuildings2_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FasterBuildings3_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FasterBuildings4_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FasterTrees_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FasterBushes_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FreeTom_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FreeRose_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FreeErnest_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,EasierBoats_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,MoreXP_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FasterBaitMaker_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FasterNetMaker_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FasterFishingSpots_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FasterLobsters_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FasterDucks_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FasterTownBuildings1_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FasterTownBuildings2_lv3,,1,1,,,,,,,,,,,,,,,
,,,,,FasterPersonalTrain_lv3,,1,1,,,,,,,,,,,,,,,
ToolsPackage1,Common,sc/buildings_new.sc,post_package_toolbox,icon_tool_box,Demolition Charge,Prize1,4,20,,5,GiftCards,1,1,TreasureBox,TID_GIFT_TOOL_TITLE,TID_GIFT_TOOL_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,,WalkToolbox,post_package_toolbox_claim
,,,,,Demolition Charge,,2,15,15,,,,,,,,,,,,,,
,,,,,Dynamite,,2,10,,,,,,,,,,,,,,,
,,,,,Saw,,2,10,,,,,,,,,,,,,,,
,,,,,Axe,Prize2,4,20,,,,,,,,,,,,,,,
,,,,,Axe,,2,15,15,,,,,,,,,,,,,,
,,,,,Shovel,,2,10,,,,,,,,,,,,,,,
,,,,,Pickaxe,,2,10,,,,,,,,,,,,,,,
ToolsPackage2,Common,sc/buildings_new.sc,post_package_toolbox,icon_tool_box,Demolition Charge,,2,10,,5,GiftCards,1,1,TreasureBox,TID_GIFT_TOOL_TITLE,TID_GIFT_TOOL_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,,WalkToolbox,post_package_toolbox_claim
,,,,,Dynamite,Prize2,4,15,,,,,,,,,,,,,,,
,,,,,Dynamite,,2,15,15,,,,,,,,,,,,,,
,,,,,Saw,,2,15,,,,,,,,,,,,,,,
,,,,,Axe,,2,10,,,,,,,,,,,,,,,
,,,,,Shovel,Prize1,4,20,,,,,,,,,,,,,,,
,,,,,Shovel,,2,15,15,,,,,,,,,,,,,,
,,,,,Pickaxe,,2,10,,,,,,,,,,,,,,,
ToolsPackage3,Common,sc/buildings_new.sc,post_package_toolbox,icon_tool_box,Demolition Charge,,2,15,,5,GiftCards,1,1,TreasureBox,TID_GIFT_TOOL_TITLE,TID_GIFT_TOOL_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,,WalkToolbox,post_package_toolbox_claim
,,,,,Dynamite,,2,10,,,,,,,,,,,,,,,
,,,,,Saw,Prize1,4,20,,,,,,,,,,,,,,,
,,,,,Saw,,2,15,15,,,,,,,,,,,,,,
,,,,,Axe,Prize2,4,15,,,,,,,,,,,,,,,
,,,,,Axe,,2,15,15,,,,,,,,,,,,,,
,,,,,Shovel,,2,10,,,,,,,,,,,,,,,
,,,,,Pickaxe,,2,10,,,,,,,,,,,,,,,
ToolsPackage4,Common,sc/buildings_new.sc,post_package_toolbox,icon_tool_box,Demolition Charge,,2,20,,5,GiftCards,1,1,TreasureBox,TID_GIFT_TOOL_TITLE,TID_GIFT_TOOL_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,,WalkToolbox,post_package_toolbox_claim
,,,,,Dynamite,Prize1,4,25,,,,,,,,,,,,,,,
,,,,,Dynamite,,2,10,15,,,,,,,,,,,,,,
,,,,,Saw,,2,10,,,,,,,,,,,,,,,
,,,,,Axe,,2,10,,,,,,,,,,,,,,,
,,,,,Shovel,Prize2,4,15,,,,,,,,,,,,,,,
,,,,,Shovel,,2,10,15,,,,,,,,,,,,,,
,,,,,Pickaxe,,2,10,,,,,,,,,,,,,,,
SmallDecoPack1,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Wheel fence,Prize1,1,10,,25,GiftCards,1,1,TreasureBox,TID_GIFT_DECO_TITLE,TID_GIFT_DECO_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,,WalkExclusiveGift,post_package_exclusive_item_claim
,,,,,Flowerbed_1,,1,15,15,,,,,,,,,,,,,,
,,,,,GardenTorch,,1,10,,,,,,,,,,,,,,,
,,,,,Woodpile,,1,10,15,,,,,,,,,,,,,,
,,,,,Flowerbed_2,,1,30,15,,,,,,,,,,,,,,
,,,,,BlueHydrangeas,Prize2,1,10,,,,,,,,,,,,,,,
,,,,,LushFern,,1,15,,,,,,,,,,,,,,,
SmallDecoPack1_1,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Wheel fence,Prize1,1,10,,25,GiftCards,1,1,TreasureBox,TID_GIFT_DECO_TITLE,TID_GIFT_DECO_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,,WalkExclusiveGift,post_package_exclusive_item_claim
,,,,,Flowerbed_1,,1,15,15,,,,,,,,,,,,,,
,,,,,LightLowTile,Prize2,1,10,,,,,,,,,,,,,,,
,,,,,Woodpile,,1,30,15,,,,,,,,,,,,,,
,,,,,Flowerbed_2,,1,10,15,,,,,,,,,,,,,,
,,,,,BlueHydrangeas,,1,15,,,,,,,,,,,,,,,
,,,,,LushFern,,1,10,,,,,,,,,,,,,,,
SmallDecoPack2,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Rainbow flower path,Prize1,1,10,,25,GiftCards,1,1,TreasureBox,TID_GIFT_DECO_TITLE,TID_GIFT_DECO_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,,WalkExclusiveGift,post_package_exclusive_item_claim
,,,,,LeafyTree_Small,,1,25,,,,,,,,,,,,,,,
,,,,,PineTree_Small,,1,15,,,,,,,,,,,,,,,
,,,,,Lantern,,1,10,,,,,,,,,,,,,,,
,,,,,Birdhouse_1,,1,15,,,,,,,,,,,,,,,
,,,,,DarkLowTile,Prize2,1,10,,,,,,,,,,,,,,,
,,,,,LushFern,,1,15,,,,,,,,,,,,,,,
SmallDecoPack2_1,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Rainbow flower path,Prize1,1,10,,25,GiftCards,1,1,TreasureBox,TID_GIFT_DECO_TITLE,TID_GIFT_DECO_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,,WalkExclusiveGift,post_package_exclusive_item_claim
,,,,,LeafyTree_Small,,1,15,,,,,,,,,,,,,,,
,,,,,PineTree_Small,,1,25,,,,,,,,,,,,,,,
,,,,,DarkGrassTile,Prize2,1,15,,,,,,,,,,,,,,,
,,,,,Birdhouse_1,,1,15,,,,,,,,,,,,,,,
,,,,,ColorfulHydrangeas,,1,10,,,,,,,,,,,,,,,
,,,,,LushFern,,1,10,,,,,,,,,,,,,,,
BigDecoPack1,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Trellis fence,Prize1,1,6,,35,GiftCards,1,1,TreasureBox,TID_GIFT_DECO_TITLE,TID_GIFT_DECO_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,,WalkExclusiveGift,post_package_exclusive_item_claim
,,,,,LeafyTree_Small,,1,13,,,,,,,,,,,,,,,
,,,,,Flowerbed_1,,1,13,15,,,,,,,,,,,,,,
,,,,,PineTree_Small,,1,13,,,,,,,,,,,,,,,
,,,,,GardenTorch,,1,13,,,,,,,,,,,,,,,
,,,,,Woodpile,,1,8,15,,,,,,,,,,,,,,
,,,,,ColorfulHydrangeas,Prize2,1,9,,,,,,,,,,,,,,,
,,,,,Flowerbed_2,,1,8,15,,,,,,,,,,,,,,
,,,,,BlueHydrangeas,,1,9,,,,,,,,,,,,,,,
,,,,,LushFern,,1,8,,,,,,,,,,,,,,,
BigDecoPack1_1,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Trellis fence,Prize1,1,6,,35,GiftCards,1,1,TreasureBox,TID_GIFT_DECO_TITLE,TID_GIFT_DECO_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,,WalkExclusiveGift,post_package_exclusive_item_claim
,,,,,LeafyTree_Small,,1,13,,,,,,,,,,,,,,,
,,,,,Flowerbed_1,,1,13,15,,,,,,,,,,,,,,
,,,,,PineTree_Small,,1,13,,,,,,,,,,,,,,,
,,,,,GardenTorch,Prize2,1,13,,,,,,,,,,,,,,,
,,,,,Woodpile,,1,8,15,,,,,,,,,,,,,,
,,,,,Birdhouse_1,,1,9,,,,,,,,,,,,,,,
,,,,,Flowerbed_2,,1,8,15,,,,,,,,,,,,,,
,,,,,BlueHydrangeas,,1,9,,,,,,,,,,,,,,,
,,,,,LushFern,,1,8,,,,,,,,,,,,,,,
BigDecoPack2,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Tractor,Prize1,1,6,,35,GiftCards,1,1,TreasureBox,TID_GIFT_DECO_TITLE,TID_GIFT_DECO_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,,WalkExclusiveGift,post_package_exclusive_item_claim
,,,,,LeafyTree_Small,,1,9,,,,,,,,,,,,,,,
,,,,,Flowerbed_1,,1,9,15,,,,,,,,,,,,,,
,,,,,PineTree_Small,,1,8,,,,,,,,,,,,,,,
,,,,,Lantern,,1,8,,,,,,,,,,,,,,,
,,,,,Woodpile,,1,13,15,,,,,,,,,,,,,,
,,,,,Birdhouse_1,,1,13,,,,,,,,,,,,,,,
,,,,,Flowerbed_2,,1,13,15,,,,,,,,,,,,,,
,,,,,BlueHydrangeas,,1,13,,,,,,,,,,,,,,,
,,,,,LushFern,Prize2,1,8,,,,,,,,,,,,,,,
BigDecoPack2_1,Common,sc/buildings_new.sc,post_package_exclusive,icon_gift_box_exclusive_01,Tractor,Prize1,1,6,,35,GiftCards,1,1,TreasureBox,TID_GIFT_DECO_TITLE,TID_GIFT_DECO_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,,WalkExclusiveGift,post_package_exclusive_item_claim
,,,,,LeafyTree_Small,,1,9,,,,,,,,,,,,,,,
,,,,,Flowerbed_1,,1,9,15,,,,,,,,,,,,,,
,,,,,PineTree_Small,,1,8,,,,,,,,,,,,,,,
,,,,,Lantern,,1,8,,,,,,,,,,,,,,,
,,,,,Woodpile,,1,13,15,,,,,,,,,,,,,,
,,,,,Birdhouse_1,,1,13,,,,,,,,,,,,,,,
,,,,,Flowerbed_2,,1,13,15,,,,,,,,,,,,,,
,,,,,BlueHydrangeas,Prize2,1,13,,,,,,,,,,,,,,,
,,,,,LushFern,,1,8,,,,,,,TID_GIFT_FISHING_TITLE,,,,,,,,
MassGift,MassGift,sc/buildings_new.sc,post_package_exclusive_letter,icon_gift_box_01,FreeCash,,,100,,0,GiftCards,1,1,TreasureBox,,,,,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,,WalkGift,
GlobalEventPackage,MassGift,sc/buildings_new.sc,post_package_global,icon_gift_box_01,FreeCash,,,100,,0,GiftCards,1,1,TreasureBox,,,,,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,,WalkGift,
TownPackage1,Common,sc/buildings_new.sc,post_package_town,icon_gift_box_town,Hammer,Prize1,1,20,15,10,GiftCards,1,1,TreasureBox,TID_GIFT_TOWN_TITLE,TID_GIFT_TOOL_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,2,WalkToolboxTown,post_package_toolbox_town_claim
,,,,,Hand Drill,Prize2,1,20,15,,,,,,,,,,,,,,
,,,,,Paint Bucket,,1,20,15,,,,,,,,,,,,,,
,,,,,Stone Block,,1,20,15,,,,,,,,,,,,,,
,,,,,Brick,,1,20,15,,,,,,,,,,,,,,
,,,,,Tar Bucket,,1,20,15,,,,,,,,,,,,,,
,,,,,Map Piece,,1,20,15,,,,,,,,,,,,,,
,,,,,Hammer,,3,10,,,,,,,,,,,,,,,
,,,,,Hand Drill,,3,10,,,,,,,,,,,,,,,
,,,,,Paint Bucket,,3,10,,,,,,,,,,,,,,,
,,,,,Stone Block,,3,10,,,,,,,,,,,,,,,
,,,,,Brick,,3,10,,,,,,,,,,,,,,,
,,,,,Tar Bucket,,3,10,,,,,,,,,,,,,,,
,,,,,Map Piece,,3,10,,,,,,,,,,,,,,,
TownPackage2,Common,sc/buildings_new.sc,post_package_town,icon_gift_box_town,Hammer,,1,20,15,10,GiftCards,1,1,TreasureBox,TID_GIFT_TOWN_TITLE,TID_GIFT_TOOL_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,2,WalkGift,post_package_toolbox_town_claim
