Level,RepToNextLevel,GoodReward,GoodAmount,MinGoodsInPassengerService,MaxGoodsInPassengerService,PassengerServiceMinValue,PassengerServiceMaxValue,PassengerServiceMinCount,PassengerServiceMaxCount,PassengerAnimalViewChance,TID,FeatureTID,FeaturePNGURL
44,61929,FreeDiamonds,5,1,3,32,84,2,3,10,,,
45,62813,FreeDiamonds,10,1,3,32,85,2,3,10,,,
46,63637,FreeDiamonds,5,1,3,33,85,2,3,10,,,
47,64404,FreeDiamonds,5,1,3,33,86,2,3,10,,,
48,65117,FreeDiamonds,5,1,3,33,86,2,3,10,,,
49,65780,FreeDiamonds,5,1,3,34,87,2,3,10,,,
50,66395,FreeDiamonds,15,1,3,34,87,2,3,10,,,
51,66966,FreeDiamonds,5,1,3,34,88,2,3,10,,,
52,67495,FreeDiamonds,5,1,3,35,88,2,3,10,,,
53,67985,FreeDiamonds,5,1,3,35,89,2,3,10,,,
54,68438,FreeDiamonds,5,1,3,35,89,2,3,10,,,
55,68858,FreeDiamonds,10,1,3,36,90,2,3,10,,,
56,69246,FreeDiamonds,5,1,3,36,90,2,3,10,,,
57,69605,FreeDiamonds,5,1,3,36,91,2,3,10,,,
58,69936,FreeDiamonds,5,1,3,37,91,2,3,10,,,
59,70242,FreeDiamonds,5,1,3,37,92,2,3,10,,,
60,70525,FreeDiamonds,15,1,3,37,92,2,3,10,,,
61,70786,FreeDiamonds,5,1,3,38,93,2,3,10,,,
62,71027,FreeDiamonds,5,1,3,38,93,2,3,10,,,
63,71249,FreeDiamonds,5,1,3,38,94,2,3,10,,,
64,71454,FreeDiamonds,5,1,3,39,94,2,3,10,,,
65,71642,FreeDiamonds,10,1,3,39,95,2,3,10,,,
66,71816,FreeDiamonds,5,1,3,39,95,2,3,10,,,
67,71976,FreeDiamonds,5,1,3,40,96,2,3,10,,,
68,72124,FreeDiamonds,5,1,3,40,96,2,3,10,,,
69,72260,FreeDiamonds,5,1,3,40,97,2,3,10,,,
70,72385,FreeDiamonds,15,1,3,41,97,2,3,10,,,
71,72500,FreeDiamonds,5,1,3,41,98,2,3,10,,,
72,72606,FreeDiamonds,5,1,3,41,98,2,3,10,,,
73,72704,FreeDiamonds,5,1,3,42,99,2,3,10,,,
74,72794,FreeDiamonds,5,1,3,42,99,2,3,10,,,
75,72877,FreeDiamonds,10,1,3,42,100,2,3,10,,,
76,72953,FreeDiamonds,5,1,3,43,100,2,3,10,,,
77,73023,FreeDiamonds,5,1,3,43,101,2,3,10,,,
78,73088,FreeDiamonds,5,1,3,43,101,2,3,10,,,
79,73147,FreeDiamonds,5,1,3,44,102,2,3,10,,,
80,73202,FreeDiamonds,15,1,3,44,102,2,3,10,,,
81,73252,FreeDiamonds,5,1,3,44,103,2,3,10,,,
82,73298,FreeDiamonds,5,1,3,45,103,2,3,10,,,
83,73341,FreeDiamonds,5,1,3,45,104,2,3,10,,,
84,73380,FreeDiamonds,5,1,3,45,104,2,3,10,,,
85,73416,FreeDiamonds,10,1,3,46,105,2,3,10,,,
86,73449,FreeDiamonds,5,1,3,46,105,2,3,10,,,
87,73479,FreeDiamonds,5,1,3,46,106,2,3,10,,,
88,73507,FreeDiamonds,5,1,3,47,106,2,3,10,,,
89,73533,FreeDiamonds,5,1,3,47,107,2,3,10,,,
90,73557,FreeDiamonds,15,1,3,47,107,2,3,10,,,
91,73579,FreeDiamonds,5,1,3,48,108,2,3,10,,,
92,73599,FreeDiamonds,5,1,3,48,108,2,3,10,,,
93,73617,FreeDiamonds,5,1,3,48,109,2,3,10,,,
94,73634,FreeDiamonds,5,1,3,49,109,2,3,10,,,
95,73650,FreeDiamonds,10,1,3,49,110,2,3,10,,,
96,73664,FreeDiamonds,5,1,3,49,110,2,3,10,,,
97,73677,FreeDiamonds,5,1,3,50,111,2,3,10,,,
98,73689,FreeDiamonds,5,1,3,50,111,2,3,10,,,
99,73700,FreeDiamonds,5,1,3,50,112,2,3,10,,,
100,73700,FreeDiamonds,15,1,3,51,112,2,3,10,,,
101,73700,FreeDiamonds,5,1,3,51,112,2,3,10,,,
102,73711,FreeDiamonds,5,1,3,51,112,2,3,10,,,
103,73722,FreeDiamonds,5,1,3,51,112,2,3,10,,,
104,73733,FreeDiamonds,5,1,3,51,112,2,3,10,,,
105,73744,FreeDiamonds,10,1,3,51,112,2,3,10,,,
106,73755,FreeDiamonds,5,1,3,51,112,2,3,10,,,
107,73766,FreeDiamonds,5,1,3,51,112,2,3,10,,,
108,73777,FreeDiamonds,5,1,3,51,112,2,3,10,,,
109,73788,FreeDiamonds,5,1,3,51,112,2,3,10,,,
110,73799,FreeDiamonds,15,1,3,51,112,2,3,10,,,
111,73810,FreeDiamonds,5,1,3,51,112,2,3,10,,,
112,73821,FreeDiamonds,5,1,3,51,112,2,3,10,,,
113,73832,FreeDiamonds,5,1,3,51,112,2,3,10,,,
114,73843,FreeDiamonds,5,1,3,51,112,2,3,10,,,
115,73854,FreeDiamonds,10,1,3,51,112,2,3,10,,,
116,73865,FreeDiamonds,5,1,3,51,112,2,3,10,,,
117,73876,FreeDiamonds,5,1,3,51,112,2,3,10,,,
118,73887,FreeDiamonds,5,1,3,51,112,2,3,10,,,
119,73898,FreeDiamonds,5,1,3,51,112,2,3,10,,,
120,73909,FreeDiamonds,15,1,3,51,112,2,3,10,,,
121,73920,FreeDiamonds,5,1,3,51,112,2,3,10,,,
122,73931,FreeDiamonds,5,1,3,51,112,2,3,10,,,
123,73942,FreeDiamonds,5,1,3,51,112,2,3,10,,,
124,73953,FreeDiamonds,5,1,3,51,112,2,3,10,,,
125,73964,FreeDiamonds,10,1,3,51,112,2,3,10,,,
126,73975,FreeDiamonds,5,1,3,51,112,2,3,10,,,
127,73986,FreeDiamonds,5,1,3,51,112,2,3,10,,,
128,73997,FreeDiamonds,5,1,3,51,112,2,3,10,,,
129,74008,FreeDiamonds,5,1,3,51,112,2,3,10,,,
130,74019,FreeDiamonds,15,1,3,51,112,2,3,10,,,
131,74030,FreeDiamonds,5,1,3,51,112,2,3,10,,,
132,74041,FreeDiamonds,5,1,3,51,112,2,3,10,,,
133,74052,FreeDiamonds,5,1,3,51,112,2,3,10,,,
134,74063,FreeDiamonds,5,1,3,51,112,2,3,10,,,
135,74074,FreeDiamonds,10,1,3,51,112,2,3,10,,,
136,74085,FreeDiamonds,5,1,3,51,112,2,3,10,,,
137,74096,FreeDiamonds,5,1,3,51,112,2,3,10,,,
138,74107,FreeDiamonds,5,1,3,51,112,2,3,10,,,
139,74118,FreeDiamonds,5,1,3,51,112,2,3,10,,,
140,74129,FreeDiamonds,15,1,3,51,112,2,3,10,,,
141,74140,FreeDiamonds,5,1,3,51,112,2,3,10,,,
142,74151,FreeDiamonds,5,1,3,51,112,2,3,10,,,
143,74162,FreeDiamonds,5,1,3,51,112,2,3,10,,,
144,74173,FreeDiamonds,5,1,3,51,112,2,3,10,,,
145,74184,FreeDiamonds,10,1,3,51,112,2,3,10,,,
146,74195,FreeDiamonds,5,1,3,51,112,2,3,10,,,
147,74206,FreeDiamonds,5,1,3,51,112,2,3,10,,,
148,74217,FreeDiamonds,5,1,3,51,112,2,3,10,,,
149,74228,FreeDiamonds,5,1,3,51,112,2,3,10,,,
150,74239,FreeDiamonds,15,1,3,51,112,2,3,10,,,
151,74250,FreeDiamonds,5,1,3,51,112,2,3,10,,,
152,74261,FreeDiamonds,5,1,3,51,112,2,3,10,,,
153,74272,FreeDiamonds,5,1,3,51,112,2,3,10,,,
154,74283,FreeDiamonds,5,1,3,51,112,2,3,10,,,
155,74294,FreeDiamonds,10,1,3,51,112,2,3,10,,,
156,74305,FreeDiamonds,5,1,3,51,112,2,3,10,,,
157,74316,FreeDiamonds,5,1,3,51,112,2,3,10,,,
158,74327,FreeDiamonds,5,1,3,51,112,2,3,10,,,
159,74338,FreeDiamonds,5,1,3,51,112,2,3,10,,,
160,74349,FreeDiamonds,15,1,3,51,112,2,3,10,,,
161,74360,FreeDiamonds,5,1,3,51,112,2,3,10,,,
162,74371,FreeDiamonds,5,1,3,51,112,2,3,10,,,
163,74382,FreeDiamonds,5,1,3,51,112,2,3,10,,,
164,74393,FreeDiamonds,5,1,3,51,112,2,3,10,,,
165,74404,FreeDiamonds,10,1,3,51,112,2,3,10,,,
166,74415,FreeDiamonds,5,1,3,51,112,2,3,10,,,
167,74426,FreeDiamonds,5,1,3,51,112,2,3,10,,,
168,74437,FreeDiamonds,5,1,3,51,112,2,3,10,,,
169,74448,FreeDiamonds,5,1,3,51,112,2,3,10,,,
170,74459,FreeDiamonds,15,1,3,51,112,2,3,10,,,
171,74470,FreeDiamonds,5,1,3,51,112,2,3,10,,,
172,74481,FreeDiamonds,5,1,3,51,112,2,3,10,,,
173,74492,FreeDiamonds,5,1,3,51,112,2,3,10,,,
174,74503,FreeDiamonds,5,1,3,51,112,2,3,10,,,
175,74514,FreeDiamonds,10,1,3,51,112,2,3,10,,,
176,74525,FreeDiamonds,5,1,3,51,112,2,3,10,,,
177,74536,FreeDiamonds,5,1,3,51,112,2,3,10,,,
178,74547,FreeDiamonds,5,1,3,51,112,2,3,10,,,
179,74558,FreeDiamonds,5,1,3,51,112,2,3,10,,,
180,74569,FreeDiamonds,15,1,3,51,112,2,3,10,,,
181,74580,FreeDiamonds,5,1,3,51,112,2,3,10,,,
182,74591,FreeDiamonds,5,1,3,51,112,2,3,10,,,
183,74602,FreeDiamonds,5,1,3,51,112,2,3,10,,,
184,74613,FreeDiamonds,5,1,3,51,112,2,3,10,,,
185,74624,FreeDiamonds,10,1,3,51,112,2,3,10,,,
186,74635,FreeDiamonds,5,1,3,51,112,2,3,10,,,
187,74646,FreeDiamonds,5,1,3,51,112,2,3,10,,,
188,74657,FreeDiamonds,5,1,3,51,112,2,3,10,,,
189,74668,FreeDiamonds,5,1,3,51,112,2,3,10,,,
190,74679,FreeDiamonds,15,1,3,51,112,2,3,10,,,
191,74690,FreeDiamonds,5,1,3,51,112,2,3,10,,,
192,74701,FreeDiamonds,5,1,3,51,112,2,3,10,,,
193,74712,FreeDiamonds,5,1,3,51,112,2,3,10,,,
194,74723,FreeDiamonds,5,1,3,51,112,2,3,10,,,
195,74734,FreeDiamonds,10,1,3,51,112,2,3,10,,,
196,74745,FreeDiamonds,5,1,3,51,112,2,3,10,,,
197,74756,FreeDiamonds,5,1,3,51,112,2,3,10,,,
198,74767,FreeDiamonds,5,1,3,51,112,2,3,10,,,
199,74778,FreeDiamonds,5,1,3,51,112,2,3,10,,,
200,74789,FreeDiamonds,15,1,3,51,112,2,3,10,,,
201,74800,FreeDiamonds,5,1,3,51,112,2,3,10,,,
202,74811,FreeDiamonds,5,1,3,51,112,2,3,10,,,
203,74822,FreeDiamonds,5,1,3,51,112,2,3,10,,,
204,74833,FreeDiamonds,5,1,3,51,112,2,3,10,,,
205,74844,FreeDiamonds,10,1,3,51,112,2,3,10,,,
206,74855,FreeDiamonds,5,1,3,51,112,2,3,10,,,
207,74866,FreeDiamonds,5,1,3,51,112,2,3,10,,,
208,74877,FreeDiamonds,5,1,3,51,112,2,3,10,,,
209,74888,FreeDiamonds,5,1,3,51,112,2,3,10,,,
210,74899,FreeDiamonds,15,1,3,51,112,2,3,10,,,
211,74910,FreeDiamonds,5,1,3,51,112,2,3,10,,,
212,74921,FreeDiamonds,5,1,3,51,112,2,3,10,,,
213,74932,FreeDiamonds,5,1,3,51,112,2,3,10,,,
214,74943,FreeDiamonds,5,1,3,51,112,2,3,10,,,
215,74954,FreeDiamonds,10,1,3,51,112,2,3,10,,,
216,74965,FreeDiamonds,5,1,3,51,112,2,3,10,,,
217,74976,FreeDiamonds,5,1,3,51,112,2,3,10,,,
218,74987,FreeDiamonds,5,1,3,51,112,2,3,10,,,
219,74998,FreeDiamonds,5,1,3,51,112,2,3,10,,,
220,75009,FreeDiamonds,15,1,3,51,112,2,3,10,,,
221,75020,FreeDiamonds,5,1,3,51,112,2,3,10,,,
222,75031,FreeDiamonds,5,1,3,51,112,2,3,10,,,
223,75042,FreeDiamonds,5,1,3,51,112,2,3,10,,,
224,75053,FreeDiamonds,5,1,3,51,112,2,3,10,,,
225,75064,FreeDiamonds,10,1,3,51,112,2,3,10,,,
226,75075,FreeDiamonds,5,1,3,51,112,2,3,10,,,
227,75086,FreeDiamonds,5,1,3,51,112,2,3,10,,,
228,75097,FreeDiamonds,5,1,3,51,112,2,3,10,,,
229,75108,FreeDiamonds,5,1,3,51,112,2,3,10,,,
230,75119,FreeDiamonds,15,1,3,51,112,2,3,10,,,
231,75130,FreeDiamonds,5,1,3,51,112,2,3,10,,,
232,75141,FreeDiamonds,5,1,3,51,112,2,3,10,,,
233,75152,FreeDiamonds,5,1,3,51,112,2,3,10,,,
234,75163,FreeDiamonds,5,1,3,51,112,2,3,10,,,
235,75174,FreeDiamonds,10,1,3,51,112,2,3,10,,,
236,75185,FreeDiamonds,5,1,3,51,112,2,3,10,,,
237,75196,FreeDiamonds,5,1,3,51,112,2,3,10,,,
238,75207,FreeDiamonds,5,1,3,51,112,2,3,10,,,
239,75218,FreeDiamonds,5,1,3,51,112,2,3,10,,,
240,75229,FreeDiamonds,15,1,3,51,112,2,3,10,,,
241,75240,FreeDiamonds,5,1,3,51,112,2,3,10,,,
242,75251,FreeDiamonds,5,1,3,51,112,2,3,10,,,
243,75262,FreeDiamonds,5,1,3,51,112,2,3,10,,,
244,75273,FreeDiamonds,5,1,3,51,112,2,3,10,,,
245,75284,FreeDiamonds,10,1,3,51,112,2,3,10,,,
246,75295,FreeDiamonds,5,1,3,51,112,2,3,10,,,
247,75306,FreeDiamonds,5,1,3,51,112,2,3,10,,,
248,75317,FreeDiamonds,5,1,3,51,112,2,3,10,,,
249,75328,FreeDiamonds,5,1,3,51,112,2,3,10,,,
250,75339,FreeDiamonds,15,1,3,51,112,2,3,10,,,
251,75350,FreeDiamonds,5,1,3,51,112,2,3,10,,,
252,75361,FreeDiamonds,5,1,3,51,112,2,3,10,,,
253,75372,FreeDiamonds,5,1,3,51,112,2,3,10,,,
254,75383,FreeDiamonds,5,1,3,51,112,2,3,10,,,
255,75394,FreeDiamonds,10,1,3,51,112,2,3,10,,,
256,75405,FreeDiamonds,5,1,3,51,112,2,3,10,,,
257,75416,FreeDiamonds,5,1,3,51,112,2,3,10,,,
258,75427,FreeDiamonds,5,1,3,51,112,2,3,10,,,
259,75438,FreeDiamonds,5,1,3,51,112,2,3,10,,,
260,75449,FreeDiamonds,15,1,3,51,112,2,3,10,,,
261,75460,FreeDiamonds,5,1,3,51,112,2,3,10,,,
262,75471,FreeDiamonds,5,1,3,51,112,2,3,10,,,
263,75482,FreeDiamonds,5,1,3,51,112,2,3,10,,,
264,75493,FreeDiamonds,5,1,3,51,112,2,3,10,,,
265,75504,FreeDiamonds,10,1,3,51,112,2,3,10,,,
266,75515,FreeDiamonds,5,1,3,51,112,2,3,10,,,
267,75526,FreeDiamonds,5,1,3,51,112,2,3,10,,,
268,75537,FreeDiamonds,5,1,3,51,112,2,3,10,,,
269,75548,FreeDiamonds,5,1,3,51,112,2,3,10,,,
270,75559,FreeDiamonds,15,1,3,51,112,2,3,10,,,
271,75570,FreeDiamonds,5,1,3,51,112,2,3,10,,,
272,75581,FreeDiamonds,5,1,3,51,112,2,3,10,,,
273,75592,FreeDiamonds,5,1,3,51,112,2,3,10,,,
274,75603,FreeDiamonds,5,1,3,51,112,2,3,10,,,
275,75614,FreeDiamonds,10,1,3,51,112,2,3,10,,,
276,75625,FreeDiamonds,5,1,3,51,112,2,3,10,,,
277,75636,FreeDiamonds,5,1,3,51,112,2,3,10,,,
278,75647,FreeDiamonds,5,1,3,51,112,2,3,10,,,
279,75658,FreeDiamonds,5,1,3,51,112,2,3,10,,,
280,75669,FreeDiamonds,15,1,3,51,112,2,3,10,,,
281,75680,FreeDiamonds,5,1,3,51,112,2,3,10,,,
282,75691,FreeDiamonds,5,1,3,51,112,2,3,10,,,
283,75702,FreeDiamonds,5,1,3,51,112,2,3,10,,,
284,75713,FreeDiamonds,5,1,3,51,112,2,3,10,,,
285,75724,FreeDiamonds,10,1,3,51,112,2,3,10,,,
286,75735,FreeDiamonds,5,1,3,51,112,2,3,10,,,
287,75746,FreeDiamonds,5,1,3,51,112,2,3,10,,,
288,75757,FreeDiamonds,5,1,3,51,112,2,3,10,,,
289,75768,FreeDiamonds,5,1,3,51,112,2,3,10,,,
290,75779,FreeDiamonds,15,1,3,51,112,2,3,10,,,
291,75790,FreeDiamonds,5,1,3,51,112,2,3,10,,,
292,75801,FreeDiamonds,5,1,3,51,112,2,3,10,,,
293,75812,FreeDiamonds,5,1,3,51,112,2,3,10,,,
294,75823,FreeDiamonds,5,1,3,51,112,2,3,10,,,
295,75834,FreeDiamonds,10,1,3,51,112,2,3,10,,,
296,75845,FreeDiamonds,5,1,3,51,112,2,3,10,,,
297,75856,FreeDiamonds,5,1,3,51,112,2,3,10,,,
298,75867,FreeDiamonds,5,1,3,51,112,2,3,10,,,
299,75878,FreeDiamonds,5,1,3,51,112,2,3,10,,,
300,75889,FreeDiamonds,15,1,3,51,112,2,3,10,,,
301,75900,FreeDiamonds,5,1,3,51,112,2,3,10,,,
302,75911,FreeDiamonds,5,1,3,51,112,2,3,10,,,
303,75922,FreeDiamonds,5,1,3,51,112,2,3,10,,,
304,75933,FreeDiamonds,5,1,3,51,112,2,3,10,,,
305,75944,FreeDiamonds,10,1,3,51,112,2,3,10,,,
306,75955,FreeDiamonds,5,1,3,51,112,2,3,10,,,
307,75966,FreeDiamonds,5,1,3,51,112,2,3,10,,,
308,75977,FreeDiamonds,5,1,3,51,112,2,3,10,,,
309,75988,FreeDiamonds,5,1,3,51,112,2,3,10,,,
310,75999,FreeDiamonds,15,1,3,51,112,2,3,10,,,
311,76010,FreeDiamonds,5,1,3,51,112,2,3,10,,,
312,76021,FreeDiamonds,5,1,3,51,112,2,3,10,,,
313,76032,FreeDiamonds,5,1,3,51,112,2,3,10,,,
314,76043,FreeDiamonds,5,1,3,51,112,2,3,10,,,
315,76054,FreeDiamonds,10,1,3,51,112,2,3,10,,,
316,76065,FreeDiamonds,5,1,3,51,112,2,3,10,,,
317,76076,FreeDiamonds,5,1,3,51,112,2,3,10,,,
318,76087,FreeDiamonds,5,1,3,51,112,2,3,10,,,
319,76098,FreeDiamonds,5,1,3,51,112,2,3,10,,,
320,76109,FreeDiamonds,15,1,3,51,112,2,3,10,,,
321,76120,FreeDiamonds,5,1,3,51,112,2,3,10,,,
322,76131,FreeDiamonds,5,1,3,51,112,2,3,10,,,
323,76142,FreeDiamonds,5,1,3,51,112,2,3,10,,,
324,76153,FreeDiamonds,5,1,3,51,112,2,3,10,,,
325,76164,FreeDiamonds,10,1,3,51,112,2,3,10,,,
326,76175,FreeDiamonds,5,1,3,51,112,2,3,10,,,
327,76186,FreeDiamonds,5,1,3,51,112,2,3,10,,,
328,76197,FreeDiamonds,5,1,3,51,112,2,3,10,,,
329,76208,FreeDiamonds,5,1,3,51,112,2,3,10,,,
330,76219,FreeDiamonds,15,1,3,51,112,2,3,10,,,
331,76230,FreeDiamonds,5,1,3,51,112,2,3,10,,,
332,76241,FreeDiamonds,5,1,3,51,112,2,3,10,,,
333,76252,FreeDiamonds,5,1,3,51,112,2,3,10,,,
334,76263,FreeDiamonds,5,1,3,51,112,2,3,10,,,
335,76274,FreeDiamonds,10,1,3,51,112,2,3,10,,,
336,76285,FreeDiamonds,5,1,3,51,112,2,3,10,,,
337,76296,FreeDiamonds,5,1,3,51,112,2,3,10,,,
338,76307,FreeDiamonds,5,1,3,51,112,2,3,10,,,
339,76318,FreeDiamonds,5,1,3,51,112,2,3,10,,,
340,76329,FreeDiamonds,15,1,3,51,112,2,3,10,,,
341,76340,FreeDiamonds,5,1,3,51,112,2,3,10,,,
342,76351,FreeDiamonds,5,1,3,51,112,2,3,10,,,
343,76362,FreeDiamonds,5,1,3,51,112,2,3,10,,,
344,76373,FreeDiamonds,5,1,3,51,112,2,3,10,,,
345,76384,FreeDiamonds,10,1,3,51,112,2,3,10,,,
346,76395,FreeDiamonds,5,1,3,51,112,2,3,10,,,
347,76406,FreeDiamonds,5,1,3,51,112,2,3,10,,,
348,76417,FreeDiamonds,5,1,3,51,112,2,3,10,,,
349,76428,FreeDiamonds,5,1,3,51,112,2,3,10,,,
350,76439,FreeDiamonds,15,1,3,51,112,2,3,10,,,
351,76450,FreeDiamonds,5,1,3,51,112,2,3,10,,,
352,76461,FreeDiamonds,5,1,3,51,112,2,3,10,,,
353,76472,FreeDiamonds,5,1,3,51,112,2,3,10,,,
354,76483,FreeDiamonds,5,1,3,51,112,2,3,10,,,
355,76494,FreeDiamonds,10,1,3,51,112,2,3,10,,,
356,76505,FreeDiamonds,5,1,3,51,112,2,3,10,,,
357,76516,FreeDiamonds,5,1,3,51,112,2,3,10,,,
358,76527,FreeDiamonds,5,1,3,51,112,2,3,10,,,
359,76538,FreeDiamonds,5,1,3,51,112,2,3,10,,,
360,76549,FreeDiamonds,15,1,3,51,112,2,3,10,,,
361,76560,FreeDiamonds,5,1,3,51,112,2,3,10,,,
362,76571,FreeDiamonds,5,1,3,51,112,2,3,10,,,
363,76582,FreeDiamonds,5,1,3,51,112,2,3,10,,,
364,76593,FreeDiamonds,5,1,3,51,112,2,3,10,,,
365,76604,FreeDiamonds,10,1,3,51,112,2,3,10,,,
366,76615,FreeDiamonds,5,1,3,51,112,2,3,10,,,
367,76626,FreeDiamonds,5,1,3,51,112,2,3,10,,,
368,76637,FreeDiamonds,5,1,3,51,112,2,3,10,,,
369,76648,FreeDiamonds,5,1,3,51,112,2,3,10,,,
370,76659,FreeDiamonds,15,1,3,51,112,2,3,10,,,
371,76670,FreeDiamonds,5,1,3,51,112,2,3,10,,,
372,76681,FreeDiamonds,5,1,3,51,112,2,3,10,,,
373,76692,FreeDiamonds,5,1,3,51,112,2,3,10,,,
374,76703,FreeDiamonds,5,1,3,51,112,2,3,10,,,
375,76714,FreeDiamonds,10,1,3,51,112,2,3,10,,,
376,76725,FreeDiamonds,5,1,3,51,112,2,3,10,,,
377,76736,FreeDiamonds,5,1,3,51,112,2,3,10,,,
378,76747,FreeDiamonds,5,1,3,51,112,2,3,10,,,
379,76758,FreeDiamonds,5,1,3,51,112,2,3,10,,,
380,76769,FreeDiamonds,15,1,3,51,112,2,3,10,,,
381,76780,FreeDiamonds,5,1,3,51,112,2,3,10,,,
382,76791,FreeDiamonds,5,1,3,51,112,2,3,10,,,
383,76802,FreeDiamonds,5,1,3,51,112,2,3,10,,,
384,76813,FreeDiamonds,5,1,3,51,112,2,3,10,,,
385,76824,FreeDiamonds,10,1,3,51,112,2,3,10,,,
