Name,IntValue,StringValue,BooleanValue
FruitTreeFBURL,,http://game.haydaygame.com:8080/facebook?fruit_tree_high=<HIGH>&low=<LOW>,
FruitTreeFBURL_ANDROID,,http://gamea.haydaygame.com:8080/facebook?fruit_tree_high=<HIGH>&low=<LOW>,
FriendBarRefreshTimeSeconds,300,,
FacebookLoginDiamondReward,5,,
AvatarInfoWaitSeconds,20,,
UpdateURL,,,
MaintenanceURL,,,
BoyName,,TID_TOM,
RoadsideShopStandAdvertisementLifeMinutes,180,,
UniqueFarmFacebookURL,,http://game.haydaygame.com:8080/facebook?farmhigh=<HIGH>&low=<LOW>,
UniqueFarmFacebookURL_ANDROID,,http://gamea.haydaygame.com:8080/facebook?farmhigh=<HIGH>&low=<LOW>,
FacebookConnectWaitTime,20,,
FacebookConnectWaitTime_ANDROID,90,,
FacebookLikeCacheMinutes,5,,
DraggableButtonImprovedDragAccuracyEnabled,1,,
ShopScrollMS,1000,,
MaxAmbientAnimals,50,,
BACKGROUND_EXPORT_NAME_DECO_LAYER_01,,deco_layer_01,
BACKGROUND_EXPORT_NAME_BG_EDGE_EAST,,bg_edge_east,
BACKGROUND_EXPORT_NAME_BG_EDGE_NORTH,,bg_edge_north,
BACKGROUND_EXPORT_NAME_BG_EDGE_SOUTH,,bg_edge_south,
BACKGROUND_EXPORT_NAME_BG_EDGE_WEST,,bg_edge_west,
FBConnectPopup,2,,
BackgroundColor,,FF698E1C,
CloudsExportName,,cloud_formation,
AdColonyVideoZone,,vz183e4ebd9cb84e298f20ae,
AdColonyDebugVideoZone,,vz22a8eb884d74461da4d8d7,
AdColonyVideoZone_ANDROID,,vz89813cc064484a8dbf,
AdColonyDebugVideoZone_ANDROID,,vzebff7b516a1f4b10b9,
NewFeedbackFormat,,,TRUE
FriendMetaQueryIntervalSeconds,30,,
SnowfallFlakesHigh,700,,
SnowfallFlakesLow,700,,
SnowfallMinZ,0,,
SnowfallMaxZ,6000,,
SnowfallMinX,-2200,,
SnowfallMaxX,6400,,
ApproxPCRate,31,,
PurchaseLimitUSD,150,,
PurchaseLimitTimeMinutes,15,,
OfferDelaySeconds,5,,
PurchaseConfirmationDiamondLimit,1000000,,
LeaderboardTimeoutSeconds,30,,
CoinPurchaseType,0,,
MinLevelForPushNotification,6,,
GiftTimeSeconds,60,,
GiftFadeTimeSeconds,5,,
NewspaperAdLocation,,Newspaper,
CatalogueAdLocation,,package-catalog,
TwoStarFishWeight,570,,
ThreeStarFishWeight,800,,
FourStarFishWeight,950,,
MaxSurplusProductionGoods,50,,
LongHoldDurationMS,1000,,
RoadsideShopStandNewSaleIncreasePriceClampMax,500,,
MaxFollowerPages,10,,
FollowerPageSize,50,,
GlobalEventRefreshSeconds,10,,
JPShopItemFontSize,15,,
JPShopItemFontSizeMobile,12,,
MaxParallelProfilePictureDownloads,0,,
FacebookOpenGraphObjectURL,,http://game.haydaygame.com:8080/opengraph/object?globalId=<GLOBALID>,
FacebookOpenGraphObjectURL_ANDROID,,http://gamea.haydaygame.com:8080/opengraph/object?globalId=<GLOBALID>,
FacebookAchievementObjectURL,,http://game.haydaygame.com:8080/opengraph/achievement?achievementType=<GLOBALID>,
FacebookAchievementObjectURL_ANDROID,,http://gamea.haydaygame.com:8080/opengraph/achievement?achievementType=<GLOBALID>,
DeviceLinkCodeLength,12,,
DeviceLinkCodeValidSeconds,300,,
UseDeviceLink,,,TRUE
DeviceLinkHighestXpLevelAllowingOverride,0,,
DeviceLinkHighestPurchasesRealMoneyAllowingOverride,0,,
DeviceLinkRequirePlatformBinding,,,FALSE
LOW_RES_DEVICES,,iPhone4,
,,iPhone5,
,,iPhone6,
,,iPhone7,
,,iPad2,
,,iPad3,
,,iPad4,
,,iPod5,
,,iPod7,
LOW_RES_DEVICES_ANDROID,,,
MEDIUM_RES_DEVICES,,,
MEDIUM_MEMORY_LIMIT_ANDROID,1000,,
HIGH_MEMORY_LIMIT_ANDROID,1200,,
VERY_HIGH_MEMORY_LIMIT,2000,,
ConfirmButtonPressDurationMillis,200,,
ConfirmButtonFadeoutDurationMillis,1000,,
ConfirmButtonPressToShortHintLimitMillis,50,,
ConfirmButtonPressToLongHintLimitMillis,2000,,
AndroidGoogleLoginPopupExpLevel,9,,
AndroidGoogleLoginPopupExpLevelInterval,2,,
AndroidGoogleLoginPopupPurchaseInterval,1,,
IAPFailRetryIntervalSeconds,120,,
IAPFailRetryCount,1,,
BufferServerCommands,,,TRUE
MaxNeighborhoodNameLength,25,,
MinNeighborhoodNameLength,3,,
MaxNeighborhoodMottoLength,240,,
MaxNeighborhoodDescriptionLength,512,,
CreateNeighborhoodCoinPrice,500,,
ShopSortAndAddItemsDelayMS,100,,
ShopSortAndAddItemsDelayMSLowRes,500,,
MaxGCPopup,20,,
LoginTimeoutSeconds,120,,
RoadsideShopStandDiamondPriceIncrease,2,,
MaxRoadsideShopStandCount,500,,
HowToUpdateIOSSupportURL,,https://supercell.helpshift.com/a/hay-day/?s=troubleshooting-device-settings&f=end-of-support-for-devices-with-ios-5-or-6,
FirstSupportedIOSVersion,,9,
DerbyHelpshiftID,,56,
DerbyHelpshiftURL,,https://supercell.helpshift.com/a/hay-day/?s=neighbourhoods&f=derby-tutorial,
DerbyTaskTimeLeftPercentNotification,20,,
DerbyMinutesLeftNotification,2880,,
DerbySaveStateToLogic,,,TRUE
GCLoadAsync,,,TRUE
GCLoadPhotoAsync,,,TRUE
GCLoadPhoto,,,FALSE
SCCacheWriteEnabled,,,TRUE
SCCacheWriteFreeSpaceLimit,2000,,
SCCacheWriteFreeSpaceLimit_ANDROID,2000,,
SCCacheLoadEnabled,,,TRUE
SCCacheEnabledForUser,,,TRUE
DerbyOptOutNotificationIntervalMinutes,360,,
DerbyOptOutNotificationCount,2,,
RED_CAMPAIGN_ENABLED,,,FALSE
RED_CAMPAIGN_ENABLED_ANDROID,,,FALSE
DERBY_SHOW_LEAGUE_DURING_PAUSE,,,TRUE
FREE_DIAMOND_SPEED_UP_BEFORE_LEVEL,3,,
DERBY_SHOW_RACE_UI_DURING_PAUSE,,,TRUE
CameraBetweenRoadsideShopAndMailbox,,,TRUE
ShowDerbyFinishedText,,,TRUE
NeighborhoodTrophyUI,,,
ShowEventFishTooltip,,,TRUE
RemoveDerbyNotificationWhenOptedOut,,,TRUE
SiloUpgradeTutorial,,,TRUE
RedNewsIconURL,,http://game-assets.haydaygame.com/static/inbox_messages/icons/red_campaign_logo2.png,
NewLoadingSpinners,,,TRUE
DerbySpectatorMode,,,TRUE
UpdateDerbyCloseButtonEveryFrame,,,TRUE
FieldsInTwoLayers,,,TRUE
KeepScreenOnDuringIntro,,,TRUE
ChampionLeagueHelpshiftFaqID,,2287,
UpgradeMaterialsInToolOffers,,,TRUE
DerbyScoreDecimals,,,TRUE
NeighborhoodSearchRecommendationFixes,,,TRUE
UpdateDerbyBannerInBuildingsImmediately,,,TRUE
ShopScrollAreaExtraWidth,300,,
ConfirmTypePopupTextVerticalCenter,,,
TrophyUINewFix,,,TRUE
VungleAndroidNewFix,,,FALSE
TUTORIAL_SHOW_FB_LOGIN_UNTIL_LVL,1,,
TUTORIAL_SHOW_FB_LOGIN_UNTIL_LVL_AMAZON,1,,
ProductionBuildingUIDontBlockTouches,,,TRUE
LayoutSlotUnlockLevels,23,,
,23,,
,23,,
,23,,
,23,,
LayoutSlotDiamondPrices,0,,
,0,,
,20,,
,40,,
,80,,
MaxLayoutNameLength,25,,
EditModeSinglePlacement,,,TRUE
BoatFeatureImageURL,,http://game-assets.haydaygame.com/static/unlock_images/unlock_boatdoc_950x520.png,
DuckSalonFeatureImageURL,,http://game-assets.haydaygame.com/static/unlock_images/unlock_ducksalon_950x520.png,
EditModeFeatureImageURL,,http://game-assets.haydaygame.com/static/unlock_images/unlock_editmode_new_950x520.png,
EventsFeatureImageURL,,http://game-assets.haydaygame.com/static/unlock_images/unlock_event_board_950x520.png,
ExpansionsFeatureImageURL,,http://game-assets.haydaygame.com/static/unlock_images/unlock_expansions_950x520.png,
FishingFeatureImageURL,,http://game-assets.haydaygame.com/static/unlock_images/unlock_fishing_950x520.png,
LobsterPoolFeatureImageURL,,http://game-assets.haydaygame.com/static/unlock_images/unlock_lobsterpool_950x520.png,
MineFeatureImageURL,,http://game-assets.haydaygame.com/static/unlock_images/unlock_mine_950x520.png,
NeighborhoodFeatureImageURL,,http://game-assets.haydaygame.com/static/unlock_images/unlock_neighborhood_950x520.png,
NetMakerFeatureImageURL,,http://game-assets.haydaygame.com/static/unlock_images/unlock_netmaker_950x520.png,
RoadsideShopFeatureImageURL,,http://game-assets.haydaygame.com/static/unlock_images/unlock_rss_950x520.png,
TownFeatureImageURL,,http://game-assets.haydaygame.com/static/unlock_images/unlock_town_950x520.png,
TradingFeatureImageURL,,http://game-assets.haydaygame.com/static/unlock_images/unlock_nhrequests_950x520.png,
HelpersFeatureImageURL,,http://game-assets.haydaygame.com/static/unlock_images/unlock_helpers_950x520.png,
SpecialExpansionsFeatureImageURL,,http://game-assets.haydaygame.com/static/unlock_images/unlock_expansions_new_950x520.png,
BoostersFeatureImageURL,,http://game-assets.haydaygame.com/static/unlock_images/unlock_boosters_950x520.png,
RequestItemMaxAmountCrops,10,,
RequestItemMaxAmountProducts,5,,
RequestItemMaxAmountTools,3,,
RequestCooldownMinutes,480,,
DonationCooldownMinutes,1440,,
ExtraRequestDiamondPrice,5,,
FreeRequestAmount,1,,
RequestMaxAmount,2,,
DonationMaxAmount,40,,
RequestBoardRefreshDelaySeconds,5,,
BuyDiamondsHUDThemeLeftExportName,,,
BuyDiamondsHUDThemeRightExportName,,,
FinishDeferredTransactionInHours,24,,
HelperUpdateIntervalSeconds,60,,
MaxHelperDrops,10,,
CCheckEnabled,,,TRUE
GoogleAutomaticLogoutSupportURL,,https://supercell.helpshift.com/a/hay-day/?p=web&s=my-account&f=why-have-i-been-automatically-logged-out-google-play,
GoogleAutomaticLogoutHelpshiftID,,3993,
MaxFriends,500,,
MaxFriendRequests,100,,
FBLoadPhoto,,,TRUE
FriendRequestRefreshTimeSeconds,300,,
FriendBlockIntervalSeconds,2592000,,
DaysWithoutSpendingLimit,90,,
BoosterActivationDiamondPrices,0,,
,2,,
,4,,
,6,,
,12,,
,20,,
,30,,
,45,,
,60,,
,80,,
,100,,
,150,,
,200,,
,250,,
,300,,
,350,,
,400,,
,450,,
,500,,
BoosterKeepDiamondPrices,2,,
,4,,
,6,,
,12,,
,20,,
,30,,
,45,,
,60,,
,80,,
,100,,
,150,,
,200,,
,250,,
,300,,
,350,,
,400,,
,450,,
,500,,
FreeBoosterStorageSlots,3,,
FreeActiveBoosterSlots,1,,
MaxPendingBoosters,3,,
NeighborhoodInfoFooterItems,2,,
SanctuaryGateExpansions,14,,
,15,,
,16,,
PassengerChanceWantViewUnownedAnimal,3,,
SanctuaryCollectionAreaMaxDrops,10,,
DerbyMinTaskPointsToShowRareUI,320,,
SanctuaryFeatureImageURL,,http://game-assets.haydaygame.com/static/unlock_images/unlock_sanctuary_950x520.png,
ContentDownloadEnabled,,,TRUE
UseDeepLinking,,,TRUE
BoomboxShareTagsEnabled,,,TRUE
BoomboxShareDisabledIOSMin,,,
BoomboxShareDisabledIOSMax,,,
MaxNeighborhoodPublicMessages,5,,
LoginTargetingStickySecs,86400,,
RoadSideShopStandDefaultAdvertise,,,
MaxQueuedLocalNotifications,64,,
RenovatorAvailableRerollsPerRestock,3,,
RenovatorRerollCostDiamonds,2,,
,4,,
,6,,
,8,,
,10,,
,12,,
,14,,
RenovatorSpawnDayOfWeek,0,,
RenovatorSpawnHour,8,,
RenovatorStayTimeHours,72,,
RenovatorFeatureImageURL,,http://game-assets.haydaygame.com/static/unlock_images/unlock_builder_950x520.png,
GCConnectFriends,,,TRUE
FBConnectFriends,,,TRUE
UnityAdsGameID,,1782301,
UnityAdsGameID_ANDROID,,1782302,
SwitchConfirmationExpLevel,7,,
RenovatorBuyBackDiscountPercentage,75,,
ShowPetNameWhenVisitingEnabled,,,TRUE
ForcedFarmModeLeftBound,1980,,
ForcedFishingModeLeftBound,400,,
HelpshiftRequiresOptionalUpdate,0,,
FriendFullName,,,
LiveShopNotificationRandomOffsetMinutes,10,,
LiveShopEndingNotificationMinutesBeforeEnd,1440,,
MaxSharedVisitors,3,,
MaxSharedExtraNeighborhoodVisitors,1,,
MaxSharedOrders,3,,
MaxSharedExtraNeighborhoodOrders,1,,
AutoCreateNeighborhoodEnabled,,,TRUE
AutoCreateNeighborhoodDerbyOptInEnabled,,,TRUE
UseNewAssetSelectionLogic,,,TRUE
SelectIpadAssetsAspectRatio,600,,
SpecialTabletCheckMinWidth,500,,
SpecialTabletCheckMaxWidth,800,,
TabletInchWidth,530,,
FillHelpDelayMS,5000,,
MapGameFeatureImageURL,,http://game-assets.haydaygame.com/static/unlock_images/unlock_valley_950x520.png,
UseSelfHelp,,,TRUE
SelfHelpStagingUrl,,https://ingame.help-staging.supercellsupport.com/hay-day/en/index.html,
SelfHelpDevUrl,,https://ingame.help-dev.supercellsupport.com/hay-day/en/index.html,
ChineseNoticeTitle,,健康游戏忠告,
ChineseNoticeText,,抵制不良游戏，拒绝盗版游戏。<CR>注意自我保护，谨防受骗上当。<CR>适度游戏益脑，沉迷游戏伤身。<CR>合理安排时间，享受健康生活。,
AIRoadsideShopNumberOfAllowedRerolls,5,,
AIRoadsideShopNumberOfRerollsKeptForExclusionList,1,,
AIRoadsideShopRerollsDiamondPrice,5,,
,5,,
,5,,
,5,,
,5,,
PopFeatureImageURL,,http://game-assets.haydaygame.com/static/unlock_images/unlock_valley_950x520.png,
PopPromoWeeklyResetDay,0,,
PopPromoWeeklyResetHourUTC,0,,
PopPromoMaxPopBoxCount,5,,
PopPromoMaxHayDayBoxCount,5,,
PopPromoTruckOrderMaxWeeklyPopBoxCount,2,,
PopPromoTruckOrderMaxPopBoxCount,2,,
PopPromoTruckOrderPopBoxProbability,100,,
PopPromoBoatOrderMaxWeeklyPopBoxCount,2,,
PopPromoBoatOrderMaxPopBoxCount,2,,
PopPromoBoatOrderPopBoxProbability,100,,
PopPromoMysteryBoxMaxWeeklyPopBoxCount,2,,
PopPromoMysteryBoxMaxPopBoxCount,2,,
PopPromoMysteryBoxPopBoxProbability,100,,
PopPromoDerbyThresholdRewardIndex,3,,
,4,,
,5,,
PopPromoDerbyMaxWeeklyPopBoxCount,10000,,
PopPromoDerbyMaxPopBoxCount,3,,
PopPromoDerbyPopBoxProbability,100,,
PromoMapGameTier1RewardIndex,3,,
,4,,
,5,,
PopPromoMapGameMaxWeeklyPopBoxCount,10000,,
PopPromoMapGameMaxPopBoxCount,3,,
PopPromoMapGamePopBoxProbability,100,,
PopPromoDisabledLoginCountries,,CN,
PopPromoInfoTitle,,TID_POP_PROMO_INFO_TITLE1,
,,TID_POP_PROMO_INFO_TITLE2,
,,TID_POP_PROMO_INFO_TITLE3,
,,TID_POP_PROMO_INFO_TITLE4,
,,TID_POP_PROMO_INFO_TITLE5,
,,TID_POP_PROMO_INFO_TITLE6,
,,TID_POP_PROMO_INFO_TITLE7,
PopPromoInfoText,,TID_POP_PROMO_INFO_PAGE1,
,,TID_POP_PROMO_INFO_PAGE2,
,,TID_POP_PROMO_INFO_PAGE3,
,,TID_POP_PROMO_INFO_PAGE4,
,,TID_POP_PROMO_INFO_PAGE5,
,,TID_POP_PROMO_INFO_PAGE6,
,,TID_POP_PROMO_INFO_PAGE7,
PopPromoInstallInfoTitle,,TID_POP_INSTALL_PROMO_INFO_TITLE1,
,,TID_POP_INSTALL_PROMO_INFO_TITLE2,
,,TID_POP_INSTALL_PROMO_INFO_TITLE3,
,,TID_POP_INSTALL_PROMO_INFO_TITLE4,
,,TID_POP_INSTALL_PROMO_INFO_TITLE5,
,,TID_POP_INSTALL_PROMO_INFO_TITLE6,
,,TID_POP_INSTALL_PROMO_INFO_TITLE7,
PopPromoInstallInfoText,,TID_POP_INSTALL_PROMO_INFO_PAGE1,
,,TID_POP_INSTALL_PROMO_INFO_PAGE2,
,,TID_POP_INSTALL_PROMO_INFO_PAGE3,
,,TID_POP_INSTALL_PROMO_INFO_PAGE4,
,,TID_POP_INSTALL_PROMO_INFO_PAGE5,
,,TID_POP_INSTALL_PROMO_INFO_PAGE6,
,,TID_POP_INSTALL_PROMO_INFO_PAGE7,
PopPromoDownloadUrl,,https://haydaypop.com/,
DisableIAPLoginCountry,,CN,
BlueprintLimit,15,,
FarmPassInfoTitle,,TID_FARM_PASS_INFO_TITLE1,
,,TID_FARM_PASS_INFO_TITLE2,
,,TID_FARM_PASS_INFO_TITLE3,
,,TID_FARM_PASS_INFO_TITLE4,
,,TID_FARM_PASS_INFO_TITLE5,
,,TID_FARM_PASS_INFO_TITLE6,
,,TID_FARM_PASS_INFO_TITLE7,
,,TID_FARM_PASS_INFO_TITLE8,
FarmPassInfoText,,TID_FARM_PASS_INFO_PAGE1,
,,TID_FARM_PASS_INFO_PAGE2,
,,TID_FARM_PASS_INFO_PAGE3,
,,TID_FARM_PASS_INFO_PAGE4,
,,TID_FARM_PASS_INFO_PAGE5,
,,TID_FARM_PASS_INFO_PAGE6,
,,TID_FARM_PASS_INFO_PAGE7,
,,TID_FARM_PASS_INFO_PAGE8,
DerbyMaxModularDecosLeagueRewards,1,,
DerbyMaxModularDecosThresholdRewards,0,,
HorizonIslandDistance,20000,,
HorizonIslandSpeed,3500,,
FarmPassDailyTaskResetUTCHour,8,,
FarmPassNumDailyTasks,3,,
FarmPassNumWeeklyTasks,3,,
FarmPassWeeklyTasksSpawnIntervalSecondsDev,604800,,
FarmPassWeeklyTasksSpawnIntervalSecondsProd,604800,,
FarmPassRewardChickenIdleDelay,250,,
FarmPassRewardChickenIdleProbability,75,,
FarmPassBabyChickenIdleProbability,90,,
FarmPassTaskPointsMultiplier,,7;20,
,,14;50,
,,21;70,
FarmPassCinematicStartDelayMillis,1000,,
FarmPassCinematicStartSeconds,10,,
FarmPassCinematicBabyChickens,1,,
FarmPassCinematicBabyChickenIntervalMillis,500,,
FarmPassProgressBarEnabled,,,
FarmPassBabyChickTileArea,,18;42,
,,19;42,
,,20;42,
,,21;42,
,,22;42,
,,18;43,
,,19;43,
,,20;43,
,,21;43,
,,19;44,
,,20;44,
FarmPassBabyChickEntryRoute,,19;50,
,,19;43,
,,19;44,
,,19;45,
FarmPassBabyChickExitRoute,,18;51,
WhitelistVulkanDevice,,,
FarmPassPurchaseDisableSeconds,3600,,
GetFarmPassPopUpBackgroundImageURL,,http://game-assets.haydaygame.com/static/farm_pass/fp_popup_illustration_bg_v9.jpg,
GetFarmPassPopUpBackgroundImageURLOverlay,,http://game-assets.haydaygame.com/static/farm_pass/fp_popup_illustration_chicks_v9.png,
FarmPassFeatureImageURL,,http://game-assets.haydaygame.com/static/unlock_images/unlock_farmpass_950x520.png,
DailyTasksFeatureImageURL,,http://game-assets.haydaygame.com/static/unlock_images/unlock_daily_tasks_950x520.png,
DecoStickerBookFeatureImageURL,,http://game-assets.haydaygame.com/static/unlock_images/unlock_sticker_book_950x520.png,
AnimalOutlineColor,,FFBA93DB,
AnimalOutlineHorizontalSize,5,,
AnimalOutlineVerticalSize,5,,
SupportCreatorEnabled,,,TRUE
SupportCreatorValidTime,604800,,
SCIDLoadPhoto,,,TRUE
BillingDisabledNoReceiptSeconds,10,,
BillingDisabledWithReceiptSeconds,3600,,
LastSeenFarmPassReminderTimeIntervalSeconds,432000,,
FarmPassReminderDelaySeconds,0,,
FarmPassReminderSeconds,5,,
FarmPassReminderUnclaimedRewardCount,4,,
FBOnlyInstalledFacebookFriends,,,FALSE
FarmPassDecoAnimationEnabled,,,TRUE
FarmPassChickDisappearFix,,,TRUE
MysteryBoxRewardLimitCheckEnabled,,,FALSE
DerbyRewardLimitCheckEnabled,,,FALSE
FarmCameraExtraMargin,32,,
DecoEventCameraExtraMargin,256,,
SCIDNotifications,,,TRUE
SCIDNotificationsDelaySeconds,3,,
UnityVideoAdsDisabledDevices,,"ipad1,",
,,"ipod1,",
,,"ipod2,",
,,"ipod3,",
,,"ipod4,",
UnityVideoAdsMinimumOSVersion,,9,
UnityVideoAdsMinimumOSVersion_ANDROID,,19,
IronSourceVideoAdsMinimumOSVersion,,12,
IronSourceVideoAdsMinimumOSVersion_ANDROID,,23,
GooglePlayStoreURL,,https://play.google.com/store/apps/details?id=com.supercell.hayday,
SecondsBetweenKeepAlive,30,,
PushTargetedOffers,,,TRUE
OfferSkipsBeforePricePointDrop,4,,
ShowEventIntro,,,TRUE
OpenEventBoardFromEventIntro,,,TRUE
SCIDStoreAutoClaimDelaySeconds,15,,
FixAvatarDecorations,,,TRUE
BalanceChecksInDiamondsAddedCommand,,,TRUE
LoadAdditionalFilesInFarm,,,FALSE
ScaleMultilineTextFieldWithWidestWord,,,TRUE
UseTextFieldAutoAdjust,,,TRUE
UseTextFieldVCenter,,,TRUE
RefreshDataTablesTimeSecond,60,,
WebNotificationsEnabled,,,TRUE
EditModeMemoryOptimization,,,TRUE
EditModeIsoObjectOptimization,,,TRUE
LogicGameObjectManagerInsertionSort,,,TRUE
UseServerTimeForEpoch,,,TRUE
BigIconsInResourceGainedSprite,,,TRUE
UpdateBowlCountsBeforeGoToHabitat,,,TRUE
AnimatedShopIconsEnabled,,,TRUE
AllDecoShopIconsAnimated,,,FALSE
AgeGate,,,TRUE
ShopIconAreaTop,-50,,
ShopIconAreaLeft,-50,,
ShopIconAreaRight,50,,
ShopIconAreaBottom,50,,
ShopIconClipAreaTop,-50,,
ShopIconClipAreaLeft,-60,,
ShopIconClipAreaRight,62,,
ShopIconClipAreaBottom,50,,
AlwaysConvertCommandDataReferences,,,TRUE
AgeMin,4,,
AgeMax,60,,
MaxPetNameLength,30,,
MaxSpins,,,
MaxSpinsYoungPlayer,,,
GiftCatalogueMaxResourceChecks,,,TRUE
RoadSideShopBackPoleMovedBack,,,TRUE
GlobalAgeRestriction,16,,
GlobalAskAgeTutorial,,,
AgeRestrictions,,KR=14,
ParentalConsents,,KR,
ShowBoatCrateBonusInBoatOrderHUD,,,TRUE
NoSeasonalCurrencyDropIfBarnFull,,,TRUE
SeasonalCurrencyAddedToExistingTruckOrders,,,TRUE
SkipRoadsideShopBackgroundFadeOnVisit,,,TRUE
LayoutModeAffectsShopBadges,,,TRUE
QueueCommands,,,TRUE
TimeLimitedOffersFromChronos,,,TRUE
AnimatedProcessingBuildingIcons,,,TRUE
AnimatedAnimalIcons,,,TRUE
DynamicTooltips,,,TRUE
HoldToDisplayTooltips,,,FALSE
SupportSlidingTooltips,,,FALSE
TooltipFadeoutTimeMS,4000,,
TooltipBorderMarginMobile,20,,
TooltipBorderMarginTable,40,,
MobileTooltipScaleReferenceDPI,250,,
MobileTooltipScaleReferenceStageHeight,400,,
DefaultAssumedLastPurchasedUSD,99,,
MobileMainHUDSafeAreaHeightLimit,330,,
MobileMainHUDSafeAreaDPIRequirement,320,,
MobileMainHUDSafeAreaHeightLimit_ANDROID,0,,
TabletToMobileUIScale,70,,
FloaterTextY,86,,
FloaterTextYMobile,69,,
FarmPassBottomHUDButton,,,TRUE
FarmPassPurchaseButton,,,TRUE
FixShopAndFriendsCloseButtonPos,,,TRUE
ScaledTextFieldFontSizeHack,,,TRUE
ShowFarmPassPurchasePopupFromAllRewards,,,TRUE
FarmPassButtonOutsideHome,,,TRUE
MapGameInventoryTooltipWithLinks,,,TRUE
MapGamePreventMovesWhenMovePending,,,TRUE
AnimalFeedTooltipOnTap,,,TRUE
GiftMailBoxDiscardPassedGifts,,,TRUE
ShopExtraBigScrollArea,,,TRUE
OneTapFruitTreeRevive,,,TRUE
NamePopupAgeCheckAlwaysInHome,,,TRUE
ForceSendCommandsIfMoreThan,100,,
DelayTextBoxRelease,,,TRUE
LogicServerChecksMarch2023,,,TRUE
FarmPassCommandsOutsideHome,,,TRUE
RefreshEventDataPointers,,,TRUE
BirthdayTaskDiscardCooldownSeconds,300,,
BirthdayTaskCooldownSkipDiamondPrice,10,,
HammermillTooltipAlignRight,,,TRUE
DraggableRecipeDelayMS,300,,
NewspaperHUDWidth,1000,,
NewspaperHUDHeight,580,,
CatalogueHUDWidth,900,,
CatalogueHUDHeight,600,,
RoadsideShopHUDWidth,675,,
RoadsideShopHUDHeight,420,,
PetAnimationIndexInLogic,,,TRUE
FarmPassTaskLinkTooltips,,,TRUE
DerbyTaskLinkTooltips,,,TRUE
OnlyActiveBirthdayTaskTooltipHasLink,,,FALSE
SiloHUDFloaterTextsOnTopOfHUD,,,TRUE
SiloSearchBar,,,TRUE
RSSSearchBar,,,TRUE
NHRequestSearchBar,,,TRUE
TomSearchBar,,,TRUE
ShopSectorLeftSpace,14,,
ShopSectorRightSpace,24,,
ModalChecksSmallScreen,,,TRUE
FarmPassHatsOnAllGregsAnimal,,,FALSE
FarmPassHatsOnSomeGregsAnimal,,,TRUE
EndMoveModeCrashFix2023,,,TRUE
FarmPassHelpButtonHitAreaFix,,,TRUE
FreeBoosterActivationSlot,,,TRUE
TimeCutDoneTooltip,,,TRUE
TimeCutStartedWithDelay,,,TRUE
