Name,FileName,ExportName,Scale,TileWidth,TileHeight
,sc/map.sc,map_deco_rockgroup4,100,,
,sc/nature_new.sc,rock_2x2_01,100,,
rockgroup 1,sc/map.sc,map_deco_rockgroup1,100,2,2
rockgroup 2,sc/map.sc,map_deco_rockgroup2,100,2,2
rockgroup 3,sc/map.sc,map_deco_rockgroup3,100,2,2
rockgroup 4,sc/map.sc,map_deco_rockgroup4,100,2,2
rockgroup 5,sc/map.sc,map_deco_cliff3,100,2,2
rockgroup 6,sc/map.sc,map_deco_cliff5,100,2,2
rock3x3,sc/map.sc,map_deco_cliff1,100,3,3
,,map_deco_cliff2,100,,
,,map_deco_cliff4,100,,
cliff 1,sc/map.sc,map_deco_cliff1,100,3,3
cliff 2,sc/map.sc,map_deco_cliff2,100,3,3
cliff 3,sc/map.sc,map_deco_cliff4,100,3,3
,,,,,
field,sc/nature_new.sc,map_crop_watermelon,100,1,1
,,map_crop_sunflower,100,1,1
,,map_crop_rice,100,1,1
,,map_crop_wheat,100,1,1
field rice,sc/nature_new.sc,map_crop_rice,110,1,1
field sunflower,sc/nature_new.sc,map_crop_sunflower,110,1,1
field wheat,sc/nature_new.sc,map_crop_wheat,110,1,1
field empty,sc/nature_new.sc,map_field_empty,110,1,1
field watermelon,sc/nature_new.sc,map_crop_watermelon,100,1,1
bridgefence horiztop,sc/map.sc,bridge_fence_horiz_topedge,100,0,0
bridgefence horizbottom1,sc/map.sc,bridge_fence_horiz_bottomedge_1,100,2,1
bridgefence horizbottom2,sc/map.sc,bridge_fence_horiz_bottomedge_2,100,2,1
bridgefence horizbottom3,sc/map.sc,bridge_fence_horiz_bottomedge_3,100,2,1
bridgefence horizbottom4,sc/map.sc,bridge_fence_horiz_bottomedge_4,100,2,1
bridgefence vertop,sc/map.sc,bridge_fence_ver_topedge,100,0,0
bridgefence verbottom1,sc/map.sc,bridge_fence_ver_bottomedge_1,100,2,2
bridgefence verbottom2,sc/map.sc,bridge_fence_ver_bottomedge_2,100,2,2
bridgefence verbottom3,sc/map.sc,bridge_fence_ver_bottomedge_3,100,2,2
bridgefence verbottom4,sc/map.sc,bridge_fence_ver_bottomedge_4,100,2,2
waterplant_2x2,sc/map.sc,waterdeco_1x1_waterlilly,100,2,2
,,waterdeco_1x1_bulrushlilly,100,2,2
,,waterdeco_2x2_grass,100,2,2
,,waterdeco_1x1_reedrocks,100,2,2
,,waterdeco_1x1_smallrock,100,2,2
,,waterdeco_1x1_waterlillypink,100,2,2
,,waterdeco_1x1_bulrush,100,2,2
,,waterdeco_1x1_weed,100,2,2
,,waterdeco_1x1_waterlillywhite,100,2,2
,,waterdeco_1x1_waterlilly4,100,2,2
waterdeco_2x2,sc/map.sc,waterdeco_2x2_log,100,2,2
,,waterdeco_1x1_rocks,100,2,2
,,waterdeco_2x2_barrel,100,2,2
Slowwater_4x2,sc/map.sc,wateranim1_slow_4x2,100,4,2
Fastwater_4x2,sc/map.sc,wateranim2_fast_4x2,100,4,2
Slowwater_2x4,sc/map.sc,wateranim1_slow_2x4,100,2,4
Fastwater_2x4,sc/map.sc,wateranim2_fast_2x4,100,2,4
water shallowspot,sc/map.sc,wateranim1_shallow_3x3,100,3,3
,,wateranim2_shallow_3x3,100,3,3
water swampspot,sc/map.sc,wateranim1_dark_3x3,100,3,3
,sc/map.sc,wateranim2_dark_3x3,100,3,3
,sc/map.sc,wateranim3_dark_3x3,100,3,3
statue,sc/decos03_features.sc,SCID_statue,115,1,1
field tea,sc/nature_new.sc,map_crop_tea,110,1,1
Rose_white,sc/decos04_pathsandfences.sc,fence_roses_white_pole,180,1,1
Horse topiary,sc/decos01_generic.sc,flowerbed_1x1_2,160,1,1
field pumpkin,sc/nature_new.sc,map_crop_pumpkin,120,1,1
AcaciaTreeSmall,sc/decos03_features.sc,acacia_tree_small,70,1,1
PalmTree,sc/decos03_features.sc,palm_tree,70,1,1
fish_jump_2x4,sc/map.sc,wateranim4_fishjump_2x4,100,2,4
fish_jump_4x2,sc/map.sc,wateranim4_fishjump_4x2,100,4,2
fish_jump_2x2,sc/map.sc,wateranim4_fishjump_2x2,100,2,2
seagull_2x2,sc/map.sc,wateranim4_seagull_2x2,100,2,2
