Name,TID,GameObject,Part,FileName,ExportName,TintPart,MulColorR,MulColorG,MulColorB,AddColorR,AddColorG,AddColorB,Price,DiamondPrice,Vouchers,VoucherCount,Default,Disabled,TutorialPart,BuyBackCoinPrice,ExcludeFromNormalStock
BodyHotrodJoker,TID_BODY_HOTROD_JOKER,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_hotrod,TintBody,100,100,50,0,50,15,,,Voucher1,15,,,,,
,,,,,,TintRadiator,0,90,80,0,0,10,,,Voucher3,5,,,,,
,,,,,,TintBodyBk,40,50,50,50,10,50,,,,,,,,,
,,,,,,DetailTint01,40,50,50,50,10,50,,,,,,,,,
BodyHotrodYellow,TID_BODY_HOTROD_YELLOW,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_hotrod,TintBody,100,100,50,90,60,0,,,Voucher1,50,,,,,
,,,,,,TintRadiator,70,70,70,0,0,10,,,Voucher4,5,,,,,
,,,,,,TintBodyBk,70,70,70,0,0,10,,,,,,,,,
,,,,,,DetailTint01,70,70,70,0,0,10,,,,,,,,,
BodyHotrodVintageBlack,TID_BODY_HOTROD_VINTAGE_BLACK,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_hotrod,TintBody,70,70,70,0,0,10,250000,,,,,,,,
,,,,,,TintRadiator,90,100,60,65,0,0,,,,,,,,,
,,,,,,TintBodyBk,90,100,60,65,0,0,,,,,,,,,
,,,,,,DetailTint01,90,100,60,65,0,0,,,,,,,,,
BodyHotrodVintageWhite,TID_BODY_HOTROD_VINTAGE_WHITE,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_hotrod,TintBody,100,100,100,80,80,50,,,Voucher2,80,,,,,
,,,,,,TintRadiator,90,100,60,65,0,0,,,Voucher4,5,,,,,
,,,,,,TintBodyBk,90,100,60,65,0,0,,,,,,,,,
,,,,,,DetailTint01,90,100,60,65,0,0,,,,,,,,,
BodyFadeSunrise,TID_BODY_FADE_SUNRISE,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_fadeout,TintBody,80,20,80,15,15,15,,30,,,,,,300000,
,,,,,,TintRadiator,100,100,50,90,60,0,,,,,,,,,
,,,,,,TintBodyBk,80,20,80,15,15,15,,,,,,,,,
,,,,,,DetailTint01,100,100,50,90,60,0,,,,,,,,,
BodyFadeDay,TID_BODY_FADE_DAY,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_fadeout,TintBody,0,100,100,0,40,90,170000,,,,,,,,
,,,,,,TintRadiator,0,25,75,0,50,20,,,,,,,,,
,,,,,,TintBodyBk,0,100,100,0,40,90,,,,,,,,,
,,,,,,DetailTint01,0,25,100,0,50,20,,,,,,,,,
BodyFadeSunset,TID_BODY_FADE_SUNSET,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_fadeout,TintBody,0,70,100,0,0,60,425000,,,,,,,,
,,,,,,TintRadiator,100,80,70,65,0,0,,,,,,,,,
,,,,,,TintBodyBk,0,70,100,0,0,60,,,,,,,,,
,,,,,,DetailTint01,100,80,70,65,0,0,,,,,,,,,
BodyFadeNight,TID_BODY_FADE_NIGHT,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_fadeout,TintBody,70,70,70,0,0,10,,,Voucher2,50,,,,,
,,,,,,TintRadiator,70,70,70,0,0,10,,,,,,,,,
,,,,,,TintBodyBk,70,70,70,0,0,10,,,,,,,,,
,,,,,,DetailTint01,100,100,100,0,0,0,,,,,,,,,
BodyFasterStripesTeal,TID_BODY_FASTER_STRIPES_TEAL,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_fasterstripes,TintBody,0,90,80,0,0,10,,15,,,,,,150000,
,,,,,,TintRadiator,0,80,80,0,0,0,,,,,,,,,
,,,,,,TintBodyBk,0,80,80,0,0,0,,,,,,,,,
,,,,,,DetailTint01,100,100,100,80,80,50,,,,,,,,,
BodyFasterStripesYellow,TID_BODY_FASTER_STRIPES_YELLOW,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_fasterstripes,TintBody,100,100,50,90,60,0,,,Voucher1,20,,,TRUE,,
,,,,,,TintRadiator,100,100,50,90,60,0,,,,,,,,,
,,,,,,TintBodyBk,100,100,50,90,60,0,,,,,,,,,
,,,,,,DetailTint01,50,50,50,0,0,10,,,,,,,,,
BodyFasterStripesSalmon,TID_BODY_FASTER_STRIPES_SALMON,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_fasterstripes,TintBody,100,100,50,80,0,50,120000,,,,,,,,
,,,,,,TintRadiator,100,100,50,80,0,50,,,,,,,,,
,,,,,,TintBodyBk,100,100,50,80,0,50,,,,,,,,,
,,,,,,DetailTint01,100,100,100,80,80,50,,,,,,,,,
BodyFasterStripesOrange,TID_BODY_FASTER_STRIPES_ORANGE,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_fasterstripes,TintBody,80,80,0,80,10,0,,,Voucher1,30,,,,,
,,,,,,TintRadiator,80,80,0,80,10,0,,,Voucher2,10,,,,,
,,,,,,TintBodyBk,80,80,0,80,10,0,,,,,,,,,
,,,,,,DetailTint01,50,50,50,0,0,0,,,,,,,,,
BodyFasterStripesRacingGreen,TID_BODY_FASTER_STRIPES_RACING_GREEN,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_fasterstripes,TintBody,0,90,20,0,20,20,,,Voucher1,50,,,,,
,,,,,,TintRadiator,0,90,20,0,20,20,,,Voucher2,15,,,,,
,,,,,,TintBodyBk,0,90,20,0,20,20,,,,,,,,,
,,,,,,DetailTint01,100,100,100,80,80,50,,,,,,,,,
BodyFlameonPurple,TID_BODY_FLAMEON_PURPLE,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_flameon,TintBody,40,50,50,50,10,50,,35,,,,,,350000,
,,,,,,TintRadiator,100,100,50,90,60,0,,,,,,,,,
,,,,,,TintBodyBk,40,50,50,50,10,50,,,,,,,,,
BodyFlameonOrange,TID_BODY_FLAMEON_ORANGE,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_flameon,TintBody,80,80,0,80,0,0,400000,,,,,,,,
,,,,,,TintRadiator,100,100,50,90,60,0,,,,,,,,,
,,,,,,TintBodyBk,80,80,0,80,0,0,,,,,,,,,
BodyFlameonBlack,TID_BODY_FLAMEON_BLACK,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_flameon,TintBody,60,60,60,0,0,10,500000,,,,,,,,
,,,,,,TintRadiator,60,60,60,0,0,10,,,,,,,,,
,,,,,,TintBodyBk,60,60,60,0,0,10,,,,,,,,,
BodyFlameonGreen,TID_BODY_FLAMEON_GREEN,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_flameon,TintBody,100,90,20,0,40,0,,,Voucher1,80,,,,,
,,,,,,TintRadiator,100,100,50,90,60,0,,,Voucher4,5,,,,,
,,,,,,TintBodyBk,100,90,20,0,40,0,,,,,,,,,
TrailerOriginalWhite,TID_TRAILER_ORIGINAL_WHITE,Truck,Trailer,sc/trucks_skins.sc,a<CAR_ANGLE>_trailer_origtint,Ttint01,100,100,100,80,80,50,,,Voucher1,60,,,,,
,,,,,,Ttint02,100,100,100,80,80,50,,,Voucher3,3,,,,,
,,,,,,Detail,50,55,45,65,10,0,,,,,,,,,
TrailerOriginalGreen,TID_TRAILER_ORIGINAL_GREEN,Truck,Trailer,sc/trucks_skins.sc,a<CAR_ANGLE>_trailer_origtint,Ttint01,0,90,20,0,20,20,1000,,,,TRUE,,,,
,,,,,,Ttint02,0,90,20,0,20,20,,,,,,,,,
,,,,,,Detail,100,100,100,0,0,0,,,,,,,,,
TrailerOriginalBlue,TID_TRAILER_ORIGINAL_BLUE,Truck,Trailer,sc/trucks_skins.sc,a<CAR_ANGLE>_trailer_origtint,Ttint01,10,100,100,0,0,40,415000,,,,,,,,
,,,,,,Ttint02,10,100,100,0,0,40,,,,,,,,,
,,,,,,Detail,40,40,40,0,0,20,,,,,,,,,
TrailerOriginalSeaFoam,TID_TRAILER_ORIGINAL_SEA_FOAM,Truck,Trailer,sc/trucks_skins.sc,a<CAR_ANGLE>_trailer_origtint,Ttint01,70,100,80,65,100,70,,,Voucher2,80,,,,,
,,,,,,Ttint02,70,100,80,65,100,70,,,Voucher3,5,,,,,
,,,,,,Detail,35,60,60,50,80,80,,,,,,,,,
TrailerOriginalBrown,TID_TRAILER_ORIGINAL_BROWN,Truck,Trailer,sc/trucks_skins.sc,a<CAR_ANGLE>_trailer_origtint,Ttint01,50,55,45,65,10,0,50000,,,,,,TRUE,,
,,,,,,Ttint02,50,55,45,65,10,0,,,,,,,,,
,,,,,,Detail,100,100,100,0,0,0,,,,,,,,,
TrailerOriginalPurple,TID_TRAILER_ORIGINAL_PURPLE,Truck,Trailer,sc/trucks_skins.sc,a<CAR_ANGLE>_trailer_origtint,Ttint01,60,70,70,50,10,50,50000,,,,,,,,
,,,,,,Ttint02,60,70,70,50,10,50,,,,,,,,,
,,,,,,Detail,100,100,60,0,10,60,,,,,,,,,
TrailerHotrodRed,TID_TRAILER_HOTROD_RED,Truck,Trailer,sc/trucks_skins.sc,a<CAR_ANGLE>_trailer_hotrod,Ttint01,100,20,10,30,0,0,,,Voucher2,5,,,,,
,,,,,,Ttint02,100,30,0,75,10,0,,,Voucher3,3,,,,,
TrailerHotrodYellow,TID_TRAILER_HOTROD_YELLOW,Truck,Trailer,sc/trucks_skins.sc,a<CAR_ANGLE>_trailer_hotrod,Ttint01,100,100,50,90,60,0,,,Voucher2,20,,,,,
,,,,,,Ttint02,100,100,50,90,60,0,,,Voucher4,5,,,,,
TrailerHotrodGreen,TID_TRAILER_HOTROD_GREEN,Truck,Trailer,sc/trucks_skins.sc,a<CAR_ANGLE>_trailer_hotrod,Ttint01,100,100,0,0,60,25,,,Voucher1,70,,,,,
,,,,,,Ttint02,100,100,0,0,60,25,,,Voucher4,10,,,,,
TrailerHotrodBlack,TID_TRAILER_HOTROD_BLACK,Truck,Trailer,sc/trucks_skins.sc,a<CAR_ANGLE>_trailer_hotrod,Ttint01,70,70,70,0,0,10,220000,,,,,,,,
,,,,,,Ttint02,70,70,70,0,0,10,,,,,,,,,
TrailerHotrodManPurple,TID_TRAILER_HOTROD_MAN_PURPLE,Truck,Trailer,sc/trucks_skins.sc,a<CAR_ANGLE>_trailer_hotrod,Ttint01,40,50,50,50,10,50,,25,,,,,,250000,
,,,,,,Ttint02,40,50,50,50,10,50,,,,,,,,,
TrailerHotrodRainbow,TID_TRAILER_HOTROD_RAINBOW,Truck,Trailer,sc/trucks_skins.sc,a<CAR_ANGLE>_trailer_hotrodrainbow,Ttint01,100,100,100,80,80,50,100,,,,,,,,
,,,,,,Ttint02,100,100,100,80,80,50,,,,,,,,,
TrailerHotrodRoof,TID_TRAILER_HOTROD_ROOF,Truck,Trailer,sc/trucks_skins.sc,a<CAR_ANGLE>_trailer_hotrodroof,Ttint01,10,100,100,0,0,40,320000,,,,,,,,
,,,,,,Ttint02,10,100,100,0,0,40,,,,,,,,,
,,,,,,Ttint03,100,100,100,80,80,50,,,,,,,,,
,,,,,,Stripe,100,100,100,80,80,50,,,,,,,,,
TrailerHotrodLobster,TID_TRAILER_HOTROD_LOBSTER,Truck,Trailer,sc/trucks_skins.sc,a<CAR_ANGLE>_trailer_hotrodroof,Ttint01,100,40,40,75,0,0,,35,,,,,,350000,
,,,,,,Ttint02,100,40,40,75,0,0,,,,,,,,,
,,,,,,Ttint03,100,100,50,90,60,0,,,,,,,,,
,,,,,,Stripe,100,100,50,90,60,0,,,,,,,,,
TrailerHotrodJoker,TID_TRAILER_HOTROD_JOKER,Truck,Trailer,sc/trucks_skins.sc,a<CAR_ANGLE>_trailer_hotrodroof,Ttint01,40,50,50,50,10,50,480000,,,,,,,,
,,,,,,Ttint02,40,50,50,50,10,50,,,,,,,,,
,,,,,,Ttint03,100,100,50,0,50,15,,,,,,,,,
,,,,,,Stripe,0,90,80,0,0,10,,,,,,,,,
TrailerHotrodVintage,TID_TRAILER_HOTROD_VINTAGE,Truck,Trailer,sc/trucks_skins.sc,a<CAR_ANGLE>_trailer_hotrodroof,Ttint01,80,80,80,10,60,30,,,Voucher1,50,,,,,
,,,,,,Ttint02,80,80,80,10,60,30,,,Voucher4,3,,,,,
,,,,,,Ttint03,100,100,100,80,80,50,,,,,,,,,
,,,,,,Stripe,90,100,60,65,0,0,,,,,,,,,
TrailerWoodenFlatbed1,TID_TRAILER_WOODEN_FLATBED1,Truck,Trailer,sc/trucks_skins.sc,a<CAR_ANGLE>_trailer_flatbed,Ttint01,100,100,100,0,0,0,,15,,,,,,150000,
,,,,,,Ttint02,100,100,100,0,0,0,,,,,,,,,
TrailerWoodenFlatbed2,TID_TRAILER_WOODEN_FLATBED2,Truck,Trailer,sc/trucks_skins.sc,a<CAR_ANGLE>_trailer_flatbed,Ttint01,50,50,50,0,0,0,,,Voucher1,40,,,,,
,,,,,,Ttint02,50,50,50,0,0,0,,,,,,,,,
WheelsRedandGoldBlingGrey,TID_WHEELS_REDAND_GOLD_BLING_GREY,Truck,Wheels,sc/trucks_skins.sc,a<CAR_ANGLE>_wheels_redandgold,WheelTint01,65,65,65,0,0,0,,,Voucher1,80,,,,,
,,,,,,,,,,,,,,,Voucher2,20,,,,,
WheelsRedandGoldBlingRubber,TID_WHEELS_REDAND_GOLD_BLING_RUBBER,Truck,Wheels,sc/trucks_skins.sc,a<CAR_ANGLE>_wheels_redandgold,WheelTint01,100,100,0,30,0,0,450000,,,,,,,,
WheelsOriginalChrome,TID_WHEELS_ORIGINAL_CHROME,Truck,Wheels,sc/trucks_skins.sc,a<CAR_ANGLE>_wheels_original,WheelTint01,80,90,90,0,20,20,1000,,,,TRUE,,,,
WheelsOriginalRef,TID_WHEELS_ORIGINAL_REF,Truck,Wheels,sc/trucks_skins.sc,a<CAR_ANGLE>_wheels_original,WheelTint01,80,40,10,55,0,40,,10,,,,,,100000,
WheelsOriginalGold,TID_WHEELS_ORIGINAL_GOLD,Truck,Wheels,sc/trucks_skins.sc,a<CAR_ANGLE>_wheels_original,WheelTint01,100,100,50,90,60,0,,,Voucher1,15,,,TRUE,,
,,,,,,,,,,,,,,,Voucher4,1,,,,,
WheelsOriginalBrown,TID_WHEELS_ORIGINAL_BROWN,Truck,Wheels,sc/trucks_skins.sc,a<CAR_ANGLE>_wheels_original,WheelTint01,40,70,40,50,80,50,200000,,,,,,,,
WheelsOriginalDark,TID_WHEELS_ORIGINAL_DARK,Truck,Wheels,sc/trucks_skins.sc,a<CAR_ANGLE>_wheels_original,WheelTint01,60,60,100,0,0,70,70000,,,,,,,,
WheelsHotrodRed,TID_WHEELS_HOTROD_RED,Truck,Wheels,sc/trucks_skins.sc,a<CAR_ANGLE>_wheels_hotrod,WheelTint01,100,100,100,0,0,0,,,Voucher1,30,,,,,
,,,,,,WheelTint02,100,0,0,0,0,0,,,Voucher2,15,,,,,
WheelsHotrodBlack,TID_WHEELS_HOTROD_BLACK,Truck,Wheels,sc/trucks_skins.sc,a<CAR_ANGLE>_wheels_hotrod,WheelTint01,50,50,50,0,0,0,175000,,,,,,,,
,,,,,,WheelTint02,50,50,50,0,0,0,,,,,,,,,
WheelsHotrodWhite,TID_WHEELS_HOTROD_WHITE,Truck,Wheels,sc/trucks_skins.sc,a<CAR_ANGLE>_wheels_hotrod,WheelTint01,100,100,100,80,80,40,,,Voucher1,50,,,,,
,,,,,,WheelTint02,40,70,40,50,80,50,,,Voucher3,5,,,,,
WheelsHotrodCopper,TID_WHEELS_HOTROD_COPPER,Truck,Wheels,sc/trucks_skins.sc,a<CAR_ANGLE>_wheels_hotrod,WheelTint01,100,80,30,45,10,10,100,,,,,,,,
,,,,,,WheelTint02,100,80,30,45,10,10,,,,,,,,,
WheelsHotrodTeal,TID_WHEELS_HOTROD_TEAL,Truck,Wheels,sc/trucks_skins.sc,a<CAR_ANGLE>_wheels_hotrod,WheelTint01,30,60,60,30,90,90,,,Voucher2,5,,,,,
,,,,,,WheelTint02,40,40,40,0,0,0,,,Voucher3,5,,,,,
WheelsSpokesChrome,TID_WHEELS_SPOKES_CHROME,Truck,Wheels,sc/trucks_skins.sc,a<CAR_ANGLE>_wheels_greyspokes,WheelTint01,80,90,90,0,20,20,120000,,,,,,,,
WheelsSpokesGold,TID_WHEELS_SPOKES_GOLD,Truck,Wheels,sc/trucks_skins.sc,a<CAR_ANGLE>_wheels_greyspokes,WheelTint01,100,100,50,90,60,0,,20,,,,,,200000,
WheelsSpokesJoker,TID_WHEELS_SPOKES_JOKER,Truck,Wheels,sc/trucks_skins.sc,a<CAR_ANGLE>_wheels_greyspokes,WheelTint01,40,50,50,50,10,50,250000,,,,,,,,
WheelsSpokesTeal,TID_WHEELS_SPOKES_TEAL,Truck,Wheels,sc/trucks_skins.sc,a<CAR_ANGLE>_wheels_greyspokes,WheelTint01,0,90,80,0,0,10,,,Voucher1,10,,,,,
,,,,,,,,,,,,,,,Voucher2,10,,,,,
WheelsSpokesBarbie,TID_WHEELS_SPOKES_BARBIE,Truck,Wheels,sc/trucks_skins.sc,a<CAR_ANGLE>_wheels_greyspokes,WheelTint01,100,70,100,70,0,0,,25,,,,,,250000,
WheelsSpokesWooden,TID_WHEELS_SPOKES_WOODEN,Truck,Wheels,sc/trucks_skins.sc,a<CAR_ANGLE>_wheels_greyspokes,WheelTint01,40,40,40,40,0,0,,,Voucher1,30,,,,,
WheelsHotWheels,TID_WHEELS_HOT_WHEELS,Truck,Wheels,sc/trucks_skins.sc,a<CAR_ANGLE>_wheels_hotwheels,WheelTint01,100,100,100,0,0,0,,,Voucher2,30,,,,,
BodyRustyYellow,TID_BODY_RUSTY_YELLOW,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_rusty,TintBody,100,100,50,50,50,0,,40,,,,,,400000,
,,,,,,TintRadiator,100,100,100,50,50,0,,,,,,,,,
,,,,,,DetailTint01,100,100,0,0,0,0,,,,,,,,,
BodyRustyRed,TID_BODY_RUSTY_RED,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_rusty,TintBody,80,40,10,50,20,0,80000,,,,,,,,
,,,,,,TintRadiator,100,100,100,50,50,0,,,,,,,,,
,,,,,,DetailTint01,100,60,50,0,0,0,,,,,,,,,
BodyRustyBlue,TID_BODY_RUSTY_BLUE,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_rusty,TintBody,80,100,100,0,0,0,,,Voucher1,30,,,,,
,,,,,,TintRadiator,100,100,100,50,50,0,,,Voucher3,15,,,,,
,,,,,,DetailTint01,80,100,100,0,0,0,,,,,,,,,
BodyRustyPink,TID_BODY_RUSTY_PINK,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_rusty,TintBody,100,100,60,50,0,50,,,Voucher1,5,,,,,
,,,,,,TintRadiator,100,100,60,50,0,0,,,Voucher2,10,,,,,
,,,,,,DetailTint01,70,70,50,50,0,50,,,,,,,,,
TrailerBirthday,TID_CUSTOMIZATION_BIRTHDAY2021,Truck,Trailer,sc/trucks_skins.sc,a<CAR_ANGLE>_trailer_origtint_birthday,,,,,0,0,,30000,,,,,,,,TRUE
BodyBirthDay,TID_CUSTOMIZATION_BIRTHDAY2021,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_orig_birthday,,,,,,,,,,Voucher1,20,,,,,TRUE
,,,,,,,,,,,,,,,Voucher4,3,,,,,
WheelsBirthday,TID_CUSTOMIZATION_BIRTHDAY2021,Truck,Wheels,sc/trucks_skins.sc,a<CAR_ANGLE>_wheels_birthday,,,,,,,,,5,,,,,,50000,TRUE
TrailerHalloween21,TID_CUSTOMIZATION_HALLOWEEN2021,Truck,Trailer,sc/trucks_skins.sc,a<CAR_ANGLE>_trailer_hotrodroof_halloween21,,,,,,,,,5,,,,,,50000,TRUE
BodyHalloween21,TID_CUSTOMIZATION_HALLOWEEN2021,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_halloween21,,,,,,,,20000,,,,,,,,TRUE
WheelsBirthday22,TID_CUSTOMIZATION_BIRTHDAY2022,Truck,Wheels,sc/trucks_skins.sc,a<CAR_ANGLE>_wheels_birthday22,,,,,,,,,5,,,,,,50000,TRUE
TrailerBirthday22,TID_CUSTOMIZATION_BIRTHDAY2022,Truck,Trailer,sc/trucks_skins.sc,a<CAR_ANGLE>_trailer_hotrod_birthday22,,,,,,,,30000,,,,,,,50000,TRUE
BodyBirthday22,TID_CUSTOMIZATION_BIRTHDAY2022,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_birthday22,,,,,,,,,,Voucher1,15,,,,,TRUE
,,,,,,,,,,,,,,,Voucher4,5,,,,,
WheelsHalloween22,TID_CUSTOMIZATION_HALLOWEEN2022,Truck,Wheels,sc/trucks_skins.sc,a<CAR_ANGLE>_wheels_greyspokes,,,,,,,,25000,,,,,,,,TRUE
TrailerHalloween22,TID_CUSTOMIZATION_HALLOWEEN2022,Truck,Trailer,sc/trucks_skins.sc,a<CAR_ANGLE>_trailer_hotrodroof_halloween22,,,,,,,,,10,,,,,,100000,TRUE
BodyHalloween22,TID_CUSTOMIZATION_HALLOWEEN2022,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_halloween22,,,,,,,,,,Voucher1,15,,,,,TRUE
,,,,,,,,,,,,,,,Voucher2,5,,,,,
,,,,,,,,,,,,,,,,,,,,,
WheelsWinter22,TID_CUSTOMIZATION_WINTER2022,Truck,Wheels,sc/trucks_skins.sc,a<CAR_ANGLE>_wheels_xmas22,,,,,,,,20000,,,,,,,,TRUE
TrailerWinter22,TID_CUSTOMIZATION_WINTER2022,Truck,Trailer,sc/trucks_skins.sc,a<CAR_ANGLE>_trailer_flatbed_xmas22,,,,,,,,40000,,,,,,,,TRUE
BodyWinter22,TID_CUSTOMIZATION_WINTER2022,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_xmas22,,,,,,,,,15,,,,,,150000,TRUE
,,,,,,,,,,,,,,,,,,,,,
WheelsBirthday23,TID_CUSTOMIZATION_BIRTHDAY2023,Truck,Wheels,sc/trucks_skins.sc,a<CAR_ANGLE>_wheels_hotwheels_birthday23,,,,,,,,30000,,,,,,,,TRUE
TrailerBirthday23,TID_CUSTOMIZATION_BIRTHDAY2023,Truck,Trailer,sc/trucks_skins.sc,a<CAR_ANGLE>_trailer_hotrod_birthday23,,,,,,,,,,Voucher4,5,,,,,TRUE
,,,,,,,,,,,,,,,Voucher1,20,,,,,
BodyBirthday23,TID_CUSTOMIZATION_BIRTHDAY2023,Truck,TintBody,sc/trucks_skins.sc,a<CAR_ANGLE>_truckchassis_birthday23,,,,,,,,,15,,,,,,150000,TRUE
,,,,,,,,,,,,,,,,,,,,,
WheelsWinter23,TID_CUSTOMIZATION_WINTER2023,Truck,Wheels,sc/trucks_skins.sc,a<CAR_ANGLE>_wheels_carriagewheels_xmas23,,,,,,,,30000,,,,,,,,TRUE
TrailerWinter23,TID_CUSTOMIZATION_WINTER2023,Truck,Trailer,sc/trucks_skins.sc,a<CAR_ANGLE>_trailer_canopyroof_xmas23,,,,,,,,,15,,,,,,150000,TRUE
