Name,TID,GameObject,Part,FileName,ExportName,TintPart,MulColorR,MulColorG,MulColorB,AddColorR,AddColorG,AddColorB,Price,DiamondPrice,Vouchers,VoucherCount,Default,Disabled,TutorialPart,BuyBackCoinPrice,PartSortOrder,HiddenParts,ExcludeFromNormalStock
BaseBuntingPink,TID_BASE_BUNTING_PINK,RoadsideShop,Base,sc/rss_skins.sc,rss_base_bunting,BaseTint01,100,80,60,80,80,40,,35,,,,,,350000,,,
,,,,,,FlagTint01,100,70,100,70,0,0,,,,,,,,,,,
,,,,,,FlagTint02,100,100,50,90,60,0,,,,,,,,,,,
,,,,,,BaseTint04,100,60,0,110,110,0,,,,,,,,,,,
BaseBuntingYellowNBlue,TID_BASE_BUNTING_YELLOWNBLUE,RoadsideShop,Base,sc/rss_skins.sc,rss_base_bunting,BaseTint01,100,80,60,80,80,40,,,Voucher2,30,,,,,,,
,,,,,,FlagTint01,0,90,80,0,0,10,,,Voucher4,3,,,,,,,
,,,,,,FlagTint02,100,80,0,100,90,0,,,,,,,,,,,
,,,,,,BaseTint04,50,80,100,50,100,100,,,,,,,,,,,
BaseBuntingBlue,TID_BASE_BUNTING_BLUE,RoadsideShop,Base,sc/rss_skins.sc,rss_base_bunting,BaseTint01,100,100,100,80,80,70,400000,,,,,,,,,,
,,,,,,FlagTint01,50,70,70,0,10,70,,,,,,,,,,,
,,,,,,FlagTint02,80,80,80,0,80,100,,,,,,,,,,,
,,,,,,BaseTint04,70,80,100,50,100,100,,,,,,,,,,,
BaseTiles02CheckOrange,TID_BASE_TILES02_CHECK_ORANGE,RoadsideShop,Base,sc/rss_skins.sc,rss_base_tiles02_check,BaseTint01,100,70,60,90,50,0,,20,,,,,,200000,,,
,,,,,,BaseTint02,90,90,90,80,80,50,,,,,,,,,,,
,,,,,,BaseTint03,100,70,60,90,50,0,,,,,,,,,,,
,,,,,,BaseTint04,50,50,50,100,50,0,,,,,,,,,,,
BaseTiles02CheckBrown,TID_BASE_TILES02_CHECK_BROWN,RoadsideShop,Base,sc/rss_skins.sc,rss_base_tiles02_check,BaseTint01,100,100,100,80,80,50,90000,,,,,,,,,,
,,,,,,BaseTint02,40,45,40,70,10,0,,,,,,,,,,,
,,,,,,BaseTint03,60,65,60,70,10,0,,,,,,,,,,,
,,,,,,BaseTint04,40,45,40,70,10,0,,,,,,,,,,,
BaseTiles02CheckBlacknWhite,TID_BASE_TILES02_CHECK_DARKBLUE,RoadsideShop,Base,sc/rss_skins.sc,rss_base_tiles02_check,BaseTint01,90,90,90,80,80,50,,,Voucher2,30,,,,,,,
,,,,,,BaseTint02,20,50,60,0,15,15,,,Voucher3,5,,,,,,,
,,,,,,BaseTint03,90,90,90,80,80,50,,,,,,,,,,,
,,,,,,BaseTint04,30,60,70,0,15,15,,,,,,,,,,,
BaseTiles02CheckBlueNWhite,TID_BASE_TILES02_CHECK_BLUENWHITE,RoadsideShop,Base,sc/rss_skins.sc,rss_base_tiles02_check,BaseTint01,50,70,70,0,10,40,250000,,,,,,,,,,
,,,,,,BaseTint02,90,90,90,80,80,50,,,,,,,,,,,
,,,,,,BaseTint03,50,70,70,0,10,50,,,,,,,,,,,
,,,,,,BaseTint04,40,60,60,0,10,30,,,,,,,,,,,
BaseTiles02CheckGreenNGreen,TID_BASE_TILES02_CHECK_GREENNGREEN,RoadsideShop,Base,sc/rss_skins.sc,rss_base_tiles02_check,BaseTint01,80,80,80,10,60,30,,,Voucher1,10,,,TRUE,,,,
,,,,,,BaseTint02,100,100,100,10,60,30,,,,,,,,,,,
,,,,,,BaseTint03,80,80,80,10,60,30,,,,,,,,,,,
,,,,,,BaseTint04,100,100,100,10,60,30,,,,,,,,,,,
BaseWoodNStrawYellow,TID_BASE_WOODNSTRAW_YELLOW,RoadsideShop,Base,sc/rss_skins.sc,rss_base_woodandstraw,BaseTint01,90,90,50,90,50,0,450000,,,,,,,,,,
,,,,,,BaseTint02,90,70,50,0,0,0,,,,,,,,,,,
,,,,,,BaseTint03,90,90,50,90,50,0,,,,,,,,,,,
BaseWoodNStrawDark,TID_BASE_WOODNSTRAW_DARK,RoadsideShop,Base,sc/rss_skins.sc,rss_base_woodandstraw,BaseTint01,90,90,50,30,0,0,200000,,,,,,,,,,
,,,,,,BaseTint02,90,70,50,0,0,0,,,,,,,,,,,
,,,,,,BaseTint03,90,90,50,30,0,0,,,,,,,,,,,
BaseWoodNStrawGreen,TID_BASE_WOODNSTRAW_GREEN,RoadsideShop,Base,sc/rss_skins.sc,rss_base_woodandstraw,BaseTint01,100,85,50,0,50,0,,,Voucher1,40,,,,,,,
,,,,,,BaseTint02,90,70,50,0,0,0,,,,,,,,,,,
,,,,,,BaseTint03,100,85,50,0,50,0,,,,,,,,,,,
BaseTarroof original,TID_BASE_TILES03_STONES_ORIGINAL,RoadsideShop,Base,sc/rss_skins.sc,rss_base_tiles03_stones,,,,,,,,,,Voucher1,65,,,,,,,
,,,,,,,,,,,,,,,Voucher2,20,,,,,,,
BaseTIles01PlainPurple,TID_BASE_TILES01_PLAIN_PURPLE,RoadsideShop,Base,sc/rss_skins.sc,rss_base_tiles01_plain,BaseTint01,75,60,70,40,0,0,250000,,,,,,,,,,
,,,,,,BaseTint02,75,60,70,40,0,0,,,,,,,,,,,
BaseTIles01PlainWhite,TID_BASE_TILES01_PLAIN_WHITE,RoadsideShop,Base,sc/rss_skins.sc,rss_base_tiles01_plain,BaseTint01,90,90,90,80,80,50,,15,,,,,,150000,,,
,,,,,,BaseTint02,90,90,90,80,80,50,,,,,,,,,,,
BaseTIles01PlainMoodyBlue,TID_BASE_TILES01_PLAIN_MOODYBLUE,RoadsideShop,Base,sc/rss_skins.sc,rss_base_tiles01_plain,BaseTint01,65,80,90,0,5,30,,,Voucher1,10,,,,,,,
,,,,,,BaseTint02,65,80,90,0,5,30,,,Voucher2,5,,,,,,,
BaseTIles01PlainKindaGreen,TID_BASE_TILES01_PLAIN_KINDAGREEN,RoadsideShop,Base,sc/rss_skins.sc,rss_base_tiles01_plain,BaseTint01,80,100,65,80,50,0,,,Voucher1,50,,,,,,,
,,,,,,BaseTint02,80,100,65,80,50,0,,,,,,,,,,,
BaseSanctuary,TID_BASE_SANCTUARY,RoadsideShop,Base,sc/rss_skins.sc,rss_base_sanctuary,,,,,,,,100,,,,,,,,,,
CratesOriginal,TID_CRATES_ORIGINAL,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_original,BaseTint01,100,90,90,20,10,10,1000,,,,TRUE,,,,,,
,,,,,,BaseTint02,100,65,35,20,0,0,,,,,,,,,,,
CratesStripedOrange,TID_CRATES_STRIPED_ORANGE,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_striped,CratesTint01,75,75,75,130,75,0,,999,,,,TRUE,,9990000,,,
,,,,,,CratesTint02,100,100,100,85,85,85,,,,,,,,,,,
CratesStripeblue,TID_CRATES_STRIPED_BLUE,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_striped,CratesTint01,80,80,80,0,55,65,,999,,,,TRUE,,9990000,,,
,,,,,,CratesTint02,80,80,100,0,80,100,,,,,,,,,,,
CratesStripegreen,TID_CRATES_STRIPED_GREEN,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_striped,CratesTint01,50,100,50,50,50,50,,999,,,,TRUE,,9990000,,,
,,,,,,CratesTint02,80,100,80,40,80,40,,,,,,,,,,,
CratesStripepinkwhite,TID_CRATES_STRIPED_PINKWHITE,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_striped,CratesTint01,5,5,5,255,150,200,,999,,,,TRUE,,9990000,,,
,,,,,,CratesTint02,80,95,75,100,80,120,,,,,,,,,,,
CratesRainbow,TID_CRATES_RAINBOW,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_rainbow,,,,,,,,,45,,,,,,450000,,,
CratesWood03LogsBrown,TID_CRATES_WOOD03_LOGS_BROWN,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_wood03_logs,CratesTint01,60,40,10,0,0,0,,,Voucher1,20,,,,,,,
,,,,,,CratesTint02,100,70,40,20,20,20,,,,,,,,,,,
CratesWood03LogsPink,TID_CRATES_WOOD03_LOGS_PINK,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_wood03_logs,CratesTint01,100,80,60,0,0,0,250000,,,,,,,,,,
,,,,,,CratesTint02,100,80,85,50,0,0,,,,,,,,,,,
CratesWood03Logs1Blue,TID_CRATES_WOOD03_LOGS_BLUE,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_wood03_logs,CratesTint01,90,90,90,40,40,20,,25,,,,,,250000,,,
,,,,,,CratesTint02,30,60,60,20,20,20,,,,,,,,,,,
CratesWood04FencefWhite,TID_CRATES_WOOD04_FENCE_WHITE,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_wood04_fence,CratesTint01,100,100,100,50,50,50,450000,,,,,,,,,,
,,,,,,CratesTint02,100,100,100,50,50,50,,,,,,,,,,,
CratesWood04FenceOldGreen,TID_CRATES_WOOD04_FENCE_OLDGREEN,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_wood04_fence,CratesTint01,80,80,80,10,60,30,,,Voucher1,40,,,,,,,
,,,,,,CratesTint02,60,60,60,10,60,30,,,Voucher3,5,,,,,,,
CratesWood04FencefPurple,TID_CRATES_WOOD04_FENCE_PURPLE,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_wood04_fence,CratesTint01,40,50,50,50,10,50,150000,,,,,,,,,,
,,,,,,CratesTint02,30,40,40,50,10,50,,,,,,,,,,,
CratesWood04FencefLightBrown,TID_CRATES_WOOD04_FENCE_LIGHTBROWN,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_wood04_fence,CratesTint01,55,55,50,50,0,0,,,Voucher2,10,,,,,,,
,,,,,,CratesTint02,55,55,50,50,0,0,,,,,,,,,,,
CratesChunkyPlasticRed,TID_CRATES_CHUNKYPLASTIC_RED,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_chunkyplastic,CratesTint01,100,40,10,55,0,40,,,Voucher2,30,,,,,,,
,,,,,,CratesTint02,100,45,0,100,100,50,,,,,,,,,,,
CratesChunkyPlasticBlueP,TID_CRATES_CHUNKYPLASTIC_BLUEP,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_chunkyplastic,CratesTint01,80,80,80,0,80,100,75000,,,,,,,,,,
,,,,,,CratesTint02,80,80,80,0,80,100,,,,,,,,,,,
CratesChunkyPlasticBright,TID_CRATES_CHUNKYPLASTIC_BRIGHT,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_chunkyplastic,CratesTint01,100,100,50,90,60,0,,,Voucher1,75,,,,,,,
,,,,,,CratesTint02,50,70,70,0,10,70,,,Voucher4,5,,,,,,,
CratesChunkyPlasticOldGreen,TID_CRATES_CHUNKYPLASTIC_OLDGREEN,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_chunkyplastic,CratesTint01,40,40,40,10,60,30,,,Voucher1,15,,,,,,,
,,,,,,CratesTint02,80,80,80,10,60,30,,,,,,,,,,,
CratesChunkyPlasticBarbie,TID_CRATES_CHUNKYPLASTIC_BARBIE,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_chunkyplastic,CratesTint01,100,70,100,70,0,0,500000,,,,,,,,,,
,,,,,,CratesTint02,100,70,100,70,0,0,,,,,,,,,,,
CratesChunkyPlasticWhite,TID_CRATES_CHUNKYPLASTIC_WHITE,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_chunkyplastic,CratesTint01,70,80,40,55,0,0,,,Voucher1,50,,,,,,,
,,,,,,CratesTint02,100,100,100,80,80,50,,,,,,,,,,,
CratesChunkyPlasticGarden,TID_CRATES_CHUNKYPLASTIC_GARDEN,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_chunkyplastic,CratesTint01,80,80,80,10,60,30,,35,,,,,,350000,,,
,,,,,,CratesTint02,100,80,70,65,0,0,,,,,,,,,,,
CratesChunkyPlasticBlue,TID_CRATES_CHUNKYPLASTIC_BLUE,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_chunkyplastic,CratesTint01,100,100,100,80,80,80,200000,,,,,,,,,,
,,,,,,CratesTint02,50,70,70,0,10,70,,,,,,,,,,,
CratesBuntingYellow,TID_CRATES_BUNTING_YELLOW,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_bunting,CratesTint01,100,100,50,90,60,0,,15,,,,,,150000,,,
,,,,,,CratesTint02,100,100,50,90,60,0,,,,,,,,,,,
CratesBuntingPink,TID_CRATES_BUNTING_PINK,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_bunting,CratesTint01,100,60,90,40,0,0,,,Voucher1,50,,,,,,,
,,,,,,CratesTint02,100,60,90,40,0,0,,,Voucher2,15,,,,,,,
CratesBuntingGreen,TID_CRATES_BUNTING_GREEN,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_bunting,CratesTint01,0,90,80,0,0,10,90000,,,,,,,,,,
,,,,,,CratesTint02,0,90,80,0,0,10,,,,,,,,,,,
CratesBuntingBlue,TID_CRATES_BUNTING_BLUE,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_bunting,CratesTint01,50,70,70,0,10,70,275000,,,,,,,,,,
,,,,,,CratesTint02,50,70,70,0,10,70,,,,,,,,,,,
CratesWood05TarpYellow,TID_CRATES_WOOD05_TARP_YELLOW,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_wood05_tarp,CratesTint01,95,100,75,80,50,0,100000,,,,,,,,,,
,,,,,,CratesTint02,95,100,75,80,50,0,,,,,,,,,,,
,,,,,,CratesTint03,80,55,35,0,0,0,,,,,,,,,,,
CratesWood05TarpSalmon,TID_CRATES_WOOD05_TARP_SALMON,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_wood05_tarp,CratesTint01,90,60,40,90,30,30,,,Voucher1,80,,,,,,,
,,,,,,CratesTint02,90,60,40,90,30,30,,,,,,,,,,,
,,,,,,CratesTint03,80,75,40,60,20,0,,,,,,,,,,,
CratesWood05TarpGreen,TID_CRATES_WOOD05_TARP_GREEN,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_wood05_tarp,CratesTint01,40,40,40,50,80,50,300000,,,,,,TRUE,,,,
,,,,,,CratesTint02,40,40,40,50,80,50,,,,,,,,,,,
,,,,,,CratesTint03,45,45,50,70,20,0,,,,,,,,,,,
CratesWood05TarpVintage,TID_CRATES_WOOD05_TARP_VINTAGE,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_wood05_tarp,CratesTint01,90,90,90,80,80,70,50000,,,,,,,,,,
,,,,,,CratesTint02,90,90,90,80,80,70,,,,,,,,,,,
,,,,,,CratesTint03,75,80,80,0,30,30,,,,,,,,,,,
CratesWood05TarpOlive,TID_CRATES_WOOD05_TARP_OLIVE,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_wood05_tarp,CratesTint01,80,80,0,40,30,0,,,Voucher1,60,,,,,,,
,,,,,,CratesTint02,80,80,0,40,30,0,,,,,,,,,,,
,,,,,,CratesTint03,100,80,60,0,0,0,,,,,,,,,,,
CratesOriginalGreen,TID_CRATES_ORIGINAL_GREEN,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_original,CratesTint01,60,60,40,0,40,10,100,,,,,,,,,,
,,,,,,CratesTint02,100,90,90,70,50,0,,,,,,,,,,,
CratesOriginaBluedark,TID_CRATES_ORIGINAL_BLUEDARK,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_original,CratesTint01,45,45,50,70,20,0,,,Voucher1,30,,,,,,,
,,,,,,CratesTint02,30,60,60,0,0,0,,,Voucher2,20,,,,,,,
CratesOriginalPurple,TID_CRATES_ORIGINAL_PURPLE,RoadsideShop,Crates,sc/rss_skins.sc,rss_crates_original,CratesTint01,80,65,65,70,50,0,,20,,,,,,200000,,,
,,,,,,CratesTint02,30,40,50,70,0,30,,,,,,,,,,,
MarqueesOriginalPinkYellow,TID_MARQUEES_ORIGINAL_PINKYELLOW,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_original,RoofTint01,100,100,100,100,0,40,450000,,,,,,,,,,
,,,,,,RoofTint02,100,100,80,90,90,0,,,,,,,,,,,
MarqueesOriginalBlueYellow,TID_MARQUEES_ORIGINAL_BLUEYELLOW,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_original,RoofTint01,10,100,100,0,0,40,200000,,,,,,,,,,
,,,,,,RoofTint02,100,100,50,90,60,0,,,,,,,,,,,
MarqueesOriginalOrange,TID_MARQUEES_ORIGINAL_ORANGEWHITE,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_original,RoofTint01,100,45,0,100,100,50,,,Voucher1,60,,,,,,,
,,,,,,RoofTint02,100,100,100,100,100,100,,,,,,,,,,,
MarqueesOriginalPurpleBlue,TID_MARQUEES_ORIGINAL_PURPLEBLUE,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_original,RoofTint01,50,60,60,50,10,50,,,Voucher2,40,,,,,,,
,,,,,,RoofTint02,0,100,90,0,0,10,,,Voucher3,10,,,,,,,
MarqueesOriginalGreens,TID_MARQUEES_ORIGINAL_GREENS,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_original,RoofTint01,80,80,80,10,60,30,,,Voucher1,20,,,,,,,
,,,,,,RoofTint02,100,100,100,10,60,30,,,,,,,,,,,
MarqueesOriginal,TID_MARQUEES_ORIGINAL_REDWHITE,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_original,RoofTint01,100,40,40,70,0,0,1000,,,,TRUE,,,,,,
,,,,,,RoofTint02,100,100,100,90,90,90,,,,,,,,,,,
MarqueesRainbow,TID_MARQUEES_RAINBOW,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_rainbow,,,,,,,,,,Voucher1,90,,,,,,,
,,,,,,,,,,,,,,,Voucher3,10,,,,,,,
MarqueesRainbow02,TID_MARQUEES_RAINBOW02,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_rainbow02,,,,,,,,,35,,,,,,350000,,,
MarqueesStraw1Yellow,TID_MARQUEES_STRAW_YELLOW,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_straw01,RoofTint01,90,90,50,90,50,0,250000,,,,,,,,,,
MarqueesStraw1Pink,TID_MARQUEES_STRAW1_PINK,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_straw01,RoofTint01,100,80,100,90,40,70,,999,,,,TRUE,,9990000,,,
MarqueesStraw1Green,TID_MARQUEES_STRAW1_DARK,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_straw01,RoofTint01,100,85,50,0,50,0,100,,,,,,,,,,
MarqueesStraw1Dark,TID_MARQUEES_STRAW1_GREEN,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_straw01,RoofTint01,90,90,50,30,0,0,,,Voucher1,40,,,,,,,
,,,,,,,,,,,,,,,Voucher4,2,,,,,,,
MarqueesTiles01Black,TID_MARQUEES_TILES_BLACK,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_tiles01,RoofTint01,50,50,50,20,25,25,,999,,,,TRUE,,9990000,,,
,,,,,,RoofTint02,100,100,100,39,48,58,,,,,,,,,,,
MarqueesTiles01Purple,TID_MARQUEES_TILES01_PURPLE,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_tiles01,RoofTint01,60,60,100,0,0,0,,999,,,,TRUE,,9990000,,,
,,,,,,RoofTint02,60,50,5,80,50,60,,,,,,,,,,,
MarqueesTiles01KindaRed,TID_MARQUEES_TILES01_KINDARED,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_tiles01,RoofTint01,90,40,10,20,0,60,,999,,,,TRUE,,9990000,,,
,,,,,,RoofTint02,80,80,65,50,10,0,,,,,,,,,,,
MarqueesTiles01Green,TID_MARQUEES_TILES01_GREEN,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_tiles01,RoofTint01,60,60,40,0,40,10,,999,,,,TRUE,,9990000,,,
,,,,,,RoofTint02,80,80,80,10,60,30,,,,,,,,,,,
MarqueesTiles01Blue,TID_MARQUEES_TILES01_BLUE,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_tiles01,RoofTint01,50,70,70,0,10,70,,999,,,,TRUE,,9990000,,,
,,,,,,RoofTint02,100,100,100,80,80,50,,,,,,,,,,,
MarqueesUmbrella01Red,TID_MARQUEES_UMBRELLA01_RED,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_umbrella_01,RoofTint01,100,30,40,60,0,0,,,Voucher1,50,,,,,,,
,,,,,,RoofTint02,100,100,100,90,90,85,,,Voucher2,20,,,,,,,
MarqueesUmbrella01Blue,TID_MARQUEES_UMBRELLA01_BLUE,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_umbrella_01,RoofTint01,80,80,80,0,80,100,80000,,,,,,,,,,
,,,,,,RoofTint02,100,100,100,90,90,85,,,,,,,,,,,
MarqueesUmbrella01Green,TID_MARQUEES_UMBRELLA01_GREEN,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_umbrella_01,RoofTint01,0,90,20,0,20,20,75000,,,,,,,,,,
,,,,,,RoofTint02,100,100,100,90,90,85,,,,,,,,,,,
MarqueesUmbrella01Bluple,TID_MARQUEES_UMBRELLA01_BLUPLE,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_umbrella_01,RoofTint01,40,50,50,50,10,50,,,Voucher1,5,,,,,,,
,,,,,,RoofTint02,100,100,100,90,90,85,,,Voucher3,5,,,,,,,
MarqueesUmbrella01Bright,TID_MARQUEES_UMBRELLA01_BRIGHT,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_umbrella_01,RoofTint01,50,70,70,0,10,70,,,Voucher1,50,,,,,,,
,,,,,,RoofTint02,100,100,50,90,60,0,,,Voucher4,5,,,,,,,
MarqueesUmbrella01Yellow,TID_MARQUEES_UMBRELLA01_YELLOW,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_umbrella_01,RoofTint01,100,100,50,90,60,0,100000,,,,,,,,,,
,,,,,,RoofTint02,100,100,100,90,90,85,,,,,,,,,,,
MarqueesUmbrella01Barbie,TID_MARQUEES_UMBRELLA01_BARBIE,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_umbrella_01,RoofTint01,100,70,100,70,0,0,,50,,,,,,500000,,,
,,,,,,RoofTint02,100,100,50,90,60,0,,,,,,,,,,,
MarqueesWood02PlanksKindaRed,TID_MARQUEES_WOOD02_PLANKS_KINDARED,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_wood02_planks,RoofTint01,90,40,10,20,0,60,,20,,,,,,200000,,,
MarqueesWood02PlanksGreen,TID_MARQUEES_WOOD02_PLANKS_GREEN,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_wood02_planks,RoofTint01,60,60,40,0,40,10,120000,,,,,,,,,,
MarqueesWood02PlanksSpookyPurple,TID_MARQUEES_WOOD02_PLANKS_SPOOKY_PURPLE,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_wood02_planks,RoofTint01,40,50,50,50,10,50,400000,,,,,,,,,,
MarqueesWood02PlanksBlack,TID_MARQUEES_WOOD02_PLANKS_BLACK,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_wood02_planks,RoofTint01,50,50,50,0,0,0,,,Voucher2,15,,,,,,,
MarqueesWood02PlanksBlue,TID_MARQUEES_WOOD02_PLANKS_BLUE,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_wood02_planks,RoofTint01,50,70,70,0,10,70,90000,,,,,,,,,,
MarqueesWood02PlanksBrown,TID_MARQUEES_WOOD02_PLANKS_BROWN,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_wood02_planks,RoofTint01,55,55,50,50,0,0,50000,,,,,,,,,,
MarqueesWood02PlanksLightBrown,TID_MARQUEES_WOOD02_PLANKS_LIGHT_BROWN,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_wood02_planks,RoofTint01,80,80,65,50,10,0,,,Voucher1,30,,,,,,,
MarqueesWood01Dark,TID_MARQUEES_WOOD01_PLANKS_DARK,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_wood01,RoofTint01,60,60,40,0,40,10,,,Voucher1,70,,,,,,,
,,,,,,RoofTint02,80,80,65,50,10,0,,,Voucher2,10,,,,,,,
MarqueesWood01Brown,TID_MARQUEES_WOOD01_BROWN,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_wood01,RoofTint01,50,40,50,5,0,5,,,Voucher1,40,,,,,,,
,,,,,,RoofTint02,65,60,35,50,10,15,,,Voucher2,10,,,,,,,
MarqueesSanctuaryYellow,TID_MARQUEES_SANCTUARY_YELLOW,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_sanctuary,RoofTint01,90,90,70,90,60,0,150000,,,,,,,,,,
,,,,,,RoofTint02,90,90,70,90,60,0,,,,,,,,,,,
MarqueesSanctuaryPink,TID_MARQUEES_SANCTUARY_PINK,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_sanctuary,RoofTint01,100,100,100,50,0,50,,,Voucher1,30,,,,,,,
,,,,,,RoofTint02,100,70,100,70,0,0,,,Voucher2,20,,,,,,,
MarqueesSanctuaryVintage,TID_MARQUEES_SANCTUARY_VINTAGE,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_sanctuary,RoofTint01,90,90,90,70,70,50,,,Voucher1,10,,,TRUE,,,,
,,,,,,RoofTint02,80,90,90,0,20,20,,,,,,,,,,,
MarqueesSanctuaryOlive,TID_MARQUEES_SANCTUARY_OLIVE,RoadsideShop,Marquees,sc/rss_skins.sc,rss_marquees_sanctuary,RoofTint01,80,80,0,40,30,0,215000,,,,,,,,,,
,,,,,,RoofTint02,80,80,0,40,30,0,,,,,,,,,,,
