Name,Category,TaskType,FarmPoints,Good,Amount,Probability,TID,IconFileName,IconExportName,Tags,DerbyTaskTags,MinXPLevelForSpawn,MinRepLevelForSpawn,MaxXPLevelForSpawn,TimeLimitMinutes
DailyProduction_Barbecue_Grill2,Medium,StartBuilding,1,Barbecue_Grill,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,9,,,
DailyProduction_Pie_Oven2,Medium,StartBuilding,1,Pie_Oven,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,14,,,
DailyProduction_Loom2,Medium,StartBuilding,1,Loom,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,17,,,
DailyProduction_Sewing_Machine2,Medium,StartBuilding,1,Sewing_Machine,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,19,,,
DailyProduction_Cake_Oven2,Medium,StartBuilding,1,Cake_Oven,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,21,,,
DailyProduction_Smelter2,Medium,StartBuilding,1,Smelter,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,24,,,
DailyProduction_Juice_Press2,Medium,StartBuilding,1,Juice_Press,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,26,,,
DailyProduction_Ice_Cream_Maker2,Medium,StartBuilding,1,Ice_Cream_Maker,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,29,,,
DailyProduction_Jam_Maker2,Medium,StartBuilding,1,Jam_Maker,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,35,,,
DailyProduction_Jeweler2,Medium,StartBuilding,1,Jeweler,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,38,,,
DailyProduction_Honey_Extractor2,Medium,StartBuilding,1,Honey_Extractor,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,39,,,
DailyProduction_Cafe_Kiosk2,Medium,StartBuilding,1,Cafe_Kiosk,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,42,,,
DailyProduction_Soup_Kitchen2,Medium,StartBuilding,1,Soup_Kitchen,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,47,,,
DailyProduction_Candle_Maker2,Medium,StartBuilding,1,Candle_Maker,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,49,,,
DailyProduction_Flowershop2,Medium,StartBuilding,1,Flowershop,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,50,,,
DailyProduction_Candy_Machine2,Medium,StartBuilding,1,Candy_Machine,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,52,,,
DailyProduction_Sauce_Mixer2,Medium,StartBuilding,1,Sauce_Mixer,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,55,,,
DailyProduction_Sushi_Bar2,Medium,StartBuilding,1,Sushi_Bar,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,57,,,
DailyProduction_Salad_Bar2,Medium,StartBuilding,1,Salad_Bar,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,59,,,
DailyProduction_Sandwich_Bar2,Medium,StartBuilding,1,Sandwich_Bar,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,62,,,
DailyProduction_Smoothie_Mixer2,Medium,StartBuilding,1,Smoothie_Mixer,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,65,,,
DailyProduction_Pasta_Maker2,Medium,StartBuilding,1,Pasta_Maker,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,68,,,
DailyProduction_Wok_Kitchen2,Medium,StartBuilding,1,Wok_Kitchen,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,70,,,
DailyProduction_Hat_Maker2,Medium,StartBuilding,1,Hat_Maker,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,71,,,
DailyProduction_Pasta_Kitchen2,Medium,StartBuilding,1,Pasta_Kitchen,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,73,,,
DailyProduction_Hotdog_Stand2,Medium,StartBuilding,1,Hotdog_Stand,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,76,,,
DailyProduction_Taco_Kitchen2,Medium,StartBuilding,1,Taco_Kitchen,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,78,,,
DailyProduction_Tea_Stand2,Medium,StartBuilding,1,Tea_Stand,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,81,,,
DailyProduction_Fondue_Maker2,Medium,StartBuilding,1,Fondue_Maker,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,82,,,
DailyProduction_Deep_Fryer2,Medium,StartBuilding,1,Deep_Fryer,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,88,,,
DailyProduction_Bath_Kiosk2,Medium,StartBuilding,1,Bath_Kiosk,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,84,,,
DailyProduction_Cupcake_Maker2,Medium,StartBuilding,1,Cupcake_Maker,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,109,,,
DailyProduction_Donut_Maker2,Medium,StartBuilding,1,Donut_Maker,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,76,,,
DailyProduction_Fudge_Shop2,Medium,StartBuilding,1,Fudge_Shop,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,99,,,
DailyProduction_Milkshake_Bar2,Medium,StartBuilding,1,Milkshake_Bar,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,124,,,
DailyProduction_Omelet_Maker2,Medium,StartBuilding,1,Omelet_Maker,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,77,,,
DailyProduction_Porridge_Bar2,Medium,StartBuilding,1,Porridge_Bar,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,119,,,
DailyProduction_Pottery_Studio2,Medium,StartBuilding,1,Pottery_Studio,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,94,,,
DailyProduction_Preservation_Station2,Medium,StartBuilding,1,Preservation_Station,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,91,,,
DailyProduction_Stew_Pot2,Medium,StartBuilding,1,Stew_Pot,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,106,,,
DailyProduction_Waffle_Maker2,Medium,StartBuilding,1,Waffle_Maker,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,114,,,
DailyProduction_Yoghurt_Maker2,Medium,StartBuilding,1,Yoghurt_Maker,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,103,,,
DailyCatchFish_2,Hard,CatchFish,1,,1,1,TID_FARM_PASS_TASK_CATCH_FISH,sc/icons.sc,nh_derby_task_fishing_order,fish,,27,,,
CatchDuck_10,Hard,UseNet,1,Duck,1,1,TID_FARM_PASS_TASK_CATCH_DUCK,sc/fishing_icons.sc,icon_duck,fish,nets,50,,,
CatchLobster_10,Hard,UseNet,1,Lobster,1,1,TID_FARM_PASS_TASK_CATCH_LOBSTER,sc/fishing_icons.sc,icon_lobster,fish,nets,44,,,
OpenMysteryBox_Town5,Hard,OpenMysteryBox,1,TownCrate1,1,1,TID_FARM_PASS_TASK_OPEN_TOWN_BOXES,sc/icons.sc,icon_mystery_crate_town,other,,35,,,
,,,,TownCrate2,,,,,,,,,,,
,,,,TownCrate3,,,,,,,,,,,
,,,,TownCrate4,,,,,,,,,,,
,,,,TownCrate5,,,,,,,,,,,
,,,,TownCrate6,,,,,,,,,,,
,,,,TownCrate7,,,,,,,,,,,
,,,,TownCrate8,,,,,,,,,,,
,,,,TownCrate9,,,,,,,,,,,
,,,,TownCrate10,,,,,,,,,,,
,,,,TownCrate11,,,,,,,,,,,
,,,,TownCrate12,,,,,,,,,,,
,,,,TownCrate13,,,,,,,,,,,
,,,,TownCrate14,,,,,,,,,,,
,,,,TownCrate15,,,,,,,,,,,
,,,,TownCrate16,,,,,,,,,,,
,,,,TownCrate17,,,,,,,,,,,
,,,,TownCrate18,,,,,,,,,,,
,,,,TownCrate19,,,,,,,,,,,
,,,,TownCrate20,,,,,,,,,,,
,,,,TownCrate21_maps,,,,,,,,,,,
,,,,TownCrate21,,,,,,,,,,,
,,,,TownCrate22,,,,,,,,,,,
,,,,TownCrate23,,,,,,,,,,,
,,,,TownCrate24,,,,,,,,,,,
,,,,TownCrate25,,,,,,,,,,,
,,,,TownCrate26,,,,,,,,,,,
,,,,TownCrate27,,,,,,,,,,,
,,,,TownCrate28,,,,,,,,,,,
,,,,TownCrate29,,,,,,,,,,,
,,,,TownCrate30,,,,,,,,,,,
,,,,TownCrate31,,,,,,,,,,,
,,,,TownCrate32,,,,,,,,,,,
,,,,TownCrate33,,,,,,,,,,,
,,,,TownCrate34,,,,,,,,,,,
,,,,TownCrate35,,,,,,,,,,,
,,,,TownCrate36,,,,,,,,,,,
,,,,TownCrate37,,,,,,,,,,,
,,,,TownCrate38,,,,,,,,,,,
,,,,TownCrate39,,,,,,,,,,,
,,,,TownCrate40,,,,,,,,,,,
,,,,TownCrate41,,,,,,,,,,,
,,,,TownCrate42,,,,,,,,,,,
,,,,TownCrate43,,,,,,,,,,,
,,,,TownCrate44,,,,,,,,,,,
,,,,TownCrate45,,,,,,,,,,,
,,,,TownCrate46,,,,,,,,,,,
,,,,TownCrate47,,,,,,,,,,,
,,,,TownCrate48,,,,,,,,,,,
,,,,TownCrate1_free,,,,,,,,,,,
DailyCastNetDuck_1,Hard,CastNet,1,DuckTrap,1,1,TID_FARM_PASS_TASK_CAST_DUCK_ONE,sc/fishing_icons.sc,icon_set_duck_trap,fish,nets,50,,,
DailyCastNetLobster_1,Hard,CastNet,1,LobsterBox,1,1,TID_FARM_PASS_TASK_CAST_LOBSTER_ONE,sc/fishing_icons.sc,icon_set_lobster_net,fish,nets,44,,,
DailyCastNetFish_1,Hard,CastNet,1,FishingNet,1,1,TID_FARM_PASS_TASK_CAST_NET_ONE,sc/fishing_icons.sc,icon_regular_net,fish,nets,30,,,
DailyUseLureColors_1,Hard,UseLure,1,BaitGreen,1,1,TID_FARM_PASS_TASK_USE_LURE_ONE,sc/fishing_icons.sc,icon_fishing_lure_gold,fish,,28,,,
,,,,BaitBlue,,,,,,,,,,,
,,,,BaitPurple,,,,,,,,,,,
,,,,BaitGold,,,,,,,,,,,
VisitSanctuary_3,Hard,VisitSanctuary,1,,1,1,TID_FARM_PASS_TASK_VISIT_SANCTUARY,sc/icons.sc,icon_sanctuary,townie,,36,5,,
DailyCollectProduction_Honeycomb1_Hard,Hard,CollectProduction,1,Honeycomb,1,1,TID_FARM_PASS_TASK_COLLECT_HONEYCOMB_ONE,sc/icons.sc,icon_honeycomb,product,,39,,,
DailyCollectProduction_PeanutBag1_Hard,Hard,CollectProduction,1,PeanutBag,1,1,TID_FARM_PASS_TASK_COLLECT_PEANUT_ONE,sc/icons.sc,icon_peanut_bag,product,,62,,,
FeedSanctuaryAnimal_5_Hard,Hard,FeedSanctuaryAnimal,1,,1,1,TID_FARM_PASS_TASK_FEED_SANCTUARY,sc/icons.sc,tool_feed_herbivore,sanctuary,,36,5,,
WakeupSanctuaryAnimal_5_Hard,Hard,WakeupSanctuaryAnimal,1,,1,1,TID_FARM_PASS_TASK_WAKE_SANCTUARY,sc/icons.sc,icon_sanctuary,sanctuary,,36,5,,
DailyPickupTownVisitor_1,Hard,PickupTownVisitor,1,,1,1,TID_FARM_PASS_TASK_PICK_UP_VISITORS_ONE,sc/train_icons.sc,icon_personal_train_lvl1,train,,36,4,,
DailyServiceTownVisitor_1,Hard,ServiceTownVisitor,1,,1,1,TID_FARM_PASS_TASK_SERVE_TOWNIES_ONE,sc/icons.sc,task_icon_service_town_visitor,townie,,36,2,,
DailyValleySpendFuel,Hard,ValleySpendFuel,1,,6,1,TID_STREAK_TASK_VALLEY_SPEND_FUEL,sc/icons.sc,fp_perk_icon_free_valley_spin_static,valley,,25,,,
DailyValleyCompleteDailies,Hard,ValleyCompleteDailies,1,,1,1,TID_STREAK_TASK_VALLEY_DAILY_QUESTS_ONE,sc/icons.sc,icon_daily_tasks_valley_quest,valley,,25,,,
DailyValleyCompleteRequests,Hard,ValleyCompleteRequests,1,,1,1,TID_STREAK_TASK_VALLEY_REQUEST_ONE,sc/icons.sc,icon_daily_tasks_valley_request,valley,,25,,,
DailyValleyValleySpinFuelWheel,Hard,ValleySpinFuelWheel,1,,1,1,TID_STREAK_TASK_VALLEY_FUEL_SPIN_ONE,sc/icons.sc,fp_perk_icon_free_valley_spin_static,valley,,25,,,
WeeklyEarnFreeCoins_11,Weekly,EarnFreeCoins,5,,430,1,TID_STREAK_TASK_WEEKLY_COINS,sc/icons.sc,icon_daily_tasks_coins,,,1,,8,
WeeklyEarnFreeCoins_11_2,Weekly,EarnFreeCoins,5,,860,1,TID_STREAK_TASK_WEEKLY_COINS,sc/icons.sc,icon_daily_tasks_coins,,,9,,24,
WeeklyEarnFreeCoins_25,Weekly,EarnFreeCoins,5,,6350,1,TID_STREAK_TASK_WEEKLY_COINS,sc/icons.sc,icon_daily_tasks_coins,,,25,,44,
WeeklyEarnFreeCoins_44,Weekly,EarnFreeCoins,5,,10900,1,TID_STREAK_TASK_WEEKLY_COINS,sc/icons.sc,icon_daily_tasks_coins,,,45,,79,
WeeklyEarnFreeCoins_80,Weekly,EarnFreeCoins,5,,16300,1,TID_STREAK_TASK_WEEKLY_COINS,sc/icons.sc,icon_daily_tasks_coins,,,80,,,
WeeklyEarnExp_11,Weekly,EarnExp,5,,120,1,TID_STREAK_TASK_WEEKLY_EXP,sc/icons.sc,icon_daily_tasks_xp,,,1,,8,
WeeklyEarnExp_11_2,Weekly,EarnExp,5,,240,1,TID_STREAK_TASK_WEEKLY_EXP,sc/icons.sc,icon_daily_tasks_xp,,,9,,24,
WeeklyEarnExp_25,Weekly,EarnExp,5,,1260,1,TID_STREAK_TASK_WEEKLY_EXP,sc/icons.sc,icon_daily_tasks_xp,,,25,,44,
WeeklyEarnExp_44,Weekly,EarnExp,5,,2160,1,TID_STREAK_TASK_WEEKLY_EXP,sc/icons.sc,icon_daily_tasks_xp,,,45,,79,
WeeklyEarnExp_80,Weekly,EarnExp,5,,3240,1,TID_STREAK_TASK_WEEKLY_EXP,sc/icons.sc,icon_daily_tasks_xp,,,80,,,
WeeklyHarvestCrops_11,Weekly,HarvestField,5,,100,1,TID_STREAK_TASK_WEEKLY_HARVEST,sc/icons.sc,icon_daily_tasks_harvest,,,1,,8,
WeeklyHarvestCrops_11_2,Weekly,HarvestField,5,,100,1,TID_STREAK_TASK_WEEKLY_HARVEST,sc/icons.sc,icon_daily_tasks_harvest,,,9,,24,
WeeklyHarvestCrops_25,Weekly,HarvestField,5,,210,1,TID_STREAK_TASK_WEEKLY_HARVEST,sc/icons.sc,icon_daily_tasks_harvest,,,25,,44,
WeeklyHarvestCrops_44,Weekly,HarvestField,5,,360,1,TID_STREAK_TASK_WEEKLY_HARVEST,sc/icons.sc,icon_daily_tasks_harvest,,,45,,79,
WeeklyHarvestCrops_80,Weekly,HarvestField,5,,540,1,TID_STREAK_TASK_WEEKLY_HARVEST,sc/icons.sc,icon_daily_tasks_harvest,,,80,,,
DailyChopTrees,Medium,ChopTrees,1,,1,1,TID_STREAK_TASK_DAILY_CHOP_TREE,sc/icons.sc,icon_daily_tasks_chop_trees,,,7,,25,
EarnFarmPassPoints,Weekly,EarnFarmPassPoints,5,,15,1,TID_STREAK_TASK_WEEKLY_FP_POINTS,sc/icons.sc,icon_daily_tasks_earn_farmpass_points,,,11,,,
WeeklyCompleteDailyTasks,Weekly,CompleteDailyTasks,5,,6,1,TID_STREAK_TASK_WEEKLY_DAILY_TASKS,sc/icons.sc,icon_daily_tasks_complete_tasks,,,7,,,
DailyUseMine,Hard,UseMine,1,,1,1,TID_STREAK_TASK_USE_MINE_ONE,sc/icons.sc,nh_derby_task_mine_order,,,24,,,
DailyClearRocks,Medium,ClearRocks,1,,1,1,TID_STREAK_TASK_CLEAR_ROCK_ONE,sc/icons.sc,icon_daily_tasks_clear_rocks,,,7,,,
DailyDrainSwamps,Medium,DrainSwamps,1,,1,1,TID_STREAK_TASK_DRAIN_SWAMP_ONE,sc/icons.sc,icon_daily_tasks_drain_swamps,,,7,,,
