Name,IntValue,StringValue,BooleanValue
,,4;150;40,
,,5;1;120,
,,5;130;90,
,,5;195;40,
,,6;1;180,
,,6;170;135,
,,6;255;60,
,,7;1;180,
,,7;210;135,
,,7;315;60,
,,8;1;180,
,,8;250;135,
,,8;375;60,
,,9;1;180,
,,9;300;135,
,,9;450;60,
,,10;1;180,
,,10;350;135,
,,10;525;60,
,,11;1;240,
,,11;410;180,
,,11;615;60,
,,12;1;240,
,,12;470;180,
,,12;705;60,
,,13;1;240,
,,13;550;180,
,,13;825;30,
,,14;1;240,
,,14;630;180,
,,14;945;30,
,,15;1;240,
,,15;700;120,
,,15;1000;30,
,,16;1;240,
,,16;700;120,
,,16;1000;30,
,,17;1;240,
,,17;700;120,
,,17;1000;30,
,,18;1;300,
,,18;700;120,
,,18;1000;30,
,,19;1;300,
,,19;700;120,
,,19;1000;30,
,,20;1;300,
,,20;700;120,
,,20;1000;30,
,,21;1;300,
,,21;700;120,
,,21;1000;30,
,,22;1;300,
,,22;700;120,
,,22;1000;30,
,,23;1;300,
,,23;700;120,
,,23;1000;30,
,,24;1;300,
,,24;700;120,
,,24;1000;30,
,,25;1;300,
,,25;700;120,
,,25;1000;30,
BonusRoundDiamondContinuePrices,,5,
,,10;15,
,,30;60;90,
,,,
,,,
,,,
,,,
,,,
,,,
MaxPiggyBankCoins,1200,,
BreakPiggyBankDiamondPrice,25,,
SanctuaryAnimalEscapeMinPassedEmptyNodes,6,,
,9,,
,12,,
SanctuaryAnimalEscapeMaxPassedEmptyNodes,20,,
,28,,
,36,,
SanctuaryAnimalEscapeImmunityEmptyNodes,6,,
,6,,
,6,,
SanctuaryAnimalAutoEscapeDelaySeconds,5000,,
SanctuaryFuelGeneratorInfoTitle,,TID_VALLEY_INFO_TITLE_1,
,,TID_VALLEY_INFO_TITLE_2,
,,TID_VALLEY_INFO_TITLE_3,
,,TID_VALLEY_INFO_TITLE_4,
,,TID_VALLEY_INFO_TITLE_5_SANCTUARY,
,,TID_VALLEY_INFO_TITLE_6,
,,TID_VALLEY_INFO_TITLE_7,
SanctuaryFuelGeneratorInfoText,,TID_VALLEY_INFO_1,
,,TID_VALLEY_INFO_2,
,,TID_VALLEY_INFO_3,
,,TID_VALLEY_INFO_4_SANCTUARY,
,,TID_VALLEY_INFO_5_SANCTUARY,
,,TID_VALLEY_INFO_6_SANCTUARY,
,,TID_VALLEY_INFO_7,
SanctuaryShopRewardsInfoTitle,,TID_VALLEY_INFO_TITLE_1,
,,TID_VALLEY_INFO_TITLE_2,
,,TID_VALLEY_INFO_TITLE_3,
,,TID_VALLEY_INFO_TITLE_4,
,,TID_VALLEY_INFO_TITLE_5_SANCTUARY,
,,TID_VALLEY_INFO_TITLE_6,
,,TID_VALLEY_INFO_TITLE_7,
SanctuaryShopRewardsInfoText,,TID_VALLEY_INFO_1,
,,TID_VALLEY_INFO_2,
,,TID_VALLEY_INFO_3,
,,TID_VALLEY_INFO_4_SANCTUARY,
,,TID_VALLEY_INFO_5_SANCTUARY,
,,TID_VALLEY_INFO_6_SANCTUARY,
,,TID_VALLEY_INFO_7,
SanctuaryDailyQuestsInfoTitle,,TID_VALLEY_INFO_TITLE_1,
,,TID_VALLEY_INFO_TITLE_2,
,,TID_VALLEY_INFO_TITLE_3,
,,TID_VALLEY_INFO_TITLE_4,
,,TID_VALLEY_INFO_TITLE_5_SANCTUARY,
,,TID_VALLEY_INFO_TITLE_6,
,,TID_VALLEY_INFO_TITLE_7,
SanctuaryDailyQuestsInfoText,,TID_VALLEY_INFO_1,
,,TID_VALLEY_INFO_2,
,,TID_VALLEY_INFO_3,
,,TID_VALLEY_INFO_4_SANCTUARY,
,,TID_VALLEY_INFO_5_SANCTUARY,
,,TID_VALLEY_INFO_6_SANCTUARY,
,,TID_VALLEY_INFO_7,
SanctuaryShopRewardsSeasonOverInfoTitle,,TID_MAP_GAME_PAUSED_NO_EVENT,
,,TID_MAP_GAME_PAUSED_NO_EVENT,
,,,
SanctuaryShopRewardsSeasonOverInfoText,,TID_VALLEY_END_INFO1,
,,TID_VALLEY_END_INFO2,
RoadSideSurpriseAutoCollectDelayMillis,5000,,
FullUpdateEnabled,,,TRUE
FullUpdateUseAction,,,
FullUpdateRequestAlways,,,TRUE
