Level,ExpToNextLevel,GoodReward1,GoodAmount1,GoodReward2,GoodAmount2,GoodReward3,GoodAmount3,PaidGoodReward1,PaidGoodAmount1,PaidGoodReward2,PaidGoodAmount2,PaidGoodReward3,PaidGoodAmount3,ThresholdRewardSet1,ThresholdRewardSet2,ThresholdRewardSet3,ThresholdRewardSet4,ThresholdRewardSet5,MaxFields,MaxEvents,CaretakerStorageCapacity,MillerStorageCapacity,MaxCatAmount,MaxCatHouseAmount,MaxDogAmount,MaxDogHouseAmount,MaxHorseAmount,MaxPonyAmount,MaxHorseHouseAmount,MaxDonkeyAmount,MaxDonkeyHouseAmount,MaxBunnyAmount,MaxBunnyHouseAmount,MaxKittenAmount,MaxKittenHouseAmount,MaxPuppyAmount,MaxPuppyHouseAmount,MaxGuineaPigAmount,MaxGuineaPigHouseAmount,MaxBirdAmount,MaxBirdHouseAmount,MaxChickenHabitats,MaxCowHabitats,MaxSheepHabitats,MaxPigHabitats,MaxGoatHabitats,MaxHammermills,MaxSugarMills,MaxSmelters,MaxBeeHabitats,MaxSquirrelHabitats,MinGoodsInOrderDelivery,MaxGoodsInOrderDelivery,OrderCancelTimeMin,OrderSpeedUpPrice,BoatOrderSpeedUpPrice,MaxOrderCount,CashExpMultiplier,EventCounterClicks,OrderMinValue,OrderMaxValue,DiamondsToCoinsRate,DiamondsToCoinsRateV2,GuestOrderValue,MinCrateAmountInBoatOrder,MaxCrateAmountInBoatOrder,MinBoatOrderValue,MaxBoatOrderValue,MinGoodTypesInBoatOrder,MaxGoodTypesInBoatOrder,MinBoatStayTimeMinutes,MaxBoatStayTimeMinutes,BoatETAMinutes,BoatRewardMultiplier,SpecialOrderProbablity,SpecialOrderMaxCount,TruckCoinMultiplier,TruckEXPMultiplier,BoatCrateCoinMultiplier,BoatCrateEXPMultiplier,EXPEventCurrencyMultiplier
39,61800,FreeDiamonds,1,Duct Tape,4,Plank,3,,,,,,,RS8,RSBolt_3,RSNail_3,RSScrew_4,RSWoodPanel_3,63,252,30,30,2,2,2,2,2,,2,,,1,1,,,1,1,,,1,1,3,3,2,3,2,2,1,5,1,,1,6,30,3,5,9,0,62,17,29,4542,35005,56,6,12,170,225,3,3,1080,1080,240,6000,10,3,250,400,150,300,100
40,67900,FreeDiamonds,2,Duct Tape,3,Plank,4,,,,,,,RS2,RSBolt_3,RSNail_3,RSScrew_3,RSWoodPanel_4,63,252,40,40,2,2,2,2,2,,3,,,1,1,,,1,1,,,1,1,3,3,2,3,2,2,1,5,1,1,1,6,30,3,5,9,0,63,17,30,4774,36206,57,6,12,175,230,3,3,1080,1080,240,6000,10,3,250,400,150,300,100
41,75000,FreeDiamonds,2,,,,,,,,,,,RS7,RS3,RS4,,,66,264,40,40,2,2,2,2,2,,3,,,2,2,,,1,1,,,1,1,3,3,2,3,2,2,1,5,1,1,1,6,30,3,5,9,0,63,18,31,5014,37407,58,6,12,180,235,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
42,81500,FreeDiamonds,2,,,,,,,,,,,RS1,RS2,RS7,,,66,264,40,40,2,2,2,2,2,,3,,,2,2,,,1,1,,,1,1,3,3,3,3,2,2,1,5,1,1,1,6,30,3,5,9,0,64,19,33,5261,38609,60,6,12,185,240,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
43,94400,FreeDiamonds,2,,,,,,,,,,,RS8,RS5,RS6,,,69,276,40,40,2,2,2,2,2,,3,1,1,2,2,,,1,1,,,1,1,3,3,3,3,2,2,1,5,1,1,1,6,30,3,5,9,0,64,20,35,5515,43757,61,6,12,190,245,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
44,100800,FreeDiamonds,2,,,,,,,,,,,RS9,RS4,RS6,,,69,276,40,40,2,2,2,2,2,,3,1,1,2,2,,,2,1,,,1,1,3,3,3,3,2,2,1,5,1,1,1,6,30,3,5,9,0,65,20,36,5777,48905,62,6,12,195,250,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
45,110900,FreeDiamonds,2,Chamomile,3,,,,,,,,,RS6,RS5,RS2,,,72,288,40,40,2,2,2,2,2,,3,1,1,2,2,,,2,1,,,1,1,3,3,3,3,2,2,1,5,1,1,1,6,30,3,5,9,0,65,21,38,6047,54053,64,6,12,200,255,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
46,119500,FreeDiamonds,2,,,,,,,,,,,RS4,RS3,RS6,,,72,288,40,40,2,2,2,2,2,,3,1,1,2,2,,,2,1,,,1,1,3,3,3,3,2,2,1,5,1,1,1,6,30,3,5,9,0,66,22,40,6325,59200,65,6,12,205,260,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
47,129500,FreeDiamonds,2,,,,,,,,,,,RS8,RS7,RS6,,,75,300,40,40,2,2,2,2,2,,4,1,1,2,2,,,2,1,,,1,1,3,3,3,3,2,2,1,5,1,1,1,6,30,3,5,9,0,66,23,42,6610,60130,66,6,12,210,270,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
48,138000,FreeDiamonds,2,,,,,,,,,,,RS8,RS6,RS1,,,75,300,40,40,2,2,2,2,2,,4,1,1,2,2,,,2,1,,,1,1,3,3,3,3,2,2,1,5,1,1,1,6,30,3,5,9,0,67,24,44,6903,61059,67,6,12,215,275,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
49,148400,FreeDiamonds,2,Asparagus,3,,,,,,,,,RS2,RS9,RS3,,,78,312,40,40,2,2,2,2,2,,4,1,1,2,2,1,1,2,1,,,1,1,3,3,3,3,2,2,1,5,1,1,1,6,30,3,5,9,0,67,25,46,7204,62743,69,6,12,220,280,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
50,157000,FreeDiamonds,5,Sesame,3,,,,,,,,,RS7,RS3,RS4,,,78,312,50,50,2,2,2,2,2,1,5,1,1,2,2,1,1,2,2,,,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,0,68,26,48,7512,62743,70,6,12,230,285,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
51,168000,FreeDiamonds,5,,,,,,,,,,,RS1,RS7,RS9,,,80,320,50,50,2,2,2,2,2,1,5,1,1,2,2,1,1,2,2,,,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,0,68,28,51,7829,62743,71,6,12,235,295,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
52,179000,FreeDiamonds,5,Pineapple,3,,,,,,,,,RS3,RS8,RS6,,,80,320,50,50,2,2,2,2,2,1,5,1,1,2,2,1,1,2,2,,,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,0,68,29,53,8153,65357,72,6,12,240,300,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
53,190000,FreeDiamonds,5,Lily,3,,,,,,,,,RS9,RS8,RS4,,,82,328,50,50,2,2,2,2,2,1,5,1,1,2,2,1,1,2,2,,,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,0,69,30,56,8485,67971,73,6,12,250,310,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
54,201000,FreeDiamonds,5,,,,,,,,,,,RS9,RS1,RS5,,,82,328,50,50,2,2,2,2,2,1,5,1,1,2,2,1,1,2,2,,,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,0,69,31,59,8825,70586,74,6,12,255,315,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
55,212000,FreeDiamonds,5,,,,,,,,,,,RS4,RS2,RS7,,,84,336,50,50,2,2,2,2,2,1,5,2,2,2,2,1,1,2,2,,,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,0,69,33,62,9174,74922,75,6,12,260,320,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
56,223000,FreeDiamonds,5,Rice,3,,,,,,,,,RS8,RS6,RS3,,,84,336,50,50,2,2,2,2,2,1,5,2,2,2,2,1,1,2,2,,,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,0,70,34,65,9530,79258,76,6,12,270,330,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
57,234000,FreeDiamonds,5,,,,,,,,,,,RS1,RS5,RS2,,,86,344,50,50,2,2,2,2,2,1,5,2,2,2,2,1,1,2,2,,,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,0,70,36,68,9895,83923,77,6,12,275,335,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
58,245000,FreeDiamonds,5,Lettuce,3,,,,,,,,,RS7,RS8,RS9,,,86,344,50,50,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,,,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,0,70,37,71,10267,88588,78,6,12,285,345,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
59,256000,FreeDiamonds,5,,,,,,,,,,,RS7,RS4,RS5,,,88,352,50,50,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,,,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,0,70,39,74,10648,91622,79,6,12,290,355,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
60,267000,FreeDiamonds,8,Garlic,3,,,,,,,,,RS9,RS8,RS6,RS11,,88,352,60,60,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,1,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,0,70,41,78,11037,94656,80,6,12,295,360,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
61,278000,FreeDiamonds,8,,,,,,,,,,,RS10,RS6,RS5,RS8,,90,360,60,60,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,1,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,0,70,42,81,11434,97690,81,6,12,305,370,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
62,289000,FreeDiamonds,8,,,,,,,,,,,RS3,RS2,RS5,RS4,,90,360,60,60,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,1,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,0,71,44,85,11840,107453,82,6,12,310,375,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
63,300000,FreeDiamonds,8,Sunflower,3,,,,,,,,,RS9,RS8,RS6,RS11,,92,368,60,60,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,1,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,0,71,46,88,12254,117216,83,6,12,320,385,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
64,311000,FreeDiamonds,8,,,,,,,,,,,RS10,RS8,RS3,RS2,,92,368,60,60,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,0,71,48,92,12676,126980,84,6,12,330,395,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
65,322000,FreeDiamonds,8,Cabbage,3,,,,,,,,,RS8,RS5,RS10,RS7,,94,376,60,60,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,0,72,50,96,13107,163429,85,6,12,335,400,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
66,333000,FreeDiamonds,8,,,,,,,,,,,RS6,RS3,RS9,RS10,,94,376,60,60,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,0,72,52,100,13546,199878,86,6,12,345,410,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
67,344000,FreeDiamonds,8,,,,,,,,,,,RS10,RS8,RS10,RS7,,96,384,60,60,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,0,72,54,104,13994,236328,87,6,12,350,420,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
68,355000,FreeDiamonds,8,Onion,3,,,,,,,,,RS7,RS12,RS4,RS9,,96,384,60,60,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,0,73,56,108,14450,236328,88,6,12,360,425,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
69,366000,FreeDiamonds,8,,,,,,,,,,,RS9,RS3,RS8,RS5,,98,392,60,60,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,0,73,58,112,14914,236328,89,6,12,365,435,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
70,377000,FreeDiamonds,10,Cucumber,3,,,,,,,,,RS4,RS10,RS11,RS6,,98,392,70,70,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,0,73,60,117,15387,236328,90,6,12,375,445,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
71,388000,FreeDiamonds,10,,,,,,,,,,,RS10,RS7,RS3,RS4,,100,400,70,70,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,0,74,62,121,15869,281605,91,6,12,385,450,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
72,399000,FreeDiamonds,10,Beetroot,3,,,,,,,,,RS2,RS8,RS12,RS10,,100,400,70,70,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,1,5,1,1,1,6,30,3,5,9,0,74,64,126,16360,326882,92,6,12,390,460,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
