Name,Rewards,RewardAmounts,MinRound,MaxRound,Probabilities,LimitPerRound,Tags,MinXPLevel,MaxXPLevel
,Voucher1,3,,,10,1,voucher,,
,Voucher2,2,,,10,1,voucher,,
,Voucher3,1,,,10,1,voucher,,
,Plank,1,,,3,2,barn;expansion,,
,Nail,1,,,3,2,silo;expansion,,
,Bolt,1,,,3,2,barn;expansion,,
,Screw,1,,,3,2,silo;expansion,,
,Duct Tape,1,,,3,2,barn;expansion,,
,Wood Panel,1,,,3,2,silo;expansion,,
,Land Deed,1,,,2,2,land;expansion,,
,Mallet,1,,,2,2,land;expansion,,
,Marker Stake,1,,,2,2,land;expansion,,
,Lobster Meat,1,,,7,1,fishing;product,,
,Duck Down,1,,,7,1,fishing;product,,
,GoldBar,1,,,7,2,jewel;product,,
,PlatinumBar,1,,,7,2,jewel;product,,
,Honey,2,,,7,1,bee;product,,
,Beeswax,2,,,7,1,bee;product,,
,Chocolate,1,,,7,1,candy;product,,
,Lollipop,1,,,7,1,candy;product,,
Reward_Round2_41-55,Dynamite,2,1,1,6,2,tool,41,55
,Demolition Charge,2,,,6,2,tool,,
,Axe,2,,,6,2,tool,,
,Saw,2,,,6,2,tool,,
,Shovel,2,,,6,2,tool,,
,Pickaxe,2,,,8,2,tool,,
,Expansion Key,1,,,8,1,permit;limited2,,
,Puzzle Piece 1,1,,,8,1,puzzle;limited2,,
,Voucher1,5,,,10,1,voucher,,
,Voucher2,3,,,10,1,voucher,,
,Voucher3,2,,,10,1,voucher,,
,Plank,1,,,3,2,barn;expansion,,
,Nail,1,,,3,2,silo;expansion,,
,Bolt,1,,,3,2,barn;expansion,,
,Screw,1,,,3,2,silo;expansion,,
,Duct Tape,1,,,3,2,barn;expansion,,
,Wood Panel,1,,,3,2,silo;expansion,,
,Land Deed,1,,,2,2,land;expansion,,
,Mallet,1,,,2,2,land;expansion,,
,Marker Stake,1,,,2,2,land;expansion,,
,Lobster Meat,1,,,7,1,fishing;product,,
,Duck Down,1,,,7,1,fishing;product,,
,GoldBar,2,,,7,2,jewel;product,,
,PlatinumBar,2,,,7,2,jewel;product,,
,Honey,3,,,7,1,bee;product,,
,Beeswax,3,,,7,1,bee;product,,
,Chocolate,3,,,7,1,candy;product,,
,Lollipop,3,,,7,1,candy;product,,
Reward_Round2_56-80,Dynamite,2,1,1,6,2,tool,56,80
,Demolition Charge,2,,,6,2,tool,,
,Axe,2,,,6,2,tool,,
,Saw,2,,,6,2,tool,,
,Shovel,2,,,6,2,tool,,
,Pickaxe,2,,,8,2,tool,,
,Expansion Key,1,,,8,1,permit;limited2,,
,Puzzle Piece 1,1,,,8,1,puzzle;limited2,,
,Voucher1,7,,,10,1,voucher,,
,Voucher2,5,,,10,1,voucher,,
,Voucher3,3,,,10,1,voucher,,
,Plank,1,,,3,2,barn;expansion,,
,Nail,1,,,3,2,silo;expansion,,
,Bolt,1,,,3,2,barn;expansion,,
,Screw,1,,,3,2,silo;expansion,,
,Duct Tape,1,,,3,2,barn;expansion,,
,Wood Panel,1,,,3,2,silo;expansion,,
,Land Deed,1,,,2,2,land;expansion,,
,Mallet,1,,,2,2,land;expansion,,
,Marker Stake,1,,,2,2,land;expansion,,
,Lobster Meat,2,,,7,1,fishing;product,,
,Duck Down,2,,,7,1,fishing;product,,
,GoldBar,3,,,7,2,jewel;product,,
,PlatinumBar,3,,,7,2,jewel;product,,
,Honey,4,,,7,1,bee;product,,
,Beeswax,4,,,7,1,bee;product,,
,Chocolate,3,,,7,1,candy;product,,
,Lollipop,3,,,7,1,candy;product,,
Reward_Round2_81+,Dynamite,3,1,1,6,2,tool,81,9999
,Demolition Charge,3,,,6,2,tool,,
,Axe,3,,,6,2,tool,,
,Saw,3,,,6,2,tool,,
,Shovel,3,,,6,2,tool,,
,Pickaxe,3,,,8,2,tool,,
,Expansion Key,1,,,8,1,permit;limited2,,
,Puzzle Piece 1,1,,,8,1,puzzle;limited2,,
,Voucher1,9,,,10,1,voucher,,
,Voucher2,9,,,10,1,voucher,,
,Voucher3,5,,,10,1,voucher,,
,Plank,2,,,3,2,barn;expansion,,
,Nail,2,,,3,2,silo;expansion,,
,Bolt,2,,,3,2,barn;expansion,,
,Screw,2,,,3,2,silo;expansion,,
,Duct Tape,2,,,3,2,barn;expansion,,
,Wood Panel,2,,,3,2,silo;expansion,,
,Land Deed,2,,,2,2,land;expansion,,
,Mallet,2,,,2,2,land;expansion,,
,Marker Stake,2,,,2,2,land;expansion,,
,Lobster Meat,3,,,7,1,fishing;product,,
,Duck Down,3,,,7,1,fishing;product,,
,GoldBar,5,,,7,2,jewel;product,,
,PlatinumBar,5,,,7,2,jewel;product,,
,Honey,5,,,7,1,bee;product,,
,Beeswax,5,,,7,1,bee;product,,
,Chocolate,5,,,7,1,candy;product,,
,Lollipop,5,,,7,1,candy;product,,
Reward_Round3_25-40,Dynamite,1,2,99,7,1,tool,25,40
,Demolition Charge,1,,,7,1,tool,,
,Axe,1,,,7,1,tool,,
,Saw,1,,,7,1,tool,,
,Shovel,1,,,7,1,tool,,
,Pickaxe,1,,,7,1,tool,,
,Expansion Key,1,,,15,2,permit;limited,,
,Puzzle Piece 1,1,,,15,2,puzzle;limited,,
,Voucher1,3,,,10,1,voucher,,
,Voucher2,2,,,10,1,voucher,,
,Voucher3,1,,,10,1,voucher,,
,Voucher4,1,,,10,1,voucher,,
,Plank,1,,,6,2,barn;expansion,,
,Nail,1,,,6,2,silo;expansion,,
,Bolt,1,,,6,2,barn;expansion,,
,Screw,1,,,6,2,silo;expansion,,
,Duct Tape,1,,,6,2,barn;expansion,,
,Wood Panel,1,,,6,2,silo;expansion,,
,Land Deed,1,,,6,2,land;expansion,,
,Mallet,1,,,6,2,land;expansion,,
,Marker Stake,1,,,6,2,land;expansion,,
,Lobster Meat,1,,,3,1,fishing;product,,
,Duck Down,1,,,3,1,fishing;product,,
,GoldBar,1,,,3,1,jewel;product,,
,PlatinumBar,1,,,3,1,jewel;product,,
,Honey,2,,,3,1,bee;product,,
,Diamond Ring,1,,,3,1,jewel;product,,
,Beeswax,2,,,3,1,bee;product,,
,Jelly Beans,1,,,3,1,candy;product,,
,Chocolate,1,,,3,1,candy;product,,
,Lollipop,1,,,3,1,candy;product,,
Reward_Round3_41-55,Dynamite,2,2,99,7,1,tool,41,55
,Demolition Charge,2,,,7,1,tool,,
,Axe,2,,,7,1,tool,,
,Saw,2,,,7,1,tool,,
,Shovel,2,,,7,1,tool,,
,Pickaxe,2,,,7,1,tool,,
,Expansion Key,1,,,15,2,permit;limited,,
,Puzzle Piece 1,1,,,15,2,puzzle;limited,,
,Voucher1,5,,,10,1,voucher,,
,Voucher2,3,,,10,1,voucher,,
,Voucher3,2,,,10,1,voucher,,
,Voucher4,2,,,10,1,voucher,,
,Plank,1,,,6,2,barn;expansion,,
,Nail,1,,,6,2,silo;expansion,,
,Bolt,1,,,6,2,barn;expansion,,
,Screw,1,,,6,2,silo;expansion,,
,Duct Tape,1,,,6,2,barn;expansion,,
,Wood Panel,1,,,6,2,silo;expansion,,
,Land Deed,1,,,6,2,land;expansion,,
,Mallet,1,,,6,2,land;expansion,,
,Marker Stake,1,,,6,2,land;expansion,,
,Lobster Meat,1,,,3,1,fishing;product,,
,Duck Down,1,,,3,1,fishing;product,,
,GoldBar,2,,,3,1,jewel;product,,
,PlatinumBar,2,,,3,1,jewel;product,,
,Honey,3,,,3,1,bee;product,,
,Diamond Ring,1,,,3,1,jewel;product,,
,Beeswax,3,,,3,1,bee;product,,
,Jelly Beans,3,,,3,1,candy;product,,
,Chocolate,3,,,3,1,candy;product,,
,Lollipop,3,,,3,1,candy;product,,
Reward_Round3_56-80,Dynamite,2,2,99,7,1,tool,56,80
,Demolition Charge,2,,,7,1,tool,,
,Axe,2,,,7,1,tool,,
,Saw,2,,,7,1,tool,,
,Shovel,2,,,7,1,tool,,
,Pickaxe,2,,,7,1,tool,,
,Expansion Key,1,,,15,2,permit;limited,,
,Puzzle Piece 1,1,,,15,2,puzzle;limited,,
,Voucher1,7,,,10,1,voucher,,
,Voucher2,5,,,10,1,voucher,,
,Voucher3,3,,,10,1,voucher,,
,Voucher4,3,,,10,1,voucher,,
,Plank,1,,,6,2,barn;expansion,,
,Nail,1,,,6,2,silo;expansion,,
,Bolt,1,,,6,2,barn;expansion,,
,Screw,1,,,6,2,silo;expansion,,
,Duct Tape,1,,,6,2,barn;expansion,,
,Wood Panel,1,,,6,2,silo;expansion,,
,Land Deed,1,,,6,2,land;expansion,,
,Mallet,1,,,6,2,land;expansion,,
,Marker Stake,1,,,6,2,land;expansion,,
,Lobster Meat,2,,,3,1,fishing;product,,
,Duck Down,2,,,3,1,fishing;product,,
,GoldBar,3,,,3,1,jewel;product,,
,PlatinumBar,3,,,3,1,jewel;product,,
,Honey,4,,,3,1,bee;product,,
,Diamond Ring,2,,,3,1,jewel;product,,
,Beeswax,4,,,3,1,bee;product,,
,Jelly Beans,3,,,3,1,candy;product,,
,Chocolate,3,,,3,1,candy;product,,
,Lollipop,3,,,3,1,candy;product,,
Reward_Round3_81+,Dynamite,3,2,99,7,1,tool,81,9999
,Demolition Charge,3,,,7,1,tool,,
,Axe,3,,,7,1,tool,,
,Saw,3,,,7,1,tool,,
,Shovel,3,,,7,1,tool,,
,Pickaxe,3,,,7,1,tool,,
,Expansion Key,1,,,15,2,permit;limited,,
,Puzzle Piece 1,1,,,15,2,puzzle;limited,,
,Voucher1,9,,,10,1,voucher,,
,Voucher2,9,,,10,1,voucher,,
,Voucher3,5,,,10,1,voucher,,
,Voucher4,5,,,10,1,voucher,,
,Plank,2,,,6,2,barn;expansion,,
,Nail,2,,,6,2,silo;expansion,,
,Bolt,2,,,6,2,barn;expansion,,
,Screw,2,,,6,2,silo;expansion,,
,Duct Tape,2,,,6,2,barn;expansion,,
,Wood Panel,2,,,6,2,silo;expansion,,
,Land Deed,2,,,6,2,land;expansion,,
,Mallet,2,,,6,2,land;expansion,,
,Marker Stake,2,,,6,2,land;expansion,,
,Lobster Meat,3,,,3,1,fishing;product,,
,Duck Down,3,,,3,1,fishing;product,,
,GoldBar,5,,,3,1,jewel;product,,
,PlatinumBar,5,,,3,1,jewel;product,,
,Honey,5,,,3,1,bee;product,,
,Diamond Ring,3,,,3,1,jewel;product,,
,Beeswax,5,,,3,1,bee;product,,
,Jelly Beans,5,,,3,1,candy;product,,
,Chocolate,5,,,3,1,candy;product,,
,Lollipop,5,,,3,1,candy;product,,
