Name,MulColorR,MulColorG,MulColorB,AddColorR,AddColorG,AddColorB,MulColorA
Pergola_Green1,100,100,0,6,30,0,
Pergola_Orange1,100,85,0,70,5,0,
Pergola_Yellow1,100,100,0,65,30,0,
,,,,,,,
Pergola_Yellow2,100,88,0,65,30,0,
Pergola_Purple1,88,36,100,0,0,0,
Pergola_Blue1,0,96,100,57,0,28,
,,,,,,,
Pergola_Pink,60,50,100,100,15,40,
Pergola_Yellow3,63,53,0,100,60,0,
Pergola_Blue3,20,75,100,25,50,58,
,,,,,,,
Pergola_Yellow4,83,87,22,92,63,83,
Pergola_Pink2,69,85,56,92,6,83,
,,,,,,,
Pergola_White1,71,80,76,117,102,87,
Pergola_Blue2,95,95,90,15,20,65,
Pergola_Brown1,100,85,70,45,45,50,
,,,,,,,
Pergola_Brown2,80,59,18,0,0,0,
Pergola_Brown3,75,40,0,32,10,30,
Pergola_Blue4,8,73,28,50,35,80,
,,,,,,,
Pergola_Pink3,100,54,50,68,62,66,
Pergola_White2,80,80,80,80,80,80,
Pergola_Yellow5,90,46,100,10,2,51,
,,,,,,,
Pergola_Brown4,100,70,0,0,0,0,
Pergola_Purple2,100,58,47,15,0,69,
,,,,,,,
Pergola_Blue5,40,50,80,19,23,38,
,,,,,,,
Pergola_Gold1,100,82,0,56,50,0,
Pergola_Gold2,100,100,0,60,0,0,
Pergola_Blue6,30,85,100,10,10,100,
Pergola_Grey1,50,55,100,20,10,0,
Pergola_Brown6,66,59,18,107,59,0,
,,,,,,,
Pergola_Green2,23,96,20,0,0,0,
Pergola_Green3,100,70,0,10,0,0,
Pergola_Green4,23,96,20,0,36,0,
,,,,,,,
Pergola_Orange2,100,70,0,30,0,0,
,,,,,,,
Pergola_Grey2,100,100,100,0,0,0,
Pergola_Grey3,40,100,100,80,38,90,
,,,,,,,
Pergola_White3,86,100,100,80,65,69,
Pergola_Lilac,80,60,100,35,0,70,
,,,,,,,
Pergola_Purple3,100,60,56,35,0,94,
