Name,TaskType,SubTaskType,TID,DescriptionTID,IconTooltipTID,ExportName,SubTaskIcon,MinRequiredQuantity,MaxRequiredQuantity,Deprecated,MinXPLevelForSpawn,SpawnProbabilityWeightLeague1,SpawnProbabilityWeightLeague2,SpawnProbabilityWeightLeague3,SpawnProbabilityWeightLeague4,SpawnProbabilityWeightLeague5,MinEventTimeMinLeftForSpawn,TaskParam1,TaskParam2,TaskParam3,MinRewardNeighborhoodPoints,MaxRewardNeighborhoodPoints,MinTaskDurationMin,MaxTaskDurationMin,CooldownIntervalSeconds,AdminCooldownIntervalSeconds,InstantCompleteCooldown,MinRepLevelForSpawn,TaskTags
HarvestCropHardCotton,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_COTTON_DESCRIPTION,,,,235,325,,18,9,43,55,79,21,0,Cotton,,,235,320,1410,1710,1800,1800,5,,Hard;Crop;Regular;Cotton
HarvestCropHardChili,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_CHILI_DESCRIPTION,,,,221,310,,25,9,43,55,79,21,0,Chili,,,235,320,1650,2130,1800,1800,5,,Hard;Crop;Regular;Chili
HarvestCropHardTomato,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_TOMATO_DESCRIPTION,,,,212,295,,30,9,43,55,79,21,0,Tomato,,,235,320,2370,3090,1800,1800,5,,Hard;Crop;Regular;Tomato
HarvestCropHardStrawberry,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_STRAWBERRY_DESCRIPTION,,,,207,290,,34,9,43,55,79,21,0,Strawberry,,,235,320,3090,4050,1800,1800,5,,Hard;Crop;Regular;Strawberry
HarvestCropHardPotato,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_POTATO_DESCRIPTION,,,,224,310,,35,9,43,55,79,21,0,Potato,,,235,320,1530,1970,1800,1800,5,,Hard;Crop;Regular;Potato
HarvestCropHardRice,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_RICE_DESCRIPTION,,,,287,390,,56,9,43,55,79,21,0,Rice,,,235,320,570,750,1800,1800,5,,Hard;Crop;Regular;Rice
HarvestCropHardLettuce,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_LETTUCE_DESCRIPTION,,,,225,310,,58,9,43,55,79,21,0,Lettuce,,,235,320,1470,1890,1800,1800,5,,Hard;Crop;Regular;Lettuce
CollectAnimalProductEasyEgg,CollectAnimalProduct,,TID_NEIGHBORHOOD_TASK_COLLECT_ANIMAL_PRODUCT_TITLE,TID_DERBY_TASK_HARVEST_CHICKEN_DESCRIPTION,,,,16,30,,18,22,83,33,22,0,0,Egg,,,50,90,160,200,1800,1800,5,,Easy;AnimalProduct;Regular;Egg
CollectAnimalProductEasyMilk,CollectAnimalProduct,,TID_NEIGHBORHOOD_TASK_COLLECT_ANIMAL_PRODUCT_TITLE,TID_DERBY_TASK_HARVEST_COW_DESCRIPTION,,,,12,20,,18,22,83,33,22,0,0,Milk,,,50,90,240,360,1800,1800,5,,Easy;AnimalProduct;Regular;Milk
CollectAnimalProductEasyWool,CollectAnimalProduct,,TID_NEIGHBORHOOD_TASK_COLLECT_ANIMAL_PRODUCT_TITLE,TID_DERBY_TASK_HARVEST_SHEEP_DESCRIPTION,,,,11,17,,32,22,83,33,22,0,0,Wool,,,50,90,840,1560,1800,1800,5,,Easy;AnimalProduct;Regular;Wool
CollectAnimalProductEasyBacon,CollectAnimalProduct,,TID_NEIGHBORHOOD_TASK_COLLECT_ANIMAL_PRODUCT_TITLE,TID_DERBY_TASK_HARVEST_PIG_DESCRIPTION,,,,11,17,,42,22,83,33,22,0,0,Bacon,,,50,90,600,1080,1800,1800,5,,Easy;AnimalProduct;Regular;Bacon
CollectAnimalProductEasyGoat Milk,CollectAnimalProduct,,TID_NEIGHBORHOOD_TASK_COLLECT_ANIMAL_PRODUCT_TITLE,TID_DERBY_TASK_HARVEST_GOAT_DESCRIPTION,,,,8,13,,50,22,83,33,22,0,0,Goat Milk,,,50,90,1080,2040,1800,1800,5,,Easy;AnimalProduct;Regular;Goat Milk
CollectAnimalProductMediumEgg,CollectAnimalProduct,,TID_NEIGHBORHOOD_TASK_COLLECT_ANIMAL_PRODUCT_TITLE,TID_DERBY_TASK_HARVEST_CHICKEN_DESCRIPTION,,,,45,75,,18,18,66,59,52,0,0,Egg,,,120,190,270,350,1800,1800,5,,Medium;AnimalProduct;Regular;Egg
CollectAnimalProductMediumMilk,CollectAnimalProduct,,TID_NEIGHBORHOOD_TASK_COLLECT_ANIMAL_PRODUCT_TITLE,TID_DERBY_TASK_HARVEST_COW_DESCRIPTION,,,,29,50,,18,18,66,59,52,0,0,Milk,,,120,190,390,630,1800,1800,5,,Medium;AnimalProduct;Regular;Milk
CollectAnimalProductMediumWool,CollectAnimalProduct,,TID_NEIGHBORHOOD_TASK_COLLECT_ANIMAL_PRODUCT_TITLE,TID_DERBY_TASK_HARVEST_SHEEP_DESCRIPTION,,,,22,40,,32,18,66,59,52,0,0,Wool,,,120,190,1590,2310,1800,1800,5,,Medium;AnimalProduct;Regular;Wool
CollectAnimalProductMediumBacon,CollectAnimalProduct,,TID_NEIGHBORHOOD_TASK_COLLECT_ANIMAL_PRODUCT_TITLE,TID_DERBY_TASK_HARVEST_PIG_DESCRIPTION,,,,23,41,,42,18,66,59,52,0,0,Bacon,,,120,190,1110,1590,1800,1800,5,,Medium;AnimalProduct;Regular;Bacon
CollectAnimalProductMediumGoat Milk,CollectAnimalProduct,,TID_NEIGHBORHOOD_TASK_COLLECT_ANIMAL_PRODUCT_TITLE,TID_DERBY_TASK_HARVEST_GOAT_DESCRIPTION,,,,17,31,,50,18,66,59,52,0,0,Goat Milk,,,120,190,2070,3030,1800,1800,5,,Medium;AnimalProduct;Regular;Goat Milk
CollectAnimalProductHardEgg,CollectAnimalProduct,,TID_NEIGHBORHOOD_TASK_COLLECT_ANIMAL_PRODUCT_TITLE,TID_DERBY_TASK_HARVEST_CHICKEN_DESCRIPTION,,,,93,138,,18,23,108,140,195,55,0,Egg,,,235,320,380,460,1800,1800,5,,Hard;AnimalProduct;Regular;Egg
CollectAnimalProductHardMilk,CollectAnimalProduct,,TID_NEIGHBORHOOD_TASK_COLLECT_ANIMAL_PRODUCT_TITLE,TID_DERBY_TASK_HARVEST_COW_DESCRIPTION,,,,60,86,,18,23,108,140,195,55,0,Milk,,,235,320,660,780,1800,1800,5,,Hard;AnimalProduct;Regular;Milk
CollectAnimalProductHardWool,CollectAnimalProduct,,TID_NEIGHBORHOOD_TASK_COLLECT_ANIMAL_PRODUCT_TITLE,TID_DERBY_TASK_HARVEST_SHEEP_DESCRIPTION,,,,46,63,,32,23,108,140,195,55,0,Wool,,,235,320,2340,3060,1800,1800,5,,Hard;AnimalProduct;Regular;Wool
CollectAnimalProductHardBacon,CollectAnimalProduct,,TID_NEIGHBORHOOD_TASK_COLLECT_ANIMAL_PRODUCT_TITLE,TID_DERBY_TASK_HARVEST_PIG_DESCRIPTION,,,,49,67,,42,23,108,140,195,55,0,Bacon,,,235,320,1620,2100,1800,1800,5,,Hard;AnimalProduct;Regular;Bacon
CollectAnimalProductHardGoat Milk,CollectAnimalProduct,,TID_NEIGHBORHOOD_TASK_COLLECT_ANIMAL_PRODUCT_TITLE,TID_DERBY_TASK_HARVEST_GOAT_DESCRIPTION,,,,36,49,,50,23,108,140,195,55,0,Goat Milk,,,235,320,3060,4020,1800,1800,5,,Hard;AnimalProduct;Regular;Goat Milk
FishLureEasy,FishLureByWeight,,TID_NEIGHBORHOOD_TASK_FISH_LURE_BY_WEIGHT_TITLE,TID_NEIGHBORHOOD_TASK_FISH_LURE_BY_WEIGHT_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_FISHING_TASK,nh_derby_task_fishing_order,,10,25,,27,101,396,160,100,0,0,,,,50,90,0,0,1800,1800,5,,Easy;FishLure;Regular
FishLureMedium,FishLureByWeight,,TID_NEIGHBORHOOD_TASK_FISH_LURE_BY_WEIGHT_TITLE,TID_NEIGHBORHOOD_TASK_FISH_LURE_BY_WEIGHT_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_FISHING_TASK,nh_derby_task_fishing_order,,35,60,,27,87,310,280,250,0,0,,,,120,190,0,0,1800,1800,5,,Medium;FishLure;Regular
FishLureHard,FishLureByWeight,,TID_NEIGHBORHOOD_TASK_FISH_LURE_BY_WEIGHT_TITLE,TID_NEIGHBORHOOD_TASK_FISH_LURE_BY_WEIGHT_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_FISHING_TASK,nh_derby_task_fishing_order,,75,110,,27,115,551,700,975,275,0,,,,235,320,0,0,1800,1800,5,,Hard;FishLure;Regular
CarOrderEasy,CarOrder,,TID_NEIGHBORHOOD_TASK_CAR_ORDER_TITLE,TID_NEIGHBORHOOD_TASK_CAR_ORDER_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_CARORDERS_TASK,nh_derby_task_car_order,,3,7,,10,101,396,160,100,0,0,,,,50,90,270,630,1800,1800,5,,Easy;CarOrder;Regular
CarOrderMedium,CarOrder,,TID_NEIGHBORHOOD_TASK_CAR_ORDER_TITLE,TID_NEIGHBORHOOD_TASK_CAR_ORDER_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_CARORDERS_TASK,nh_derby_task_car_order,,10,16,,10,87,310,280,250,0,0,,,,120,190,700,1120,1800,1800,5,,Medium;CarOrder;Regular
CarOrderHard,CarOrder,,TID_NEIGHBORHOOD_TASK_CAR_ORDER_TITLE,TID_NEIGHBORHOOD_TASK_CAR_ORDER_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_CARORDERS_TASK,nh_derby_task_car_order,,20,32,,10,115,551,700,975,275,0,,,,235,320,1200,1920,1800,1800,5,,Hard;CarOrder;Regular
BoatOrderEasy,BoatOrder,,TID_NEIGHBORHOOD_TASK_BOAT_ORDER_TITLE,TID_NEIGHBORHOOD_TASK_BOAT_ORDER_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_BOATORDERS_TASK,nh_derby_task_boat_order,,1,1,,17,72,288,110,68,0,0,,,,120,120,0,0,1800,1800,5,,Easy;BoatOrder;Regular
BoatOrderMedium,BoatOrder,,TID_NEIGHBORHOOD_TASK_BOAT_ORDER_TITLE,TID_NEIGHBORHOOD_TASK_BOAT_ORDER_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_BOATORDERS_TASK,nh_derby_task_boat_order,,2,2,,17,60,220,190,170,0,0,,,,220,220,0,0,1800,1800,5,,Medium;BoatOrder;Regular
BoatOrderHard,BoatOrder,,TID_NEIGHBORHOOD_TASK_BOAT_ORDER_TITLE,TID_NEIGHBORHOOD_TASK_BOAT_ORDER_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_BOATORDERS_TASK,nh_derby_task_boat_order,,3,4,,17,80,390,475,680,180,0,,,,270,320,0,0,1800,1800,5,,Hard;BoatOrder;Regular
ServeTownVisitorEasy,ServeTownVisitor,,TID_NEIGHBORHOOD_TASK_SERVE_TOWN_VISITOR_TITLE,TID_NEIGHBORHOOD_TASK_SERVE_TOWN_VISITOR_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_TOWNVISITOR_TASK,nh_derby_task_town_order,,2,5,,36,114,450,185,110,0,0,,,,50,90,0,0,1800,1800,5,,Easy;ServeTownVisitor;Regular
ServeTownVisitorMedium,ServeTownVisitor,,TID_NEIGHBORHOOD_TASK_SERVE_TOWN_VISITOR_TITLE,TID_NEIGHBORHOOD_TASK_SERVE_TOWN_VISITOR_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_TOWNVISITOR_TASK,nh_derby_task_town_order,,8,13,,38,95,340,310,270,0,0,,,,120,190,0,0,1800,1800,5,,Medium;ServeTownVisitor;Regular
ServeTownVisitorHard,ServeTownVisitor,,TID_NEIGHBORHOOD_TASK_SERVE_TOWN_VISITOR_TITLE,TID_NEIGHBORHOOD_TASK_SERVE_TOWN_VISITOR_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_TOWNVISITOR_TASK,nh_derby_task_town_order,,16,23,,40,130,618,775,1070,310,0,,,,235,320,0,0,1800,1800,5,,Hard;ServeTownVisitor;Regular
ExcavateOreEasy,ExcavateOre,,TID_NEIGHBORHOOD_TASK_EXCAVATE_ORE_TITLE,TID_NEIGHBORHOOD_TASK_EXCAVATE_ORE_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_EXCAVATEORE_TASK,nh_derby_task_mine_order,,9,17,,24,104,403,170,100,0,0,,,,50,90,0,0,1800,1800,5,,Easy;ExcavateOre;Regular
ExcavateOreMedium,ExcavateOre,,TID_NEIGHBORHOOD_TASK_EXCAVATE_ORE_TITLE,TID_NEIGHBORHOOD_TASK_EXCAVATE_ORE_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_EXCAVATEORE_TASK,nh_derby_task_mine_order,,27,46,,24,90,316,295,250,0,0,,,,120,190,0,0,1800,1800,5,,Medium;ExcavateOre;Regular
ExcavateOreHard,ExcavateOre,,TID_NEIGHBORHOOD_TASK_EXCAVATE_ORE_TITLE,TID_NEIGHBORHOOD_TASK_EXCAVATE_ORE_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_EXCAVATEORE_TASK,nh_derby_task_mine_order,,57,99,,24,117,550,700,975,275,0,,,,235,320,0,0,1800,1800,5,,Hard;ExcavateOre;Regular
GiveHelpEasy,GiveHelp,,TID_NEIGHBORHOOD_TASK_GIVE_HELP_TITLE,TID_NEIGHBORHOOD_TASK_GIVE_HELP_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_HELP_TASK,tool_request_help,,3,6,,18,104,403,170,100,0,0,,,,50,90,0,0,1800,1800,5,,Easy;GiveHelp;Regular
GiveHelpMedium,GiveHelp,,TID_NEIGHBORHOOD_TASK_GIVE_HELP_TITLE,TID_NEIGHBORHOOD_TASK_GIVE_HELP_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_HELP_TASK,tool_request_help,,9,15,,18,90,316,295,250,0,0,,,,120,190,0,0,1800,1800,5,,Medium;GiveHelp;Regular
GiveHelpDifficult,GiveHelp,,TID_NEIGHBORHOOD_TASK_GIVE_HELP_TITLE,TID_NEIGHBORHOOD_TASK_GIVE_HELP_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_HELP_TASK,tool_request_help,,19,30,,18,117,550,700,975,275,0,,,,235,320,0,0,1800,1800,5,,Hard;GiveHelp;Regular
FeedAnimalEasy,FeedAnyAnimal,,TID_NEIGHBORHOOD_TASK_FEED_ANIMAL_TITLE,TID_NEIGHBORHOOD_TASK_FEED_ANIMAL_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_FEEDANIMAL_TASK,tool_feed_question,,18,51,,18,60,227,100,60,0,0,,,,50,90,680,750,1800,1800,5,,Easy;FeedAnimal;Regular
FeedAnimalMedium,FeedAnyAnimal,,TID_NEIGHBORHOOD_TASK_FEED_ANIMAL_TITLE,TID_NEIGHBORHOOD_TASK_FEED_ANIMAL_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_FEEDANIMAL_TASK,tool_feed_question,,84,117,,18,50,176,160,140,0,0,,,,120,190,920,1070,1800,1800,5,,Medium;FeedAnimal;Regular
FeedAnimalHard,FeedAnyAnimal,,TID_NEIGHBORHOOD_TASK_FEED_ANIMAL_TITLE,TID_NEIGHBORHOOD_TASK_FEED_ANIMAL_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_FEEDANIMAL_TASK,tool_feed_question,,162,195,,18,70,300,450,550,170,0,,,,235,320,1320,1550,1800,1800,5,,Hard;FeedAnimal;Regular
