Name,Mode,MinExpLevel10,MaxExpLevel10,MinRepLevel,Priority,TID,TID2,RequiredTutorial,AnimationExportName,AnimationTitleTID,ConfirmButtonTID,FileName,HumanExportName,DelayMS,AutoCompleteOtherTutorial,ReplayTutorial,Target,ShopTarget,Action,StartAction,EndAction,RequiredCount,PeopleOrder,ArrowXOffset,ArrowYOffset,GoodReward,PositionX,PositionY,Disabled,TargetData,CinematicDelayMS,ResetOtherTutorial,TutorialGroup,HideIsoScarecrow,OnRails,XpReward,EnsureLevel,CameraOffsetX,CameraOffsetY,FloatingHeadTID,ShowInteractiveAnimation,InteractiveIconName,InteractiveAnimationOffsetX,InteractiveAnimationOffsetY,ShouldHideArrow,FloatingHeadLeftAnchor,FloatingHeadTopAnchor,FloatingHeadLayer,ShowHandSlideAnimation,ShouldShowShopArrow,RestrictedCameraBounds,SetCameraMinScaleMobile,SetCameraMinScaleTablet,FontSize,HideFloatingHeadWhenGOHUDIsVisible,TargetScrollScaleMobile,TargetScrollScaleTablet,ScrollDelayMS,SkipWaitForHud,RestrictedBoundsAreRelative,FloatingHeadExtraTID,HideFloatingHeadWhenShopIsVisible
Step10: Place second Chicken,home,10,,,16,,TID_TUTORIAL_11a,,,,,sc/humans.sc,scarecrow,,,,ChickenHabitat,,BuyAnimals,ShowShopCategoryAnimals,,2,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step11: Place third Chicken,home,10,,,17,,TID_TUTORIAL_12a,,,,,sc/humans.sc,scarecrow,,,,ChickenHabitat,,BuyAnimals,ShowShopCategoryAnimals,CloseShop,3,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step12: Feed 3 Chickens,home,10,,,18,,TID_TUTORIAL_13a,,tutorial_feed_chicken,TID_ANIMATION_FeedChicken,,sc/humans.sc,scarecrow,,,,HungryChicken,,FeedAnimals,,,3,,,-40,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step13: Chicken Speedup1,home,10,,,19,,TID_TUTORIAL_14a,,,,,sc/humans.sc,scarecrow,,Step52e: Double tap info,,ProcessingChicken,,InstantComplete,SelectTargetObject,,,,,-40,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step14: Chicken Speedup2,home,10,,,20,,TID_TUTORIAL_15a,,,,,sc/humans.sc,scarecrow,,Step13: Chicken Speedup1,,ProcessingChicken,,InstantComplete,SelectTargetObject,,,,,-40,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step15: Chicken Speedup3,home,10,,,21,,TID_TUTORIAL_16a,,,,,sc/humans.sc,scarecrow,,Step14: Chicken Speedup2,,ProcessingChicken,,InstantComplete,SelectTargetObject,,,,,-40,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step16: Chicken Collecting,home,10,,,22,,TID_TUTORIAL_17a,,tutorial_collect_chicken,TID_ANIMATION_CollectEggs,,sc/humans.sc,scarecrow,,Step15: Chicken Speedup3,,ReadyChicken,,CollectAnimal,,,,,,-40,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step17: Guest appears,home,10,,,1,,TID_TUTORIAL_GUEST1,,,,,sc/humans.sc,scarecrow,,,,People,,,,,,A,,-90,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step18: Name your farm,home,10,,,1,TID_TUTORIAL_42,,,,,,sc/humans.sc,popup_mike,,,,,,NameFarm,OpenNameFarmScreen,,,,,-90,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step19: Guest speaks,home,10,,,1,TID_TUTORIAL_45,,,,,,sc/humans.sc,popup_mike,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step20: Guest leaves,home,10,,,1,,,,,,,sc/humans.sc,popup_mike,,,,People,,,,SelectTargetObject,,A,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step21: Buy Bakery,home,20,,,27,TID_TUTORIAL_20,TID_TUTORIAL_20a,,,,,sc/humans.sc,scarecrow,1000,,,Bakery,,BuyObject,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step22: Speedup Bakery,home,20,,,28,,TID_TUTORIAL_21a,,,,,sc/humans.sc,scarecrow,,,,Bakery,,InstantComplete,SelectTargetObject,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step23: Bake Bread,home,20,,,29,,TID_TUTORIAL_22a,,tutorial_bake_bread,TID_ANIMATION_BakeBread,,sc/humans.sc,scarecrow,,Step22: Speedup Bakery,,Bakery,,StartProduction,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step24: SpeedUp Bread,home,20,,,30,,TID_TUTORIAL_23a,,,,,sc/humans.sc,scarecrow,,Step23: Bake Bread,,Bakery,,InstantCompleteProduct,SelectTargetObject,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step25: Build Feed Mill,home,30,,,31,TID_TUTORIAL_26,TID_TUTORIAL_26a,,,,,sc/humans.sc,scarecrow,,,,FeedMill,,BuyObject,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step26: Place fields,home,30,,,32,TID_TUTORIAL_24,TID_TUTORIAL_24a,,,,,sc/humans.sc,scarecrow,,,,EmptyField,,BuyObject,,,9,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step27: Plant Crops,home,30,,,33,,TID_TUTORIAL_25a,,,,,sc/humans.sc,scarecrow,,,,EmptyField,,PlantFields,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step28: Second Guest appear,home,30,,,34,,TID_TUTORIAL_GUEST2,,,,,sc/humans.sc,scarecrow,200,,,People,,SelectTargetSameDataType,,,,B,,-120,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step29: Guest appear 2,home,30,,,35,TID_TUTORIAL_46,,,,,,sc/humans.sc,popup_joan,,,,,,,OpenPeopleBuyScreen,,,B,,-120,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step30: Guest appear 3,home,30,,,36,,,,,,,sc/humans.sc,popup_joan,,,,People,,CompletePeopleOrder,,,,B,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step31: General advice,home,30,39,,37,TID_TUTORIAL_27,TID_TUTORIAL_27a,,,,,sc/humans.sc,scarecrow,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step32: Car Arrives,home,40,,,38,TID_TUTORIAL_28,,,,,,sc/humans.sc,scarecrow,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step33: Complete First Order,home,40,,,39,TID_TUTORIAL_29,TID_TUTORIAL_29a,,,,,sc/humans.sc,scarecrow,,,,OrderTable,,CompleteOrder,,,,,40,-50,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step34: Collect the coins,home,40,,,40,TID_TUTORIAL_30,TID_TUTORIAL_48a,,,,,sc/humans.sc,scarecrow,,,,Car,,ClaimOrder,,,,,-20,-50,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step35: Complete Second Order,home,40,,,41,TID_TUTORIAL_47,TID_TUTORIAL_30a,,,,,sc/humans.sc,scarecrow_card,,,,OrderTable,,CompleteOrder,,,,,40,-50,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step36: Keep up the good work!,home,40,49,,42,TID_TUTORIAL_31,TID_TUTORIAL_31a,,,,,sc/humans.sc,scarecrow,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step37: Ai visiting 1,home,50,,,43,,TID_TUTORIAL_GUEST3,,,,,sc/humans.sc,scarecrow,,,,People,,SelectTargetSameDataType,,SelectTargetObject,,C,,-120,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step38: Ai visiting 2,home,50,,,44,TID_TUTORIAL_48,,,,,,sc/humans.sc,popup_greg,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step39: Ai visiting 3,home,50,,,45,TID_TUTORIAL_49,TID_TUTORIAL_GUEST4,,,,,sc/humans.sc,scarecrow,,,,FriendBarButton,,OpenFriendBar,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step40: Ai visiting 4,home,50,,,46,,TID_TUTORIAL_GUEST5,,,,,sc/humans.sc,scarecrow,,,,AIButton,,VisitAI,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step41: Ai visiting 6,ai,50,,,47,TID_TUTORIAL_50,,,,,,sc/humans.sc,popup_greg,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step42: Ai visiting 7,ai,50,,,48,,TID_TUTORIAL_GUEST6,,,,,sc/humans.sc,popup_greg,,,,RoadsideShop,,OpenRoadsideShop,,,,,-10000,-10000,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step43: Ai visiting 8,ai,50,,,49,TID_TUTORIAL_51,,,,,,sc/humans.sc,popup_greg,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step44: Ai visiting 9,home,50,,,50,TID_TUTORIAL_52,,,,,,sc/humans.sc,scarecrow,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step45: Buy Cow Habitat,home,60,,,51,TID_TUTORIAL_36,TID_TUTORIAL_36a,,,,,sc/humans.sc,scarecrow,,,,CowHabitat,,BuyObject,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step46: Buy a cow,home,60,,,52,,TID_TUTORIAL_37a,,,,,sc/humans.sc,scarecrow,,,,CowHabitat,,BuyAnimals,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step47: Feed a cow,home,60,,,53,,TID_TUTORIAL_38a,,,,,sc/humans.sc,scarecrow,,,,HungryCow,,FeedAnimals,SelectTargetObject,,1,,,-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step48: Cow advice,home,60,,,54,TID_TUTORIAL_39,,,,,,sc/humans.sc,scarecrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step49: Dairy,home,60,,,55,TID_TUTORIAL_40,,,,,,sc/humans.sc,scarecrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step50: Roadside shop,home,70,,,56,TID_TUTORIAL_53,,,,,,sc/humans.sc,scarecrow,,,,RoadsideShop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step51: Roadside shop2,home,70,,,57,TID_TUTORIAL_54,TID_TUTORIAL_54a,,,,,sc/humans.sc,scarecrow,,,,RoadsideShop,,OpenRoadsideShop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step52: Mailbox,home,70,,,58,TID_TUTORIAL_55,TID_TUTORIAL_55a,,,,,sc/humans.sc,scarecrow,,,,MailBox,,OpenMailBox,,,,,,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step53: Indigo,home,130,,,60,TID_TUTORIAL_56,,,tutorial_swap_fan_page,TID_ANIMATION_6th crop,,sc/humans.sc,scarecrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step25b: Rotating,home,65,,,59,TID_TUTORIAL_57,,,tutorial_edit_objects,TID_ANIMATION_EditObjects,,sc/humans.sc,scarecrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step54: Vouchers and Pets 1,home,200,,,61,TID_TUTORIAL_58,,,,,TID_TUTORIAL_58a,sc/humans.sc,popup_pets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step55: Vouchers and Pets 1,home,200,,,62,TID_TUTORIAL_59,,,,,TID_TUTORIAL_59a,sc/humans.sc,popup_pets,,,,,,,,,,,,,Voucher1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step56: First hungry pet,home,,,,63,,TID_TUTORIAL_60,,,,,sc/humans.sc,scarecrow,,,,PetHouse,,FeedHungryPet,CloseShop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step56: Pet done eating,home,,,,64,TID_TUTORIAL_61,,,,,,sc/humans.sc,scarecrow,,Step56: First hungry pet,,FedPet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step57: Pet sleeping,home,,,,65,,TID_TUTORIAL_62,,,,,sc/humans.sc,scarecrow,,Step56: Pet done eating,,SleepingPet,,CollectPet,,,,,,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step58: Pet tapped,home,,,,65,TID_TUTORIAL_63,,Step57: Pet sleeping,,,,sc/humans.sc,scarecrow,2000,Step57: Pet sleeping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step59: Pizza,home,330,,,136,TID_TUTORIAL_64,,Step125: Helper crops,tutorial_swap_fan_page_2,TID_ANIMATION_Pizzas,,sc/humans.sc,scarecrow,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step60: Docks unlocked,home,170,,,67,TID_TUTORIAL_65,,,,,,sc/humans.sc,scarecrow,,,,Docks,,TouchTarget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step61: Expnasion unlocked,home,220,,,68,TID_TUTORIAL_66,,,,,,sc/humans.sc,scarecrow,,,,Expansions,,OpenExpansionsHud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step62: Mine unlocked,home,240,,,69,TID_TUTORIAL_67,,,,,,sc/humans.sc,scarecrow,,,,Mines,,TouchTarget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step63: Boat,home,170,,,70,TID_TUTORIAL_68,,,,,,sc/humans.sc,scarecrow,,,,Boat,,OpenBoat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step64: Leaderboard,home,170,,,71,,TID_TUTORIAL_69,Step63: Boat,,,,sc/humans.sc,scarecrow,,,,Leaderboard,,OpenLeaderboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step65: Postman intro,home,150,,,1,TID_TUTORIAL_70,,,,,,sc/humans.sc,scarecrow,,,,Postman,,,,,,,,,,20,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step66: Follow postman,home,150,,,2,,,,,,,sc/humans.sc,,,,,Postman,,LettersDelivered,,,,,,-120,,20,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step67: Select gift mailbox,home,150,,,3,,TID_TUTORIAL_71,,,,,sc/humans.sc,,,,,GiftMailbox,,CollectLetters,,,,,15,,,20,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step68: Letters explained,home,150,,,4,TID_TUTORIAL_72,,,,,,sc/humans.sc,scarecrow,,,,GiftMailbox,,,,,,,,,,20,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step69: Letters explained2,home,150,,,5,,,,tutorial_how_to_get_gift_cards,TID_ANIMATION_SendLetter,,sc/humans.sc,scarecrow,,,,GiftMailbox,,,,,,,,,,20,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step70: Letters explained3,home,150,,,6,TID_TUTORIAL_73,,,,,,sc/humans.sc,scarecrow,,,,GiftMailbox,,,,,,,,,,20,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step71: Letters explained4,home,150,,,7,TID_TUTORIAL_74,,,,,,sc/humans.sc,scarecrow,,,,GiftMailbox,,,,,,,,,,20,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step72: Fishing boat unlocked,home,270,,,72,TID_TUTORIAL_FISHING_1,,,,,,sc/humans.sc,scarecrow,,,,FishingBoat,,TouchTarget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step73: Fishing boat fixed,home,270,,,73,TID_TUTORIAL_FISHING_2,,,,,,sc/humans.sc,scarecrow,,,,FishingBoat,,GoFishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step74: Fishing welcome,fishing,270,,,74,TID_TUTORIAL_FISHING_3,,,,,,sc/fishing_humans.sc,pop_up_fisherman,,,,FishingBoat,,,,,,,,,,20,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step75: Fishing 101,fishing,270,,,75,,TID_TUTORIAL_FISHING_4,,tutorial_how_to_fish,TID_TUTORIAL_FISHING_4,,sc/fishing_humans.sc,pop_up_fisherman,,,,FishingSpot,,,,,,,,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step76: Fishing practice,fishing,270,,,76,,TID_TUTORIAL_FISHING_5,,,,,sc/fishing_humans.sc,pop_up_fisherman,,,Step75: Fishing 101,FishingSpot,,TryFish,,,,,,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step77: Fishing fail,fishing,270,,,77,,TID_TUTORIAL_FISHING_6,,,,,sc/fishing_humans.sc,pop_up_fisherman,,,Step75: Fishing 101,FishingSpot,,CatchFish,,,,,,,,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step78: Fishing hut,fishing,270,,,78,,TID_TUTORIAL_FISHING_7,,,,,sc/fishing_humans.sc,pop_up_fisherman,5000,,Step75: Fishing 101,FishingHut,,OpenFishCollection,,,,,30,-90,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step79: Fishing lure maker,fishing,270,,,79,,TID_TUTORIAL_FISHING_8,,,,,sc/fishing_humans.sc,pop_up_fisherman,,,Step75: Fishing 101,BaitMaker,,TouchTarget,,,,,,,,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step80: Fishing baits,fishing,270,,,80,TID_TUTORIAL_FISHING_9,,,,,,sc/fishing_humans.sc,pop_up_fisherman,,,Step75: Fishing 101,BaitMaker,,,,,,,,,,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step52b: Double tap AB test,home,70,,,60,TID_TUTORIAL_DOUBLE_TAP,,,,,,sc/humans.sc,scarecrow,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step81: Fishing net maker unlocked,fishing,300,,,87,TID_TUTORIAL_FISHING_10,,,,,,sc/fishing_humans.sc,pop_up_fisherman,,Step81b: Net maker unlocked,Step75: Fishing 101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step82: Fishing repair net maker,fishing,300,,,88,,TID_TUTORIAL_FISHING_11,,,,,sc/fishing_humans.sc,pop_up_fisherman,,,Step75: Fishing 101,NetMakerBroken,,TouchTarget,,,,,,-70,,18,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step83: Fishing nets,fishing,300,,,89,TID_TUTORIAL_FISHING_12,,Step82: Fishing repair net maker,,,,sc/fishing_humans.sc,pop_up_fisherman,,,Step75: Fishing 101,NetMaker,,TouchTarget,,,,,,,,18,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step84: Fishing mystery net,fishing,300,,,90,TID_TUTORIAL_FISHING_13,,Step83: Fishing nets,,,,sc/fishing_humans.sc,pop_up_fisherman,,,Step75: Fishing 101,NetMaker,,,,,,,,,MysteryNet,18,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step85: Fishing lobster pool unlocked,fishing,440,,,91,TID_TUTORIAL_FISHING_14,,,,,,sc/fishing_humans.sc,pop_up_fisherman,,Step85b: Lobster pool unlocked,Step75: Fishing 101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step86: Fishing repair lobster pool,fishing,440,,,92,,TID_TUTORIAL_FISHING_15,,,,,sc/fishing_humans.sc,pop_up_fisherman,,,Step75: Fishing 101,LobsterPoolBroken,,TouchTarget,,,,,,-70,,18,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step87: Fishing lobster info,fishing,440,,,93,TID_TUTORIAL_FISHING_16,,,,,,sc/fishing_humans.sc,pop_up_fisherman,,,Step75: Fishing 101,LobsterPool,,,,,,,,,,18,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step88: Fishing lobster harvested,fishing,440,,,94,,TID_TUTORIAL_FISHING_17,,,,,sc/fishing_humans.sc,pop_up_fisherman,,,Step75: Fishing 101,LobsterPool,,TouchTarget,,,,,,-70,,18,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step81b: Net maker unlocked,home,300,,,85,TID_TUTORIAL_75,,,,,,sc/humans.sc,scarecrow,,,,FishingBoat,,GoFishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step85b: Lobster pool unlocked,home,440,,,89,TID_TUTORIAL_76,,,,,,sc/humans.sc,scarecrow,,,,FishingBoat,,GoFishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LobsterFishing101_DO_NOT_RENAME,fishing,440,,,95,,,,tutorial_lobsters,TID_LOBSTER_TUTORIAL_TITLE,,sc/fishing_humans.sc,pop_up_fisherman,,,,LobsterPool,,,,,,,,,,18,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step52c: Double tap AB test,home,70,,,60,TID_TUTORIAL_HOLDING_DOWN,,,,,,sc/humans.sc,scarecrow,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step89: Neighborhood building repair,home,100,,,81,TID_TUTORIAL_NEIGHBORHOOD_REPAIR,,,,,,sc/humans.sc,scarecrow,,,,NeighborhoodBuildingBroken,,TouchTarget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step90: Neighborhood create or join,home,100,,,82,TID_TUTORIAL_NEIGHBORHOOD_CREATEJOIN,TID_TUTORIAL_NEIGHBORHOOD_CREATEJOIN_BUBBLE,Step89: Neighborhood building repair,,,,sc/humans.sc,scarecrow,,,,NeighborhoodBuilding,,TouchTarget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step91: Welcome to chat,home,100,,,83,TID_TUTORIAL_NEIGHBORHOOD_CHAT,,Step90: Neighborhood create or join,,,,sc/humans.sc,scarecrow,,,,ChatOpenButton,,OpenChat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step92: Neighborhood invite,friend,100,,,84,TID_TUTORIAL_NEIGHBORHOOD_INVITE,,Step91b: Please visit friend and invite,,,,sc/humans.sc,scarecrow,,,,,,,,,,,,,,13,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step52d: Double tap AB decision,home,10,,,60,TID_TUTORIAL_DIAMOND_CONFIMATION_CHANGE,,,,,,sc/humans.sc,scarecrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
