Name,GoodItem,DisabledUntilDate,DisabledUntilDateHour
Filter55_Fruit,Fruit Salad,2016-6-24,
Filter56_Fruit,Summer Salad,2016-6-24,
Filter57_Fruit,Orange Sorbet,2016-6-24,
Filter58_Fruit,Peach Ice Cream,2016-6-24,
Filter59_Fruit,Orange Juice,2016-6-24,
Filter60_Fruit,Marmelade,2016-6-24,
Filter61_Fruit,Peach Jam,2016-6-24,
Filter62_Fruit,Peach Tart,2016-6-24,
Filter63_Fruit,MixedSmoothie,2016-6-24,
Filter64_Banana,BananaBread,2016-12-14,
Filter65_Banana,BananaPancakes,2016-12-14,
Filter66_Banana,Banana,2016-12-14,
Filter67_Banana,BananaSplit,2016-12-14,
Filter68_Banana,BananaLatte,2016-12-14,
Filter69_Grapes,Grapes,2016-12-13,
Filter70_Grapes,Fruitcake,2016-12-13,
Filter71_Grapes,Grape Jam,2016-12-13,
Filter72_Grapes,Grape Juice,2016-12-13,
Filter73_Grapes,Goat Cheese Toast,2016-12-13,
Filter74_Soup,PotatoSoup,2016-12-13,
Filter75_Bouquet,Bright Bouquet,2017-10-19,
Filter76_Bouquet,Rustic Bouquet,2017-10-19,
Filter77_Bouquet,Soft Bouquet,2017-10-19,
Filter78_Flower,FlowerCrown,2017-10-18,
Filter79_Flower,Flower Shawl,2017-10-18,
Filter80_New,Pasta Carbonara,2017-10-17,
Filter81_New,Summer Rolls,2017-10-17,
Filter82_New,Olive Dip,2017-10-17,
Filter83_Flower,Sunflower,2017-10-18,
Filter84_Flower,Peony,2017-10-18,
Filter85_Apr2018,Flower Pendant,2018-04-16,
Filter86_Apr2018,Floral candle,2018-04-16,
Filter87_Apr2018,Spicy spaghetti,2018-04-16,
Filter88_Apr2018,Onion melt,2018-04-16,
Filter89_Apr2018,Caramel latte,2018-04-16,
Filter90_Apr2018,Candy bouquet,2018-04-16,
Filter91_Apr2018,Cocoa smoothie,2018-04-16,
Filter92_Apr2018,Big sushi roll,2018-04-16,
Filter93_Jun2018,Mint,2018-06-26,
Filter93_Jun2018,Watermelon,2018-06-26,
Filter93_Jun2018,Bellpepper,2018-06-26,
Filter93_Jun2018,Plum,2018-06-26,
Filter93_Jun2018,MintIcecream,2018-06-26,
Filter93_Jun2018,PlumJam,2018-06-26,
Filter93_Jun2018,WatermelonLemonade,2018-06-26,
Filter93_Jun2018,VeggieDip,2018-06-26,
Filter93_Jun2018,PlumSmoothie,2018-06-26,
Filter93_Jun2018,PepperSoup,2018-06-26,
Filter93_Jun2018,MintTea,2018-06-26,
Filter94_Mar2020,Cheese fondue,2020-04-04,
Filter94_Mar2020,Meat fondue,2020-04-04,
Filter94_Mar2020,Chocolate fondue,2020-04-04,
Filter94_Mar2020,Spicy fish,2020-04-03,
Filter94_Mar2020,Fried rice,2020-04-03,
Filter94_Mar2020,Tofu stir fry,2020-04-03,
Filter94_Mar2020,Lily,2020-03-31,
Filter94_Mar2020,Garlic,2020-03-31,
Filter94_Mar2020,Beetroot,2020-03-31,
Filter95_Jun2020,Loaded Fries,2020-07-03,
Filter96_Jun2020,Stuffed Peppers,2020-07-03,
Filter97_Jun2020,Hand Pies,2020-07-03,
Filter98_Jun2020,Peanut noodles,2020-06-30,
Filter99_Jun2020,PeanutBag,2020-06-30,
Filter100_Jun2020,PBJ Sandwich,2020-06-30,
Filter101_Jun2020,CandiedPeanuts,2020-06-30,
Filter102_Apr2021,Exfoliating Soap,2021-04-23,
Filter103_Apr2021,Face Mask,2021-04-23,
Filter104_Apr2021,Honey Soap,2021-04-23,
Filter105_Apr2021,Lemon Lotion,2021-04-23,
Filter106_Jun2021,Plain donut,2021-07-02,
Filter107_Jun2021,Cream donut,2021-07-02,
Filter108_Jun2021,Bacon donut,2021-07-02,
Filter109_Jun2021,Filled donut,2021-07-02,
Filter110_Jun2021,Crunchy donut,2021-07-02,
Filter111_Jun2021,Sprinkles donut,2021-07-02,
Filter112_Oct2021,Dried Fruit,2021-10-22,
Filter113_Oct2021,Pickles,2021-10-22,
Filter114_Oct2021,Canned Fish,2021-10-22,
Filter115_Oct2021,Kimchi,2021-10-22,
Filter116_Nov2021,Affogato,2021-12-02,
Filter117_Nov2021,Clay,2021-12-02,
Filter118_Nov2021,Tea Pot,2021-12-02,
Filter119_Nov2021,Plant pot,2021-12-02,
Filter120_Nov2021,Mug,2021-12-02,
Filter121_Apr2022,Rich Fudge,2022-05-04,
Filter122_Apr2022,Mint Fudge,2022-05-04,
Filter123_Apr2022,Chili Fudge,2022-05-04,
Filter124_Apr2022,Lemon Fudge,2022-05-04,
Filter125_Apr2022,Peanut Fudge,2022-05-04,
Filter126_Apr2022,Hummus,2022-05-04,
Filter127_Apr2022,Falafel,2022-05-04,
Filter128_Apr2022,Samosa,2022-05-04,
Filter129_Apr2022,Hummus Wrap,2022-05-04,
Filter130_Jun2022,Plain Yoghurt,2022-06-20,
Filter131_Jun2022,Strawberry Yoghurt,2022-06-20,
Filter132_Jun2022,Tropical Yoghurt,2022-06-20,
Filter133_Jun2022,Mango,2022-06-20,
Filter134_Jun2022,Mango Juice,2022-06-20,
Filter135_Jun2022,Tropical fondue,2022-06-20,
Filter136_Mar2024,Lemon essential oil,2024-03-23,
Filter137_Mar2024,Mint essential oil,2024-03-23,
Filter138_Dec2024,Fresh Diffuser,2024-12-14,
Filter139_Dec2024,Calming Diffuser,2024-12-14,
Filter140_Dec2024,Zesty Perfume,2024-12-14,
