Name,ShopIconFileName,ShopIconExportName,ShopIconAnimScale,ShopIconClipped,UnlockLevel,RepUnlockLevel,ShopOrder,FileName,ExportName,FenceBelowExportName,FenceRightExportName,FenceCornerExportName,FenceShopExportName,TileWidth,TileHeight,Price,DiamondPrice,PriceIncrease,DoPriceIncreaseEveryNObject,ShopDescriptionTID,TID,BuySound,TapSound,CanBuy,SpinWheelPrize,BuyExp,Passable,Theme,TagSpecial,TagNature,TagDeco,TagSanctuary,TagStatue,HideFromLevelUpScreen,SanctuaryAnimal,PerceivedValue,UseCase,PendingRelease,UseMultiPreview
FlowerFence,,,,,1,0,,sc/decos04_pathsandfences.sc,bavarian_fence_pole,bavarian_fence,bavarian_fence_mirrored,bavarian_fence_corner,,1,1,,999,,,TID_FENCES_DESCRIPTION,TID_DECO_FLOWERFENCE,Buy,TapDecorationGeneric,,,,,,,,,,,,,800,FP,,TRUE
PencilFence,,,,,1,0,,sc/decos04_pathsandfences.sc,pencil_fence_pole,pencil_fence,pencil_fence_mirrored,pencil_fence_corner,,1,1,,999,,,TID_FENCES_DESCRIPTION,TID_DECO_PENCILFENCE,Buy,TapDecorationGeneric,,,,,,,,,,,,,800,Conversion,,TRUE
CNYFence,,,,,1,0,-1,sc/decos02_seasonal.sc,china_fence01_pole,china_fence01,china_fence01_mirrored,china_fence01_corner,,1,1,,999,,,TID_CNY_DECO_DESC,TID_CNY_FENCE,Buy,TapDecorationGeneric,,,,,ChineseNewYear,,,,,,,,,FP,,TRUE
FallFence,,,,,1,0,-1,sc/decos04_pathsandfences.sc,manor_wall_pole,manor_wall,manor_wall_mirrored,manor_wall_corner,,1,1,,999,,,TID_WALL_DESCRIPTION,TID_DECO_FALLFENCE,Buy,TapDecorationGeneric,,,,,,,,,,,,,800,,,TRUE
CNYPillars,,,,,1,0,,sc/decos02_seasonal.sc,fence_cnypilar_pole,fence_cnypilar,fence_cnypilar_mirrored,fence_cnypilar_corner,,1,1,,999,,,TID_CNY_DECO_DESC,TID_DECO_LANTERNFENCE,Buy,TapDecorationGeneric,,,,,ChineseNewYear,,,,,,,,,,,TRUE
WinterLoveFence,,,,,1,0,,sc/decos02_seasonal.sc,winterlove_fence_pole,winterlove_fence,winterlove_fence_mirrored,winterlove_fence_corner,,1,1,,5,,,TID_DECO_CHRISTMAS_LIGHT_FENCE_DESC,TID_DECO_WINTERFENCE,Buy,TapDecorationGeneric,TRUE,,,,Christmas,,,,,,,,800,,,TRUE
Trellis fence,,,,,1,0,,sc/decos04_pathsandfences.sc,yellowtrellis_fence_pole,yellowtrellis_fence,yellowtrellis_fence_mirrored,yellowtrellis_fence_corner,,1,1,,999,,,TID_FENCES_DESCRIPTION,TID_DECO_TRELLISFENCE,Buy,TapDecorationGeneric,,TRUE,,,,TRUE,,,,,,,800,,,TRUE
Log path,,,,,1,0,,sc/decos04_pathsandfences.sc,logpath_plain,logpath_plain,logpath_plain,logpath_plain,,1,1,,999,,,TID_PATHS_DESCRIPTION,TID_DECO_LOGPATH,Buy,TapDecorationGeneric,,TRUE,,TRUE,,TRUE,TRUE,,,,,,800,,,
Wheel fence,,,,,1,0,,sc/decos04_pathsandfences.sc,wagonwheel_fence_pole,wagonwheel_fence,wagonwheel_fence_mirrored,wagonwheel_fence_corner,,1,1,,999,,,TID_FENCES_DESCRIPTION,TID_DECO_WHEELFENCE,Buy,TapDecorationGeneric,,TRUE,,,,TRUE,,,,,,,800,,,TRUE
Flower path,,,,,1,0,,sc/decos04_pathsandfences.sc,wildflower_patch_blue,wildflower_patch_blue,wildflower_patch_blue,wildflower_patch_blue,,1,1,,999,,,TID_PATHS_DESCRIPTION,TID_DECO_FLOWERPATH,Buy,TapDecorationGeneric,,TRUE,,TRUE,,TRUE,TRUE,,,,,,800,Conversion,,
Rainbow flower path,,,,,1,0,,sc/decos04_pathsandfences.sc,wildflower_patch_rainbow,wildflower_patch_rainbow,wildflower_patch_rainbow,wildflower_patch_rainbow,,1,1,,999,,,TID_PATHS_DESCRIPTION,TID_DECO_RAINBOWFLOWERPATH,Buy,TapDecorationGeneric,,TRUE,,TRUE,,TRUE,TRUE,,,,,,800,,,
Flower log path,,,,,1,0,,sc/decos04_pathsandfences.sc,logpath_flowers,logpath_flowers,logpath_flowers,logpath_flowers,,1,1,,999,,,TID_PATHS_DESCRIPTION,TID_DECO_FLOWERLOGPATH,Buy,TapDecorationGeneric,,TRUE,,TRUE,,TRUE,TRUE,,,,,,800,FP,,
Mushroom path,,,,,1,0,,sc/decos04_pathsandfences.sc,mushroom_path_pole,mushroom_path,mushroom_path_mirrored,mushroom_path_corner,,1,1,,999,,,TID_PATHS_DESCRIPTION,TID_DECO_MUSHROOMPATH,Buy,TapDecorationGeneric,,,,TRUE,,TRUE,TRUE,,,,,,800,FP,,
CNY Red fence,,,,,1,0,,sc/decos02_seasonal.sc,fence_red_pole,fence_red,fence_red_mirrored,fence_red_corner,,1,1,,999,,,TID_CNY_DECO_DESC,TID_DECO_REDFENCE,Buy,TapDecorationGeneric,,,,,ChineseNewYear,,,,,,,,,,,TRUE
Star fence,,,,,1,0,,sc/decos02_seasonal.sc,starfence_pole,starfence,starfence_mirrored,starfence_corner,,1,1,,999,,,TID_FENCES_DESCRIPTION,TID_DECO_STARFENCE,Buy,TapDecorationGeneric,,,,,ChineseNewYear,,,,,,,,,,,TRUE
Ramadan fence,,,,,1,0,,sc/decos02_seasonal.sc,ramadanfence_pole,ramadanfence,ramadanfence_mirrored,ramadanfence_corner,,1,1,,999,,,TID_DECO_RAMADAN_DESCRIPTION,TID_DECO_RAMFENCE,Buy,TapDecorationGeneric,,,,,,,,,,,,,,Shop,,TRUE
Poisonous mushroom path,,,115,,1,0,,sc/decos04_pathsandfences.sc,poisonous_mushroom_path_pole,poisonous_mushroom_path,poisonous_mushroom_path_mirrored,poisonous_mushroom_path_corner,,1,1,,999,,,TID_PATHS_DESCRIPTION,TID_DECO_POISONPATH,Buy,TapDecorationGeneric,,,,,,TRUE,TRUE,,,,,,800,Shop,,
Pasture fence cow,,,,,1,0,,sc/decos04_pathsandfences.sc,cow_fence_pole,cow_fence,cow_fence_mirrored,cow_fence_corner,,1,1,999,,100,1,TID_FENCES_DESCRIPTION,TID_DECO_COWFENCE,Buy,TapDecorationGeneric,TRUE,,5,,,,,TRUE,,,,,800,,,TRUE
Pasture fence chicken,,,,,1,0,,sc/decos04_pathsandfences.sc,chicken_fence_pole,chicken_fence,chicken_fence_mirrored,chicken_fence_corner,,1,1,999,,100,1,TID_FENCES_DESCRIPTION,TID_DECO_CHICKENFENCE,Buy,TapDecorationGeneric,TRUE,,5,,,,,TRUE,,,,,800,,,TRUE
Classic farm fence,,,,,1,0,,sc/decos04_pathsandfences.sc,cross_fence_pole,cross_fence,cross_fence_mirrored,cross_fence_corner,,1,1,,999,,,TID_FENCES_DESCRIPTION,TID_DECO_FARMFENCE,Buy,TapDecorationGeneric,,,,,,TRUE,,TRUE,,,,,800,,,TRUE
Valentine's Fence,,,,,1,0,,sc/decos02_seasonal.sc,fence_Valentines20_pole,fence_Valentines20,fence_Valentines20_mirrored,fence_Valentines20_corner,,1,1,,999,,,TID_FENCES_DESCRIPTION,TID_DECO_HEART_FENCE,Buy,TapDecorationGeneric,,,,,ChineseNewYear,TRUE,,TRUE,,,,,800,Shop,,TRUE
Halloween Fence,,,,,1,0,,sc/decos04_pathsandfences.sc,fence_halloween_pole,fence_halloween,fence_halloween_mirrored,fence_halloween_corner,,1,1,,999,,,TID_DECO_HALLOWEEN_FENCE_08_DESC,TID_DECO_DARKFENCE,Buy,TapDecorationGeneric,,,,,Halloween,TRUE,,,,,,,,FP,,TRUE
Hollyhedge Fence,,,,,1,0,,sc/decos04_pathsandfences.sc,fence_hollyhedge_pole,fence_hollyhedge,fence_hollyhedge_mirrored,fence_hollyhedge_corner,,1,1,,5,,,TID_DECO_CHRISTMAS_LIGHT_FENCE_DESC,TID_DECO_HOLLYHEDGE,Buy,TapDecorationGeneric,TRUE,,,,Christmas,,,,,,,,,FP,,TRUE
Star path,,,,,1,0,,sc/decos04_pathsandfences.sc,starpath,starpath,starpath,starpath,,1,1,,999,,,TID_PATHS_DESCRIPTION,TID_DECO_STARTILE,Buy,TapDecorationGeneric,,,,TRUE,Christmas,TRUE,TRUE,,,,,,800,FP,,
Alpine Fence,,,,,1,0,,sc/decos04_pathsandfences.sc,alpine_fence_pole,alpine_fence,alpine_fence_mirrored,alpine_fence_corner,,1,1,,999,,,TID_FENCES_DESCRIPTION,TID_DECO_ALPINEFENCE,Buy,TapDecorationGeneric,,,,,ChineseNewYear,TRUE,,,,,,,800,FP,,TRUE
Crocus patch,,,,,1,0,,sc/decos04_pathsandfences.sc,crocus_patch,crocus_patch,crocus_patch,crocus_patch,,1,1,,999,,,TID_PATHS_DESCRIPTION,TID_DECO_CROCUS,Buy,TapDecorationGeneric,,,,,,TRUE,TRUE,,,,,,800,FP,,
Spring Fence,,,,,1,0,,sc/decos04_pathsandfences.sc,fence_beefence_pole,fence_beefence,fence_beefence_mirrored,fence_beefence_corner,,1,1,,999,,,TID_FENCES_DESCRIPTION,TID_DECO_SPRINGFENCE,Buy,TapDecorationGeneric,,,,,,,,,,,,,800,FP,,TRUE
Party Fence,,,,,1,0,,sc/decos04_pathsandfences.sc,fence_partyfence_pole,fence_partyfence,fence_partyfence_mirrored,fence_partyfence_corner,,1,1,,999,,,TID_FENCES_DESCRIPTION,TID_DECO_PARTY_FENCE,Buy,TapDecorationGeneric,,,,,,,,,,,,,800,Shop,,TRUE
Beach Fence,,,140,,1,0,,sc/decos04_pathsandfences.sc,beach_fence_pole,beach_fence,beach_fence_mirrored,beach_fence_corner,,1,1,,999,,,TID_FENCES_DESCRIPTION,TID_DECO_BEACHFENCE,Buy,TapDecorationGeneric,,,,,,,,,,,,,800,Shop,,TRUE
Fall Hedge,,,,,1,0,,sc/decos04_pathsandfences.sc,fall_hedge_pole,fall_hedge_01,fall_hedge_01_mirrored,fall_hedge_corner,,1,1,,999,,,TID_HEDGES_DESCRIPTION,TID_DECO_FALL_HEDGE,Buy,TapDecorationGeneric,,,,,,,,,,,,,800,FP,,TRUE
Sugarskull path,,,,,1,0,,sc/decos04_pathsandfences.sc,sugarskull_path_pole,sugarskull_path,sugarskull_path_mirrored,sugarskull_path_corner,,1,1,,999,,,TID_DECO_HAUNTED_BIRDHOUSE_DESC,TID_DECO_SUGARSKULL_PATH,Buy,TapDecorationGeneric,,,,,Halloween,TRUE,TRUE,,,,,,800,FP,,
Snowcastle fence,,,,,1,0,,sc/decos04_pathsandfences.sc,fence_snowcastlefence_pole,fence_snowcastlefence,fence_snowcastlefence_mirrored,fence_snowcastlefence_corner,,1,1,,999,,,TID_FENCES_DESCRIPTION,TID_DECO_SNOWCASTLEFENCE,Buy,TapDecorationGeneric,,,,,Winter,TRUE,TRUE,,,,,,800,Shop,,TRUE
Rosepetal path,,,,,1,0,,sc/decos04_pathsandfences.sc,rosepetal_path_pole,rosepetal_path,rosepetal_path_mirrored,rosepetal_path_corner,,1,1,,999,,,TID_PATHS_DESCRIPTION,TID_DECO_ROSEPETAL_PATH,Buy,TapDecorationGeneric,,,,TRUE,,TRUE,TRUE,,,,,,800,Shop,,
Hanami path,,,,,1,0,,sc/decos04_pathsandfences.sc,hanami_path,hanami_path,hanami_path,hanami_path,,1,1,,999,,,TID_PATHS_DESCRIPTION,TID_DECO_HANAMI_PATH,Buy,TapDecorationGeneric,,,,TRUE,,TRUE,TRUE,,,,,,800,FP,,
Purple Hedge,,,110,,1,0,,sc/decos04_pathsandfences.sc,purple_hedge_pole,purple_hedge,purple_hedge_mirrored,purple_hedge_corner,,1,1,,999,,,TID_HEDGES_DESCRIPTION,TID_DECO_PURPLE_HEDGE,Buy,TapDecorationGeneric,,TRUE,,,,,,,,,,,800,,,TRUE
Olympic Path,,,120,,1,0,,sc/decos04_pathsandfences.sc,olympic_path,olympic_path,olympic_path,olympic_path,,1,1,,999,,,TID_PATHS_DESCRIPTION,TID_DECO_OLYMPIC_PATH,Buy,TapDecorationGeneric,,,,TRUE,,,,,,,,,800,,,
Olympic fence,,,,,1,0,,sc/decos04_pathsandfences.sc,olympic_fence_pole,olympic_fence,olympic_fence_mirrored,olympic_fence_corner,,1,1,,999,,,TID_FENCES_DESCRIPTION,TID_DECO_OLYMPIC_FENCE,Buy,TapDecorationGeneric,,,,,,,,,,,,,800,,,TRUE
Orange fence,,,,,1,0,,sc/decos04_pathsandfences.sc,orange_fence_pole,orange_fence,orange_fence_mirrored,orange_fence_corner,,1,1,,999,,,TID_FENCES_DESCRIPTION,TID_DECO_ORANGE_FENCE,Buy,TapDecorationGeneric,,TRUE,,,,,,,,,,,800,,,TRUE
Colorful Path,,,,,1,0,,sc/decos04_pathsandfences.sc,colorful_path_pole,colorful_path,colorful_path_mirrored,colorful_path_corner,,1,1,,999,,,TID_PATHS_DESCRIPTION,TID_DECO_COLORFUL_PATH,Buy,TapDecorationGeneric,,TRUE,,TRUE,,,,,,,,,800,,,
Mosaic Path,,,110,,1,0,,sc/decos04_pathsandfences.sc,ramadan_path,ramadan_path,ramadan_path,ramadan_path,,1,1,,999,,,TID_PATHS_DESCRIPTION,TID_DECO_MOSAIC_PATH,Buy,TapDecorationGeneric,,TRUE,,TRUE,,,,,,,,,,,,
Flag fence,,,,,1,0,,sc/decos04_pathsandfences.sc,fence_10th_birthday_pole,fence_10th_birthday,fence_10th_birthday_mirrored,fence_10th_birthday_corner,,1,1,,999,,,TID_FENCES_DESCRIPTION,TID_DECO_FLAG_FENCE,Buy,TapDecorationGeneric,,TRUE,,,,,,,,,,,800,FP,,TRUE
Birdhouse fence,,,,,1,0,,sc/decos04_pathsandfences.sc,pet_bird_fence_pole,pet_bird_fence,pet_bird_fence_mirrored,pet_bird_fence_corner,,1,1,,999,,,TID_FENCES_DESCRIPTION,TID_DECO_BIRDHOUSE_FENCE,Buy,TapDecorationGeneric,,TRUE,,,,,,,,,,,800,,,TRUE
Rustic fence,,,,,1,0,,sc/decos04_pathsandfences.sc,rustic_fence_pole,rustic_fence,rustic_fence_mirrored,rustic_fence_corner,,1,1,,999,,,TID_FENCES_DESCRIPTION,TID_DECO_RUSTIC_FENCE,Buy,TapDecorationGeneric,,TRUE,,,,,,,,,,,800,,,TRUE
Succulent path,,,,,1,0,,sc/decos04_pathsandfences.sc,succulent_path_pole,succulent_path,succulent_path_mirrored,succulent_path_corner,,1,1,,999,,,TID_PATHS_DESCRIPTION,TID_DECO_SUCCULENT_PATH,Buy,TapDecorationGeneric,,,,TRUE,,TRUE,TRUE,,,,,,800,,,
Potted fence,,,,,1,0,,sc/decos04_pathsandfences.sc,potted_fence_pole,potted_fence,potted_fence_mirrored,potted_fence_corner,,1,1,,999,,,TID_FENCES_DESCRIPTION,TID_DECO_POTTED_FENCE,Buy,TapDecorationGeneric,,,,,,,,,,,,,800,FP,,TRUE
Restaurant fence,,,,,1,0,,sc/decos04_pathsandfences.sc,table_fence_pole,table_fence,table_fence_mirrored,table_fence_corner,,1,1,,999,,,TID_FENCES_DESCRIPTION,TID_DECO_RESTAURANT_FENCE,Buy,TapDecorationGeneric,,TRUE,,,,,,,,,,,,,,TRUE
Brick path,,,110,,1,0,,sc/decos04_pathsandfences.sc,brick_path_pole,brick_path,brick_path_mirrored,brick_path_corner,,1,1,,999,,,TID_PATHS_DESCRIPTION,TID_DECO_BRICK_PATH,Buy,TapDecorationGeneric,,,,TRUE,,TRUE,TRUE,,,,,,,,,
Stable fence,,,,,1,0,,sc/decos04_pathsandfences.sc,stable_fence_pole,stable_fence,stable_fence_mirrored,stable_fence_corner,,1,1,,999,,,TID_FENCES_DESCRIPTION,TID_DECO_STABLE_FENCE,Buy,TapDecorationGeneric,,,,,,,,,,,,,,,,TRUE
Halloween path,,,90,,1,0,,sc/decos04_pathsandfences.sc,halloween_path,halloween_path,halloween_path,halloween_path,,1,1,,999,,,TID_PATHS_DESCRIPTION,TID_DECO_HALLOWEENPATH,Buy,TapDecorationGeneric,,,,TRUE,,TRUE,TRUE,,,,,,800,,,
Jade path,,,115,,1,0,,sc/decos04_pathsandfences.sc,jade_path,jade_path,jade_path,jade_path,,1,1,,999,,,TID_PATHS_DESCRIPTION,TID_DECO_JADE_PATH,Buy,TapDecorationGeneric,,,,TRUE,,,,,,,,,800,,,
Bamboo fence,,,,,1,0,,sc/decos04_pathsandfences.sc,bamboo_fence_pole,bamboo_fence,bamboo_fence_mirrored,bamboo_fence_corner,,1,1,,999,,,TID_FENCES_DESCRIPTION,TID_DECO_BAMBOO_FENCE,Buy,TapDecorationGeneric,,,,,,,,,,,,,800,,,TRUE
Masonry fence,,,,,1,0,,sc/decos04_pathsandfences.sc,masonry_fence_pole,masonry_fence,masonry_fence_mirrored,masonry_fence_corner,,1,1,,999,,,TID_FENCES_DESCRIPTION,TID_DECO_MASONRY_FENCE,Buy,TapDecorationGeneric,,,,,,,,,,,,,800,,,TRUE
Easter tile,,,120,,1,0,,sc/decos04_pathsandfences.sc,easter_tile,easter_tile,easter_tile,easter_tile,,1,1,,999,,,TID_PATHS_DESCRIPTION,TID_DECO_EASTER_TILE,Buy,TapDecorationGeneric,,,,TRUE,Easter,,,,,,,,800,,,
Bunny hedge,,,,,1,0,,sc/decos04_pathsandfences.sc,bunnyhedge_pole,bunnyhedge_fence,bunnyhedge_mirrored,bunnyhedge_corner,,1,1,,999,,,TID_HEDGES_DESCRIPTION,TID_DECO_BUNNY_HEDGE,Buy,TapDecorationGeneric,,,,,,,,,,,,,,,,TRUE
Venetian fence,,,,,1,0,,sc/decos04_pathsandfences.sc,venetian_fence_pole,venetian_fence,venetian_fence_mirrored,venetian_fence_corner,,1,1,,999,,,TID_FENCES_DESCRIPTION,TID_DECO_VENETIAN_FENCE,Buy,TapDecorationGeneric,,,,,,,,,,,,,,,,TRUE
Crescent tile,,,120,,1,0,,sc/decos04_pathsandfences.sc,crescent_path,crescent_path,crescent_path,crescent_path,,1,1,,999,,,TID_PATHS_DESCRIPTION,TID_DECO_CRESCENT_TILE,Buy,TapDecorationGeneric,,,,TRUE,,,,,,,,,800,,,
Crescent fence,,,,,1,0,,sc/decos04_pathsandfences.sc,crescent_fence_pole,crescent_fence,crescent_fence_mirrored,crescent_fence_corner,,1,1,,999,,,TID_FENCES_DESCRIPTION,TID_DECO_CRESCENT_FENCE,Buy,TapDecorationGeneric,,,,,,,,,,,,,,,,TRUE
Rainbow path,,,,,1,0,,sc/decos04_pathsandfences.sc,rainbow_path,rainbow_path,rainbow_path,rainbow_path,,1,1,,999,,,TID_PATHS_DESCRIPTION,TID_DECO_RAINBOW_PATH,Buy,TapDecorationGeneric,,,,TRUE,,,,,,,,,,,,
Horseshoe fence,,,,,1,0,,sc/decos04_pathsandfences.sc,horseshoe_fence_pole,horseshoe_fence_fence,horseshoe_fence_mirrored,horseshoe_fence_corner,,1,1,,999,,,TID_FENCES_DESCRIPTION,TID_DECO_HORSESHOE_FENCE,Buy,TapDecorationGeneric,,,,,,,,,,,,,,,,TRUE
Gravel path grey,,,,,1,0,,sc/decos04_pathsandfences.sc,gravel_grey_path,gravel_grey_path,gravel_grey_path,gravel_grey_path,,1,1,,999,,,TID_PATHS_DESCRIPTION,TID_DECO_GRAVEL_GRAY,Buy,TapDecorationGeneric,,,,TRUE,,,,,,,,,,,,
