Name,CollectionTool,CollectionToolAmount,TapSound,LimitedCollectionTool,LimitedCollectionToolAmount
1460,Land Deed,65,MenuBleep,Expansion Key,22
,Mallet,65,,,
,Marker Stake,65,,,
1470,Land Deed,1000,MenuBleep,Expansion Key,
,Mallet,1000,,,
,Marker Stake,1000,,,
1480,Land Deed,1000,MenuBleep,Expansion Key,
,Mallet,1000,,,
,Marker Stake,1000,,,
1490,Land Deed,35,MenuBleep,Expansion Key,12
,Mallet,35,,,
,Marker Stake,35,,,
1500,Land Deed,77,MenuBleep,Expansion Key,21
,Mallet,77,,,
,Marker Stake,77,,,
1510,Land Deed,73,MenuBleep,Expansion Key,21
,Mallet,73,,,
,Marker Stake,73,,,
1520,Land Deed,80,MenuBleep,Expansion Key,22
,Mallet,80,,,
,Marker Stake,80,,,
1530,Land Deed,1000,MenuBleep,Expansion Key,
,Mallet,1000,,,
,Marker Stake,1000,,,
1540,Land Deed,70,MenuBleep,Expansion Key,22
,Mallet,70,,,
,Marker Stake,70,,,
1550,Land Deed,68,MenuBleep,Expansion Key,19
,Mallet,68,,,
,Marker Stake,68,,,
1560,Land Deed,60,MenuBleep,Expansion Key,19
,Mallet,60,,,
,Marker Stake,60,,,
1570,Land Deed,70,MenuBleep,Expansion Key,20
,Mallet,70,,,
,Marker Stake,70,,,
1580,Land Deed,46,MenuBleep,Expansion Key,15
,Mallet,46,,,
,Marker Stake,46,,,
1590,Land Deed,42,MenuBleep,Expansion Key,15
,Mallet,42,,,
,Marker Stake,42,,,
1600,Land Deed,64,MenuBleep,Expansion Key,20
,Mallet,64,,,
,Marker Stake,64,,,
1610,Land Deed,70,MenuBleep,Expansion Key,22
,Mallet,70,,,
,Marker Stake,70,,,
1620,Land Deed,55,MenuBleep,Expansion Key,19
,Mallet,55,,,
,Marker Stake,55,,,
1630,Land Deed,58,MenuBleep,Expansion Key,19
,Mallet,58,,,
,Marker Stake,58,,,
1640,Land Deed,44,MenuBleep,Expansion Key,18
,Mallet,44,,,
,Marker Stake,44,,,
1650,Land Deed,68,MenuBleep,Expansion Key,19
,Mallet,68,,,
,Marker Stake,68,,,
1660,Land Deed,60,MenuBleep,Expansion Key,17
,Mallet,60,,,
,Marker Stake,60,,,
1670,Land Deed,40,MenuBleep,Expansion Key,16
,Mallet,40,,,
,Marker Stake,40,,,
1680,Land Deed,50,MenuBleep,Expansion Key,17
,Mallet,50,,,
,Marker Stake,50,,,
1690,Land Deed,63,MenuBleep,Expansion Key,18
,Mallet,63,,,
,Marker Stake,63,,,
1700,Land Deed,60,MenuBleep,Expansion Key,20
,Mallet,60,,,
,Marker Stake,60,,,
1710,Land Deed,50,MenuBleep,Expansion Key,13
,Mallet,50,,,
,Marker Stake,50,,,
1720,Land Deed,64,MenuBleep,Expansion Key,20
,Mallet,64,,,
,Marker Stake,64,,,
1730,Land Deed,56,MenuBleep,Expansion Key,19
,Mallet,56,,,
,Marker Stake,56,,,
1740,Land Deed,53,MenuBleep,Expansion Key,16
,Mallet,53,,,
,Marker Stake,53,,,
1750,Land Deed,65,MenuBleep,Expansion Key,18
,Mallet,65,,,
,Marker Stake,65,,,
1760,Land Deed,58,MenuBleep,Expansion Key,16
,Mallet,58,,,
,Marker Stake,58,,,
1770,Land Deed,56,MenuBleep,Expansion Key,14
,Mallet,56,,,
,Marker Stake,56,,,
1780,Land Deed,48,MenuBleep,Expansion Key,12
,Mallet,48,,,
,Marker Stake,48,,,
1790,Land Deed,44,MenuBleep,Expansion Key,10
,Mallet,44,,,
,Marker Stake,44,,,
1800,Land Deed,55,MenuBleep,Expansion Key,6
,Mallet,55,,,
,Marker Stake,55,,,
1810,Land Deed,50,MenuBleep,Expansion Key,4
,Mallet,50,,,
,Marker Stake,50,,,
1820,Land Deed,62,MenuBleep,Expansion Key,12
,Mallet,62,,,
,Marker Stake,62,,,
1830,Land Deed,74,MenuBleep,Expansion Key,21
,Mallet,74,,,
,Marker Stake,74,,,
