Name,ParentName,UnlockLevel,HappyDurationMinutes,FedDurationMinutes,Habitat,FileName,ShopIconExportName,ShopIconAnimScale,ShopIconClipped,MaxPathLength,MaxDistanceFromHouse,MaxDistanceFromHouseHungry,Exp,StateIdleExportName,StateIdleHungryExportName,StateIdleMinMS,StateIdleMaxMS,StateTapExportName,StateTapMinMS,StateTapMaxMS,StateRunExportName,StateMoveExportName,StateMoveHungryExportName,StateMoveMinMS,StateMoveMaxMS,StateRunMinMS,StateRunMaxMS,Speed,HungrySpeed,RunSpeed,StateEatExportName,StateEatMinMS,StateEatMaxMS,StateSleepExportName,StateSleepMinMS,StateSleepMaxMS,TID,DescriptionTID,ReadyNotificationName,TapSound,CollectSound,BuySound,FeedSound,RandomSounds,MaxCountColumnName,SpecialDropCounterIncrease,RandomAnimationFrame,ShopOrder,PuzzlePiece,PuzzlePieceCount,PuzzlePieceExportName,PuzzleBgExportName,ReputationUnlockLevel,StateTapWalkMinMS,StateTapWalkMaxMS,TapWalkSpeed,MaxDistanceFromHouseTapped,StateIdleHungryMinMS,StateIdleHungryMaxMS,SmallIconExportName,MapStatesExportName,AssetScale,PendingRelease
,,,,,,,,,,,,,,giraffe_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,giraffe_idle03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giraffe2,,34,0,600,GiraffeHouse,sc/animals03.sc,,,,150,25,10,25,giraffe2_idle01,giraffe2_hungry,4900,9800,giraffe2_scared,6300,6300,giraffe2_run,giraffe2_walk,giraffe2_walk,2100,12500,1100,11500,11,4,55,giraffe2_eating,4400,8800,giraffe2_sleeping,2600,2600,TID_GIRAFFE2,TID_GIRAFFE2_DESCRIPTION,,GiraffeTap,GiraffeTap,Buy,,GiraffeIdle,,8,FALSE,2000,Puzzle Piece 1,36,giraffe02_image_,giraffe02_image_bg,3,6300,6300,16,50,6600,13200,icon_giraffe02,,,
,,,,,,,,,,,,,,giraffe2_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,giraffe2_idle03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElephantCalf1,Elephant1,34,0,600,ElephantHouse,sc/animals05.sc,,,,150,25,10,25,baby_elephant01_idle01,baby_elephant01_hungry,6000,6000,baby_elephant01_special,4700,4700,baby_elephant01_run,baby_elephant01_walk,baby_elephant01_walk,1100,4400,700,7000,11,4,55,baby_elephant01_eating,7100,14200,baby_elephant01_sleep,2000,8000,TID_ELEPHANT_CALF2,TID_ELEPHANT_CALF1_DESCRIPTION,,BabyElephantTap,BabyElephantTap,Buy,,BabyElephantIdle,,8,FALSE,1500,Puzzle Piece 1,36,elephantcalf01_image_,elephantcalf_01_image_bg,3,4700,4700,16,50,5600,11200,icon_head_elephantcalf01,,,
,,,,,,,,,,,,,,baby_elephant01_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElephantCalf2,Elephant2,34,0,600,ElephantHouse,sc/animals05.sc,,,,150,25,10,25,baby_elephant02_idle01,baby_elephant02_hungry,6000,6000,baby_elephant02_special,24600,24600,baby_elephant02_run,baby_elephant02_walk,baby_elephant02_walk,1100,4400,700,7000,15,4,55,baby_elephant02_eating,7100,14200,baby_elephant02_sleep,2000,8000,TID_ELEPHANT_CALF1,TID_ELEPHANT_CALF2_DESCRIPTION,,BabyElephantTap,BabyElephantTap,Buy,,BabyElephantIdle,,8,FALSE,1600,Puzzle Piece 1,36,elephantcalf02_image_,elephantcalf_02_image_bg,3,24600,24600,16,50,5600,11200,icon_head_elephantcalf02,,,
,,,,,,,,,,,,,,baby_elephant02_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HippoCalf1,Hippo1,34,0,600,HippoHouse,sc/animals04.sc,,,,150,25,10,25,hippocalf_idle01,hippocalf_hungry,5100,5100,hippocalf_special,5000,5000,hippocalf_run,hippocalf_walk,hippocalf_walk,1400,8500,700,4200,11,4,30,hippocalf_eating,7850,7850,hippocalf_sleep,2500,7500,TID_HIPPO_CALF2,TID_HIPPO_CALF1_DESCRIPTION,,BabyHippoTap,BabyHippoTap,Buy,,BabyHippoIdle,,8,FALSE,1700,Puzzle Piece 1,36,hippocalf01_image_,hippocalf_01_image_bg,3,20000,20000,16,50,5600,11200,icon_head_hippocalf01,,,
,,,,,,,,,,,,,,hippocalf_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HippoCalf2,Hippo2,34,0,600,HippoHouse,sc/animals04.sc,,,,150,25,10,25,hippocalf02_idle01,hippocalf02_hungry,5100,5100,hippocalf02_special,6500,6500,hippocalf02_run,hippocalf02_walk,hippocalf02_walk,1400,8500,700,4200,11,4,30,hippocalf02_eating,7850,7850,hippocalf02_sleep,2500,7500,TID_HIPPO_CALF1,TID_HIPPO_CALF2_DESCRIPTION,,BabyHippoTap,BabyHippoTap,Buy,,BabyHippoIdle,,8,FALSE,1800,Puzzle Piece 1,36,hippocalf02_image_,hippocalf_02_image_bg,3,21800,21800,16,50,5600,11200,icon_head_hippocalf02,,,
,,,,,,,,,,,,,,hippocalf02_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GiraffeCalf1,Giraffe1,34,0,600,GiraffeHouse,sc/animals05.sc,,,,150,25,10,25,baby_giraffe01_idle01,baby_giraffe01_hungry,5300,5300,baby_giraffe01_special,15000,15000,baby_giraffe01_run,baby_giraffe01_walk,baby_giraffe01_walk,2100,12500,1100,11500,11,4,55,baby_giraffe01_eating,2000,4000,baby_giraffe01_sleep,2000,2000,TID_GIRAFFE_CALF2,TID_GIRAFFE_CALF1_DESCRIPTION,,BabyGiraffeTap,BabyGiraffeTap,Buy,,BabyGiraffeIdle,,8,FALSE,1900,Puzzle Piece 1,36,giraffecalf01_image_,giraffecalf_01_image_bg,3,15000,15000,16,50,6600,13200,icon_head_giraffecalf01,,,
,,,,,,,,,,,,,,baby_giraffe01_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GiraffeCalf2,Giraffe2,34,0,600,GiraffeHouse,sc/animals05.sc,,,,150,25,10,25,baby_giraffe02_idle01,baby_giraffe02_hungry,5300,5300,baby_giraffe02_special,6600,6600,baby_giraffe02_run,baby_giraffe02_walk,baby_giraffe02_walk,2100,12500,1100,11500,11,4,55,baby_giraffe02_eating,2000,4000,baby_giraffe02_sleep,2000,2000,TID_GIRAFFE_CALF1,TID_GIRAFFE_CALF2_DESCRIPTION,,BabyGiraffeTap,BabyGiraffeTap,Buy,,BabyGiraffeIdle,,8,FALSE,2000,Puzzle Piece 1,36,giraffecalf02_image_,giraffecalf_02_image_bg,3,6600,6600,16,50,6600,13200,icon_head_giraffecalf02,,,
,,,,,,,,,,,,,,baby_giraffe02_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zebra1,,34,0,600,ZebraHouse,sc/animals05.sc,,,,150,30,10,25,zebra1_idle01,zebra1_hungry,2900,2900,zebra1_special,2500,2500,zebra1_run,zebra1_walk,zebra1_walk,6000,12000,8000,10000,10,8,60,zebra1_eating,3700,3700,zebra1_sleep,2000,2000,TID_ZEBRA01,TID_ZEBRA01_DESCRIPTION,,ZebraTap,ZebraTap,Buy,,ZebraIdle,,8,FALSE,1900,Puzzle Piece 1,36,zebra01_image_,zebra01_image_bg,3,15000,15000,16,50,7000,9000,icon_head_zebra01,,,
,,,,,,,,,,,,,,zebra1_idle02,,400,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,zebra1_idle03,,2700,2700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zebra2,,34,0,600,ZebraHouse,sc/animals05.sc,,,,150,30,10,25,zebra2_idle01,zebra2_hungry,2900,2900,zebra2_special,2800,2800,zebra2_run,zebra2_walk,zebra2_walk,6000,12000,8000,10000,10,8,60,zebra2_eating,3700,3700,zebra2_sleep,2000,2000,TID_ZEBRA02,TID_ZEBRA02_DESCRIPTION,,ZebraTap,ZebraTap,Buy,,ZebraIdle,,8,FALSE,1900,Puzzle Piece 1,36,zebra02_image_,zebra02_image_bg,3,15000,15000,16,50,7000,9000,icon_head_zebra02,,,
,,,,,,,,,,,,,,zebra2_idle02,,400,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,zebra2_idle03,,2700,2700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZebraCalf1,Zebra1,34,0,600,ZebraHouse,sc/animals05.sc,,,,150,30,10,25,baby_zebra1_idle01,baby_zebra1_hungry,4200,4200,baby_zebra1_special,5500,5500,baby_zebra1_run,baby_zebra1_walk,baby_zebra1_walk,2100,6000,4000,8000,8,8,60,baby_zebra1_eating,5700,5700,baby_zebra1_sleep,2000,2000,TID_ZEBRA_CALF1,TID_ZEBRA_CALF1_DESCRIPTION,,BabyZebraTap,BabyZebraTap,Buy,,BabyZebraIdle,,8,FALSE,1900,Puzzle Piece 1,36,zebracalf01_image_,zebracalf01_image_bg,3,15000,15000,16,50,7000,9000,icon_head_zebracalf01,,,
,,,,,,,,,,,,,,baby_zebra1_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZebraCalf2,Zebra2,34,0,600,ZebraHouse,sc/animals05.sc,,,,150,30,10,25,baby_zebra2_idle01,baby_zebra2_hungry,4200,4200,baby_zebra2_special,4900,5500,baby_zebra2_run,baby_zebra2_walk,baby_zebra2_walk,2100,6000,4000,8000,10,8,60,baby_zebra2_eating,5700,5700,baby_zebra2_sleep,2000,2000,TID_ZEBRA_CALF2,TID_ZEBRA_CALF2_DESCRIPTION,,BabyZebraTap,BabyZebraTap,Buy,,BabyZebraIdle,,8,FALSE,1900,Puzzle Piece 1,36,zebracalf02_image_,zebracalf02_image_bg,3,15000,15000,16,50,7000,9000,icon_head_zebracalf02,,,
,,,,,,,,,,,,,,baby_zebra2_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorilla1,,34,0,600,GorillaHouse,sc/animals05.sc,,,,150,30,10,25,gorilla1_idle01,gorilla1_hungry,4000,6800,gorilla1_special,2200,2200,gorilla1_run,gorilla1_walk,gorilla1_walk,6000,12000,8000,10000,10,8,60,gorilla1_eating,3900,3900,gorilla1_sleep,3180,3180,TID_GORILLA01,TID_GIRAFFE_CALF2_DESCRIPTION,,GorillaTap,GorillaTap,Buy,,GorillaIdle,,8,FALSE,1900,Puzzle Piece 1,36,gorilla01_image_,gorilla01_image_bg,3,15000,15000,16,50,7000,9000,icon_head_gorilla01,,,
,,,,,,,,,,,,,,gorilla1_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,gorilla1_idle03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorilla2,,34,0,600,GorillaHouse,sc/animals05.sc,,,,150,30,10,25,gorilla2_idle01,gorilla2_hungry,4000,6800,gorilla2_special,10000,10000,gorilla2_run,gorilla2_walk,gorilla2_walk,6000,12000,8000,10000,10,8,60,gorilla2_eating,3900,3900,gorilla2_sleep,3180,3180,TID_GORILLA02,TID_GIRAFFE_CALF2_DESCRIPTION,,GorillaTap,GorillaTap,Buy,,GorillaIdle,,8,FALSE,1900,Puzzle Piece 1,36,gorilla02_image_,gorilla02_image_bg,3,15000,15000,16,50,7000,9000,icon_head_gorilla02,,,
,,,,,,,,,,,,,,gorilla2_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,gorilla2_idle03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GorillaCalf1,Gorilla1,34,0,600,GorillaHouse,sc/animals05.sc,,,,150,30,10,25,baby_gorilla1_idle01,baby_gorilla1_hungry,5000,4200,baby_gorilla1_special,9500,5500,baby_gorilla1_run,baby_gorilla1_walk,baby_gorilla1_walk,2100,6000,4000,8000,8,8,60,baby_gorilla1_eating,6000,6000,baby_gorilla1_sleep,3000,3000,TID_GORILLA_CALF01,TID_GIRAFFE_CALF2_DESCRIPTION,,BabyGorillaTap,BabyGorillaTap,Buy,,BabyGorillaIdle,,8,FALSE,1900,Puzzle Piece 1,36,gorillababy01_image_,gorillababy01_image_bg,3,15000,15000,16,50,7000,9000,icon_head_gorillacalf01,,,
,,,,,,,,,,,,,,baby_gorilla1_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GorillaCalf2,Gorilla2,34,0,600,GorillaHouse,sc/animals05.sc,,,,150,30,10,25,baby_gorilla2_idle01,baby_gorilla2_hungry,5000,4200,baby_gorilla2_special,5500,5500,baby_gorilla2_run,baby_gorilla2_walk,baby_gorilla2_walk,2100,6000,4000,8000,8,8,60,baby_gorilla2_eating,6000,6000,baby_gorilla2_sleep,3000,3000,TID_GORILLA_CALF02,TID_GIRAFFE_CALF2_DESCRIPTION,,BabyGorillaTap,BabyGorillaTap,Buy,,BabyGorillaIdle,,8,FALSE,1900,Puzzle Piece 1,36,gorillababy02_image_,gorillababy02_image_bg,3,15000,15000,16,50,7000,9000,icon_head_gorillacalf02,,,
,,,,,,,,,,,,,,baby_gorilla2_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reindeer1,,34,0,600,ReindeerHouse,sc/animals05.sc,,,,150,30,10,25,reindeer01_idle01,reindeer01_hungry,2800,6200,reindeer01_special,4300,4300,reindeer01_run,reindeer01_walk,reindeer01_walk,2100,12000,5000,9000,12,12,60,reindeer01_eating,4000,8000,reindeer01_sleep,2000,8000,TID_REINDEER01,TID_GIRAFFE_CALF2_DESCRIPTION,,ReindeerTap,ReindeerTap,Buy,,ReindeerIdle,,8,FALSE,1900,Puzzle Piece 1,36,reindeer01_image_,reindeer01_image_bg,3,15000,15000,16,50,7000,9000,icon_head_reindeer01,,,
,,,,,,,,,,,,,,reindeer01_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,reindeer01_idle03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reindeer2,,34,0,600,ReindeerHouse,sc/animals05.sc,,,,150,30,10,25,reindeer02_idle01,reindeer02_hungry,2800,6200,reindeer02_special,4300,4300,reindeer02_run,reindeer02_walk,reindeer02_walk,2100,12000,5000,9000,13,13,60,reindeer02_eating,4000,8000,reindeer02_sleep,2000,8000,TID_REINDEER02,TID_GIRAFFE_CALF2_DESCRIPTION,,ReindeerTap,ReindeerTap,Buy,,ReindeerIdle,,8,FALSE,1900,Puzzle Piece 1,36,reindeer02_image_,reindeer02_image_bg,3,15000,15000,16,50,7000,9000,icon_head_reindeer02,,,
,,,,,,,,,,,,,,reindeer02_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,reindeer02_idle03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReindeerCalf1,Reindeer1,34,0,600,ReindeerHouse,sc/animals05.sc,,,,150,30,10,25,baby_reindeer1_idle01,baby_reindeer1_hungry,4200,4200,baby_reindeer1_special01,4200,4200,baby_reindeer1_run01,baby_reindeer1_walk01,baby_reindeer1_walk01,2900,5800,6200,6200,8,8,60,baby_reindeer1_eat01,5900,5900,baby_reindeer1_sleep01,8150,8150,TID_REINDEER_CALF1,TID_GIRAFFE_CALF2_DESCRIPTION,,BabyReindeerTap,BabyReindeerTap,Buy,,BabyReindeerIdle,,8,FALSE,1900,Puzzle Piece 1,36,reindeercalf01_image_,reindeercalf01_image_bg,3,15000,15000,16,50,9000,9000,icon_head_reindeercalf01,,,
,,,,,,,,,,,,,,baby_reindeer1_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReindeerCalf2,Reindeer2,34,0,600,ReindeerHouse,sc/animals05.sc,,,,150,30,10,25,baby_reindeer2_idle01,baby_reindeer2_hungry,4200,4200,baby_reindeer2_special01,4200,4200,baby_reindeer2_run01,baby_reindeer2_walk01,baby_reindeer2_walk01,2900,5800,6200,6200,10,8,60,baby_reindeer2_eat01,5900,5900,baby_reindeer2_sleep01,8150,8150,TID_REINDEER_CALF2,TID_GIRAFFE_CALF2_DESCRIPTION,,BabyReindeerTap,BabyReindeerTap,Buy,,BabyReindeerIdle,,8,FALSE,1900,Puzzle Piece 1,36,reindeercalf02_image_,reindeercalf02_image_bg,3,15000,15000,16,50,9000,9000,icon_head_reindeercalf02,,,
,,,,,,,,,,,,,,baby_reindeer2_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheetah1,,34,0,600,CheetahHouse,sc/animals04.sc,,,,150,30,10,25,cheetah1_idle01,cheetah1_hungry,4000,5000,cheetah1_special,5500,5500,cheetah1_run,cheetah1_walk,cheetah1_walk,4000,8000,1000,5000,6,8,55,cheetah1_eating,6500,13000,cheetah1_sleep,6000,12000,TID_CHEETAH1,TID_GIRAFFE_CALF2_DESCRIPTION,,CheetahTap,CheetahTap,Buy,,CheetahIdle,,8,FALSE,1900,Puzzle Piece 1,36,cheetah01_image_,cheetah01_image_bg,3,15000,15000,16,50,7000,9000,icon_head_cheetah01,,90,
,,,,,,,,,,,,,,cheetah1_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,cheetah1_idle03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheetah2,,34,0,600,CheetahHouse,sc/animals04.sc,,,,150,30,10,25,cheetah2_idle01,cheetah2_hungry,4000,5000,cheetah2_special,5500,5500,cheetah2_run,cheetah2_walk,cheetah2_walk,4000,8000,1000,5000,6,8,55,cheetah2_eating,6500,13000,cheetah2_sleep,6000,12000,TID_CHEETAH2,TID_GIRAFFE_CALF2_DESCRIPTION,,CheetahTap,CheetahTap,Buy,,CheetahIdle,,8,FALSE,1900,Puzzle Piece 1,36,cheetah02_image_,cheetah02_image_bg,3,15000,15000,16,50,7000,9000,icon_head_cheetah02,,90,
,,,,,,,,,,,,,,cheetah2_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,cheetah2_idle03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArcticFox1,,34,0,600,ArcticfoxHouse,sc/animals04.sc,,,,150,30,10,25,arcticfox1_idle01,arcticfox1_hungry,5500,5500,arcticfox1_special,6000,6000,arcticfox1_run,arcticfox1_walk,arcticfox1_walk,1600,4800,500,2500,6,8,55,arcticfox1_eating,10000,10000,arcticfox1_sleep,6000,12000,TID_ARCTIC_FOX1,TID_GIRAFFE_CALF2_DESCRIPTION,,ArcticFoxTap,ArcticFoxTap,Buy,,ArcticFoxIdle,,8,FALSE,1900,Puzzle Piece 1,36,arcticfox01_image_,arcticfox01_image_bg,3,15000,15000,16,50,10000,11500,icon_head_arcticfox01,,,
,,,,,,,,,,,,,,arcticfox1_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,arcticfox1_idle03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArcticFox2,,34,0,600,ArcticfoxHouse,sc/animals04.sc,,,,150,30,10,25,arcticfox2_idle01,arcticfox2_hungry,5500,5500,arcticfox2_special,6000,6000,arcticfox2_run,arcticfox2_walk,arcticfox2_walk,1600,4800,500,2500,6,8,55,arcticfox2_eating,10000,10000,arcticfox2_sleep,6000,12000,TID_ARCTIC_FOX2,TID_GIRAFFE_CALF2_DESCRIPTION,,ArcticFoxTap,ArcticFoxTap,Buy,,ArcticFoxIdle,,8,FALSE,1900,Puzzle Piece 1,36,arcticfox02_image_,arcticfox02_image_bg,3,15000,15000,16,50,10000,11500,icon_head_arcticfox02,,,
,,,,,,,,,,,,,,arcticfox2_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,arcticfox2_idle03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArcticFoxCub1,ArcticFox1,34,0,600,ArcticfoxHouse,sc/animals04.sc,,,,150,30,10,25,baby_arcticfox1_idle01,baby_arcticfox1_hungry,8000,8000,baby_arcticfox1_special,6000,6000,baby_arcticfox1_run,baby_arcticfox1_walk,baby_arcticfox1_walk,1600,4800,1000,5000,8,8,60,baby_arcticfox1_eating,8000,8000,baby_arcticfox1_sleep,4000,8000,TID_ARCTIC_FOX_CUB1,TID_GIRAFFE_CALF2_DESCRIPTION,,ArcticFoxCubTap,ArcticFoxCubTap,Buy,,ArcticFoxCubIdle,,8,FALSE,1900,Puzzle Piece 1,36,arcticfoxbaby01_image_,arcticfoxbaby01_image_bg,3,15000,15000,16,50,9000,9000,icon_head_arcticfoxcub01,,90,
,,,,,,,,,,,,,,baby_arcticfox1_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArcticFoxCub2,ArcticFox2,34,0,600,ArcticfoxHouse,sc/animals04.sc,,,,150,30,10,25,baby_arcticfox2_idle01,baby_arcticfox2_hungry,8000,8000,baby_arcticfox2_special,6000,6000,baby_arcticfox2_run,baby_arcticfox2_walk,baby_arcticfox2_walk,1600,4800,1000,5000,8,8,60,baby_arcticfox2_eating,8000,8000,baby_arcticfox2_sleep,4000,8000,TID_ARCTIC_FOX_CUB2,TID_GIRAFFE_CALF2_DESCRIPTION,,ArcticFoxCubTap,ArcticFoxCubTap,Buy,,ArcticFoxCubIdle,,8,FALSE,1900,Puzzle Piece 1,36,arcticfoxbaby02_image_,arcticfoxbaby02_image_bg,3,15000,15000,16,50,9000,9000,icon_head_arcticfoxcub02,,90,
