,,보상품 id,보상 별 지급량
242,100044,Exp,79
243,100045,Coin,36
244,100045,Exp,36
245,100046,Coin,28
246,100046,Exp,28
247,100047,Coin,73
248,100047,Exp,73
249,100048,Coin,30
250,100048,Exp,30
251,100049,Coin,60
252,100049,Exp,60
253,100050,Coin,200
254,100050,Exp,200
255,100050,AnimalInvite,2
256,100051,Coin,18
257,100051,Exp,18
258,100052,Coin,16
259,100052,Exp,16
260,100053,Coin,133
261,100053,Exp,133
262,100053,AnimalInvite,1
263,100054,Coin,37
264,100054,Exp,37
265,100055,Coin,55
266,100055,Exp,55
267,100056,Coin,126
268,100056,Exp,126
269,100056,AnimalInvite,2
270,100057,Coin,10
271,100057,Exp,100
272,100058,Coin,10
273,100058,Exp,100
274,100059,Coin,10
275,100059,Exp,100
276,100060,Coin,10
277,100060,Exp,100
278,100061,Coin,10
279,100061,Exp,100
280,100062,Coin,10
281,100062,Exp,100
282,100063,Coin,10
283,100063,Exp,100
284,100064,Coin,10
285,100064,Exp,100
286,100065,Coin,10
287,100065,Exp,100
288,100066,Coin,10
289,100066,Exp,100
290,100067,Coin,10
291,100067,Exp,100
292,100068,Coin,10
293,100068,Exp,100
294,100069,Coin,10
295,100069,Exp,100
296,100070,Coin,10
297,100070,Exp,100
298,100071,Coin,10
299,100071,Exp,100
300,100072,Coin,10
301,100072,Exp,100
302,100073,Coin,10
303,100073,Exp,100
304,100074,Coin,10
305,100074,Exp,100
306,100075,Coin,10
307,100075,Exp,100
308,100076,Coin,10
309,100076,Exp,100
310,100077,Coin,10
311,100077,Exp,100
312,100078,Coin,10
313,100078,Exp,100
314,100079,Coin,10
315,100079,Exp,100
316,100080,Coin,10
317,100080,Exp,100
318,100081,Coin,10
319,100081,Exp,100
320,100082,Coin,10
321,100082,Exp,100
322,100083,Coin,10
323,100083,Exp,100
324,TrainDelivery1,Hammer,1
325,TrainDelivery1,Nails,1
326,TrainDelivery1,PaintBucket,1
327,TrainDelivery2,Bricks,1
328,TrainDelivery2,Glass,1
329,TrainDelivery2,WoodPlank,1
330,TrainDelivery2,Shovel,1
331,TrainDelivery3,Axe,1
332,TrainDelivery3,Saw,1
333,TrainDelivery3,Hammer,1
334,TrainDelivery3,Nails,1
335,TrainDelivery3,PaintBucket,1
336,TrainDelivery4,Bricks,1
337,TrainDelivery4,Glass,1
338,TrainDelivery4,WoodPlank,1
339,TrainDelivery5,Shovel,1
340,TrainDelivery5,Axe,1
341,TrainDelivery5,Saw,1
342,TrainDelivery5,Hammer,1
343,TrainDelivery5,Nails,1
344,TrainDelivery6,PaintBucket,1
345,TrainDelivery6,Bricks,1
346,TrainDelivery6,Glass,1
347,TrainDelivery6,WoodPlank,1
348,TrainDelivery7,Shovel,1
349,TrainDelivery7,Axe,1
350,TrainDelivery7,Saw,1
351,TrainDelivery7,Hammer,1
352,TrainDelivery7,Nails,1
353,TrainDelivery8,PaintBucket,1
354,TrainDelivery8,Bricks,1
355,TrainDelivery8,Glass,1
356,TrainDelivery8,WoodPlank,1
357,TrainDelivery9,Shovel,1
358,TrainDelivery9,Axe,1
359,TrainDelivery9,Saw,1
360,TrainDelivery10,Hammer,1
361,TrainDelivery10,Nails,1
362,TrainDelivery10,PaintBucket,1
363,TrainDelivery10,HourGlass,1
364,TrainDelivery10,AnimalInvite,1
365,300001,Cash,1
366,300002,Cash,1
367,300003,Cash,1
368,300004,Cash,1
369,300005,Cash,1
370,300006,Cash,1
371,300007,Cash,1
372,300008,Cash,1
373,300009,Cash,1
374,300010,Cash,1
375,300011,Cash,1
376,300012,Cash,1
377,300013,Cash,1
378,300014,Cash,1
379,300015,Cash,1
380,300016,Cash,1
381,300017,Cash,1
382,300018,Cash,1
383,300019,Cash,1
384,300020,Cash,1
385,300021,Cash,1
386,300022,Cash,1
387,300023,Cash,1
388,300024,Cash,1
389,300025,Cash,1
390,300026,Cash,1
391,300027,Cash,1
392,300028,Cash,1
393,300029,Cash,1
394,300030,Cash,1
395,300031,Cash,1
396,300032,Cash,1
397,300033,Cash,1
398,300034,Cash,1
399,300035,Cash,1
400,300036,Cash,1
401,300037,Cash,1
402,300038,Cash,1
403,300039,Cash,1
404,300040,Cash,1
405,300041,Cash,1
406,300042,Cash,1
407,300043,Cash,1
408,300044,Cash,1
409,300045,Cash,1
410,300046,Cash,1
411,300047,Cash,1
412,300048,Cash,1
413,300049,Cash,1
414,300050,Cash,1
415,300051,Cash,1
416,300052,Cash,1
417,300053,Cash,1
418,300054,Cash,1
419,300055,Cash,1
420,300056,Cash,1
421,300057,Cash,1
422,300058,Cash,1
423,300059,Cash,1
424,300060,Cash,1
425,300061,Cash,1
426,300062,Cash,1
427,300063,Cash,1
428,300064,Cash,1
429,300065,Cash,1
430,300066,Cash,1
431,300067,Cash,1
432,300068,Cash,1
433,300069,Cash,1
434,300070,Cash,1
435,300071,Cash,1
436,300072,Cash,1
437,300073,Cash,1
438,300074,Cash,1
439,300075,Cash,1
440,300076,Cash,1
441,300077,Cash,1
442,300078,Cash,1
443,300079,Cash,1
444,300080,Cash,1
445,300081,Cash,1
446,300082,Cash,1
447,300083,Cash,1
448,300084,Cash,1
449,300085,Cash,1
450,300086,Cash,1
451,300087,Cash,1
452,300088,Cash,1
453,300089,Cash,1
454,300090,Cash,1
455,300091,Cash,1
456,300092,Cash,1
457,300093,Cash,1
458,300094,Cash,1
459,300095,Cash,1
460,300096,Cash,1
461,300097,Cash,1
462,300098,Cash,1
463,300099,Cash,1
464,300100,Cash,1
465,300101,Cash,1
466,300102,Cash,1
467,300103,Cash,1
468,300104,Cash,1
469,300105,Cash,1
470,300106,Cash,1
471,300107,Cash,1
472,300108,Cash,1
473,300109,Cash,1
474,300110,Cash,1
475,300111,Cash,1
476,300112,Cash,1
477,300113,Cash,1
478,300114,Cash,1
479,300115,Cash,1
480,300116,Cash,1
481,300117,Cash,1
482,300118,Cash,1
483,300119,Cash,1
484,300120,Cash,1
485,300121,Cash,1
486,300122,Cash,1
487,300123,Cash,1
488,300124,Cash,1
489,300125,Cash,1
490,300126,Cash,1
491,300127,Cash,1
492,300128,Cash,1
493,300129,Cash,1
494,300130,Cash,1
495,300131,Cash,1
496,300132,Cash,1
497,300133,Cash,1
498,300134,Cash,1
499,300135,Cash,1
500,300136,Cash,1
501,300137,Cash,1
502,300138,Cash,1
503,300139,Cash,1
504,300140,Cash,1
505,300141,Cash,1
506,300142,Cash,1
507,300143,Cash,1
508,300144,Cash,1
509,300145,Cash,1
510,300146,Cash,1
511,300147,Cash,1
512,300148,Cash,1
513,300149,Cash,1
514,300150,Cash,1
515,300151,Cash,1
516,300152,Cash,1
517,300153,Cash,1
518,300154,Cash,1
519,300155,Cash,1
520,300156,Cash,1
521,300157,Cash,1
522,300158,Cash,1
523,300159,Cash,1
524,300160,Cash,1
525,300161,Cash,1
526,300162,Cash,1
527,300163,Cash,1
528,300164,Cash,1
529,300165,Cash,1
530,300166,Cash,1
531,300167,Cash,1
532,300168,Cash,1
533,300169,Cash,1
534,300170,Cash,1
535,300171,Cash,1
536,300172,Cash,1
537,300173,Cash,1
538,300174,Cash,1
539,300175,Cash,1
540,300176,Cash,1
541,300177,Cash,1
542,300178,Cash,1
543,300179,Cash,1
544,300180,Cash,1
545,300181,Cash,1
546,300182,Cash,1
547,300183,Cash,1
548,300184,Cash,1
549,300185,Cash,1
550,300186,Cash,1
551,300187,Cash,1
552,300188,Cash,1
553,300189,Cash,1
554,300190,Cash,1
555,300191,Cash,1
556,300192,Cash,1
557,300193,Cash,1
558,300194,Cash,1
559,300195,Cash,1
560,300196,Cash,1
561,300197,Cash,1
562,300198,Cash,1
563,300199,Cash,1
564,300200,Cash,1
565,300201,Cash,1
566,300202,Cash,1
567,300203,Cash,1
568,300204,Cash,1
569,300205,Cash,1
570,300206,Cash,1
571,300207,Cash,1
572,300208,Cash,1
573,300209,Cash,1
574,300210,Cash,1
575,300211,Cash,1
576,300212,Cash,1
577,300213,Cash,1
578,300214,Cash,1
579,300215,Cash,1
580,300216,Cash,1
581,300217,Cash,1
582,300218,Cash,1
583,300219,Cash,1
584,300220,Cash,1
585,300221,Cash,1
586,300222,Cash,1
587,300223,Cash,1
588,300224,Cash,1
589,300225,Cash,1
590,300226,Cash,1
591,300227,Cash,1
592,300228,Cash,1
593,300229,Cash,1
594,300230,Cash,1
595,300231,Cash,1
596,300232,Cash,1
597,300233,Cash,1
598,300234,Cash,1
599,300235,Cash,1
600,300236,Cash,1
601,300237,Cash,1
602,300238,Cash,1
603,300239,Cash,1
604,300240,Cash,1
605,300241,Cash,1
606,300242,Cash,1
607,300243,Cash,1
608,300244,Cash,1
609,300245,Cash,1
610,300246,Cash,1
611,300247,Cash,1
612,300248,Cash,1
613,300249,Cash,1
614,300250,Cash,1
615,300251,Cash,1
616,300252,Cash,1
617,300253,Cash,1
618,300254,Cash,1
619,300255,Cash,1
620,300256,Cash,1
621,300257,Cash,1
622,300258,Cash,1
623,300259,Cash,1
624,300260,Cash,1
625,300261,Cash,1
626,300262,Cash,1
627,300263,Cash,1
628,300264,Cash,1
629,300265,Cash,1
630,300266,Cash,1
631,300267,Cash,1
632,300268,Cash,1
633,300269,Cash,1
634,300270,Cash,1
635,300271,Cash,1
636,300272,Cash,1
637,300273,Cash,1
638,300274,Cash,1
639,300275,Cash,1
640,300276,Cash,1
641,300277,Cash,1
642,300278,Cash,1
643,300279,Cash,1
644,300280,Cash,1
645,300281,Cash,1
646,300282,Cash,1
647,300283,Cash,1
648,300284,Cash,1
649,300285,Cash,1
650,300286,Cash,1
651,300287,Cash,1
652,300288,Cash,1
653,300289,Cash,1
654,300290,Cash,1
655,300291,Cash,1
656,300292,Cash,1
657,300293,Cash,1
658,300294,Cash,1
659,300295,Cash,1
660,300296,Cash,1
661,300297,Cash,1
662,300298,Cash,1
663,300299,Cash,1
664,300300,Cash,1
665,300301,Cash,1
666,300302,Cash,1
667,300303,Cash,1
668,300304,Cash,1
669,300305,Cash,1
670,300306,Cash,1
671,300307,Cash,1
672,300308,Cash,1
673,300309,Cash,1
674,300310,Cash,1
675,300311,Cash,1
676,300312,Cash,1
677,300313,Cash,1
678,300314,Cash,1
679,300315,Cash,1
680,300316,Cash,1
681,300317,Cash,1
682,300318,Cash,1
683,300319,Cash,1
684,300320,Cash,1
685,300321,Cash,1
686,300322,Cash,1
687,300323,Cash,1
688,300324,Cash,1
689,Common_Step1_Case1,Hammer,1
,,,
691,Common_Step1_Case2,Nails,1
,,,
693,Common_Step2_Case1,PaintBucket,1
,,,
695,Common_Step2_Case2,Bricks,1
,,,
697,Common_Step3_Case1,Glass,1
,,,
699,Common_Step3_Case2,WoodPlank,1
,,,
701,Common_Step4_Case1,Shovel,1
,,,
703,Common_Step4_Case2,Axe,1
,,,
705,Uncommon_Step1_Case1,Saw,1
,,,
707,Uncommon_Step1_Case2,Hammer,1
,,,
709,Uncommon_Step2_Case1,Nails,1
,,,
711,Uncommon_Step2_Case2,PaintBucket,1
,,,
713,Uncommon_Step3_Case1,Bricks,1
,,,
715,Uncommon_Step3_Case2,Glass,1
,,,
717,Uncommon_Step4_Case1,WoodPlank,1
,,,
719,Uncommon_Step4_Case2,Shovel,1
,,,
721,Rare_Step1_Case1,Axe,1
,,,
723,Rare_Step1_Case2,Saw,1
,,,
725,Rare_Step2_Case1,Hammer,1
,,,
727,Rare_Step2_Case2,Nails,1
,,,
729,Rare_Step3_Case1,PaintBucket,1
,,,
731,Rare_Step3_Case2,Bricks,1
,,,
733,Rare_Step4_Case1,Glass,1
,,,
735,Rare_Step4_Case2,WoodPlank,1
,,,
737,Unique_Step1_Case1,Shovel,1
,,,
739,Unique_Step1_Case2,Axe,1
,,,
741,Unique_Step2_Case1,Saw,1
,,,
743,Unique_Step2_Case2,Hammer,1
,,,
745,Unique_Step3_Case1,Nails,1
,,,
747,Unique_Step3_Case2,PaintBucket,1
,,,
749,Unique_Step4_Case1,Bricks,1
,,,
751,Unique_Step4_Case2,Glass,1
,,,
753,Epic_Step1_Case1,WoodPlank,1
,,,
755,Epic_Step1_Case2,Shovel,1
,,,
757,Epic_Step2_Case1,Axe,1
,,,
759,Epic_Step2_Case2,Saw,1
,,,
761,Epic_Step3_Case1,Hammer,1
,,,
763,Epic_Step3_Case2,Nails,1
,,,
765,Epic_Step4_Case1,PaintBucket,1
,,,
767,Epic_Step4_Case2,Bricks,1
,,,
769,Legendary_Step1_Case1,Glass,1
,,,
771,Legendary_Step1_Case2,WoodPlank,1
,,,
773,Legendary_Step2_Case1,Shovel,1
,,,
775,Legendary_Step2_Case2,Axe,1
,,,
777,Legendary_Step3_Case1,Saw,1
,,,
779,Legendary_Step3_Case2,Hammer,1
,,,
781,Legendary_Step4_Case1,Nails,1
,,,
783,Legendary_Step4_Case2,PaintBucket,1
,,,
785,Mythic_Step1_Case1,Bricks,1
,,,
787,Mythic_Step1_Case2,Glass,1
,,,
789,Mythic_Step2_Case1,WoodPlank,1
,,,
791,Mythic_Step2_Case2,Shovel,1
,,,
793,Mythic_Step3_Case1,Axe,1
,,,
795,Mythic_Step3_Case2,Saw,1
,,,
797,Mythic_Step4_Case1,Hammer,1
,,,
799,Mythic_Step4_Case2,Nails,1
,,,
801,Primeval_Step1_Case1,PaintBucket,1
,,,
803,Primeval_Step1_Case2,Bricks,1
,,,
805,Primeval_Step2_Case1,Glass,1
,,,
807,Primeval_Step2_Case2,WoodPlank,1
,,,
809,Primeval_Step3_Case1,Shovel,1
,,,
811,Primeval_Step3_Case2,Axe,1
,,,
813,Primeval_Step4_Case1,Saw,1
,,,
815,Primeval_Step4_Case2,Hammer,1
,,,
817,Orange,Orange,1
818,Orange,Exp,1
819,OrangeJuice,OrangeJuice,1
820,OrangeJuice,Exp,1
821,Fertilizer,Fertilizer,1
822,Fertilizer,Exp,1
