,,재료 id,재료 별 필요량,
208,250009,Carrot,3,
209,100021,CarrotSoup,1,
210,100022,Bread,2,
211,100022,Cookie,1,
212,100023,Wheat,8,
213,100024,Milk,1,
214,100024,Cream,1,
215,100024,Cheese,1,
216,100025,Egg,1,
217,100025,CarrotSoup,1,
218,100026,Corn,2,
219,100026,Milk,2,
220,100026,Egg,1,
221,100027,Wheat,2,
222,100027,Corn,2,
223,100027,Carrot,2,
224,100028,Cheese,1,
225,100028,CarrotSoup,1,
226,100029,Carrot,2,
227,100029,Bread,1,
228,100029,Cookie,1,
229,260001,Cream,3,
230,260002,Corn,8,
231,260003,Wheat,6,
232,260004,Milk,4,
233,260005,Bread,2,
234,260005,Cookie,2,
235,260005,Egg,2,
236,260006,CarrotSoup,2,
237,260007,Corn,4,
238,260007,Cheese,2,
239,260008,Carrot,2,
240,260008,Bread,2,
241,260009,Milk,2,
242,260009,CarrotSoup,1,
243,260010,Wheat,9,
244,260011,Carrot,5,
245,100030,CarrotSoup,2,
246,100031,Milk,4,
247,100031,Egg,2,
248,100032,Cream,2,
249,100032,Cheese,2,
250,100032,CarrotSoup,1,
251,100033,Milk,4,
252,100034,Corn,4,
253,100034,Milk,4,
254,100035,Wheat,3,
255,100035,Bread,3,
256,100035,Cookie,3,
257,100036,Milk,12,
258,100037,Carrot,2,
259,100037,Cream,1,
260,100038,Wheat,4,
261,100038,Corn,3,
262,100038,Carrot,2,
263,100039,Cheese,1,
264,100040,Wheat,3,
265,100040,Bread,1,
266,100041,Milk,6,
267,100041,Corn,3,
268,100041,CarrotSoup,2,
269,100042,CarrotSoup,2,
270,100043,Cream,3,
271,100043,Cheese,1,
272,100044,Milk,6,
273,100044,Cookie,1,
274,100044,Cheese,1,
275,100045,Bread,6,
276,100046,Wheat,8,
277,100046,Corn,4,
278,100047,Carrot,3,
279,100047,Milk,10,
280,100047,Egg,3,
281,100048,Carrot,6,
282,100049,Milk,6,
283,100049,Bread,6,
284,100050,Wheat,8,
285,100050,CarrotSoup,2,
286,100050,Cheese,1,
287,100051,Egg,3,
288,100052,Corn,2,
289,100052,Carrot,2,
290,100053,Milk,15,
291,100053,Cookie,1,
292,100053,Cheese,2,
293,100054,Cookie,1,
294,100055,Cream,2,
295,100055,Cookie,1,
296,100056,Wheat,3,
297,100056,Cookie,1,
298,100056,CarrotSoup,1,
299,100057,Cotton,4,
300,100058,Wheat,6,
301,100058,Wool,2,
302,100059,Bread,2,
303,100059,Milk,6,
304,100059,Cream,1,
305,100060,CottonFabric,1,
306,100061,Yarm,1,
307,100061,Cheese,1,
308,100062,Shirt,1,
309,100062,Sweater,1,
310,100062,Coat,1,
311,100063,Corn,15,
312,100064,Carrot,10,
313,100064,CornSoup,1,
314,100065,Egg,1,
315,100065,Cheese,2,
316,100065,Cookie,2,
317,100066,Tomato,1,
318,100067,TomatoSoup,1,
319,100067,Bacon,2,
320,100068,Wheat,9,
321,100068,Corn,6,
322,100068,Carrot,3,
323,100069,BaconEgg,2,
324,100070,Hamburger,1,
325,100070,Cotton,1,
326,100071,Wool,1,
327,100071,Yarm,1,
328,100071,Cream,1,
329,100072,Milk,1,
330,100073,Cookie,1,
331,100073,Shirt,1,
332,100074,CottonFabric,1,
333,100074,Cheese,1,
334,100074,CarrotSoup,1,
335,100075,Egg,2,
336,100076,Bread,3,
337,100076,Cookie,1,
338,100077,Milk,1,
339,100077,TomatoSoup,1,
340,100077,CornSoup,1,
341,100078,Cheese,2,
342,100079,Egg,2,
343,100079,Cotton,7,
344,100080,Yarm,2,
345,100080,Coat,1,
346,100080,Hamburger,1,
347,100081,BaconEgg,3,
348,100082,Wheat,15,
349,100082,Bacon,1,
350,100083,Wool,1,
351,100083,Shirt,1,
352,100083,Tomato,7,
353,200001,Wheat,2,
354,200001,Corn,2,
355,200002,Wheat,2,
356,200002,Milk,1,
357,200002,Milk,1,
358,200003,Corn,1,
359,200003,Corn,1,
360,200003,Milk,1,
361,200004,Bread,1,
362,200004,Bread,1,
363,200004,Wheat,1,
364,200004,Wheat,1,
365,200005,Carrot,1,
366,200005,Carrot,1,
367,200005,Bread,2,
368,TrainDelivery1,Wheat,2,
369,TrainDelivery1,Wheat,2,
370,TrainDelivery1,Wheat,2,
371,TrainDelivery2,Corn,2,
372,TrainDelivery2,Corn,2,
373,TrainDelivery2,Bread,1,
374,TrainDelivery2,Bread,1,
375,TrainDelivery3,Carrot,3,
376,TrainDelivery3,Carrot,3,
377,TrainDelivery3,Carrot,3,
378,TrainDelivery3,Milk,2,
379,TrainDelivery3,Milk,2,
380,TrainDelivery4,Cookie,1,
381,TrainDelivery4,Wheat,5,
382,TrainDelivery4,Wheat,5,
383,TrainDelivery5,Corn,6,
384,TrainDelivery5,Corn,6,
385,TrainDelivery5,Carrot,4,
386,TrainDelivery5,Carrot,4,
387,TrainDelivery5,Carrot,4,
388,TrainDelivery6,Egg,3,
389,TrainDelivery6,Egg,3,
390,TrainDelivery6,Cream,2,
391,TrainDelivery6,Cream,2,
392,TrainDelivery7,Wheat,7,
393,TrainDelivery7,Wheat,7,
394,TrainDelivery7,Wheat,7,
395,TrainDelivery7,Bread,2,
396,TrainDelivery7,Bread,2,
397,TrainDelivery8,Cheese,1,
398,TrainDelivery8,Cheese,1,
399,TrainDelivery8,Corn,5,
400,TrainDelivery8,Corn,5,
401,TrainDelivery9,CarrotSoup,1,
402,TrainDelivery9,CarrotSoup,1,
403,TrainDelivery9,Carrot,3,
404,TrainDelivery10,Milk,3,
405,TrainDelivery10,Milk,3,
406,TrainDelivery10,Milk,3,
407,TrainDelivery10,Egg,2,
408,TrainDelivery10,Egg,2,
409,AnimalInviteCotton,AnimalInvite,1,
410,AnimalInviteLily,AnimalInvite,1,
411,AnimalInviteAcorn,AnimalInvite,1,
412,AnimalInviteHazel,AnimalInvite,1,
413,AnimalInvitePokey,AnimalInvite,1,
414,AnimalInviteFoxy,AnimalInvite,1,---------------
415,AnimalInviteVixie,AnimalInvite,1,
416,AnimalInvitePeanut,AnimalInvite,1,
417,AnimalInviteNibbles,AnimalInvite,1,
418,AnimalInviteChirp,AnimalInvite,1,---------------
419,AnimalInviteMelody,AnimalInvite,1,
420,AnimalInviteSqueako,AnimalInvite,1,
421,AnimalInviteMonie,AnimalInvite,1,
422,AnimalInviteHoot,AnimalInvite,1,
423,AnimalInviteSophie,AnimalInvite,1,
424,AnimalInviteBouncer,AnimalInvite,1,
425,AnimalInviteFlopsy,AnimalInvite,1,
426,AnimalInviteTad,AnimalInvite,1,---------------
427,AnimalInvitePuddles,AnimalInvite,1,
428,AnimalInviteChip,AnimalInvite,1,
429,AnimalInviteNutmeg,AnimalInvite,1,---------------
430,AnimalInvitePrickles,AnimalInvite,1,
431,AnimalInviteBlossom,AnimalInvite,1,
432,AnimalInviteEmber,AnimalInvite,1,---------------
433,AnimalInviteDusty,AnimalInvite,1,
434,AnimalInviteCoco,AnimalInvite,1,
435,AnimalInvitePip,AnimalInvite,1,
436,AnimalInviteSky,AnimalInvite,1,
437,AnimalInviteCheddar,AnimalInvite,1,---------------
438,AnimalInviteCrumbs,AnimalInvite,1,
439,AnimalInviteOllie,AnimalInvite,1,
440,AnimalInviteWinky,AnimalInvite,1,---------------
441,AnimalInviteTangie,AnimalInvite,1,
442,AnimalInviteMinto,AnimalInvite,1,
443,AnimalInviteGrit,AnimalInvite,1,
444,AnimalInviteWeaver,AnimalInvite,1,
445,AnimalInvitePatty,AnimalInvite,1,
446,AnimalInviteAscot,AnimalInvite,1,
447,AnimalInviteMuffin,AnimalInvite,1,
448,AnimalInviteBarnaby,AnimalInvite,1,
449,AnimalInviteRooster,AnimalInvite,1,
450,AnimalInviteKibble,AnimalInvite,1,
451,AnimalInviteSwirl,AnimalInvite,1,
452,AnimalInviteCrouton,AnimalInvite,1,
453,AnimalInvitePurl,AnimalInvite,1,
454,AnimalInviteTruffles,AnimalInvite,1,
455,AnimalInviteThumper,AnimalInvite,1,
456,AnimalInviteLuna,AnimalInvite,1,
457,AnimalInviteKero,AnimalInvite,1,
458,AnimalInviteWillow,AnimalInvite,1,
459,AnimalInviteSqueaky,AnimalInvite,1,
460,AnimalInviteRusty,AnimalInvite,1,
461,AnimalInviteQuill,AnimalInvite,1,
462,AnimalInviteNeedles,AnimalInvite,1,
463,AnimalInviteSungdelino,AnimalInvite,1,
464,AnimalInviteKit,AnimalInvite,1,
465,AnimalInviteMochi,AnimalInvite,1,
466,AnimalInviteFluffy,AnimalInvite,1,
467,AnimalInviteMelina,AnimalInvite,1,
468,AnimalInviteTweetie,AnimalInvite,1,
469,AnimalInviteJerry,AnimalInvite,1,
470,AnimalInviteShed,AnimalInvite,1,
471,AnimalInviteSahur,AnimalInvite,1,
472,AnimalInviteBlinky,AnimalInvite,1,
473,AnimalInviteBonny,AnimalInvite,1,
474,AnimalInviteNutty ,AnimalInvite,1,
475,AnimalInviteCroaker,AnimalInvite,1,
476,AnimalInviteSpiny,AnimalInvite,1,
477,AnimalInviteRedd,AnimalInvite,1,
478,AnimalInviteFifi,AnimalInvite,1,
479,AnimalInviteWhiskers,AnimalInvite,1,
480,AnimalInviteWiz,AnimalInvite,1,
481,AnimalInviteBerry,AnimalInvite,1,
482,AnimalInviteBlendy,AnimalInvite,1,
483,AnimalInviteFerty,AnimalInvite,1,
484,AnimalInviteBobbin,AnimalInvite,1,
485,AnimalInviteNugget,AnimalInvite,1,
486,AnimalInviteVelvet,AnimalInvite,1,
487,AnimalInviteCrust,AnimalInvite,1,
488,AnimalInviteCobble,AnimalInvite,1,
489,AnimalInviteEgbert,AnimalInvite,1,
490,AnimalInviteHopper,AnimalInvite,1,
491,AnimalInviteColby,AnimalInvite,1,
492,AnimalInviteSimmer,AnimalInvite,1,
493,AnimalInviteMuddle,AnimalInvite,1,
494,AnimalInviteCob,AnimalInvite,1,
495,Common_Step1_Case1,Wheat,1,
496,Common_Step1_Case2,Corn,1,
497,Common_Step2_Case1,Carrot,1,
498,Common_Step2_Case2,Milk,1,
499,Common_Step3_Case1,Egg,1,
500,Common_Step3_Case2,Bread,1,
501,Common_Step4_Case1,Corn,1,
502,Common_Step4_Case1,Carrot,1,
503,Common_Step4_Case2,Milk,1,
504,Common_Step4_Case2,Egg,1,
505,Common_Step5_Case1,CarrotSoup,1,
506,Uncommon_Step1_Case1,Bread,1,
507,Uncommon_Step1_Case2,Cookie,1,
508,Uncommon_Step2_Case1,Cream,1,
509,Uncommon_Step2_Case2,Cheese,1,
510,Uncommon_Step3_Case1,Wheat,2,
511,Uncommon_Step3_Case2,Corn,2,
512,Uncommon_Step4_Case1,Carrot,2,
513,Uncommon_Step4_Case1,Milk,2,
514,Uncommon_Step4_Case2,Egg,2,
515,Uncommon_Step4_Case2,Bread,2,
516,Uncommon_Step5_Case1,CarrotSoup,1,
517,Rare_Step1_Case1,Wheat,3,
518,Rare_Step1_Case2,Bread,3,
519,Rare_Step2_Case1,Carrot,3,
520,Rare_Step2_Case2,Cookie,2,
521,Rare_Step3_Case1,Egg,2,
522,Rare_Step3_Case2,Cream,2,
523,Rare_Step4_Case1,Corn,3,
524,Rare_Step4_Case1,Cheese,2,
525,Rare_Step4_Case2,Milk,3,
526,Rare_Step4_Case2,CarrotSoup,1,
527,Rare_Step5_Case1,CarrotSoup,1,
528,Unique_Step1_Case1,Bread,5,
529,Unique_Step1_Case2,Carrot,5,
530,Unique_Step2_Case1,Egg,3,
531,Unique_Step2_Case2,Cream,3,
532,Unique_Step3_Case1,Cheese,3,
533,Unique_Step3_Case2,Milk,5,
534,Unique_Step4_Case1,CarrotSoup,2,
535,Unique_Step4_Case1,Bread,5,
536,Unique_Step4_Case2,Wheat,20,
537,Unique_Step4_Case2,Milk,10,
538,Unique_Step5_Case1,CarrotSoup,1,
539,Epic_Step1_Case1,Wheat,7,
540,Epic_Step1_Case2,Corn,7,
541,Epic_Step2_Case1,Carrot,7,
542,Epic_Step2_Case2,Milk,7,
543,Epic_Step3_Case1,Egg,7,
544,Epic_Step3_Case2,Bread,7,
545,Epic_Step4_Case1,Corn,7,
546,Epic_Step4_Case1,Carrot,7,
547,Epic_Step4_Case2,Milk,7,
548,Epic_Step4_Case2,Egg,7,
549,Epic_Step5_Case1,CarrotSoup,1,
550,Legendary_Step1_Case1,Bread,7,
551,Legendary_Step1_Case2,Cookie,7,
552,Legendary_Step2_Case1,Cream,7,
553,Legendary_Step2_Case2,Cheese,7,
554,Legendary_Step3_Case1,Wheat,9,
555,Legendary_Step3_Case2,Corn,9,
556,Legendary_Step4_Case1,Carrot,9,
557,Legendary_Step4_Case1,Milk,9,
558,Legendary_Step4_Case2,Egg,9,
559,Legendary_Step4_Case2,Bread,9,
560,Legendary_Step5_Case1,CarrotSoup,1,
561,Mythic_Step1_Case1,Wheat,9,
562,Mythic_Step1_Case2,Bread,12,
563,Mythic_Step2_Case1,Carrot,12,
564,Mythic_Step2_Case2,Cookie,12,
565,Mythic_Step3_Case1,Egg,12,
566,Mythic_Step3_Case2,Cream,12,
567,Mythic_Step4_Case1,Corn,12,
568,Mythic_Step4_Case1,Cheese,12,
569,Mythic_Step4_Case2,Milk,12,
570,Mythic_Step4_Case2,CarrotSoup,12,
571,Mythic_Step5_Case1,CarrotSoup,1,
572,Primeval_Step1_Case1,Bread,15,
573,Primeval_Step1_Case2,Carrot,15,
574,Primeval_Step2_Case1,Egg,15,
575,Primeval_Step2_Case2,Cream,15,
576,Primeval_Step3_Case1,Cheese,15,
577,Primeval_Step3_Case2,Milk,25,
578,Primeval_Step4_Case1,CarrotSoup,25,
579,Primeval_Step4_Case1,Bread,25,
580,Primeval_Step4_Case2,Wheat,25,
581,Primeval_Step4_Case2,Milk,25,
582,Primeval_Step5_Case1,CarrotSoup,1,
583,OrangeTree_1,Coin,1,
584,OrangeTree_1_ProductionSlot3,Cash,1,
585,OrangeTree_1_ProductionSlot4,Cash,2,
586,OrangeTree_1_ProductionSlot5,Cash,3,
587,JuiceShop_1,Coin,7,
588,JuiceShop_1_ProductionSlot3,Cash,1,
589,JuiceShop_1_ProductionSlot4,Cash,2,
590,JuiceShop_1_ProductionSlot5,Cash,3,
591,FertilizerMill_1,Coin,5,
592,FertilizerMill_1_ProductionSlot3,Cash,1,
593,FertilizerMill_1_ProductionSlot4,Cash,2,
594,FertilizerMill_1_ProductionSlot5,Cash,3,
595,Orange,Fertilizer,1,
596,OrangeJuice,Orange,2,
597,UnderGroundDeco_1,Coin,1,
598,UnderGroundDeco_2,Coin,1,
599,UnderGroundDeco_3,Coin,1,
600,UnderGroundDeco_4,Coin,1,
601,UnderGroundDeco_5,Coin,1,
602,UnderGroundDeco_6,Coin,1,
603,Fertilizer,Wheat,1,
604,Fertilizer,Corn,1,
