TID,FR
TID_BACON_AND_EGGS,Œufs au bacon
TID_PANCAKE,Pancake
TID_HAMBURGER,Hamburger
TID_PIZZA,Pizza
TID_SPICY_PIZZA,Pizza épicée
TID_ROASTED_TOMATOES,Tomates rôties
TID_CARROT_JUICE,Jus de carotte
TID_TOMATO_JUICE,Jus de tomate
TID_APPLE_JUICE,Jus de pomme
TID_CHERRY_JUICE,Jus de cerise
TID_BERRY_JUICE,Jus de baies
TID_APPLE,Pommes
TID_CHERRY,Cerises
TID_CACAO,Cacao
TID_RASPBERRY,Framboises
TID_BLACKBERRY,Mûres
TID_APPLE_JAM,Confiture de pomme
TID_RASPBERRY_JAM,Confiture de framboise
TID_BLUEBERRY_JAM,Confiture de mûre
TID_CHERRY_JAM,Confiture de cerise
TID_VANILLA_ICE_CREAM,Glace à la vanille
TID_CHERRY_POPSICLE,Bâtonnet cerise
TID_CHOCOLATE_ICE_CREAM,Glace au chocolat
TID_APPLE_PIE,Tarte aux pommes
TID_FETA_PIE,Quiche à la feta
TID_BRACELET,Bracelet
TID_NECKLACE,Collier
TID_DIAMOND_RING,Bague de diamant
TID_FEED_MILL,Provenderie
TID_BAKERY,Boulangerie
TID_POPCORN_POT,Marmite à pop-corn
TID_DAIRY,Laiterie
TID_SUGAR_MILL,Sucrerie
TID_PIE_OVEN,Four à tartes
TID_LOOM,Métier à tisser
TID_CAKE_OVEN,Four à gâteaux
TID_BARBECUE_GRILL,Barbecue
TID_JUICE_PRESS,Presse-fruits
TID_JAM_MAKER,Confiturier
TID_ICE_CREAM_MAKER,Stand de glaces
TID_JEWELER,Bijouterie
TID_APPLE_TREE,Pommier
TID_CHERRY_TREE,Cerisier
TID_CACAO_TREE,Cacaoyer
TID_RASPBERRY_BUSH,Framboisier
TID_BLACKBERRY_BUSH,Mûrier
TID_DYNAMITE,Dynamite
TID_DEMOLITION_CHARGE,Baril de TNT
TID_AXE,Hache
TID_SAW,Scie
TID_SHOVEL,Pelle
TID_PLANK,Planche
TID_NAIL,Clou
TID_BOLT,Boulon
TID_SCREW,Vis
TID_DUCT_TAPE,Ruban adhésif
TID_WOOD_PANEL,Panneau en bois
TID_EMPTY_FIELD,Champ
TID_CHICKEN,Poule
TID_COW,Vache
TID_SHEEP,Mouton
TID_PIG,Cochon
TID_GOAT,Chèvre
TID_CHICKEN_HABITAT,Poulailler
TID_COW_HABITAT,Pâturage à vaches
TID_SHEEP_HABITAT,Pâturage à moutons
TID_PIG_HABITAT,Enclos à cochons
TID_GOAT_HABITAT,Enclos à chèvres
TID_HAMMERMILL_DESCRIPTION,Pour produire des rations animales
TID_BAKERY_DESCRIPTION,Pour faire cuire des aliments
TID_POPCORN_POT_DESCRIPTION,Pour faire du pop-corn
TID_DAIRY_DESCRIPTION,Pour fabriquer des produits laitiers
TID_SUGAR_MILL_DESCRIPTION,Pour produire du sucre
TID_PIE_OVEN_DESCRIPTION,Pour cuire des tartes
TID_LOOM_DESCRIPTION,Pour tisser des vêtements
TID_BARBECUE_GRILL_DESCRIPTION,Pour faire des grillades
TID_CAKE_OVEN_DESCRIPTION,Pour préparer des gâteaux
TID_JUICE_PRESS_DESCRIPTION,Pour presser des fruits et légumes
TID_JAM_MAKER_DESCRIPTION,Pour faire de la confiture
TID_ICE_CREAM_MAKER_DESCRIPTION,Pour faire des glaces
TID_JEWELER_DESCRIPTION,Pour fabriquer des bijoux
TID_APPLE_TREE_DESCRIPTION,Fruits à cueillir trois fois
TID_CHERRY_TREE_DESCRIPTION,Fruits à cueillir trois fois
TID_CACAO_TREE_DESCRIPTION,Fruits à cueillir trois fois
TID_RASPBERRY_BUSH_DESCRIPTION,Fruits à cueillir trois fois
TID_BLACKBERRY_BUSH_DESCRIPTION,Fruits à cueillir trois fois
TID_NEED_MORE_POPUP_TITLE,Ressources insuffisantes
TID_NEED_MORE_RESOURCES_CANT_BUY_TEXT,Obtenez les ressources manquantes et terminez la commande.
TID_NEED_MORE_POPUP_GENERIC_TEXT,Obtenez les ressources manquantes pour réaliser l'action en utilisant des diamants.
TID_NEED_MORE_CROPS_HINT,"Vous pouvez acheter les récoltes manquantes à un ami.\n\nSinon, achetez-les tout de suite avec des diamants !"
TID_NEED_MORE_CROPS_HINT_MOBILE,"Vous pouvez acheter les récoltes manquantes à un ami.\n\nSinon, achetez-les tout de suite avec des diamants !"
TID_NEED_MORE_ANIMAL_FOOD_HINT,"Préparez plus de nourriture pour cet animal dans la provenderie, ou nourrissez-le maintenant en utilisant des diamants."
TID_SILO_FULL_TITLE,Silo plein
TID_SILO_FULL_DESCRIPTION,Le silo est plein ! Améliorez-le pour l'agrandir.
TID_WAREHOUSE_FULL_TITLE,Grange pleine
TID_WAREHOUSE_FULL_DESCRIPTION,La grange est pleine ! Améliorez-la pour l'agrandir.
TID_WAREHOUSE_FULL_DESCRIPTION_MOBILE,La grange est pleine ! Améliorez-la pour l'agrandir.
TID_LEVEL_UP_TITLE,FÉLICITATIONS !
TID_LEVEL_UP_TEXT,Vous êtes désormais un fermier de NIVEAU <LEVEL_NUMBER> !
TID_LEVEL_UP_ITEM_NEW,Nouveau
TID_LEVEL_UP_ITEM_NEW_AND_REWARD,Nouveau +<REWARD>
TID_ORDER_TABLE_TITLE,Commandes
TID_ORDER_TITLE_00,Maternelle
TID_ORDER_TITLE_01,École
TID_ORDER_TITLE_02,Église
TID_ORDER_TITLE_03,Salon de Joan
TID_ORDER_TITLE_04,Magasin de Susan
TID_ORDER_TITLE_05,Moulin de Mike
TID_ORDER_TITLE_06,Brasserie de Ben
TID_ORDER_TITLE_07,Poissonnerie de Fabio
TID_ORDER_TITLE_08,Usine de Frank
TID_ORDER_TITLE_09,Cimetière de Grant
TID_ORDER_TABLE_WAITING,Un peu de patience...
TID_ORDER_TABLE_WAITING_TEXT,Cette commande n'est pas disponible. Patientez ou accélérez-la !
TID_SOCIAL_LOGIN_TITLE,Trouvez d'autres fermiers !
TID_SOCIAL_LOGIN_1_TEXT,Connectez-vous à <SOCIAL_1> et faites affaire avec vos amis !
TID_SOCIAL_LOGIN_2_TEXT,Connectez-vous à <SOCIAL_1> ou <SOCIAL_2> et faites affaire avec vos amis !
TID_ROADSIDE_SHOP_TITLE,Échoppe
TID_ROADSIDE_SHOP_FRIEND_TITLE,Échoppe de <NAME>
TID_ROADSIDE_SHOP_ITEM_COUNT,<COUNT>x
TID_ROADSIDE_SHOP_ITEM_SOLD,VENDU !
TID_ROADSIDE_SHOP_CREATE_NEW_SALE,Créer une nouvelle vente
TID_ROADSIDE_SHOP_NEW_SALE_TITLE,Nouvelle vente
TID_ROADSIDE_SHOP_NEW_SALE_ADJUST_PRICE,Régler le prix
TID_ROADSIDE_SHOP_NEW_SALE_CONFIRM_BUTTON,Mettre en vente
TID_ROADSIDE_SHOP_ADVERTISE,Faire de la pub
TID_ROADSIDE_SHOP_ADVERTISE_WITH_TIME,Publier maintenant
TID_SHOP_TITLE,Magasin
TID_TUTORIAL_01,Salut ! Je suis M. Wicker et je vais vous donner un coup de main pour faire marcher votre nouvelle ferme !
TID_TUTORIAL_02a,"Touchez un champ de blé et prenez la faux. Ensuite, récoltez le blé en faisant glisser la faux dessus."
TID_TUTORIAL_03a,"Touchez un champ vide. Ensuite, faites glisser du blé sur le champ pour en planter."
TID_TUTORIAL_04,"Les graines ont besoin de temps pour pousser. Lors de la moisson, chaque champ produit deux récoltes."
TID_TUTORIAL_05a,Touchez votre maison et repeignez-la en déplaçant le pinceau sur ses façades.
TID_TUTORIAL_06a,Super ! La grange aurait aussi besoin d'un coup de peinture...
TID_TUTORIAL_07a,Vous devriez aussi repeindre le silo !
TID_TUTORIAL_10,"Formidable ! Maintenant, il nous faut quelques amies à plumes !"
TID_TUTORIAL_10a,Faites glisser une poule du magasin vers le poulailler.
TID_TUTORIAL_11a,Achetons une autre poule !
TID_TUTORIAL_12a,Et si on achetait une troisième poule ?
TID_TUTORIAL_13a,"Touchez une poule, puis faites glisser le sac de ration au-dessus des poules pour les nourrir."
TID_TUTORIAL_14a,"Touchez une poule, puis le bouton Accélérer !"
TID_TUTORIAL_14b,Touchez une poule puis touchez deux fois le bouton Accélérer !
TID_TUTORIAL_14c,Touchez une poule puis maintenez le bouton d'accélération !
TID_TUTORIAL_15a,Pas la peine de marcher sur des œufs ! Accélérez aussi la deuxième poule.
TID_TUTORIAL_16a,Autant mettre tous vos œufs dans le même panier ! Accélérez aussi la troisième poule.
TID_TUTORIAL_17a,Faites glisser le panier sur toutes les poules pour ramasser les œufs.
TID_TUTORIAL_20,Super ! Et si on utilisait toute cette farine pour faire du bon pain avec une nouvelle boulangerie ?
TID_TUTORIAL_20a,Ouvrez le magasin en touchant le bouton situé en bas à gauche. Achetez une boulangerie en la déplaçant sur votre terrain.
TID_TUTORIAL_20a_MOBILE,Ouvrez le magasin en touchant le bouton situé en bas à gauche. Achetez une boulangerie en la déplaçant sur votre terrain.
TID_TUTORIAL_21a,Attendez que la construction se termine ou accélérez-la avec des diamants.
TID_TUTORIAL_22a,Touchez la boulangerie et faites glisser le pain vers le four.
TID_TUTORIAL_23a,Terminez la cuisson instantanément avec le bouton Accélérer situé sous le pain.\nÇa sent bon !
TID_TUTORIAL_24,"En changeant de niveau, vous accédez à des améliorations. Trois nouvelles parcelles de champs vous attendent au magasin !"
TID_TUTORIAL_24a,Ouvrez le magasin et déplacez les trois nouvelles parcelles de champ sur votre terrain.
TID_TUTORIAL_25a,Plantons un peu plus de graines. Vous vous rappelez comment faire ? (Touchez le champ !)
TID_TUTORIAL_26,"Un bon fermier doit veiller au bonheur de ses animaux ! Pour qu'ils n'aient jamais faim, construisez une provenderie !"
TID_TUTORIAL_26a,Achetez une provenderie en la déplaçant du magasin vers votre terrain.
TID_TUTORIAL_27,"Les affaires marchent ! Continuez à récolter, cuire du pain et produire des œufs pour faire des ventes."
TID_TUTORIAL_27a,N'oubliez pas que vous pouvez accélérer les récoltes avec le bouton Accélérer.
TID_TUTORIAL_28,Tut tut ! Le camion de livraison est arrivé ! Préparez-vous à recevoir des tas de commandes !
TID_TUTORIAL_29,Le panneau des commandes affiche les commandes disponibles. Remplissez-les pour gagner de l'argent et de l'expérience.
TID_TUTORIAL_29a,Touchez le camion ou le panneau des commandes pour effectuer votre toute première livraison.
TID_TUTORIAL_30,Et voilà ! Le camion de livraison est en route pour la maternelle.
TID_TUTORIAL_30a,Les villageois raffolent de vos produits fermiers ! Remplissons une autre commande.
TID_TUTORIAL_31,"Vous commencez à bien vous débrouiller ! Pour l'instant, continuez à produire des aliments et à remplir des commandes."
TID_TUTORIAL_31a,Continuez à produire des aliments et à remplir des commandes !
TID_TUTORIAL_36,Meuuuuh ! Ça fait longtemps qu'on n'a pas vu de vache par ici !
TID_TUTORIAL_36a,Achetez un pâturage à vaches en le faisant glisser du magasin sur votre terrain.
TID_TUTORIAL_37a,"Maintenant, faites glisser une vache sur le pâturage."
TID_TUTORIAL_38a,"Elle a faim, il faut la nourrir !"
TID_TUTORIAL_39,Une vache bien nourrie produit du bon lait que vous pouvez récupérer.
TID_TUTORIAL_40,"Quand vous le pourrez, achetez une laiterie au magasin. Elle permet d'obtenir de la crème, du beurre et même du fromage avec du lait !"
TID_TUTORIAL_42,"Salut ! Moi c'est Mike, le propriétaire du vieux moulin près de la ville. C'est une très jolie ferme, que vous avez ! Ça vous dirait de lui donner un joli nom ? N'oubliez pas, c'est mieux de ne pas utiliser votre vrai nom."
TID_TUTORIAL_45,"Ça fait plaisir de voir quelqu'un s'occuper de cette ferme. Allez, à plus tard !"
TID_TUTORIAL_46,"C'est d'ici que vient cette délicieuse odeur ? Oh, mais j'en oublie les bonnes manières ! Je m'appelle Joan."
TID_TUTORIAL_GUEST1,Nous avons de la visite ! Touchez-le pour voir ce qu'il a à vous dire !
TID_TUTORIAL_GUEST2,Encore de la visite ! Demandons-lui ce qui l'amène ici.
TID_TUTORIAL_47a,Commençons par enlever la bâche en la touchant.
TID_TUTORIAL_48a,"Attendez que le camion de livraison revienne, puis touchez-le pour obtenir votre récompense !"
TID_TUTORIAL_47,"Regardez, les enfants de la maternelle vous ont envoyé une lettre de remerciement !"
TID_TUTORIAL_GUEST3,"C'est qui, ce gars-là ?"
TID_TUTORIAL_48,"Bonjour ! Je m'appelle Greg, je suis votre voisin. Si vous avez besoin d'outils, n'hésitez pas à venir me voir !"
TID_TUTORIAL_49,Il nous faudrait des outils pour déblayer un peu de terrain. Rendons visite à Greg !
TID_TUTORIAL_GUEST4,Ouvrez la barre d'amis !
TID_TUTORIAL_50,Bienvenue dans ma ferme ! N'hésitez pas à faire un tour dans mon échoppe pour voir ce que j'ai à vendre !
TID_TUTORIAL_51,"Merci pour votre visite ! N'oubliez pas, vous pouvez venir ici ou rendre visite à vos amis à tout moment !"
TID_TUTORIAL_52,Greg nous a bien rendu service. Vous pouvez ajouter d'autres amis dans votre barre d'amis.
TID_TUTORIAL_53,Voici votre échoppe. Vous pouvez y mettre des produits en vente pour que d'autres joueurs les achètent.
TID_TUTORIAL_54,"Vous pouvez choisir la quantité de produits que vous voulez vendre, fixer leur prix et même en faire la publicité dans le journal local ! Essayez pour voir !"
TID_TUTORIAL_54a,Faites un tour dans votre échoppe !
TID_TUTORIAL_55,Le journal vous attend dans votre boîte aux lettres. Lisez-le pour voir ce que les autres joueurs ont à vendre.
TID_TUTORIAL_55a,Touchez la boîte aux lettres pour lire le journal !
TID_TUTORIAL_56,Salut ! Besoin d'aide pour vos nouvelles plantations ? Je peux vous donner quelques conseils !
TID_TUTORIAL_57,"Salut ! Je voulais juste vous dire que vous pouvez déplacer, faire pivoter ou supprimer des objets. Pour cela, touchez et maintenez un objet."
TID_TUTORIAL_57_MOBILE,"Salut ! Je voulais juste vous dire que vous pouvez déplacer, faire pivoter ou supprimer des objets. Pour cela, touchez et maintenez un objet."
TID_TUTORIAL_58a,Que sont les coupons ?
TID_TUTORIAL_59,"Ce sont des bons que vous pouvez obtenir en remplissant des cargaisons de bateau ou ailleurs ! Tenez, en voilà un pour vous..."
TID_TUTORIAL_59a,Merci !
TID_TUTORIAL_60,Touchez la niche et remplissez la gamelle vide de délicieuse nourriture !
TID_TUTORIAL_61,"Maintenant, attendez que votre animal de compagnie revienne dormir."
TID_TUTORIAL_62,Votre animal de compagnie est heureux et détendu ! Touchez-le pour le réveiller et gagner des points.
TID_TUTORIAL_63,Regardez comme votre animal de compagnie s'amuse ! N'oubliez pas de le nourrir régulièrement pour qu'il reste heureux et pour récupérer des points une fois qu'il s'est endormi.
TID_TUTORIAL_63_MOBILE,Regardez comme votre animal de compagnie s'amuse ! N'oubliez pas de le nourrir régulièrement pour qu'il reste heureux et pour récupérer des points une fois qu'il s'est endormi.
TID_TUTORIAL_64,Salut ! Besoin d'aide pour les pizzas ?
TID_TUTORIAL_65,Il est temps de faire des économies. L'embarcadère a besoin d'être réparé.
TID_TUTORIAL_66,Besoin de plus d'espace ? Ne vous en faites pas ! Vous pouvez commencer à étendre votre ferme dès maintenant.
TID_TUTORIAL_67,"Il est peut-être temps de réparer la vieille mine, non ? Qui sait quels trésors vous pourrez y trouver."
TID_TUTORIAL_68,"Bravo, l'embarcadère est réparé ! Maintenant, vous pouvez remplir des commandes par bateau !"
TID_TUTORIAL_69,"Les classements des bateaux sont affichés sur ce panneau. Touchez-le pour voir où vous en êtes, vous et vos amis."
TID_TUTORIAL_70,"Vous avez vu votre boîte aux lettres toute neuve ? Tiens, on dirait que quelqu'un arrive. Il sifflote en marchant, vous entendez ?"
TID_TUTORIAL_71,"Chouette ! Vous avez reçu votre première lettre. Allez-y, ouvrez-la en touchant la boîte aux lettres."
TID_TUTORIAL_72,"C'est super ! Greg vous a envoyé une carte cadeau. Si vous en accumulez suffisamment, vous pourrez commander un colis mystère dans le catalogue."
TID_TUTORIAL_72_MOBILE,"C'est super ! Greg vous a envoyé une carte cadeau. Si vous en accumulez suffisamment, vous pourrez commander un colis mystère dans le catalogue."
TID_TUTORIAL_73,"Vous aimeriez recevoir d'autres lettres ? Aidez les autres fermiers, et ils vous en enverront peut-être une !"
TID_TUTORIAL_74,"Avec un peu de chance, elle contiendra une carte cadeau. Et n'oubliez pas : le facteur passe une fois par jour."
TID_TUTORIAL_GUEST5,Touchez la photo de Greg pour vous rendre dans sa ferme !
TID_TUTORIAL_GUEST6,Touchez l'échoppe de Greg pour voir ce qu'il a à vendre !
TID_LOADING_SCREEN_CONNECTING,Connexion
TID_LOADING_SCREEN_LOADING,Chargement
TID_LOADING_SCREEN_UPDATING,Mise à jour
TID_BUTTON_INCREASE_CAPACITY,Augmenter la capacité
TID_BUTTON_STORAGE,Retour
TID_STORAGE_UPGRADE_DESCRIPTION,Augmenter la capacité à <CAPACITY>
TID_PLANK_DESCRIPTION,Pour améliorer votre grange
TID_NAIL_DESCRIPTION,Pour améliorer votre silo
TID_BOLT_DESCRIPTION,Pour améliorer votre grange
TID_SCREW_DESCRIPTION,Pour améliorer votre silo
TID_DUCT_TAPE_DESCRIPTION,Pour améliorer votre grange
TID_WOOD_PANEL_DESCRIPTION,Pour améliorer votre silo
TID_DYNAMITE_DESCRIPTION,Pour détruire un petit rocher
TID_DEMOLITION_CHARGE_DESCRIPTION,Pour détruire un gros rocher
TID_AXE_DESCRIPTION,Pour couper un petit arbre
TID_SAW_DESCRIPTION,Pour couper un grand arbre
TID_SHOVEL_DESCRIPTION,Pour supprimer un marais
TID_DAIRY_PRODUCT_DESCRIPTION,Produit de la laiterie
TID_BARBECUE_PRODUCT_DESCRIPTION,Produit du barbecue
TID_BAKERY_PRODUCT_DESCRIPTION,Produit de la boulangerie
TID_LOOM_PRODUCT_DESCRIPTION,Produit du métier à tisser
TID_CAKE_OVEN_PRODUCT_DESCRIPTION,Produit du four à gâteau
TID_PIE_OVEN_PRODUCT_DESCRIPTION,Produit du four à tartes
TID_POPCORN_POT_PRODUCT_DESCRIPTION,Produit de la marmite à pop-corn
TID_SUGAR_MILL_PRODUCT_DESCRIPTION,Produit de la sucrerie
TID_FEED_MILL_PRODUCT_DESCRIPTION,Produit de la provenderie
TID_JUICE_PRESS_PRODUCT_DESCRIPTION,Produit du presse-fruits
TID_JAM_MAKER_PRODUCT_DESCRIPTION,Produit du confiturier
TID_ICE_CREAM_MAKER_PRODUCT_DESCRIPTION,Produit du stand de glaces
TID_JEWELER_PRODUCT_DESCRIPTION,Produit de la bijouterie
TID_APPLE_DESCRIPTION,À récolter sur un pommier
TID_CHERRY_DESCRIPTION,À récolter sur un cerisier
TID_CACAO_DESCRIPTION,À récolter sur un cacaoyer
TID_RASPBERRY_DESCRIPTION,À récolter sur un framboisier
TID_BLACKBERRY_DESCRIPTION,À cueillir sur un mûrier
TID_EGG_DESCRIPTION,Produit de la poule
TID_MILK_DESCRIPTION,Produit de la vache
TID_WOOL_DESCRIPTION,Produit du mouton
TID_BACON_DESCRIPTION,Produit du cochon
TID_GOAT_MILK_DESCRIPTION,Produit de la chèvre
TID_CASH,Pièces
TID_DIAMONDS,Diamants
TID_CASH_DESCRIPTION,Pour acheter des produits et améliorations pour votre ferme
TID_DIAMONDS_DESCRIPTION,Pour accélérer la production et obtenir des ressources
TID_FACEBOOK,Facebook
TID_GAME_CENTER,Game Center
TID_FACEBOOK_ID_NOT_MATCH_TITLE,Avertissement <SOCIAL_MEDIA>
TID_FACEBOOK_ID_NOT_MATCH,Voulez-vous sauvegarder cette partie sur un nouveau compte <SOCIAL_MEDIA> ?
TID_FACEBOOK_ID_NOT_MATCH_ACTION_1,"Oui, changer de compte"
TID_FACEBOOK_ID_NOT_MATCH_ACTION_2,"Non, garder le compte actuel"
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_TITLE,Choix de votre ferme
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM,"Une autre ferme est associée à ce compte <SOCIAL_MEDIA> :\n(Ferme : <NEW_FARM_NAME>, niveau <NEW_LEVEL>)\n\nVoulez-vous charger cette ferme ?\n\nAttention : la ferme actuelle (<OLD_FARM_NAME>, niveau <OLD_LEVEL>) sera perdue."
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_MOBILE,"Une autre ferme est associée à ce compte <SOCIAL_MEDIA> :\n(Ferme : <NEW_FARM_NAME>, niveau <NEW_LEVEL>)\n\nVoulez-vous charger cette ferme ?\n\nAttention : la ferme actuelle (<OLD_FARM_NAME>, niveau <OLD_LEVEL>) sera perdue."
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_ACTION_1,"Oui, charger la partie"
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_ACTION_2,"Non, conserver cette partie"
TID_INTRO_01,C'était une journée comme une autre...
TID_INTRO_02,Jusqu'à l'arrivée de cette lettre !
TID_INTRO_03,\qTu as le bonjour de ton oncle !\q
TID_INTRO_04,"\qAlors, ça te dirait de travailler à la ferme ?\q"
TID_INTRO_05,"\qJ'ai décidé de prendre ma retraite. Ma ferme est à toi, si tu la veux !\q"
TID_INTRO_06,C'est parti ! Une nouvelle vie à la campagne va commencer.
TID_ANIMATION_Harvest,Récolte
TID_ANIMATION_Seeding,Plantation
TID_ANIMATION_CropInfo,Les récoltes se multiplient !
TID_ANIMATION_BuyChicken,Acheter 3 poules
TID_ANIMATION_FeedChicken,Nourrir les poules
TID_ANIMATION_CollectEggs,Ramasser les œufs
TID_ANIMATION_BakeBread,Faire cuire du pain
TID_ANIMATION_6th crop,Planter d'autres graines
TID_ANIMATION_EditObjects,Organiser la ferme
TID_ANIMATION_Pizzas,Trouver les pizzas
TID_ANIMATION_SendLetter,Envoyer une lettre
TID_DIAMOND_PACK_1,Tas de diamants
TID_DIAMOND_PACK_2,Bourse de diamants
TID_DIAMOND_PACK_3,Sac de diamants
TID_DIAMOND_PACK_4,Boîte de diamants
TID_DIAMOND_PACK_5,Coffre de diamants
TID_DIAMOND_PACK_6,Caisse de diamants
TID_DIAMOND_PACK_2_Birthday_1,Pack anniversaire 1
TID_DIAMOND_PACK_3_Birthday_2,Pack anniversaire 2
TID_DIAMOND_PACK_5_Birthday_3,Pack anniversaire 3
TID_DIAMOND_PACK_2_Special_1,Pack spécial 1
TID_DIAMOND_PACK_3_Special_2,Pack spécial 2
TID_DIAMOND_PACK_5_Special_3,Pack spécial 3
TID_CASH_PACK_1,Tas de pièces
TID_CASH_PACK_2,Bourse de pièces
TID_CASH_PACK_3,Sac de pièces
TID_CASH_PACK_4,Boîte de pièces
TID_CASH_PACK_5,Coffre de pièces
TID_CASH_PACK_6,Caisse de pièces
TID_BUY_DIAMONDS_TITLE,Magasin de diamants
TID_BUY_CASH_TITLE,Magasin de pièces
TID_ORDER_SCREEN_SELECT_ORDER,Sélectionnez une commande sur la gauche.
TID_NOTIFICATION_BUILDING_CONSTRUCTION_READY,<NAME> : construction terminée
TID_NOTIFICATION_PLAYER_PLEASE_COME_BACK,Les animaux de votre ferme ont besoin de vous !
TID_NOTIFICATION_PLAYER_PLEASE_COME_BACK_MOBILE,Les animaux de votre ferme ont besoin de vous !
TID_NOTIFICATION_CROPS_READY,Vous pouvez récolter vos champs !
TID_NOTIFICATION_CHICKEN_READY,Vous pouvez ramasser vos œufs !
TID_NOTIFICATION_COW_READY,Vous pouvez récupérer votre lait !
TID_NOTIFICATION_SHEEP_READY,Vous pouvez récupérer votre laine !
TID_NOTIFICATION_PIG_READY,Vous pouvez récupérer votre bacon !
TID_NOTIFICATION_GOAT_READY,Il est temps de traire vos chèvres !
TID_NOTIFICATION_ORDER_READY,Vous pouvez remplir une commande !
TID_NOTIFICATION_DAILY_GIFT,Bonjour ! Votre cadeau journalier vous attend !
TID_NATIVE_DIALOG_CONNECTION_LOST_TITLE,Connexion perdue
TID_NATIVE_DIALOG_CONNECTION_LOST_MESSAGE,Connexion au serveur perdue. Veuillez vérifier votre connexion Internet et réessayer.
TID_NATIVE_DIALOG_CONNECTION_LOST_BUTTON,Réessayer
TID_NATIVE_DIALOG_GAME_SERVER_NOT_RESPONDING_TITLE,Connexion perdue
TID_NATIVE_DIALOG_GAME_SERVER_NOT_RESPONDING_MESSAGE,Le serveur ne répond pas. Veuillez vérifier votre connexion Internet et réessayer.
TID_NATIVE_DIALOG_GAME_SERVER_NOT_RESPONDING_BUTTON,Réessayer
TID_NATIVE_DIALOG_BILLING_SERVER_NOT_RESPONDING_TITLE,Connexion perdue
TID_NATIVE_DIALOG_BILLING_SERVER_NOT_RESPONDING_MESSAGE,Le serveur de facturation ne répond pas. Réessayez plus tard.
TID_NATIVE_DIALOG_BILLING_SERVER_NOT_RESPONDING_BUTTON,OK
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_TITLE,Mise à jour requise
