TID,CH
TID_ORDER_TITLE_08,弗兰克工厂
TID_ORDER_TITLE_09,格兰特墓园
TID_ORDER_TABLE_WAITING,请稍候...
TID_ORDER_TABLE_WAITING_TEXT,订单尚未准备好，请耐心等待或者马上加速！
TID_SOCIAL_LOGIN_TITLE,寻找更多农场主！
TID_SOCIAL_LOGIN_1_TEXT,登录<SOCIAL_1>，与您的好友进行交易！
TID_SOCIAL_LOGIN_2_TEXT,登录<SOCIAL_1>或<SOCIAL_2>，与您的好友进行交易！
TID_ROADSIDE_SHOP_TITLE,路边小店
TID_ROADSIDE_SHOP_FRIEND_TITLE,<NAME>的路边小店
TID_ROADSIDE_SHOP_ITEM_COUNT,<COUNT>x
TID_ROADSIDE_SHOP_ITEM_SOLD,已售！
TID_ROADSIDE_SHOP_CREATE_NEW_SALE,空闲
TID_ROADSIDE_SHOP_NEW_SALE_TITLE,新出售商品
TID_ROADSIDE_SHOP_NEW_SALE_ADJUST_PRICE,调整价格
TID_ROADSIDE_SHOP_NEW_SALE_CONFIRM_BUTTON,上架
TID_ROADSIDE_SHOP_ADVERTISE,发布广告
TID_ROADSIDE_SHOP_ADVERTISE_WITH_TIME,立即发布广告
TID_SHOP_TITLE,商店
TID_TUTORIAL_01,您好，我是威克先生。让我来带您熟悉一下您的新农场吧！
TID_TUTORIAL_02a,点击一块小麦地，然后在小麦地上拖动镰刀即可收割小麦。
TID_TUTORIAL_03a,点击一块空闲的耕地，然后在耕地上拖动小麦即可播种。
TID_TUTORIAL_04,农作物生长需要一定的时间，请耐心等待。农作物成熟时，您可以从每块耕地收获两份农作物。
TID_TUTORIAL_05a,点击您的房屋，然后挥动刷子将它粉刷一新吧！
TID_TUTORIAL_06a,干净利落！您也可以装点一下货仓，快去试试看吧！
TID_TUTORIAL_07a,您也可以给粮仓刷上漂亮的颜色！
TID_TUTORIAL_10,太棒了！现在让我们和农场的小动物们一起开派对吧！
TID_TUTORIAL_10a,先将一只母鸡从商店拖动到鸡舍。
TID_TUTORIAL_11a,再来买一只母鸡吧！
TID_TUTORIAL_12a,现在请买第三只母鸡！
TID_TUTORIAL_13a,先点击一只母鸡，再把饲料拖到它头上来喂食。
TID_TUTORIAL_14a,点击一只母鸡，然后点击加速按钮！
TID_TUTORIAL_14b,点击一只母鸡，然后点击两次加速按钮！
TID_TUTORIAL_14c,点击一只母鸡，然后按下加速按钮！
TID_TUTORIAL_15a,好极了！让第二只母鸡也立刻产蛋吧。
TID_TUTORIAL_16a,太棒了！现在让最后一只母鸡也立刻产蛋吧。
TID_TUTORIAL_17a,将篮子拖动到母鸡上方即可收集鸡蛋。
TID_TUTORIAL_20,好极了！在新建的面包房里把这些小麦做成香喷喷的面包吧！
TID_TUTORIAL_20a,点击左下角的按钮打开商店菜单，把面包房拖入农场即可完成购买。
TID_TUTORIAL_20a_MOBILE,点击左下角的按钮打开商店菜单，把面包房拖入农场即可完成购买。
TID_TUTORIAL_21a,静候施工完成，或使用钻石加速。
TID_TUTORIAL_22a,点击面包房，再将面包拖入烤箱中。
TID_TUTORIAL_23a,点击面包下方的加速按钮可瞬间完成烘烤。嗯，闻起来真香！
TID_TUTORIAL_24,升级后可以解锁新的农场内容，现在您可以去商店购买三块新的耕地啦！
TID_TUTORIAL_24a,打开商店菜单，然后把三块新的耕地拖到您的农场中。
TID_TUTORIAL_25a,让我们播撒更多种子，还记得怎么操作吗？（点击耕地！）
TID_TUTORIAL_26,快乐的农场需要快乐的动物。请修建饲料厂，让您的小动物不再挨饿！
TID_TUTORIAL_26a,要购买饲料厂，只要把它从商店中拖到您的农场就可以了。
TID_TUTORIAL_27,生意越来越好！继续种庄稼，烤面包，收鸡蛋，出售更多商品吧。
TID_TUTORIAL_27a,别忘了，点击加速按钮可以让农作物立刻成熟。
TID_TUTORIAL_28,嘀嘀，送货小卡车已到达！准备好迎接大量订单吧！
TID_TUTORIAL_29,订单板会显示等待您完成的订单。完成订单可以获取金币和经验值！
TID_TUTORIAL_29a,点击卡车或订单板，完成您的第一份订单吧！
TID_TUTORIAL_30,小卡车出发去给幼儿园送货啦！
TID_TUTORIAL_30a,我们新鲜的农产品真是供不应求，再来完成一个订单吧。
TID_TUTORIAL_31,您真是越来越熟练了。请继续耕作、完成订单吧！
TID_TUTORIAL_31a,不要停下来，继续完成订单！
TID_TUTORIAL_36,哞！我们的农场好长时间没有奶牛了！
TID_TUTORIAL_36a,要购买奶牛牧场，只需将其从商店中拖入您的农场。
TID_TUTORIAL_37a,接下来，将一头奶牛拖入牧场中。
TID_TUTORIAL_38a,它饿了，来给它喂些食物！
TID_TUTORIAL_39,奶牛吃饱后就可以产出营养丰富的牛奶，供您收集。
TID_TUTORIAL_40,您的金币足够多时，可从商店购买乳品厂。这样您就可以将牛奶加工成奶油、黄油和奶酪了！
TID_TUTORIAL_42,你好，我是迈克，在小镇附近经营一个旧磨坊。你的农场真好看，给它取个好听的名字吧！温馨提示：最好不要使用自己的真名哦。
TID_TUTORIAL_45,看到有人在打理这个农场真是高兴。好吧，回头见！
TID_TUTORIAL_46,那诱人的香味是从这里飘出来的？瞧瞧，我都忘了介绍自己，我叫琼斯。
TID_TUTORIAL_GUEST1,我们有一位访客！点击他，看看他有什么要说。
TID_TUTORIAL_GUEST2,又来了一位客人！看看她有什么要说。
TID_TUTORIAL_47a,点击这里，看看里面有什么。
TID_TUTORIAL_48a,请等待送货小卡车回来，再点击小卡车领取报酬！
TID_TUTORIAL_47,瞧，幼儿园的孩子们给您寄来了感谢信！
TID_TUTORIAL_GUEST3,这个大个子是谁？
TID_TUTORIAL_48,你好啊，我是你的邻居格雷格。如果你手头缺少什么工具，可以找我帮忙！
TID_TUTORIAL_49,我们可以用工具来清理荒地。去格雷格的农场看看！
TID_TUTORIAL_GUEST4,打开好友栏！
TID_TUTORIAL_50,欢迎光临我的农场！别忘了去我的路边小店看看有什么商品出售！
TID_TUTORIAL_51,多谢光临！别忘了，你可以随时拜访我或好友的农场！
TID_TUTORIAL_52,哇，格雷格真是帮了大忙。您可以添加更多农场好友，添加的好友将会显示在好友栏中。
TID_TUTORIAL_53,这是您的路边小店，您可以将物品放在这里出售，会有其他农场主前来购买。
TID_TUTORIAL_54,您可以决定待售商品的数量和价格，还可以在报纸上刊登广告！现在就试试吧！
TID_TUTORIAL_54a,去您的路边小店看看！
TID_TUTORIAL_55,您可以在信箱中找到报纸，报纸上刊登了其他玩家出售的物品。
TID_TUTORIAL_55a,点击信箱，读读本地的报纸！
TID_TUTORIAL_56,您好，需要作物种植方面的建议吗？我可以分享一些小窍门！
TID_TUTORIAL_57,嗨，您知道吗？您可以移动、旋转甚至回收游戏中的物品。首先，请按住一件物品不动。
TID_TUTORIAL_57_MOBILE,嗨，您知道吗？您可以移动、旋转甚至回收游戏中的物品。首先，请按住一件物品不动。
TID_TUTORIAL_58a,礼券是什么？
TID_TUTORIAL_59,礼券是您通过完成航运订单和其他方式获得的宝贝！现在就给您一张礼券吧...
TID_TUTORIAL_59a,谢谢！
TID_TUTORIAL_60,点击宠物屋舍，给您的宠物提供美味的食物！
TID_TUTORIAL_61,现在，等您的宠物回来睡觉吧。
TID_TUTORIAL_62,您的宠物看上去快乐又悠闲！点击它把它叫醒，可以领取经验值。
TID_TUTORIAL_63,看看您的宠物多么惹人喜爱！记得要经常给它喂食，让它健康快乐。唤醒熟睡的宠物还可获取经验值哦！
TID_TUTORIAL_63_MOBILE,看看您的宠物多么惹人喜爱！记得要经常给它喂食，让它健康快乐。唤醒熟睡的宠物还可获取经验值哦！
TID_TUTORIAL_64,您好，想听听有关比萨饼的建议吗？
TID_TUTORIAL_65,该开始攒些金币了，码头需要修理。
TID_TUTORIAL_66,土地不够用了吗？不用担心，您现在可以扩建农场了。
TID_TUTORIAL_67,现在正是修复旧矿场的好时机，说不定这里藏着巨大的宝藏呢。
TID_TUTORIAL_68,恭喜，码头已修复！现在，您可以开始完成航运订单了。
TID_TUTORIAL_69,这是航运排行榜，点击可查看您和好友的航运积分。
TID_TUTORIAL_70,看到那闪闪发亮的新信箱了吗？哦，我猜有人要来了，您听到口哨声了吗？
TID_TUTORIAL_71,耶！您收到了第一封信。点击信箱打开看看吧。
TID_TUTORIAL_72,太好了！格雷格送了您一张礼品卡。收集足够的礼品卡就可以购买神秘包裹了。
TID_TUTORIAL_72_MOBILE,太好了！格雷格送了您一张礼品卡。收集足够的礼品卡就可以购买神秘包裹了。
TID_TUTORIAL_73,怎样才能收到更多感谢信呢？您只需去其他农场帮助那些农场主，作为回报，他们会给您寄感谢信的！
TID_TUTORIAL_74,再加上一点点运气，您就有可能从感谢信中找到一张礼品卡。别忘了，邮递员每天只会给您送一次信。
TID_TUTORIAL_GUEST5,点击格雷格的照片就可以去他的农场！
TID_TUTORIAL_GUEST6,点击格雷格的路边小店，看看他在卖什么！
TID_LOADING_SCREEN_CONNECTING,正在连接
TID_LOADING_SCREEN_LOADING,正在加载
TID_LOADING_SCREEN_UPDATING,正在更新
TID_BUTTON_INCREASE_CAPACITY,增加仓库容量
TID_BUTTON_STORAGE,返回
TID_STORAGE_UPGRADE_DESCRIPTION,将容量提升至<CAPACITY>
TID_PLANK_DESCRIPTION,可以用来升级货仓
TID_NAIL_DESCRIPTION,可以用来升级粮仓
TID_BOLT_DESCRIPTION,可以用来升级货仓
TID_SCREW_DESCRIPTION,可以用来升级粮仓
TID_DUCT_TAPE_DESCRIPTION,可以用来升级货仓
TID_WOOD_PANEL_DESCRIPTION,可以用来升级粮仓
TID_DYNAMITE_DESCRIPTION,可以炸掉小块岩石
TID_DEMOLITION_CHARGE_DESCRIPTION,可以炸掉大块岩石
TID_AXE_DESCRIPTION,可以砍倒一棵小树
TID_SAW_DESCRIPTION,可以砍倒一棵大树
TID_SHOVEL_DESCRIPTION,可以填平一片沼泽
TID_DAIRY_PRODUCT_DESCRIPTION,在乳品厂中生产
TID_BARBECUE_PRODUCT_DESCRIPTION,在烧烤架上制作
TID_BAKERY_PRODUCT_DESCRIPTION,在面包房中生产
TID_LOOM_PRODUCT_DESCRIPTION,用织布机生产
TID_CAKE_OVEN_PRODUCT_DESCRIPTION,在蛋糕烤炉中生产
TID_PIE_OVEN_PRODUCT_DESCRIPTION,在馅饼烤炉中生产
TID_POPCORN_POT_PRODUCT_DESCRIPTION,在爆米花烤锅中生产
TID_SUGAR_MILL_PRODUCT_DESCRIPTION,在制糖厂中生产
TID_FEED_MILL_PRODUCT_DESCRIPTION,在饲料厂中生产
TID_JUICE_PRESS_PRODUCT_DESCRIPTION,在果汁机中制作
TID_JAM_MAKER_PRODUCT_DESCRIPTION,在果酱机中制作
TID_ICE_CREAM_MAKER_PRODUCT_DESCRIPTION,在冰淇淋机中制作
TID_JEWELER_PRODUCT_DESCRIPTION,在珠宝店中制作
TID_APPLE_DESCRIPTION,从苹果树上收集
TID_CHERRY_DESCRIPTION,从樱桃树上收集
TID_CACAO_DESCRIPTION,从可可树上收集
TID_RASPBERRY_DESCRIPTION,从树莓丛收集
TID_BLACKBERRY_DESCRIPTION,从黑莓丛收集
TID_EGG_DESCRIPTION,从母鸡身上收集
TID_MILK_DESCRIPTION,从奶牛身上收集
TID_WOOL_DESCRIPTION,从绵羊身上收集
TID_BACON_DESCRIPTION,从小猪身上收集
TID_GOAT_MILK_DESCRIPTION,从山羊身上收集
TID_CASH,金币
TID_DIAMONDS,钻石
TID_CASH_DESCRIPTION,为您的农场购买各种商品。
TID_DIAMONDS_DESCRIPTION,加快生产速度和购买所缺物品
TID_FACEBOOK,Facebook
TID_GAME_CENTER,Game Center
TID_FACEBOOK_ID_NOT_MATCH_TITLE,<SOCIAL_MEDIA>提醒
TID_FACEBOOK_ID_NOT_MATCH,您要用新的<SOCIAL_MEDIA>账号保存当前游戏吗？
TID_FACEBOOK_ID_NOT_MATCH_ACTION_1,是，切换账号。
TID_FACEBOOK_ID_NOT_MATCH_ACTION_2,不，请使用当前账号。
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_TITLE,请选择您的农场
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM,我们发现有其他农场与此<SOCIAL_MEDIA>账号关联：\n（农场<NEW_FARM_NAME>，等级 <NEW_LEVEL>）\n\n您确定要加载吗？\n\n警告：当前的农场（农场<OLD_FARM_NAME>，等级<OLD_LEVEL>）将丢失。
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_MOBILE,我们发现有其他农场与此<SOCIAL_MEDIA>账号关联：\n（农场<NEW_FARM_NAME>，等级 <NEW_LEVEL>）\n\n您确定要加载吗？\n\n警告：当前的农场（农场<OLD_FARM_NAME>，等级<OLD_LEVEL>）将丢失。
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_ACTION_1,是，请加载游戏。
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_ACTION_2,不，请保留当前游戏。
TID_INTRO_01,这一天在平淡无奇中开始......
TID_INTRO_02,但一封信的到来改变了一切！
TID_INTRO_03,\q来自叔叔的问候！\q
TID_INTRO_04,\q你愿意成为一名农场主吗？\q
TID_INTRO_05,\q我要退休了。只要你愿意，这个农场就是你的了！\q
TID_INTRO_06,让我们告别城市，全新的乡村生活正等着我们呢。
TID_ANIMATION_Harvest,收割
TID_ANIMATION_Seeding,播种
TID_ANIMATION_CropInfo,收获两份！
TID_ANIMATION_BuyChicken,购买3只母鸡
TID_ANIMATION_FeedChicken,喂鸡
TID_ANIMATION_CollectEggs,收集鸡蛋
TID_ANIMATION_BakeBread,烤面包
TID_ANIMATION_6th crop,种植更多作物
TID_ANIMATION_EditObjects,整理您的农场
TID_ANIMATION_Pizzas,如何生产比萨饼？
TID_ANIMATION_SendLetter,如何寄感谢信
TID_DIAMOND_PACK_1,小堆钻石
TID_DIAMOND_PACK_2,小袋钻石
TID_DIAMOND_PACK_3,大袋钻石
TID_DIAMOND_PACK_4,小盒钻石
TID_DIAMOND_PACK_5,小箱钻石
TID_DIAMOND_PACK_6,大箱钻石
TID_DIAMOND_PACK_2_Birthday_1,生日礼包1
TID_DIAMOND_PACK_3_Birthday_2,生日礼包2
TID_DIAMOND_PACK_5_Birthday_3,生日礼包3
TID_DIAMOND_PACK_2_Special_1,特别礼包1
TID_DIAMOND_PACK_3_Special_2,特别礼包2
TID_DIAMOND_PACK_5_Special_3,特别礼包3
TID_CASH_PACK_1,小堆金币
TID_CASH_PACK_2,小袋金币
TID_CASH_PACK_3,大袋金币
TID_CASH_PACK_4,小盒金币
TID_CASH_PACK_5,小箱金币
TID_CASH_PACK_6,大箱金币
TID_BUY_DIAMONDS_TITLE,钻石商店
TID_BUY_CASH_TITLE,金币商店
TID_ORDER_SCREEN_SELECT_ORDER,从左侧选择订单。
TID_NOTIFICATION_BUILDING_CONSTRUCTION_READY,<NAME>已竣工
TID_NOTIFICATION_PLAYER_PLEASE_COME_BACK,您农场中的小动物都很想念您！
TID_NOTIFICATION_PLAYER_PLEASE_COME_BACK_MOBILE,您农场中的小动物都很想念您！
TID_NOTIFICATION_CROPS_READY,全部作物都可以收割啦！
TID_NOTIFICATION_CHICKEN_READY,可以收集鸡蛋啦！
TID_NOTIFICATION_COW_READY,可以收集牛奶啦！
TID_NOTIFICATION_SHEEP_READY,可以收集羊毛啦！
TID_NOTIFICATION_PIG_READY,可以收集培根啦！
TID_NOTIFICATION_GOAT_READY,可以收集山羊奶啦！
TID_NOTIFICATION_ORDER_READY,您有一个可以完成的订单！
TID_NOTIFICATION_DAILY_GIFT,亲爱的农场主，快来领取每日免费礼物！
TID_NATIVE_DIALOG_CONNECTION_LOST_TITLE,连接断开
TID_NATIVE_DIALOG_CONNECTION_LOST_MESSAGE,与服务器失去连接，请查看您的网络连接然后重试。
TID_NATIVE_DIALOG_CONNECTION_LOST_BUTTON,重试
TID_NATIVE_DIALOG_GAME_SERVER_NOT_RESPONDING_TITLE,连接断开
TID_NATIVE_DIALOG_GAME_SERVER_NOT_RESPONDING_MESSAGE,服务器无响应。请检查您的网络连接然后重试。
TID_NATIVE_DIALOG_GAME_SERVER_NOT_RESPONDING_BUTTON,重试
TID_NATIVE_DIALOG_BILLING_SERVER_NOT_RESPONDING_TITLE,连接断开
TID_NATIVE_DIALOG_BILLING_SERVER_NOT_RESPONDING_MESSAGE,计费服务器未响应，请稍后重试。
TID_NATIVE_DIALOG_BILLING_SERVER_NOT_RESPONDING_BUTTON,确定
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_TITLE,需要更新
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_MESSAGE,全新更新上线！立即更新，畅玩新内容，迎接特别惊喜——商店里很快会有免费钻石等您领取！
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_BUTTON,下载
TID_NATIVE_DIALOG_LOGIN_FAILED_TITLE,连接失败
TID_NATIVE_DIALOG_LOGIN_FAILED_MESSAGE,无法连接到服务器，错误代码<CODE>。
TID_NATIVE_DIALOG_LOGIN_FAILED_BUTTON,重试
TID_NATIVE_DIALOG_UNABLE_TO_CONNECT_TITLE,连接失败
TID_NATIVE_DIALOG_UNABLE_TO_CONNECT_MESSAGE,无法与服务器建立连接。请检查您的网络连接然后重试。
TID_NATIVE_DIALOG_UNABLE_TO_CONNECT_BUTTON,重试
TID_FENCE_01,白栅栏
TID_FENCE_01_DESCRIPTION,装饰您的农场
TID_FENCE_02,石墙
TID_FENCE_02_DESCRIPTION,装饰您的农场
TID_FENCE_03,石板路
TID_FENCE_03_DESCRIPTION,装饰您的农场
TID_FLOWERPOT_1,大丽花
TID_FLOWERPOT_1_DESCRIPTION,吸引蝴蝶
TID_FLOWERBED_1,雏菊
TID_FLOWERBED_1_DESCRIPTION,吸引蝴蝶
TID_FLOWERBED_2,羽扇豆
TID_FLOWERBED_2_DESCRIPTION,吸引蝴蝶
TID_BARREL_1,小木桶
TID_BARREL_1_DESCRIPTION,装饰您的农场
TID_BARREL_2,大木桶
TID_BARREL_2_DESCRIPTION,装饰您的农场
TID_BIRDHOUSE_1,木头鸟舍
TID_BIRDHOUSE_1_DESCRIPTION,吸引小鸟
TID_GAZEBO_1,六角凉亭
TID_GAZEBO_1_DESCRIPTION,装饰您的农场
TID_LANTERN,灯笼
TID_LANTERN_DESCRIPTION,装饰您的农场
TID_HAYCART,干草车
TID_HAYCART_DESCRIPTION,装饰您的农场
TID_HAYBALE_1,干草堆
TID_HAYBALE_1_DESCRIPTION,装饰您的农场
TID_WHEELBARROW,独轮花车
TID_WHEELBARROW_DESCRIPTION,吸引蝴蝶
TID_BIRDHOUSE_2,玲珑鸟舍
TID_BIRDHOUSE_2_DESCRIPTION,吸引小鸟
TID_GAZEBO_2,鲜花凉亭
TID_GAZEBO_2_DESCRIPTION,装饰您的农场
TID_HAYBALE_2,新鲜干草
TID_HAYBALE_2_DESCRIPTION,装饰您的农场
TID_PEOPLE_ORDER_GREETING1,你好，能把这个给我吗？
TID_PEOPLE_ORDER_GREETING2,你好，这个有货吗？
TID_PEOPLE_ORDER_GREETING3,下午好！我想买点东西。
TID_PEOPLE_ORDER_GREETING4,能把这个卖给我吗？
TID_PEOPLE_ORDER_GREETING5,你好，有什么要卖吗？
TID_PEOPLE_ORDER_GREETING6,你好，和我做笔生意吧。
TID_PEOPLE_ORDER_GREETING7,这个能卖给我吗？
TID_PEOPLE_ORDER_GREETING8,天气不错，今天营业吗？
TID_PEOPLE_ORDER_GREETING9,嗨，妈妈让我来买东西。
TID_PEOPLE_ORDER_GREETING10,嗨，我来帮奶奶买东西。
TID_PEOPLE_ORDER_REENGAGEMENT1,嘿，你回来啦，还以为你出什么事了呢。
TID_PEOPLE_ORDER_REENGAGEMENT2,听好了，我要买点东西。
