TID,IT
TID_ROADSIDE_SHOP_ADVERTISE,Pubblicizza
TID_ROADSIDE_SHOP_ADVERTISE_WITH_TIME,Pubblicizza ora
TID_SHOP_TITLE,Negozio
TID_TUTORIAL_01,Ehi! Sono il signor Wicker e ti aiuterò a mettere in piedi la tua fattoria!
TID_TUTORIAL_02a,"Tocca un campo di grano e prendi la falce, poi mieti trascinandola sul grano."
TID_TUTORIAL_03a,"Tocca un campo vuoto, poi trascina il grano sui campi per piantare i semi."
TID_TUTORIAL_04,Ci vuole tempo perché i semi crescano. Ciascun campo dà due colture quando è lavorato.
TID_TUTORIAL_05a,Tocca la tua casa e dipingila trascinando il pennello.
TID_TUTORIAL_06a,Magnifico! Anche al granaio farebbe bene un po' di colore...
TID_TUTORIAL_07a,Dovresti dipingere anche il silo!
TID_TUTORIAL_10,Ottimo! Ora invitiamo qualche amico pennuto alla festa!
TID_TUTORIAL_10a,Trascina una gallina dal negozio al pollaio.
TID_TUTORIAL_11a,Compriamo un'altra gallina!
TID_TUTORIAL_12a,Che ne pensi se ne compriamo un'altra?
TID_TUTORIAL_13a,Tocca una gallina e trascina il sacco di mangime sulle galline per nutrirle.
TID_TUTORIAL_14a,Tocca una gallina e poi tocca il pulsante \qAccelera\q!
TID_TUTORIAL_14b,Tocca una gallina e poi tocca due volte il pulsante \qAccelera\q!
TID_TUTORIAL_14c,Tocca una gallina e tieni premuto il pulsante \qAccelera\q!
TID_TUTORIAL_15a,Fauovoloso! Usa l'accelerazione anche con la seconda gallina.
TID_TUTORIAL_16a,Non sto più nelle penne! Ora acceleriamo anche con la terza.
TID_TUTORIAL_17a,Trascina il cesto su tutte le galline per raccogliere le uova.
TID_TUTORIAL_20,Bello! Cosa ne dici di trasformare tutto questo grano in pane con una nuova panetteria?
TID_TUTORIAL_20a,Apri il menu del negozio toccando il pulsante nell'angolo in basso a sinistra. Acquista una panetteria trascinandola sulla tua proprietà.
TID_TUTORIAL_20a_MOBILE,Apri il menu del negozio toccando il pulsante nell'angolo in basso a sinistra. Acquista una panetteria trascinandola sulla tua proprietà.
TID_TUTORIAL_21a,Aspetta che la costruzione finisca o accelera i tempi usando i diamanti.
TID_TUTORIAL_22a,Tocca la panetteria e trascina il pane nel forno.
TID_TUTORIAL_23a,Finisci istantaneamente di cuocere toccando il pulsante \qAccelera\q sotto il pane. Che profumino!
TID_TUTORIAL_24,"Quando sali di livello, sblocchi nuovi miglioramenti. Adesso troverai tre nuovi campi al negozio!"
TID_TUTORIAL_24a,Apri il menu del negozio e trascina i tre nuovi campi sulla tua proprietà.
TID_TUTORIAL_25a,Piantiamo altri semi. Ricordi come si fa? (Tocca il campo!)
TID_TUTORIAL_26,"L'equazione è: animali felici = fattoria felice! Non far soffrire la fame ai tuoi animali, costruisci un mangimificio."
TID_TUTORIAL_26a,Acquista un mangimificio trascinandolo dal negozio sulla tua proprietà.
TID_TUTORIAL_27,"Gli affari vanno forte! Continua a mietere i campi, a sfornare pane e a produrre uova da vendere."
TID_TUTORIAL_27a,Ricorda che puoi velocizzare la crescita toccando il pulsante \qAccelera\q.
TID_TUTORIAL_28,"Bip, bip! È arrivato il furgone delle consegne! Preparati per una marea di ordini!"
TID_TUTORIAL_29,La bacheca degli ordini mostra quali ordini sono disponibili. Guadagna denaro e ottieni esperienza effettuando le consegne.
TID_TUTORIAL_29a,Tocca il furgone o la bacheca degli ordini per effettuare la tua prima consegna.
TID_TUTORIAL_30,Eccolo che parte! Il furgone sta andando all'asilo!
TID_TUTORIAL_30a,I cittadini hanno sempre bisogno dei nostri prodotti freschi! Completiamo un altro ordine.
TID_TUTORIAL_31,"Stai imparando in fretta! Per ora, continua a gestire la fattoria e a completare gli ordini."
TID_TUTORIAL_31a,Continua a coltivare e a completare gli ordini!
TID_TUTORIAL_36,Muuuu! È tanto che non si vede una mucca da queste parti!
TID_TUTORIAL_36a,Acquista un pascolo per mucche trascinandolo dal negozio.
TID_TUTORIAL_37a,Ora trascina una mucca sul pascolo.
TID_TUTORIAL_38a,"Ha fame, diamole da mangiare!"
TID_TUTORIAL_39,Una mucca ben nutrita produrrà latte nutriente da mungere.
TID_TUTORIAL_40,"Non appena avrai ottenuto abbastanza denaro, compra un caseificio dal negozio per trasformare il latte in panna, burro e perfino formaggio!"
TID_TUTORIAL_42,"Ciao! Sono Mike e gestisco il vecchio mulino vicino alla città. Hai proprio una bella fattoria, ma le manca una cosa... Il nome! Che ne dici di sceglierne uno originale? Ricorda che è meglio evitare di usare il tuo vero nome."
TID_TUTORIAL_45,"Sono contento che qualcuno si occupi di questo posto. Bene, a presto!"
TID_TUTORIAL_46,"Questo fantastico profumo proviene da qui? Oh, ma dove sono finite le mie buone maniere! Mi chiamo Joan."
TID_TUTORIAL_GUEST1,Abbiamo visite! Toccalo per sentire cos'ha da dire!
TID_TUTORIAL_GUEST2,Abbiamo altre visite! Meglio chiederle che cosa ha in mente.
TID_TUTORIAL_47a,Per prima cosa eliminiamo la copertura toccandola.
TID_TUTORIAL_48a,"Aspetta che il furgone delle consegne arrivi con la tua ricompensa, poi toccalo per ottenerla."
TID_TUTORIAL_47,"Guarda, i bambini dell'asilo ti hanno mandato un bigliettino per ringraziarti!"
TID_TUTORIAL_GUEST3,Chi è questo omaccione?
TID_TUTORIAL_48,"Ciao! Sono Greg, il tuo vicino. Se hai bisogno di attrezzi, vieni da me e vedrò di accontentarti!"
TID_TUTORIAL_49,Potremmo usare gli attrezzi per liberare un po' di terreno. Facciamo visita alla fattoria di Greg!
TID_TUTORIAL_GUEST4,Apri la barra degli amici!
TID_TUTORIAL_50,Benvenuto nella mia fattoria! Guarda tutti i prodotti che ho in vendita nella mia bancarella!
TID_TUTORIAL_51,"Grazie per la visita! Ricorda, puoi fare un salto da me o dai tuoi amici quando vuoi!"
TID_TUTORIAL_52,"Wow, Greg è stato davvero disponibile. Puoi aggiungere altri amici come vicini usando la barra degli amici."
TID_TUTORIAL_53,"Questa è la tua bancarella, dove puoi mettere in vendita dei prodotti per gli altri giocatori."
TID_TUTORIAL_54,"Puoi decidere la quantità di prodotti che desideri vendere, stabilire il prezzo e fare pubblicità sul giornale locale! Prova!"
TID_TUTORIAL_54a,Controlla la tua bancarella!
TID_TUTORIAL_55,Troverai il giornale nella tua cassetta delle lettere. Leggendolo scoprirai cosa vendono le altre persone.
TID_TUTORIAL_55a,Tocca la cassetta delle lettere per leggere il giornale locale.
TID_TUTORIAL_56,Ehi! Ti serve una mano per piantare il prossimo raccolto? Posso darti qualche dritta!
TID_TUTORIAL_57,"Ciao! Volevo solo dirti che gli oggetti li puoi spostare, girare e anche scartare. Prima di tutto, tocca e tieni premuto un oggetto."
TID_TUTORIAL_57_MOBILE,"Ciao! Volevo solo dirti che gli oggetti li puoi spostare, girare e anche scartare. Prima di tutto, tocca e tieni premuto un oggetto."
TID_TUTORIAL_58a,Che cosa sono i buoni?
TID_TUTORIAL_59,Sono oggetti collezionabili che ottieni completando gli ordini per le barche e in altri luoghi! Eccone uno per te...
TID_TUTORIAL_59a,Grazie!
TID_TUTORIAL_60,Tocca la casetta e riempi la ciotola vuota con del cibo delizioso!
TID_TUTORIAL_61,Ora aspetta che il tuo amico a 4 zampe torni per dormire.
TID_TUTORIAL_62,Il tuo animale è felice e rilassato! Toccalo per svegliarlo e raccogliere i punti.
TID_TUTORIAL_63,Guarda come gioca il tuo piccolo amico! Ricordati di sfamarlo regolarmente per mantenerlo in salute e ottenere dei punti quando si addormenta.
TID_TUTORIAL_63_MOBILE,Guarda come gioca il tuo piccolo amico! Ricordati di sfamarlo regolarmente per mantenerlo in salute e ottenere dei punti quando si addormenta.
TID_TUTORIAL_64,Ehi! Serve qualcuno per le pizze?
TID_TUTORIAL_65,È tempo di iniziare a risparmiare qualche moneta. Il molo dev'essere riparato.
TID_TUTORIAL_66,Hai bisogno di più spazio? Tranquillo! Puoi iniziare subito a espanderti.
TID_TUTORIAL_67,Forse è il momento giusto per riparare la vecchia miniera? Chissà quali tesori nasconde!
TID_TUTORIAL_68,"Complimenti, il molo è stato riparato! Ora puoi completare gli ordini per le barche."
TID_TUTORIAL_69,Questa è la classifica delle barche. Tocca per vedere come sta andando a te e ai tuoi amici.
TID_TUTORIAL_70,"Hai visto la tua nuova cassetta della posta? Oh, credo che stia per arrivare qualcuno. Non senti fischiare?"
TID_TUTORIAL_71,Sììì! Hai ricevuto la tua prima lettera. Seleziona la cassetta della posta per aprirla.
TID_TUTORIAL_72,Fantastico! Greg ti ha inviato un buono omaggio. Collezionane a sufficienza e potrai ordinare un pacchetto misterioso dal catalogo.
TID_TUTORIAL_72_MOBILE,Fantastico! Greg ti ha inviato un buono omaggio. Collezionane a sufficienza e potrai ordinare un pacchetto misterioso dal catalogo.
TID_TUTORIAL_73,Vuoi ricevere più lettere? Aiuta gli altri contadini nelle loro fattorie e potrebbero spedirtene una in segno di ringraziamento!
TID_TUTORIAL_74,Con un pizzico di fortuna potrebbe contenere un buono omaggio. E ricorda: il postino passa una volta al giorno.
TID_TUTORIAL_GUEST5,Tocca l'immagine di Greg per visitare la sua fattoria!
TID_TUTORIAL_GUEST6,Tocca la bancarella di Greg per vedere che cosa vende!
TID_LOADING_SCREEN_CONNECTING,Connessione
TID_LOADING_SCREEN_LOADING,Caricamento
TID_LOADING_SCREEN_UPDATING,Aggiornamento
TID_BUTTON_INCREASE_CAPACITY,Aumenta capacità
TID_BUTTON_STORAGE,Indietro
TID_STORAGE_UPGRADE_DESCRIPTION,Aumenta capacità a <CAPACITY>
TID_PLANK_DESCRIPTION,Serve per migliorare il tuo granaio
TID_NAIL_DESCRIPTION,Serve per migliorare il tuo silo
TID_BOLT_DESCRIPTION,Serve per migliorare il tuo granaio
TID_SCREW_DESCRIPTION,Serve per migliorare il tuo silo
TID_DUCT_TAPE_DESCRIPTION,Serve per migliorare il tuo granaio
TID_WOOD_PANEL_DESCRIPTION,Serve per migliorare il tuo silo
TID_DYNAMITE_DESCRIPTION,Serve per distruggere una roccia piccola
TID_DEMOLITION_CHARGE_DESCRIPTION,Serve per distruggere una roccia grande
TID_AXE_DESCRIPTION,Serve per abbattere un albero piccolo
TID_SAW_DESCRIPTION,Serve per abbattere un albero grande
TID_SHOVEL_DESCRIPTION,Serve per prosciugare una palude
TID_DAIRY_PRODUCT_DESCRIPTION,Prodotto del caseificio
TID_BARBECUE_PRODUCT_DESCRIPTION,Prodotto del barbecue
TID_BAKERY_PRODUCT_DESCRIPTION,Prodotto della panetteria
TID_LOOM_PRODUCT_DESCRIPTION,Prodotto del telaio
TID_CAKE_OVEN_PRODUCT_DESCRIPTION,Prodotto del forno per torte
TID_PIE_OVEN_PRODUCT_DESCRIPTION,Prodotto del forno per pasticci
TID_POPCORN_POT_PRODUCT_DESCRIPTION,Prodotto della stufa per popcorn
TID_SUGAR_MILL_PRODUCT_DESCRIPTION,Prodotto dello zuccherificio
TID_FEED_MILL_PRODUCT_DESCRIPTION,Prodotto del mangimificio
TID_JUICE_PRESS_PRODUCT_DESCRIPTION,Prodotto della spremitrice
TID_JAM_MAKER_PRODUCT_DESCRIPTION,Prodotto della marmellatiera
TID_ICE_CREAM_MAKER_PRODUCT_DESCRIPTION,Prodotto della gelatiera
TID_JEWELER_PRODUCT_DESCRIPTION,Prodotto del gioielliere
TID_APPLE_DESCRIPTION,Raccogli dal melo
TID_CHERRY_DESCRIPTION,Raccogli dal ciliegio
TID_CACAO_DESCRIPTION,Raccogli dall'albero del cacao
TID_RASPBERRY_DESCRIPTION,Raccogli dal cespuglio di lamponi
TID_BLACKBERRY_DESCRIPTION,Raccogli dal cespuglio di more
TID_EGG_DESCRIPTION,Raccogli dalla gallina
TID_MILK_DESCRIPTION,Raccogli dalla mucca
TID_WOOL_DESCRIPTION,Raccogli dalla pecora
TID_BACON_DESCRIPTION,Raccogli dal maiale
TID_GOAT_MILK_DESCRIPTION,Raccogli dalla capra
TID_CASH,Monete
TID_DIAMONDS,Diamanti
TID_CASH_DESCRIPTION,Compra prodotti e miglioramenti per la tua fattoria
TID_DIAMONDS_DESCRIPTION,Accelera la produzione e compra i prodotti che non hai
TID_FACEBOOK,Facebook
TID_GAME_CENTER,Game Center
TID_FACEBOOK_ID_NOT_MATCH_TITLE,Avviso <SOCIAL_MEDIA>
TID_FACEBOOK_ID_NOT_MATCH,Vuoi salvare la partita in corso su un nuovo account <SOCIAL_MEDIA>?
TID_FACEBOOK_ID_NOT_MATCH_ACTION_1,"Sì, cambia account"
TID_FACEBOOK_ID_NOT_MATCH_ACTION_2,"No, usa l'account attuale"
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_TITLE,Scegli la tua fattoria
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM,"Abbiamo trovato un'altra fattoria associata a questo account <SOCIAL_MEDIA>:\n(fattoria <NEW_FARM_NAME>, livello <NEW_LEVEL>)\n\nVuoi caricarla?\n\nAttenzione: l'attuale fattoria (fattoria <OLD_FARM_NAME>, livello <OLD_LEVEL>) andrà persa."
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_MOBILE,"Abbiamo trovato un'altra fattoria associata a questo account <SOCIAL_MEDIA>:\n(fattoria <NEW_FARM_NAME>, livello <NEW_LEVEL>)\n\nVuoi caricarla?\n\nAttenzione: l'attuale fattoria (fattoria <OLD_FARM_NAME>, livello <OLD_LEVEL>) andrà persa."
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_ACTION_1,"Sì, carica partita"
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_ACTION_2,"No, continua la partita in corso"
TID_INTRO_01,Sembrava un giorno come tutti gli altri...
TID_INTRO_02,Fino a quando non è arrivata la lettera!
TID_INTRO_03,"\qCiao, sono tuo zio!\q"
TID_INTRO_04,\qChe ne diresti di lavorare nella fattoria?\q
TID_INTRO_05,"\qHo deciso di andare in pensione. La fattoria è tua, se la vuoi!\q"
TID_INTRO_06,Si parte! Ci aspetta una nuova vita in campagna.
TID_ANIMATION_Harvest,Raccolta
TID_ANIMATION_Seeding,Semina
TID_ANIMATION_CropInfo,Le colture si moltiplicano!
TID_ANIMATION_BuyChicken,Compra 3 galline
TID_ANIMATION_FeedChicken,Nutri le galline
TID_ANIMATION_CollectEggs,Raccogli le uova
TID_ANIMATION_BakeBread,Cuoci il pane
TID_ANIMATION_6th crop,Vuoi piantare altri semi?
TID_ANIMATION_EditObjects,Organizza la fattoria
TID_ANIMATION_Pizzas,Vuoi trovare le pizze?
TID_ANIMATION_SendLetter,Come inviare una lettera
TID_DIAMOND_PACK_1,Mucchio di diamanti
TID_DIAMOND_PACK_2,Borsa di diamanti
TID_DIAMOND_PACK_3,Sacco di diamanti
TID_DIAMOND_PACK_4,Scatola di diamanti
TID_DIAMOND_PACK_5,Cassa di diamanti
TID_DIAMOND_PACK_6,Baule di diamanti
TID_DIAMOND_PACK_2_Birthday_1,Pacchetto di compleanno 1
TID_DIAMOND_PACK_3_Birthday_2,Pacchetto di compleanno 2
TID_DIAMOND_PACK_5_Birthday_3,Pacchetto di compleanno 3
TID_DIAMOND_PACK_2_Special_1,Pacchetto speciale 1
TID_DIAMOND_PACK_3_Special_2,Pacchetto speciale 2
TID_DIAMOND_PACK_5_Special_3,Pacchetto speciale 3
TID_CASH_PACK_1,Mucchio di monete
TID_CASH_PACK_2,Borsa di monete
TID_CASH_PACK_3,Sacco di monete
TID_CASH_PACK_4,Scatola di monete
TID_CASH_PACK_5,Cassa di monete
TID_CASH_PACK_6,Baule di monete
TID_BUY_DIAMONDS_TITLE,Negozio dei diamanti
TID_BUY_CASH_TITLE,Negozio delle monete
TID_ORDER_SCREEN_SELECT_ORDER,Scegli un ordine da sinistra.
TID_NOTIFICATION_BUILDING_CONSTRUCTION_READY,<NAME>: costruzione completata!
TID_NOTIFICATION_PLAYER_PLEASE_COME_BACK,Gli animali della fattoria sentono la tua mancanza!
TID_NOTIFICATION_PLAYER_PLEASE_COME_BACK_MOBILE,Gli animali della fattoria sentono la tua mancanza!
TID_NOTIFICATION_CROPS_READY,Tutte le colture sono pronte per il raccolto!
TID_NOTIFICATION_CHICKEN_READY,Le uova sono pronte per essere raccolte!
TID_NOTIFICATION_COW_READY,Il latte è pronto per essere munto!
TID_NOTIFICATION_SHEEP_READY,La lana è pronta per essere tosata!
TID_NOTIFICATION_PIG_READY,La pancetta è pronta per essere presa!
TID_NOTIFICATION_GOAT_READY,Il latte di capra è pronto!
TID_NOTIFICATION_ORDER_READY,Puoi completare un ordine!
TID_NOTIFICATION_DAILY_GIFT,"Ehilà, il tuo regalo gratuito giornaliero ti sta aspettando!"
TID_NATIVE_DIALOG_CONNECTION_LOST_TITLE,Connessione persa
TID_NATIVE_DIALOG_CONNECTION_LOST_MESSAGE,Connessione al server persa. Verifica la connessione a Internet e riprova.
TID_NATIVE_DIALOG_CONNECTION_LOST_BUTTON,Riprova
TID_NATIVE_DIALOG_GAME_SERVER_NOT_RESPONDING_TITLE,Connessione persa
TID_NATIVE_DIALOG_GAME_SERVER_NOT_RESPONDING_MESSAGE,Il server non risponde. Verifica la connessione a Internet e riprova.
TID_NATIVE_DIALOG_GAME_SERVER_NOT_RESPONDING_BUTTON,Riprova
TID_NATIVE_DIALOG_BILLING_SERVER_NOT_RESPONDING_TITLE,Connessione persa
TID_NATIVE_DIALOG_BILLING_SERVER_NOT_RESPONDING_MESSAGE,Il server per i pagamenti non risponde. Riprova più tardi.
TID_NATIVE_DIALOG_BILLING_SERVER_NOT_RESPONDING_BUTTON,OK
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_TITLE,Aggiornamento richiesto
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_MESSAGE,È arrivato un nuovo aggiornamento! Installalo subito per goderti la versione più recente del gioco e tieni d'occhio il negozio: presto ci saranno dei diamanti in regalo!
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_BUTTON,Scarica
TID_NATIVE_DIALOG_LOGIN_FAILED_TITLE,Connessione fallita
