TID,FI
TID_TUTORIAL_30,Siellä se menee! Tavararekka on nyt matkalla lastentarhaan.
TID_TUTORIAL_30a,Nämä kyläläiset eivät millään saa tarpeekseen tuoreista farmituotteista! Täytetään toinen tilaus.
TID_TUTORIAL_31,Alat oppia tämän! Jatketaan maanviljelyä ja tilausten toimittamista.
TID_TUTORIAL_31a,Jatka maanviljelyä ja tilausten toimittamista!
TID_TUTORIAL_36,"Ammuuu! Tovi on vierähtänyt siitä, kun täällä on viimeksi ollut lehmiä!"
TID_TUTORIAL_36a,Osta lehmälaidun vetämällä se kaupasta.
TID_TUTORIAL_37a,Vedä seuraavaksi lehmä laitumelle.
TID_TUTORIAL_38a,"Se on nälkäinen, ruokitaan se!"
TID_TUTORIAL_39,Hyvin ruokittu lehmä tuottaa ravitsevaa maitoa kerättäväksi.
TID_TUTORIAL_40,"Kun sinulla on riittävästi rahaa, osta meijeri kaupasta. Meijerissä maidosta voi tehdä kermaa, voita ja jopa juustoa!"
TID_TUTORIAL_42,"Heippa! Olen Mike ja hoitelen vanhaa myllyä kylän lähellä. Onpa sinulla täällä hieno farmi. Haluaisitko valita sille nimen? Muista, että on parasta olla käyttämättä oikeaa nimeään."
TID_TUTORIAL_45,"Mukava nähdä, että joku huolehtii paikasta. No, nähdään taas!"
TID_TUTORIAL_46,"Tuleeko tuo ihana tuoksu täältäpäin? Oh, unohdin aivan esitellä itseni! Nimeni on Joan."
TID_TUTORIAL_GUEST1,"Meille tuli vieras! Napauta häntä niin näet, mitä hänellä on sanottavaa!"
TID_TUTORIAL_GUEST2,"Toinen vieras! Parasta kysyä, mitä asiaa hänellä on."
TID_TUTORIAL_47a,Poista ensin peite napauttamalla sitä.
TID_TUTORIAL_48a,"Odota, että tavararekka tulee takaisin palkkiosi kanssa, ja lunasta se napauttamalla!"
TID_TUTORIAL_47,"Katso, lastentarhan lapset lähettivät sinulle kiitoskortin!"
TID_TUTORIAL_GUEST3,Kukas tämä iso tyyppi on?
TID_TUTORIAL_48,"Hei! Olen naapurisi Greg. Tarvitsetko työkaluja? Tule käymään, niin voin hankkia niitä sinulle!"
TID_TUTORIAL_49,Tarvitsisimme työkaluja alueen raivaamiseen. Käydään Gregin farmilla!
TID_TUTORIAL_GUEST4,Avaa kaveripalkki!
TID_TUTORIAL_50,"Tervetuloa farmilleni! Muista vilkaista, mitä tienvarsikojussani on myynnissä!"
TID_TUTORIAL_51,"Mukava että kävit! Muistathan, että voit käydä luonani tai kaveriesi luona milloin tahansa!"
TID_TUTORIAL_52,"Vau, Greg oli tosi avulias. Voit lisätä uusia kavereita kaveripalkista."
TID_TUTORIAL_53,"Tämä on tienvarsikojusi. Voit asettaa sinne tavaraa myyntiin, ja muut pelaajat voivat ostaa niitä."
TID_TUTORIAL_54,"Voit päättää myytävien tuotteiden määrän sekä hinnan, ja voit jopa mainostaa niitä paikallisessa sanomalehdessä. Kokeile!"
TID_TUTORIAL_54a,Vilkaise tienvarsikojuasi!
TID_TUTORIAL_55,"Sanomalehti tulee postilaatikkoosi. Siitä voit katsoa, mitä muilla on myytävänä."
TID_TUTORIAL_55a,Lue paikallinen sanomalehti napauttamalla postilaatikkoa!
TID_TUTORIAL_56,Päiviä! Kaipaatko apua uuden sadon kylvöön? Voin antaa pari vinkkiä!
TID_TUTORIAL_57,"Hei! Halusin vain kertoa, että voit siirtää, kääntää ja jopa poistaa kohteita. Napauta ja pidä kohdetta painettuna."
TID_TUTORIAL_57_MOBILE,"Hei! Halusin vain kertoa, että voit siirtää, kääntää ja jopa poistaa kohteita. Napauta ja pidä kohdetta painettuna."
TID_TUTORIAL_58a,Mitä kupongit ovat?
TID_TUTORIAL_59,"Ne ovat kerättävää valuuttaa, ja niitä saa laivatilauksien suorittamisesta ja muista paikoista! Tässä sinulle yksi..."
TID_TUTORIAL_59a,Kiitos!
TID_TUTORIAL_60,"Napauta asumusta, ja täytä tyhjä kulho herkullisella ruoalla!"
TID_TUTORIAL_61,Odota nyt kunnes lemmikkisi tulee takaisin nukkumaan.
TID_TUTORIAL_62,Lemmikkisi on iloinen ja rentoutunut! Napauttamalla voit herättää sen ja kerätä pisteitä.
TID_TUTORIAL_63,"Katso, kuinka leikkisä lemmikkisi on! Muista ruokkia sitä säännöllisesti, jotta se pysyy iloisena ja jotta voit kerätä pisteitä sen nukahdettua."
TID_TUTORIAL_63_MOBILE,"Katso, kuinka leikkisä lemmikkisi on! Muista ruokkia sitä säännöllisesti, jotta se pysyy iloisena ja jotta voit kerätä pisteitä sen nukahdettua."
TID_TUTORIAL_64,Päiviä! Tarvitsetko apua pizzojen kanssa?
TID_TUTORIAL_65,On aika alkaa säästää rahaa. Laituri kaipaa kunnostusta.
TID_TUTORIAL_66,Tarvitsetko lisää tilaa? Ei huolta! Voit nyt aloittaa laajentamisen.
TID_TUTORIAL_67,"Ehkä nyt olisi hyvä aika korjata vanha kaivos. Kuka tietää, mitä aarteita siellä on."
TID_TUTORIAL_68,Onnittelut laiturin korjaamisesta! Nyt voit täyttää laivatilauksia.
TID_TUTORIAL_69,"Tämä on laivan pistetaulukko. Napauta sitä katsoaksesi, miten hyvin sinä ja kaverisi pärjäätte."
TID_TUTORIAL_70,"Oletko nähnyt uuden, kiiltävän postilaatikkosi? Hei, minusta tuntuu, että joku on tulossa. Kuuletko viheltelyn?"
TID_TUTORIAL_71,Jee! Sait ensimmäisen kirjeesi. Lue se napauttamalla postilaatikkoa.
TID_TUTORIAL_72,"Mainiota! Greg lähetti sinulle lahjakupongin. Kerää niitä riittävästi, niin voit tilata mysteerilaatikon kuvastosta."
TID_TUTORIAL_72_MOBILE,"Mainiota! Greg lähetti sinulle lahjakupongin. Kerää niitä riittävästi, niin voit tilata mysteerilaatikon kuvastosta."
TID_TUTORIAL_73,"Miten voit saada lisää kirjeitä? Auta muita farmareita heidän farmeillaan, niin he saattavat lähettää sinulle kirjeen!"
TID_TUTORIAL_74,"Hyvällä tuurilla sen mukana voi tulla lahjakortti. Muista myös, että posteljooni käy luonasi kerran päivässä."
TID_TUTORIAL_GUEST5,Käy Gregin farmilla napauttamalla hänen kuvaansa!
TID_TUTORIAL_GUEST6,"Napauta Gregin tienvarsikojua ja katso, mitä hänellä on myynnissä!"
TID_LOADING_SCREEN_CONNECTING,Yhdistetään
TID_LOADING_SCREEN_LOADING,Ladataan
TID_LOADING_SCREEN_UPDATING,Päivitetään
TID_BUTTON_INCREASE_CAPACITY,Lisää varastotilaa
TID_BUTTON_STORAGE,Takaisin
TID_STORAGE_UPGRADE_DESCRIPTION,Nosta varastotilan määrä <CAPACITY>:een.
TID_PLANK_DESCRIPTION,Käytä ladon päivittämiseen.
TID_NAIL_DESCRIPTION,Käytä viljavaraston päivittämiseen.
TID_BOLT_DESCRIPTION,Käytä ladon päivittämiseen.
TID_SCREW_DESCRIPTION,Käytä viljavaraston päivittämiseen.
TID_DUCT_TAPE_DESCRIPTION,Käytä ladon päivittämiseen.
TID_WOOD_PANEL_DESCRIPTION,Käytä viljavaraston päivittämiseen.
TID_DYNAMITE_DESCRIPTION,Käytä pienen kiven tuhoamiseen.
TID_DEMOLITION_CHARGE_DESCRIPTION,Käytä suuren kiven tuhoamiseen.
TID_AXE_DESCRIPTION,Käytä pienen puun kaatamiseen.
TID_SAW_DESCRIPTION,Käytä suuren puun kaatamiseen.
TID_SHOVEL_DESCRIPTION,Käytä suon raivaamiseen.
TID_DAIRY_PRODUCT_DESCRIPTION,Valmista meijerissä.
TID_BARBECUE_PRODUCT_DESCRIPTION,Valmista grillissä.
TID_BAKERY_PRODUCT_DESCRIPTION,Valmista leipomossa.
TID_LOOM_PRODUCT_DESCRIPTION,Tee kangaspuilla.
TID_CAKE_OVEN_PRODUCT_DESCRIPTION,Valmista kakku-uunilla.
TID_PIE_OVEN_PRODUCT_DESCRIPTION,Paista piirakkauunissa.
TID_POPCORN_POT_PRODUCT_DESCRIPTION,Valmista popcorn-kattilassa.
TID_SUGAR_MILL_PRODUCT_DESCRIPTION,Valmista sokerimyllyllä.
TID_FEED_MILL_PRODUCT_DESCRIPTION,Tuota rehumyllyllä.
TID_JUICE_PRESS_PRODUCT_DESCRIPTION,Valmista mehupuristimella.
TID_JAM_MAKER_PRODUCT_DESCRIPTION,Valmista hillokoneella.
TID_ICE_CREAM_MAKER_PRODUCT_DESCRIPTION,Valmista jäätelökoneella.
TID_JEWELER_PRODUCT_DESCRIPTION,Tee kultasepällä.
TID_APPLE_DESCRIPTION,Poimi omenapuusta.
TID_CHERRY_DESCRIPTION,Poimi kirsikkapuusta.
TID_CACAO_DESCRIPTION,Kerää kaakaopuusta.
TID_RASPBERRY_DESCRIPTION,Poimi vadelmapensaasta.
TID_BLACKBERRY_DESCRIPTION,Poimi karhunvatukkapensaasta.
TID_EGG_DESCRIPTION,Kerää kanalta.
TID_MILK_DESCRIPTION,Kerää lehmältä.
TID_WOOL_DESCRIPTION,Kerää lampaalta.
TID_BACON_DESCRIPTION,Kerää possulta.
TID_GOAT_MILK_DESCRIPTION,Kerää vuohelta.
TID_CASH,Kolikot
TID_DIAMONDS,Timantit
TID_CASH_DESCRIPTION,Osta tavaroita ja parannuksia farmillesi.
TID_DIAMONDS_DESCRIPTION,Nopeuta tuotantoa ja osta puuttuvia tavaroita.
TID_FACEBOOK,Facebook
TID_GAME_CENTER,Game Center
TID_FACEBOOK_ID_NOT_MATCH_TITLE,<SOCIAL_MEDIA>
TID_FACEBOOK_ID_NOT_MATCH,Haluatko tallentaa nykyisen pelisi uudelle palvelun <SOCIAL_MEDIA> tilille?
TID_FACEBOOK_ID_NOT_MATCH_ACTION_1,"Kyllä, vaihda tiliä."
TID_FACEBOOK_ID_NOT_MATCH_ACTION_2,"En, pidä nykyinen tili."
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_TITLE,Valitse farmisi
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM,"Löysimme toisen farmin, joka on yhdistetty tälle <SOCIAL_MEDIA>-tilille:\n(Farmi <NEW_FARM_NAME>, taso <NEW_LEVEL>)\n\nHaluatko ladata sen?\n\nVaroitus: Nykyinen (farmi <OLD_FARM_NAME>, taso <OLD_LEVEL>) menetetään."
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_MOBILE,"Löysimme toisen farmin, joka on yhdistetty tälle <SOCIAL_MEDIA>-tilille:\n(Farmi <NEW_FARM_NAME>, taso <NEW_LEVEL>)\n\nHaluatko ladata sen?\n\nVaroitus: Nykyinen (farmi <OLD_FARM_NAME>, taso <OLD_LEVEL>) menetetään."
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_ACTION_1,"Kyllä, lataa peli."
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_ACTION_2,"En, pidä nykyinen peli."
TID_INTRO_01,Se alkoi kuin mikä tahansa päivä...
TID_INTRO_02,Kunnes kirje saapui!
TID_INTRO_03,\qTerveisiä sedältäsi!\q
TID_INTRO_04,"\qOletko miettinyt, miltä tuntuisi olla farmari?\q"
TID_INTRO_05,"\qPäätin jäädä eläkkeelle. Jätän farmini sinulle, jos haluat sen!\q"
TID_INTRO_06,Matkaan! Uusi elämä maaseudulla odottaa.
TID_ANIMATION_Harvest,Sadonkorjuu
TID_ANIMATION_Seeding,Siementen kylväminen
TID_ANIMATION_CropInfo,Sato lisääntyy!
TID_ANIMATION_BuyChicken,Osta 3 kanaa
TID_ANIMATION_FeedChicken,Ruoki kanat
TID_ANIMATION_CollectEggs,Kerää munat
TID_ANIMATION_BakeBread,Leivo leipää
TID_ANIMATION_6th crop,Uusien siementen kylväminen
TID_ANIMATION_EditObjects,Järjestele farmisi
TID_ANIMATION_Pizzas,Pizzojen löytäminen
TID_ANIMATION_SendLetter,Kirjeen lähettäminen
TID_DIAMOND_PACK_1,Pino timantteja
TID_DIAMOND_PACK_2,Pussillinen timantteja
TID_DIAMOND_PACK_3,Säkillinen timantteja
TID_DIAMOND_PACK_4,Laatikollinen timantteja
TID_DIAMOND_PACK_5,Kirstullinen timantteja
TID_DIAMOND_PACK_6,Aarrearkullinen timantteja
TID_DIAMOND_PACK_2_Birthday_1,Synttäripaketti 1
TID_DIAMOND_PACK_3_Birthday_2,Synttäripaketti 2
TID_DIAMOND_PACK_5_Birthday_3,Synttäripaketti 3
TID_DIAMOND_PACK_2_Special_1,Erikoispaketti 1
TID_DIAMOND_PACK_3_Special_2,Erikoispaketti 2
TID_DIAMOND_PACK_5_Special_3,Erikoispaketti 3
TID_CASH_PACK_1,Pino kolikoita
TID_CASH_PACK_2,Pussillinen kolikoita
TID_CASH_PACK_3,Säkillinen kolikoita
TID_CASH_PACK_4,Laatikollinen kolikoita
TID_CASH_PACK_5,Kirstullinen kolikoita
TID_CASH_PACK_6,Aarrearkullinen kolikoita
TID_BUY_DIAMONDS_TITLE,Timanttikauppa
TID_BUY_CASH_TITLE,Kolikkokauppa
TID_ORDER_SCREEN_SELECT_ORDER,Valitse tilaus vasemmalta.
TID_NOTIFICATION_BUILDING_CONSTRUCTION_READY,<NAME> on valmistunut.
TID_NOTIFICATION_PLAYER_PLEASE_COME_BACK,Farmisi eläimet kaipaavat sinua!
TID_NOTIFICATION_PLAYER_PLEASE_COME_BACK_MOBILE,Farmisi eläimet kaipaavat sinua!
TID_NOTIFICATION_CROPS_READY,Kaikki sadot ovat valmiita korjattaviksi!
TID_NOTIFICATION_CHICKEN_READY,Munat ovat valmiita kerättäväksi!
TID_NOTIFICATION_COW_READY,Maito on valmista kerättäväksi!
TID_NOTIFICATION_SHEEP_READY,Villa on valmista kerättäväksi!
TID_NOTIFICATION_PIG_READY,Pekoni on valmista kerättäväksi!
TID_NOTIFICATION_GOAT_READY,Vuohenmaito on valmista kerättäväksi!
