TID,MS
TID_ORDER_TITLE_06,Kilang Bir Ben
TID_ORDER_TITLE_07,Perikanan Fabio
TID_ORDER_TITLE_08,Kilang Frank
TID_ORDER_TITLE_09,Tanah Perkuburan Grant
TID_ORDER_TABLE_WAITING,Sila Siap Sedia...
TID_ORDER_TABLE_WAITING_TEXT,Pesanan ini tiada lagi. Tunggu atau percepatkannya!
TID_SOCIAL_LOGIN_TITLE,Cari Lebih Ramai Petani!
TID_SOCIAL_LOGIN_1_TEXT,Log masuk ke <SOCIAL_1> dan mula berdagang dengan rakan anda!
TID_SOCIAL_LOGIN_2_TEXT,Log masuk ke <SOCIAL_1> atau <SOCIAL_2> dan mula berdagang dengan rakan anda!
TID_ROADSIDE_SHOP_TITLE,Gerai Tepi Jalan
TID_ROADSIDE_SHOP_FRIEND_TITLE,Gerai Tepi Jalan <NAME>
TID_ROADSIDE_SHOP_ITEM_COUNT,<COUNT>x
TID_ROADSIDE_SHOP_ITEM_SOLD,DIJUAL!
TID_ROADSIDE_SHOP_CREATE_NEW_SALE,Cipta Jualan Baharu
TID_ROADSIDE_SHOP_NEW_SALE_TITLE,Jualan Baharu
TID_ROADSIDE_SHOP_NEW_SALE_ADJUST_PRICE,Ubah Harga
TID_ROADSIDE_SHOP_NEW_SALE_CONFIRM_BUTTON,Jualkannya
TID_ROADSIDE_SHOP_ADVERTISE,Iklan
TID_ROADSIDE_SHOP_ADVERTISE_WITH_TIME,Iklankan sekarang
TID_SHOP_TITLE,Kedai
TID_TUTORIAL_01,Hai! Saya En. Wicker dan saya akan membantu kamu memulakan perladangan baharu kamu!
TID_TUTORIAL_02a,"Ketik padang gandum dan ambil sabit. Kemudian, tuai dengan menyeretnya merentasi gandum."
TID_TUTORIAL_03a,"Ketik pada batas kosong. Kemudian, seret gandum pada batas untuk menanam biji benih."
TID_TUTORIAL_04,"Biji benih memerlukan masa untuk tumbuh. Apabila dituai, setiap batas menghasilkan dua tanaman."
TID_TUTORIAL_05a,Ketik rumah anda dan seret berus padanya untuk mengecat.
TID_TUTORIAL_06a,Kemas! Bangsal juga boleh diwarnakan...
TID_TUTORIAL_07a,Anda perlu mengecat silo juga!
TID_TUTORIAL_10,"Hebat! Sekarang, mari dapatkan beberapa ekor ayam!"
TID_TUTORIAL_10a,Seret ayam dari kedai ke reban ayam.
TID_TUTORIAL_11a,Mari beli lagi satu ayam!
TID_TUTORIAL_12a,Apa kata kita beli ayam ketiga?
TID_TUTORIAL_13a,Ketik ayam dan seret beg makanan pada ayam untuk memberi makan.
TID_TUTORIAL_14a,"Ketik ayam dan kemudian, ketik butang percepatkan!"
TID_TUTORIAL_14b,"Ketik ayam dan kemudian, ketik butang kelajuan dua kali!"
TID_TUTORIAL_14c,"Ketik ayam dan kemudian, tahan butang tambah kelajuan!"
TID_TUTORIAL_15a,Cemerlang! Cepatkan ayam kedua juga.
TID_TUTORIAL_16a,"Luar biasa! Sekarang, percepatkan ayam ketiga."
TID_TUTORIAL_17a,Seret bakul pada kesemua ayam untuk mengambil telur.
TID_TUTORIAL_20,Bagus! Apa kata tukarkan semua gandum ini menjadi roti dengan bakeri baharu?
TID_TUTORIAL_20a,Buka menu kedai dengan mengetik butang pada sudut kiri bawah. Beli bakeri dengan menyeretnya ke tanah anda.
TID_TUTORIAL_20a_MOBILE,Buka menu kedai dengan mengetik butang pada sudut kiri bawah. Beli bakeri dengan menyeretnya ke tanah anda.
TID_TUTORIAL_21a,Tunggu pembinaan selesai atau mempercepat menggunakan berlian.
TID_TUTORIAL_22a,Ketik bakeri dan seret roti ke ketuhar.
TID_TUTORIAL_23a,Selesaikan pembakaran segera dengan mengetik butang Percepatkan di bawah roti. Bau enak!
TID_TUTORIAL_24,"Apabila naik tahap, anda membukai peningkatan baharu. Sekarang, ada tiga petak tanaman untuk dibeli di kedai!"
TID_TUTORIAL_24a,Buka menu kedai dan seret tiga petak tanaman baharu ke tanah anda.
TID_TUTORIAL_25a,Mari tanam lebih banyak biji benih. Ingat bagaimana? (Ketik pada batas!)
TID_TUTORIAL_26,Haiwan yang gembira mewujudkan ladang yang menyeronokkan. Pastikan haiwan anda tidak kelaparan dengan membina pengisar makanan!
TID_TUTORIAL_26a,Beli pengisar makanan dengan menyeretnya dari kedai ke tanah anda.
TID_TUTORIAL_27,"Perniagaan menguntungkan! Teruskan menuai dari batas, membakar roti dan menghasilkan telur untuk dijual."
TID_TUTORIAL_27a,"Ingat, anda boleh percepatkan tanaman dengan mengetik butang Percepatkan."
TID_TUTORIAL_28,"Bip, bip, trak penghantaran telah tiba! Bersedia untuk memenuhi banyak pesanan!"
TID_TUTORIAL_29,Papan pesanan menunjukkan pesanan yang tersedia. Dapatkan wang dan pengalaman dengan menghantarnya.
TID_TUTORIAL_29a,Ketik trak atau papan pesanan untuk membuat penghantaran pertama anda.
TID_TUTORIAL_30,"Itu dia! Sekarang, trak penghantaran dalam perjalanan ke tadika."
TID_TUTORIAL_30a,Penduduk bandar ini inginkan hasil segar dari ladang kita! Mari penuhi pesanan yang lain.
TID_TUTORIAL_31,"Anda memang pandai menguruskan ini! Buat masa ini, teruskan aktiviti perladangan dan penuhi pesanan!"
TID_TUTORIAL_31a,Teruskan perladangan dan penuhi pesanan!
TID_TUTORIAL_36,Moooo! Sudah lama tiada lembu di sini!
TID_TUTORIAL_36a,Beli kandang lembu dengan menyeretnya dari kedai.
TID_TUTORIAL_37a,"Seterusnya, seret lembu ke dalam kandang."
TID_TUTORIAL_38a,"Ia lapar, mari beri ia makan!"
TID_TUTORIAL_39,Lembu yang diberi makan dengan baik menghasilkan susu berkhasiat untuk dikumpulkan.
TID_TUTORIAL_40,"Apabila anda mempunyai wang yang mencukupi, beli penghasil tenusu dari kedai. Penghasil tenusu boleh memproses susu menjadi krim, mentega dan keju!"
TID_TUTORIAL_42,"Helo! Saya Mike, saya mengusahakan kilang lama dekat dengan bandar. Ladang awak ni cantik! Apa kata awak menamakan ladang ini? Ingat ya, sebaiknya jangan guna nama sebenar awak."
TID_TUTORIAL_45,Seronok melihat ada orang menjaga tempat ini. Jumpa kamu lagi!
TID_TUTORIAL_46,"Adakah bau enak itu datang dari sini? Oh, maafkan saya! Nama saya Joan."
TID_TUTORIAL_GUEST1,Kita ada pelawat! Ketik dia untuk melihat apa yang dia hendak katakan!
TID_TUTORIAL_GUEST2,Seorang lagi pelawat! Lebih baik kita tanya apa yang dia inginkan.
TID_TUTORIAL_47a,Mari buka penutup dengan mengetiknya.
TID_TUTORIAL_48a,"Tunggu trak penghantaran kembali dengan ganjaran anda, kemudian ketik untuk menuntutnya!"
TID_TUTORIAL_47,"Lihat, kanak-kanak dari tadika menghantarkan nota ucapan terima kasih kepada anda!"
TID_TUTORIAL_GUEST3,Siapakah lelaki berbadan sasa ini?
TID_TUTORIAL_48,"Hai, saya Greg, jiran kamu. Jika kamu perlukan beberapa alat, datang ke tempat saya dan saya akan bantu kamu!"
TID_TUTORIAL_49,Kita boleh gunakan alat untuk membersihkan tanah. Mari lawat ladang Greg!
TID_TUTORIAL_GUEST4,Buka Bar Rakan!
TID_TUTORIAL_50,Selamat datang ke ladang saya! Pastikan kamu melihat barang yang dijual di Gerai Tepi Jalan saya ini!
TID_TUTORIAL_51,"Terima kasih kerana melawat! Ingat, kamu boleh melawat saya atau rakan kamu pada bila-bila masa yang kamu mahu!"
TID_TUTORIAL_52,"Wow, Greg banyak membantu. Anda boleh menambah lebih ramai rakan sebagai jiran dari Bar Rakan."
TID_TUTORIAL_53,Ini ialah Gerai Tepi Jalan anda. Anda boleh meletakkan barangan untuk dijual di situ untuk dibeli oleh pemain lain.
TID_TUTORIAL_54,"Anda boleh memutuskan jumlah hasil yang anda ingin jual, tetapkan harga atau iklankan di dalam surat khabar tempatan! Sila cuba!"
TID_TUTORIAL_54a,Lihat Gerai Tepi Jalan anda!
TID_TUTORIAL_55,"Anda boleh mencari surat khabar dalam peti mel anda. Dari situ, anda boleh melihat barang yang dijual oleh orang lain."
TID_TUTORIAL_55a,Ketik peti mel untuk membaca surat khabar tempatan!
TID_TUTORIAL_56,Hai! Perlukan bantuan untuk menanam tanaman baharu kamu? Saya boleh berikan kamu sedikit petua!
TID_TUTORIAL_57,"Hai! Kamu dibenarkan untuk mengalih, memutar dan membuang objek. Mula-mula, ketik dan tahan objek."
TID_TUTORIAL_57_MOBILE,"Hai! Kamu dibenarkan untuk mengalih, memutar dan membuang objek. Mula-mula, ketik dan tahan objek."
TID_TUTORIAL_58a,Apakah itu Baucar?
TID_TUTORIAL_59,Ini ialah koleksi yang anda boleh dapat daripada pesanan bot yang selesai dan tempat lain! Ini untuk anda...
TID_TUTORIAL_59a,Terima kasih!
TID_TUTORIAL_60,Ketik rumah dan isikan mangkuk kosong dengan makanan yang menyelerakan!
TID_TUTORIAL_61,"Sekarang, tunggu sehingga haiwan peliharaan anda tidur semula."
TID_TUTORIAL_62,Haiwan peliharaan anda gembira dan bersantai! Ketik untuk mengejutkannya dan kumpulkan mata.
TID_TUTORIAL_63,Lihat haiwan peliharaan anda bermain! Jangan lupa untuk kerap memberinya makan supaya ia gembira dan kumpul mata selepas ia tertidur.
TID_TUTORIAL_63_MOBILE,Lihat haiwan peliharaan anda bermain! Jangan lupa untuk kerap memberinya makan supaya ia gembira dan kumpul mata selepas ia tertidur.
TID_TUTORIAL_64,Hai! Kamu perlukan bantuan dengan piza?
TID_TUTORIAL_65,Ini masanya untuk mula menjimatkan sedikit duit syiling. Dok perlu dibaiki.
TID_TUTORIAL_66,Perlukan lebih ruang? Jangan risau! Anda boleh mula meluaskannya sekarang.
TID_TUTORIAL_67,Mungkin ini masa yang baik untuk membaiki lombong lama? Mana tahu ada harta karun di dalamnya.
TID_TUTORIAL_68,"Tahniah, dok telah dibaiki! Sekarang, anda boleh menyelesaikan pesanan bot."
TID_TUTORIAL_69,Ini ialah papan pemimpin bot. Ketik untuk melihat pencapaian anda dan rakan anda.
TID_TUTORIAL_70,"Kamu pernah melihat peti surat yang baharu dan berkilat? Oh, saya rasa ada orang datang. Kamu dengar bunyi siulan?"
TID_TUTORIAL_71,Yeay! Kamu telah menerima surat pertama. Sila buka dengan mengklik peti surat.
TID_TUTORIAL_72,Hebat! Greg menghantar baucar hadiah kepada kamu. Kumpul secukupnya dan kamu boleh memesan bungkusan misteri melalui katalog.
TID_TUTORIAL_72_MOBILE,Hebat! Greg menghantar baucar hadiah kepada kamu. Kumpul secukupnya dan kamu boleh memesan bungkusan misteri melalui katalog.
TID_TUTORIAL_73,Bagaimanakah anda boleh mendapatkan lebih banyak surat? Bantu saja petani lain di ladang mereka dan mereka mungkin menghantarkan surat kepada anda sebagai balasan!
TID_TUTORIAL_74,"Jika bernasib baik, mungkin surat itu mengandungi kad hadiah. Ingat: Posmen akan melawat anda sekali sehari."
TID_TUTORIAL_GUEST5,Ketik gambar Greg untuk melawat ladangnya!
TID_TUTORIAL_GUEST6,Ketik Gerai Tepi Jalan Greg untuk melihat barang yang dijual!
TID_LOADING_SCREEN_CONNECTING,Menyambung
TID_LOADING_SCREEN_LOADING,Memuat
TID_LOADING_SCREEN_UPDATING,Mengemas kini
TID_BUTTON_INCREASE_CAPACITY,Tingkatkan Stor
TID_BUTTON_STORAGE,Undur
TID_STORAGE_UPGRADE_DESCRIPTION,Tingkatkan Stor kepada <CAPACITY>
TID_PLANK_DESCRIPTION,Gunakan untuk meningkatkan Bangsal anda
TID_NAIL_DESCRIPTION,Gunakan untuk meningkatkan Silo anda
TID_BOLT_DESCRIPTION,Gunakan untuk meningkatkan Bangsal anda
TID_SCREW_DESCRIPTION,Gunakan untuk meningkatkan Silo anda
TID_DUCT_TAPE_DESCRIPTION,Gunakan untuk meningkatkan Bangsal anda
TID_WOOD_PANEL_DESCRIPTION,Gunakan untuk meningkatkan Silo anda
TID_DYNAMITE_DESCRIPTION,Gunakan untuk memusnahkan batu kecil
TID_DEMOLITION_CHARGE_DESCRIPTION,Gunakan untuk memusnahkan batu besar
TID_AXE_DESCRIPTION,Gunakan untuk memotong pokok kecil
TID_SAW_DESCRIPTION,Gunakan untuk memotong pokok besar
TID_SHOVEL_DESCRIPTION,Gunakan untuk membuang paya
TID_DAIRY_PRODUCT_DESCRIPTION,Hasilkan di Penghasil Tenusu
TID_BARBECUE_PRODUCT_DESCRIPTION,Hasilkan di Gril BBQ
TID_BAKERY_PRODUCT_DESCRIPTION,Hasilkan di Bakeri
TID_LOOM_PRODUCT_DESCRIPTION,Hasilkan di Akik
TID_CAKE_OVEN_PRODUCT_DESCRIPTION,Hasilkan di Ketuhar Kek
TID_PIE_OVEN_PRODUCT_DESCRIPTION,Hasilkan di Ketuhar Pai
TID_POPCORN_POT_PRODUCT_DESCRIPTION,Hasilkan di Periuk Popcorn
TID_SUGAR_MILL_PRODUCT_DESCRIPTION,Hasilkan di Kilang Gula
TID_FEED_MILL_PRODUCT_DESCRIPTION,Hasilkan di Pengisar Makanan
TID_JUICE_PRESS_PRODUCT_DESCRIPTION,Hasilkan di Pemproses Jus
TID_JAM_MAKER_PRODUCT_DESCRIPTION,Hasilkan di Pembuat Jem
TID_ICE_CREAM_MAKER_PRODUCT_DESCRIPTION,Hasilkan di Pembuat Aiskrim
TID_JEWELER_PRODUCT_DESCRIPTION,Hasilkan di Kedai Emas
TID_APPLE_DESCRIPTION,Ambil dari Pokok Epal
TID_CHERRY_DESCRIPTION,Ambil dari Pokok Ceri
TID_CACAO_DESCRIPTION,Kumpul daripada Pokok Koko
TID_RASPBERRY_DESCRIPTION,Ambil dari Rimbunan Raspberi
TID_BLACKBERRY_DESCRIPTION,Kumpul daripada Rimbunan Beri Hitam
TID_EGG_DESCRIPTION,Ambil daripada Ayam
TID_MILK_DESCRIPTION,Ambil daripada Lembu
TID_WOOL_DESCRIPTION,Ambil daripada Biri-biri
TID_BACON_DESCRIPTION,Ambil daripada Khinzir
TID_GOAT_MILK_DESCRIPTION,Kumpul Daripada Kambing
TID_CASH,Duit syiling
TID_DIAMONDS,Berlian
TID_CASH_DESCRIPTION,Beli barang dan peningkatan untuk ladang anda
TID_DIAMONDS_DESCRIPTION,Galakkan pengeluaran dan beli barang yang tiada
TID_FACEBOOK,Facebook
TID_GAME_CENTER,Game Center
TID_FACEBOOK_ID_NOT_MATCH_TITLE,<SOCIAL_MEDIA> Amaran
TID_FACEBOOK_ID_NOT_MATCH,Adakah anda ingin menyimpan permainan anda sekarang pada akaun <SOCIAL_MEDIA> baharu?
TID_FACEBOOK_ID_NOT_MATCH_ACTION_1,"Ya, tukar akaun"
TID_FACEBOOK_ID_NOT_MATCH_ACTION_2,"Tidak, teruskan dengan akaun sekarang"
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_TITLE,Pilih Ladang anda
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM,"Kami menemui satu lagi ladang dihubungkan dengan <SOCIAL_MEDIA> akaun ini:\n(Ladang <NEW_FARM_NAME>, Tahap <NEW_LEVEL>)\n\nAnda ingin memuatkannya?\n\nAmaran: (Ladang <OLD_FARM_NAME>, Tahap <OLD_LEVEL>) semasa akan hilang."
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_MOBILE,"Kami menemui satu lagi ladang dihubungkan dengan <SOCIAL_MEDIA> akaun ini:\n(Ladang <NEW_FARM_NAME>, Tahap <NEW_LEVEL>)\n\nAnda ingin memuatkannya?\n\nAmaran: (Ladang <OLD_FARM_NAME>, Tahap <OLD_LEVEL>) semasa akan hilang."
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_ACTION_1,"Ya, muatkan permainan"
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_ACTION_2,"Tidak, kekalkan permainan sekarang"
TID_INTRO_01,Bermula sama seperti hari-hari biasa...
TID_INTRO_02,Sehingga surat tiba!
TID_INTRO_03,\qSalam daripada pakcik kamu!\q
TID_INTRO_04,"\qJadi, kamu suka menjadi petani?\q"
TID_INTRO_05,\qSaya memutuskan untuk bersara. Ladang ini milik kamu jika kamu mahukannya!\q
TID_INTRO_06,Mari kita berjalan jauh! Kehidupan baharu di luar bandar menanti.
TID_ANIMATION_Harvest,Menuai
TID_ANIMATION_Seeding,Menanam biji benih
TID_ANIMATION_CropInfo,Tanaman Berganda!
TID_ANIMATION_BuyChicken,Beli 3 Ayam
TID_ANIMATION_FeedChicken,Beri Ayam Makan
TID_ANIMATION_CollectEggs,Ambil Telur
TID_ANIMATION_BakeBread,Bakar Roti
TID_ANIMATION_6th crop,Bagaimanakah untuk Menanam Lebih Banyak Biji Benih?
TID_ANIMATION_EditObjects,Atur Ladang Anda
TID_ANIMATION_Pizzas,Bagaimanakah untuk Mencari Piza?
TID_ANIMATION_SendLetter,Cara untuk menghantar surat
TID_DIAMOND_PACK_1,Timbunan Berlian
TID_DIAMOND_PACK_2,Beg Berlian
TID_DIAMOND_PACK_3,Guni Berlian
TID_DIAMOND_PACK_4,Kotak Berlian
TID_DIAMOND_PACK_5,Peti Berlian
TID_DIAMOND_PACK_6,But Berlian
TID_DIAMOND_PACK_2_Birthday_1,Bungkusan Hari Lahir 1
TID_DIAMOND_PACK_3_Birthday_2,Bungkusan Hari Lahir 2
TID_DIAMOND_PACK_5_Birthday_3,Bungkusan Hari Lahir 3
TID_DIAMOND_PACK_2_Special_1,Bungkusan Istimewa 1
TID_DIAMOND_PACK_3_Special_2,Bungkusan Istimewa 2
TID_DIAMOND_PACK_5_Special_3,Bungkusan Istimewa 3
TID_CASH_PACK_1,Timbunan Duit Syiling
TID_CASH_PACK_2,Beg Duit Syiling
TID_CASH_PACK_3,Guni Duit Syiling
TID_CASH_PACK_4,Kotak Duit Syiling
TID_CASH_PACK_5,Peti Duit Syiling
TID_CASH_PACK_6,But Duit Syiling
TID_BUY_DIAMONDS_TITLE,Kedai Berlian
TID_BUY_CASH_TITLE,Kedai Syiling
TID_ORDER_SCREEN_SELECT_ORDER,Pilih pesanan dari kiri.
TID_NOTIFICATION_BUILDING_CONSTRUCTION_READY,Pembinaan <NAME> selesai
TID_NOTIFICATION_PLAYER_PLEASE_COME_BACK,Haiwan ladang anda merindui anda!
TID_NOTIFICATION_PLAYER_PLEASE_COME_BACK_MOBILE,Haiwan ladang anda merindui anda!
TID_NOTIFICATION_CROPS_READY,Semua tanaman sedia untuk dituai!
TID_NOTIFICATION_CHICKEN_READY,Telur sedia untuk diambil!
TID_NOTIFICATION_COW_READY,Susu sedia untuk diambil!
TID_NOTIFICATION_SHEEP_READY,Bulu sedia untuk diambil!
TID_NOTIFICATION_PIG_READY,Bakon sedia untuk diambil!
TID_NOTIFICATION_GOAT_READY,Susu Kambing sedia untuk diambil!
TID_NOTIFICATION_ORDER_READY,Anda mempunyai pesanan yang boleh anda penuhi!
TID_NOTIFICATION_DAILY_GIFT,"Hei peladang, hadiah percuma harian anda sedang menanti anda!"
TID_NATIVE_DIALOG_CONNECTION_LOST_TITLE,Sambungan hilang
