TID,ES
TID_CARROT_PIE,Tarta de zanahoria
TID_BACON_PIE,Tarta de beicon
TID_PUMPKIN_PIE,Tarta de calabaza
TID_BROWN_SUGAR,Azúcar moreno
TID_WHITE_SUGAR,Azúcar blanco
TID_SYRUP,Almíbar
TID_SWEATER,Jersey
TID_BLUE_WOOLLY_HAT,Gorro azul de lana
TID_BLUE_SWEATER,Jersey azul
TID_POPCORN,Palomitas
TID_BUTTER_POPCORN,Palom. mantequilla
TID_CHILI_POPCORN,Palom. chile
TID_BACON_AND_EGGS,Huevos con beicon
TID_PANCAKE,Tortitas
TID_HAMBURGER,Hamburguesa
TID_PIZZA,Pizza
TID_SPICY_PIZZA,Pizza picante
TID_ROASTED_TOMATOES,Tomates asados
TID_CARROT_JUICE,Zumo de zanahoria
TID_TOMATO_JUICE,Zumo de tomate
TID_APPLE_JUICE,Zumo de manzana
TID_CHERRY_JUICE,Zumo de cereza
TID_BERRY_JUICE,Zumo de bayas
TID_APPLE,Manzana
TID_CHERRY,Cereza
TID_CACAO,Cacao
TID_RASPBERRY,Frambuesa
TID_BLACKBERRY,Mora
TID_APPLE_JAM,Merm. manzana
TID_RASPBERRY_JAM,Merm. frambuesa
TID_BLUEBERRY_JAM,Merm. mora
TID_CHERRY_JAM,Merm. cereza
TID_VANILLA_ICE_CREAM,Helado de vainilla
TID_CHERRY_POPSICLE,Polo de cereza
TID_CHOCOLATE_ICE_CREAM,Helado de chocolate
TID_APPLE_PIE,Tarta de manzana
TID_FETA_PIE,Tarta de feta
TID_BRACELET,Pulsera
TID_NECKLACE,Collar
TID_DIAMOND_RING,Anillo con diamante
TID_FEED_MILL,Moledora
TID_BAKERY,Panadería
TID_POPCORN_POT,Palomitera
TID_DAIRY,Lechería
TID_SUGAR_MILL,Azucarera
TID_PIE_OVEN,Horno de tartas
TID_LOOM,Telar
TID_CAKE_OVEN,Horno de pasteles
TID_BARBECUE_GRILL,Barbacoa
TID_JUICE_PRESS,Exprimidor
TID_JAM_MAKER,Mermeladera
TID_ICE_CREAM_MAKER,Heladería
TID_JEWELER,Joyería
TID_APPLE_TREE,Manzano
TID_CHERRY_TREE,Cerezo
TID_CACAO_TREE,Árbol del cacao
TID_RASPBERRY_BUSH,Frambueso
TID_BLACKBERRY_BUSH,Morera
TID_DYNAMITE,Dinamita
TID_DEMOLITION_CHARGE,Barril de TNT
TID_AXE,Hacha
TID_SAW,Sierra
TID_SHOVEL,Pala
TID_PLANK,Tabla
TID_NAIL,Clavo
TID_BOLT,Perno
TID_SCREW,Tornillo
TID_DUCT_TAPE,Cinta adhesiva
TID_WOOD_PANEL,Paneles de madera
TID_EMPTY_FIELD,Parcela
TID_CHICKEN,Gallina
TID_COW,Vaca
TID_SHEEP,Oveja
TID_PIG,Cerdo
TID_GOAT,Cabra
TID_CHICKEN_HABITAT,Gallinero
TID_COW_HABITAT,Corral de vacas
TID_SHEEP_HABITAT,Corral de ovejas
TID_PIG_HABITAT,Corral de cerdos
TID_GOAT_HABITAT,Corral de cabras
TID_HAMMERMILL_DESCRIPTION,Aquí se elabora pienso animal.
TID_BAKERY_DESCRIPTION,Aquí se hornean alimentos.
TID_POPCORN_POT_DESCRIPTION,Aquí se hacen palomitas.
TID_DAIRY_DESCRIPTION,Aquí se elaboran productos lácteos.
TID_SUGAR_MILL_DESCRIPTION,Aquí se elaboran cosas azucaradas.
TID_PIE_OVEN_DESCRIPTION,Aquí se hornean tartas.
TID_LOOM_DESCRIPTION,Aquí se teje ropa.
TID_BARBECUE_GRILL_DESCRIPTION,Aquí se asa a la parrilla.
TID_CAKE_OVEN_DESCRIPTION,Aquí se hornean pasteles.
TID_JUICE_PRESS_DESCRIPTION,Aquí se prepara zumo.
TID_JAM_MAKER_DESCRIPTION,Aquí se hace mermelada.
TID_ICE_CREAM_MAKER_DESCRIPTION,Aquí se hacen helados.
TID_JEWELER_DESCRIPTION,Aquí se fabrican joyas.
TID_APPLE_TREE_DESCRIPTION,Puedes recoger hasta tres veces.
TID_CHERRY_TREE_DESCRIPTION,Puedes recoger hasta tres veces.
TID_CACAO_TREE_DESCRIPTION,Puedes recoger hasta tres veces.
TID_RASPBERRY_BUSH_DESCRIPTION,Puedes recoger hasta tres veces.
TID_BLACKBERRY_BUSH_DESCRIPTION,Puedes recoger hasta tres veces.
TID_NEED_MORE_POPUP_TITLE,¡Recursos insuficientes!
TID_NEED_MORE_RESOURCES_CANT_BUY_TEXT,Consigue los recursos que faltan para completar el pedido.
TID_NEED_MORE_POPUP_GENERIC_TEXT,Consigue los recursos que te faltan o usa diamantes para realizar la acción.
TID_NEED_MORE_CROPS_HINT,Puedes comprar a algún amigo las cosechas que te faltan...\n\n¡o cómpralas con diamantes!
TID_NEED_MORE_CROPS_HINT_MOBILE,Puedes comprar a algún amigo las cosechas que te faltan...\n\n¡o cómpralas con diamantes!
TID_NEED_MORE_ANIMAL_FOOD_HINT,Haz más comida para tus animales en la moledora o aliméntalos ya usando diamantes.
TID_SILO_FULL_TITLE,Silo lleno
TID_SILO_FULL_DESCRIPTION,¡No cabe nada más en el silo! Mejóralo para tener más espacio.
TID_WAREHOUSE_FULL_TITLE,Granero lleno
TID_WAREHOUSE_FULL_DESCRIPTION,¡No cabe nada más en el granero! Mejóralo para tener más espacio.
TID_WAREHOUSE_FULL_DESCRIPTION_MOBILE,¡No cabe nada más en el granero! Mejóralo para tener más espacio.
TID_LEVEL_UP_TITLE,¡ENHORABUENA!
TID_LEVEL_UP_TEXT,¡Subes al nivel <LEVEL_NUMBER>!
TID_LEVEL_UP_ITEM_NEW,¡Nuevo!
TID_LEVEL_UP_ITEM_NEW_AND_REWARD,¡Nuevo! +<REWARD>
TID_ORDER_TABLE_TITLE,Pedidos
TID_ORDER_TITLE_00,Guardería
TID_ORDER_TITLE_01,Colegio
TID_ORDER_TITLE_02,Iglesia
TID_ORDER_TITLE_03,Peluquería de Joan
TID_ORDER_TITLE_04,Tienda de Susan
TID_ORDER_TITLE_05,Molino de Mike
TID_ORDER_TITLE_06,Cervecería de Ben
TID_ORDER_TITLE_07,Pescadería de Fabio
TID_ORDER_TITLE_08,Fábrica de Frank
TID_ORDER_TITLE_09,Cementerio de Grant
TID_ORDER_TABLE_WAITING,"Espera, por favor..."
TID_ORDER_TABLE_WAITING_TEXT,Este pedido no está disponible. ¡Espera o aceléralo!
TID_SOCIAL_LOGIN_TITLE,Busca a otros granjeros
TID_SOCIAL_LOGIN_1_TEXT,Conecta con <SOCIAL_1> para comerciar con tus amigos.
TID_SOCIAL_LOGIN_2_TEXT,Conecta con <SOCIAL_1> o <SOCIAL_2> para comerciar con tus amigos.
TID_ROADSIDE_SHOP_TITLE,Puesto de venta
TID_ROADSIDE_SHOP_FRIEND_TITLE,Puesto de venta de <NAME>
TID_ROADSIDE_SHOP_ITEM_COUNT,<COUNT>x
TID_ROADSIDE_SHOP_ITEM_SOLD,VENDIDO
TID_ROADSIDE_SHOP_CREATE_NEW_SALE,Crear nueva venta
TID_ROADSIDE_SHOP_NEW_SALE_TITLE,Nueva venta
TID_ROADSIDE_SHOP_NEW_SALE_ADJUST_PRICE,Ajusta el precio:
TID_ROADSIDE_SHOP_NEW_SALE_CONFIRM_BUTTON,Poner a la venta
TID_ROADSIDE_SHOP_ADVERTISE,Anunciar
TID_ROADSIDE_SHOP_ADVERTISE_WITH_TIME,Anunciar ahora
TID_SHOP_TITLE,Tienda
TID_TUTORIAL_01,¡Buenas! Soy Mr. Wicker y voy a enseñarte a moverte por tu nueva granja.
TID_TUTORIAL_02a,"Toca una de las parcelas de trigo y coge la hoz. Después, arrástrala por encima para segar."
TID_TUTORIAL_03a,Toca una de las parcelas vacías y arrastra el trigo por encima de ellas para sembrar las semillas.
TID_TUTORIAL_04,Las semillas necesitan tiempo para crecer. Cada parcela producirá dos cosechas.
TID_TUTORIAL_05a,Toca la casa y píntala deslizando la brocha sobre ella.
TID_TUTORIAL_06a,¡Qué bien ha quedado! Al granero tampoco le vendría mal algo de color...
TID_TUTORIAL_07a,¡Podrías pintar también el silo!
TID_TUTORIAL_10,¡Genial! Ahora vamos a invitar a unos cuantos amigos plumíferos a la fiesta.
TID_TUTORIAL_10a,Arrastra una gallina desde la tienda al gallinero.
TID_TUTORIAL_11a,¡Compra otra gallina!
TID_TUTORIAL_12a,¡Y otra más!
TID_TUTORIAL_13a,Toca una gallina y arrastra el saco de pienso por encima de ellas para darles de comer.
TID_TUTORIAL_14a,Toca una gallina y luego toca el botón de acelerar.
TID_TUTORIAL_14b,Toca una gallina y luego toca dos veces el botón de acelerar.
TID_TUTORIAL_14c,Toca una gallina y luego mantén pulsado el botón de acelerar.
TID_TUTORIAL_15a,¡Huevocinante! Acelera también la segunda gallina.
TID_TUTORIAL_16a,¡Huevoloso! Ahora acelera la última gallina.
TID_TUTORIAL_17a,Arrastra la cesta por encima de todas las gallinas para recoger los huevos.
TID_TUTORIAL_20,¡Muy bien! ¿Qué te parece si ponemos una panadería para convertir todo ese trigo en pan?
TID_TUTORIAL_20a,Abre el menú de la tienda tocando el botón de la esquina inferior izquierda y arrastra la panadería hasta tus tierras para comprarla.
TID_TUTORIAL_20a_MOBILE,Abre el menú de la tienda tocando el botón de la esquina inferior izquierda y arrastra la panadería hasta tus tierras para comprarla.
TID_TUTORIAL_21a,Espera a que se acabe de edificar o acelera el proceso con diamantes.
TID_TUTORIAL_22a,Toca la panadería y arrastra el pan al horno.
TID_TUTORIAL_23a,Hornea al instante tocando el botón de acelerar que hay bajo el pan. ¡Huele que alimenta!
TID_TUTORIAL_24,"Conforme subas de nivel, desbloquearás nuevas mejoras. ¡Ahora mismo te esperan tres nuevas parcelas en la tienda!"
TID_TUTORIAL_24a,Ve a la tienda y arrastra tres nuevas parcelitas hasta tus tierras.
TID_TUTORIAL_25a,Siembra más semillas. ¿Recuerdas cómo hacerlo? ¡Toca la parcela!
TID_TUTORIAL_26,Los animales felices alegran cualquier granja. ¡Construye una moledora para poder dar de comer a tus animales!
TID_TUTORIAL_26a,Compra una moledora arrastrándola desde la tienda a tus tierras.
TID_TUTORIAL_27,"¡El negocio va viento en popa! Sigue cultivando, horneando pan y recogiendo huevos para vender."
TID_TUTORIAL_27a,Recuerda que puedes acelerar los cultivos tocando el botón de acelerar.
TID_TUTORIAL_28,"¡Bip, bip! La camioneta de reparto ha llegado. ¡Prepárate para recibir una oleada de pedidos!"
TID_TUTORIAL_29,El tablón de pedidos muestra los pedidos que están disponibles. Repártelos para ganar dinero y experiencia.
TID_TUTORIAL_29a,Toca la camioneta o el tablón de pedidos para hacer tu primer reparto.
TID_TUTORIAL_30,¡Allá va! La camioneta de reparto va de camino a la guardería.
TID_TUTORIAL_30a,Parece que a la gente del pueblo le encantan nuestros productos frescos. ¡Envía otro pedido!
TID_TUTORIAL_31,"¡Le estás cogiendo el truco a esto! Por ahora, sigue cultivando y completando pedidos."
TID_TUTORIAL_31a,¡Sigue cultivando y enviando pedidos!
TID_TUTORIAL_36,¡Muuuu! ¡Hace tiempo que no tenemos vacas por estos lares!
TID_TUTORIAL_36a,Compra un corral de vacas arrastrándolo desde la tienda.
TID_TUTORIAL_37a,"Ahora, arrastra una vaca al corral."
TID_TUTORIAL_38a,Tiene hambre. ¡Hay que darle de comer!
TID_TUTORIAL_39,Una vaca bien alimentada te dará leche nutritiva cuando la ordeñes.
TID_TUTORIAL_40,"Cuando tengas suficientes monedas, compra una lechería en la tienda. En ella podrás procesar la leche para convertirla en nata, mantequilla ¡e incluso queso!"
TID_TUTORIAL_42,"¡Hola! Me llamo Mike y llevo el viejo molino de las afueras del pueblo. Tienes una granja encantadora, ¿qué te parece si eliges un nombre divertido para ella? Recuerda: es mejor que no uses tu nombre real."
TID_TUTORIAL_45,"Me alegro de ver que alguien cuida del lugar. Bueno, ¡nos vemos!"
TID_TUTORIAL_46,"¿Viene de aquí ese olor tan rico? ¡Ay, pero qué modales los míos! Me llamo Joan."
TID_TUTORIAL_GUEST1,¡Tenemos un visitante! ¡Tócalo para ver qué te dice!
TID_TUTORIAL_GUEST2,¡Otra visita! Será mejor preguntarle qué tiene en mente.
TID_TUTORIAL_47a,Primero toca la lona para retirarla.
TID_TUTORIAL_48a,Espera a que vuelva con tu recompensa y luego tócala para recogerla.
TID_TUTORIAL_47,"¡Anda, los niños de la guardería te han mandado un dibujo de agradecimiento!"
TID_TUTORIAL_GUEST3,¿Quién es ese tipo tan grandote?
TID_TUTORIAL_48,"¡Hola! Soy tu vecino Greg. Si necesitas herramientas, pásate por mi granja y te echo un cable."
TID_TUTORIAL_49,Puede que necesitemos herramientas para despejar algún terreno. ¡Vamos a visitar la granja de Greg!
TID_TUTORIAL_GUEST4,Abre la barra de amigos.
TID_TUTORIAL_50,¡Te doy la bienvenida a mi granja! Echa un vistazo a lo que tengo en mi puesto de venta.
TID_TUTORIAL_51,¡Gracias por venir! Recuerda que puedes visitarme a mí o a tus amigos siempre que quieras.
TID_TUTORIAL_52,"¡Caray, qué simpático es Greg! Puedes añadir a más amigos como vecinos desde la barra de amigos."
TID_TUTORIAL_53,"Este es tu puesto de venta, donde puedes poner tus productos para que los compren otros jugadores."
TID_TUTORIAL_54,"Puedes decidir la cantidad que quieres vender, definir el precio, ¡e incluso anunciarte en el periódico local! ¡Pruébalo!"
TID_TUTORIAL_54a,¡Échale ya un vistazo!
TID_TUTORIAL_55,Encontrarás el periódico local en tu buzón. En él podrás ver qué tienen a la venta otras personas.
TID_TUTORIAL_55a,Toca el buzón para leer el periódico local.
TID_TUTORIAL_56,¡Hola! ¿Necesitas ayuda plantando tu nuevo cultivo? ¡Puedo darte unos cuantos consejos!
TID_TUTORIAL_57,"¡Hola! Solo quería decirte que puedes girar, mover e incluso eliminar objetos. Para ello, toca y mantén pulsado el objeto."
TID_TUTORIAL_57_MOBILE,"¡Hola! Solo quería decirte que puedes girar, mover e incluso eliminar objetos. Para ello, toca y mantén pulsado el objeto."
TID_TUTORIAL_58a,¿Qué son los tiques?
TID_TUTORIAL_59,Son coleccionables que puedes conseguir realizando pedidos del barco y otros lugares. ¡Aquí tienes uno!
TID_TUTORIAL_59a,¡Gracias!
TID_TUTORIAL_60,Toca la caseta y llena el cuenco vacío de deliciosa comida.
TID_TUTORIAL_61,Ahora espera hasta que tu mascota se vuelva a dormir.
TID_TUTORIAL_62,¡Tu mascota está feliz y relajada! Tócala para despertarla y conseguir puntos.
TID_TUTORIAL_63,¡Mira cómo juega tu mascota! Recuerda que debes darle de comer con regularidad para que esté contenta y te dé puntos después de haber dormido.
TID_TUTORIAL_63_MOBILE,¡Mira cómo juega tu mascota! Recuerda que debes darle de comer con regularidad para que esté contenta y te dé puntos después de haber dormido.
TID_TUTORIAL_64,¿Qué tal? ¿Necesitas ayuda con las pizzas?
TID_TUTORIAL_65,Es hora de empezar a ahorrar algunas monedas. ¡Hay que restaurar el muelle!
TID_TUTORIAL_66,"¿Necesitas más espacio? No te preocupes, ¡ya puedes empezar a ampliar tu granja!"
TID_TUTORIAL_67,Quizá este sea un buen momento para restaurar la vieja mina. ¡Quién sabe qué tesoros esconde!
TID_TUTORIAL_68,¡Enhorabuena! Has reparado el muelle. Ya puedes completar pedidos del barco.
TID_TUTORIAL_69,Esta es la clasificación del barco. Toca para ver cómo de bien lo estáis haciendo tú y tus amigos.
TID_TUTORIAL_70,"¿Has visto tu nuevo y reluciente buzón? ¡Eh!, creo que viene alguien... ¿Oyes el silbido?"
TID_TUTORIAL_71,¡Yuju! ¡Has recibido tu primera carta! Toca el buzón para abrirla.
TID_TUTORIAL_72,¡Genial! Greg te ha enviado un vale de regalo. Reúne suficientes y podrás pedir un paquete misterioso a través del catálogo.
TID_TUTORIAL_72_MOBILE,¡Genial! Greg te ha enviado un vale de regalo. Reúne suficientes y podrás pedir un paquete misterioso a través del catálogo.
TID_TUTORIAL_73,¿Que cómo puedes conseguir más cartas? ¡Pues colaborando en otras granjas para que los granjeros te las envíen!
TID_TUTORIAL_74,"Con un poquillo de suerte, podrías encontrar un vale de regalo en el buzón. Recuerda: el cartero te visitará una vez al día."
TID_TUTORIAL_GUEST5,Toca la imagen de Greg para visitar su granja.
TID_TUTORIAL_GUEST6,Toca el puesto de venta de Greg para ver qué le puedes comprar.
TID_LOADING_SCREEN_CONNECTING,Conectando
TID_LOADING_SCREEN_LOADING,Cargando
TID_LOADING_SCREEN_UPDATING,Actualizando
TID_BUTTON_INCREASE_CAPACITY,Aumentar capacidad
TID_BUTTON_STORAGE,Volver
TID_STORAGE_UPGRADE_DESCRIPTION,Aumenta la capacidad a <CAPACITY>.
TID_PLANK_DESCRIPTION,Sirve para mejorar el granero.
TID_NAIL_DESCRIPTION,Sirve para mejorar el silo.
TID_BOLT_DESCRIPTION,Sirve para mejorar el granero.
TID_SCREW_DESCRIPTION,Sirve para mejorar el silo.
TID_DUCT_TAPE_DESCRIPTION,Sirve para mejorar el granero.
TID_WOOD_PANEL_DESCRIPTION,Sirve para mejorar el silo.
TID_DYNAMITE_DESCRIPTION,Sirve para destruir una roca pequeña.
TID_DEMOLITION_CHARGE_DESCRIPTION,Sirve para destruir una roca grande.
TID_AXE_DESCRIPTION,Sirve para talar un árbol pequeño.
TID_SAW_DESCRIPTION,Sirve para talar un árbol grande.
TID_SHOVEL_DESCRIPTION,Sirve para drenar una ciénaga.
TID_DAIRY_PRODUCT_DESCRIPTION,Se prepara en la lechería.
TID_BARBECUE_PRODUCT_DESCRIPTION,Se prepara en la barbacoa.
TID_BAKERY_PRODUCT_DESCRIPTION,Se prepara en la panadería.
TID_LOOM_PRODUCT_DESCRIPTION,Se confecciona en el telar.
TID_CAKE_OVEN_PRODUCT_DESCRIPTION,Se prepara en el horno de pasteles.
TID_PIE_OVEN_PRODUCT_DESCRIPTION,Se prepara en el horno de tartas.
TID_POPCORN_POT_PRODUCT_DESCRIPTION,Se preparan en la palomitera.
TID_SUGAR_MILL_PRODUCT_DESCRIPTION,Se prepara en la azucarera.
TID_FEED_MILL_PRODUCT_DESCRIPTION,Se prepara en la moledora.
TID_JUICE_PRESS_PRODUCT_DESCRIPTION,Se prepara en el exprimidor.
TID_JAM_MAKER_PRODUCT_DESCRIPTION,Se prepara en la mermeladera.
TID_ICE_CREAM_MAKER_PRODUCT_DESCRIPTION,Se hace en la heladería.
TID_JEWELER_PRODUCT_DESCRIPTION,Se confecciona en la joyería.
TID_APPLE_DESCRIPTION,Se recoge del manzano.
TID_CHERRY_DESCRIPTION,Se recoge del cerezo.
TID_CACAO_DESCRIPTION,Se recoge del árbol del cacao.
TID_RASPBERRY_DESCRIPTION,Se recoge del frambueso.
TID_BLACKBERRY_DESCRIPTION,Se recoge de la morera.
TID_EGG_DESCRIPTION,Se recoge de las gallinas.
TID_MILK_DESCRIPTION,Se recoge de las vacas.
TID_WOOL_DESCRIPTION,Se recoge de las ovejas.
TID_BACON_DESCRIPTION,Se recoge de los cerdos.
TID_GOAT_MILK_DESCRIPTION,Se recoge de la cabra.
TID_CASH,Monedas
TID_DIAMONDS,Diamantes
TID_CASH_DESCRIPTION,Compra productos y mejoras para tu granja.
TID_DIAMONDS_DESCRIPTION,Aumenta la producción y compra productos que te falten.
TID_FACEBOOK,Facebook
TID_GAME_CENTER,Game Center
TID_FACEBOOK_ID_NOT_MATCH_TITLE,Notificación de <SOCIAL_MEDIA>
TID_FACEBOOK_ID_NOT_MATCH,¿Quieres guardar la partida actual en una nueva cuenta de <SOCIAL_MEDIA>?
TID_FACEBOOK_ID_NOT_MATCH_ACTION_1,"Sí, cambiar cuenta"
TID_FACEBOOK_ID_NOT_MATCH_ACTION_2,"No, mantener cuenta actual"
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_TITLE,¡Elige una granja!
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM,"Hemos encontrado otra granja enlazada a tu cuenta de <SOCIAL_MEDIA>:\n(Granja: <NEW_FARM_NAME>, de nivel <NEW_LEVEL>)\n\n¿Quieres cargarla?\n\nAviso: perderás la granja con la que juegas ahora (<OLD_FARM_NAME>, de nivel <OLD_LEVEL>)."
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_MOBILE,"Hemos encontrado otra granja enlazada a tu cuenta de <SOCIAL_MEDIA>:\n(Granja: <NEW_FARM_NAME>, de nivel <NEW_LEVEL>)\n\n¿Quieres cargarla?\n\nAviso: perderás la granja con la que juegas ahora (<OLD_FARM_NAME>, de nivel <OLD_LEVEL>)."
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_ACTION_1,"Sí, cargar partida"
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_ACTION_2,"{size=13}No, mantener partida actual"
TID_INTRO_01,El día comenzó como cualquier otro...
TID_INTRO_02,... ¡hasta que llegó la carta!
TID_INTRO_03,\q¡Saludos de tu tío!\q
TID_INTRO_04,\q¿Qué te parecería trabajar en una granja?\q
TID_INTRO_05,"\qHe decidido jubilarme. La granja es toda tuya, ¡si la quieres!\q"
TID_INTRO_06,¡Andando! Te aguarda una nueva vida en el campo.
TID_ANIMATION_Harvest,Cosechar
TID_ANIMATION_Seeding,Sembrar
TID_ANIMATION_CropInfo,¡Doble cosecha!
TID_ANIMATION_BuyChicken,Comprar 3 gallinas
TID_ANIMATION_FeedChicken,Alimentar a las gallinas
TID_ANIMATION_CollectEggs,Recoger huevos
TID_ANIMATION_BakeBread,Hornear pan
TID_ANIMATION_6th crop,¿Cómo sembrar más semillas?
TID_ANIMATION_EditObjects,¡Organiza tu granja!
TID_ANIMATION_Pizzas,¿Cómo encontrar pizzas?
TID_ANIMATION_SendLetter,Cómo enviar cartas
TID_DIAMOND_PACK_1,Puñado de diamantes
TID_DIAMOND_PACK_2,Bolsa de diamantes
TID_DIAMOND_PACK_3,Saco de diamantes
TID_DIAMOND_PACK_4,Caja de diamantes
TID_DIAMOND_PACK_5,Cofre de diamantes
TID_DIAMOND_PACK_6,Baúl de diamantes
TID_DIAMOND_PACK_2_Birthday_1,Paquete de aniversario 1
TID_DIAMOND_PACK_3_Birthday_2,Paquete de aniversario 2
TID_DIAMOND_PACK_5_Birthday_3,Paquete de aniversario 3
TID_DIAMOND_PACK_2_Special_1,Paquete especial 1
TID_DIAMOND_PACK_3_Special_2,Paquete especial 2
TID_DIAMOND_PACK_5_Special_3,Paquete especial 3
TID_CASH_PACK_1,Puñado de monedas
TID_CASH_PACK_2,Bolsa de monedas
TID_CASH_PACK_3,Saco de monedas
TID_CASH_PACK_4,Caja de monedas
TID_CASH_PACK_5,Cofre de monedas
TID_CASH_PACK_6,Baúl de monedas
TID_BUY_DIAMONDS_TITLE,Tienda de diamantes
TID_BUY_CASH_TITLE,Tienda de monedas
TID_ORDER_SCREEN_SELECT_ORDER,Elige un pedido de la izquierda.
TID_NOTIFICATION_BUILDING_CONSTRUCTION_READY,<NAME>: construcción terminada.
TID_NOTIFICATION_PLAYER_PLEASE_COME_BACK,¡Los animales de tu granja te echan de menos!
TID_NOTIFICATION_PLAYER_PLEASE_COME_BACK_MOBILE,¡Los animales de tu granja te echan de menos!
TID_NOTIFICATION_CROPS_READY,¡Ya puedes cosechar los cultivos!
TID_NOTIFICATION_CHICKEN_READY,¡Ya puedes recoger los huevos!
TID_NOTIFICATION_COW_READY,¡Ya puedes recoger la leche!
TID_NOTIFICATION_SHEEP_READY,¡Ya puedes recoger la lana!
TID_NOTIFICATION_PIG_READY,¡Ya puedes recoger el beicon!
TID_NOTIFICATION_GOAT_READY,¡Ya puedes recoger la leche de cabra!
TID_NOTIFICATION_ORDER_READY,¡Tienes un pedido para enviar!
TID_NOTIFICATION_DAILY_GIFT,¡Buenas! Tu regalo diario gratuito te está esperando.
TID_NATIVE_DIALOG_CONNECTION_LOST_TITLE,Sin conexión
TID_NATIVE_DIALOG_CONNECTION_LOST_MESSAGE,Se ha perdido la conexión con el servidor. Comprueba tu conexión a Internet y vuelve a intentarlo.
TID_NATIVE_DIALOG_CONNECTION_LOST_BUTTON,Reintentar
TID_NATIVE_DIALOG_GAME_SERVER_NOT_RESPONDING_TITLE,Sin conexión
TID_NATIVE_DIALOG_GAME_SERVER_NOT_RESPONDING_MESSAGE,El servidor no responde. Comprueba tu conexión a Internet y vuelve a intentarlo.
TID_NATIVE_DIALOG_GAME_SERVER_NOT_RESPONDING_BUTTON,Reintentar
TID_NATIVE_DIALOG_BILLING_SERVER_NOT_RESPONDING_TITLE,Sin conexión
TID_NATIVE_DIALOG_BILLING_SERVER_NOT_RESPONDING_MESSAGE,El servidor de facturación no responde. Inténtalo más tarde.
TID_NATIVE_DIALOG_BILLING_SERVER_NOT_RESPONDING_BUTTON,Vale
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_TITLE,Actualización necesaria
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_MESSAGE,¡Ya está aquí una nueva actualización! Descárgala ya para disfrutar de la última versión del juego y para recibir un premio especial: ¡diamantes gratis que te estarán esperando en la tienda!
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_BUTTON,Descargar
TID_NATIVE_DIALOG_LOGIN_FAILED_TITLE,Fallo de conexión
