TID,KR
TID_TUTORIAL_50,제 농장에 잘 오셨습니다! 제가 가판대에서 팔고 있는 물건을 한번 살펴봐주세요!
TID_TUTORIAL_51,들러주셔서 고맙습니다! 필요하면 언제든지 저나 친구 농장을 방문해 주세요!
TID_TUTORIAL_52,그렉이 많은 도움이 되었네요. 친구 탭에서 더 많은 친구들을 이웃으로 추가할 수 있어요.
TID_TUTORIAL_53,이곳은 농장의 가판대예요. 여기에 물건을 올려두고 다른 플레이어들에게 팔 수 있답니다.
TID_TUTORIAL_54,팔고 싶은 물건의 수량과 가격은 마음대로 정할 수 있어요. 신문 광고도 낼 수 있으니 한 번 이용해 보세요!
TID_TUTORIAL_54a,가판대를 확인해 보세요!
TID_TUTORIAL_55,신문은 우편함에 있어요. 다른 플레이어들이 뭘 팔고 있는지 신문을 통해서 알 수 있죠.
TID_TUTORIAL_55a,우편함을 터치해서 신문을 읽어보세요!
TID_TUTORIAL_56,안녕하세요! 새 작물을 심는 데 모르는 것이 있나요? 제가 도와드릴게요!
TID_TUTORIAL_57,"안녕하세요! 모든 물체는 자리를 옮기거나, 방향을 바꿀 수 있어요. 먼저 대상을 길게 터치해 보세요."
TID_TUTORIAL_57_MOBILE,"안녕하세요! 모든 물체는 자리를 옮기거나, 방향을 바꿀 수 있어요. 먼저 대상을 길게 터치해 보세요."
TID_TUTORIAL_58a,쿠폰이란?
TID_TUTORIAL_59,"화물선 주문이나 그 외 여러 곳에서 얻을 수 있는 물건이에요. 자, 여기 한 장 드릴게요."
TID_TUTORIAL_59a,고마워요!
TID_TUTORIAL_60,집을 터치해서 빈 그릇에 맛있는 음식을 담아보세요!
TID_TUTORIAL_61,이제 기다리면 애완동물이 잠을 자러 돌아올 거예요.
TID_TUTORIAL_62,애완동물이 휴식을 취해 기분이 좋아졌어요! 터치해서 깨우고 경험치를 얻으세요.
TID_TUTORIAL_63,"애완동물이 즐겁게 놀고 있네요! 기분이 좋아지도록 먹이를 잘 챙겨주고, 동물이 잠들면 경험치를 얻으세요."
TID_TUTORIAL_63_MOBILE,"애완동물이 즐겁게 놀고 있네요! 기분이 좋아지도록 먹이를 잘 챙겨주고, 동물이 잠들면 경험치를 얻으세요."
TID_TUTORIAL_64,안녕하세요! 피자를 찾는 방법을 알려드릴까요?
TID_TUTORIAL_65,이제 코인을 좀 모아야 해요. 부두를 수리해야 하거든요.
TID_TUTORIAL_66,공간이 부족한가요? 걱정 마세요! 이제 농장을 확장할 수 있습니다.
TID_TUTORIAL_67,슬슬 광산을 수리하는 게 좋지 않을까요? 보물을 얻게 될지도 몰라요.
TID_TUTORIAL_68,축하합니다! 부두가 수리되었습니다! 이제 화물선 주문을 완료할 수 있습니다.
TID_TUTORIAL_69,이건 화물선 순위표예요. 터치하면 당신과 친구들이 얼마나 잘하고 있는지 볼 수 있어요.
TID_TUTORIAL_70,"새로 설치한 우편함 보셨나요? 어, 누가 오나 봐요. 휘파람 소리 들리죠?"
TID_TUTORIAL_71,야호! 처음으로 편지를 받았어요. 우편함을 터치해서 편지를 열어보세요.
TID_TUTORIAL_72,우와! 그렉이 선물 쿠폰을 보냈네요. 쿠폰을 충분히 모으면 카탈로그에서 선물 꾸러미를 주문할 수 있어요.
TID_TUTORIAL_72_MOBILE,우와! 그렉이 선물 쿠폰을 보냈네요. 쿠폰을 충분히 모으면 카탈로그에서 선물 꾸러미를 주문할 수 있어요.
TID_TUTORIAL_73,어떻게 하면 편지를 더 받을 수 있냐고요? 다른 농장의 일을 도와주면 보답으로 편지를 받을 수도 있어요.
TID_TUTORIAL_74,아주 운이 좋으면 선물 카드가 들어있을 수도 있죠. 우체부는 하루에 한 번 방문합니다.
TID_TUTORIAL_GUEST5,그렉의 초상화를 터치하면 농장을 방문할 수 있어요!
TID_TUTORIAL_GUEST6,그렉의 가판대를 터치해서 뭘 팔고 있는지 살펴보세요!
TID_LOADING_SCREEN_CONNECTING,연결 중
TID_LOADING_SCREEN_LOADING,불러오는 중
TID_LOADING_SCREEN_UPDATING,업데이트 중
TID_BUTTON_INCREASE_CAPACITY,저장 공간 확장
TID_BUTTON_STORAGE,뒤로
TID_STORAGE_UPGRADE_DESCRIPTION,저장 공간이 <CAPACITY>으로 늘어납니다.
TID_PLANK_DESCRIPTION,헛간을 개조하는 데 사용합니다.
TID_NAIL_DESCRIPTION,농작물 저장소를 개조하는 데 사용합니다.
TID_BOLT_DESCRIPTION,헛간을 개조하는 데 사용합니다.
TID_SCREW_DESCRIPTION,농작물 저장소를 개조하는 데 사용합니다.
TID_DUCT_TAPE_DESCRIPTION,헛간을 개조하는 데 사용합니다.
TID_WOOD_PANEL_DESCRIPTION,농작물 저장소를 개조하는 데 사용합니다.
TID_DYNAMITE_DESCRIPTION,작은 바위를 제거하는 데 사용합니다.
TID_DEMOLITION_CHARGE_DESCRIPTION,큰 바위를 제거하는 데 사용합니다.
TID_AXE_DESCRIPTION,작은 나무를 베어냅니다.
TID_SAW_DESCRIPTION,큰 나무를 잘라냅니다.
TID_SHOVEL_DESCRIPTION,수렁을 제거하는 데 사용합니다.
TID_DAIRY_PRODUCT_DESCRIPTION,유제품 가공소에서 만듭니다.
TID_BARBECUE_PRODUCT_DESCRIPTION,바비큐 그릴에서 만듭니다.
TID_BAKERY_PRODUCT_DESCRIPTION,베이커리에서 구워냅니다.
TID_LOOM_PRODUCT_DESCRIPTION,방직기에서 만듭니다.
TID_CAKE_OVEN_PRODUCT_DESCRIPTION,케이크 오븐에서 만듭니다.
TID_PIE_OVEN_PRODUCT_DESCRIPTION,파이 오븐에서 굽습니다.
TID_POPCORN_POT_PRODUCT_DESCRIPTION,팝콘 메이커에서 만듭니다.
TID_SUGAR_MILL_PRODUCT_DESCRIPTION,제당기에서 만듭니다.
TID_FEED_MILL_PRODUCT_DESCRIPTION,사료 배합기로 만듭니다.
TID_JUICE_PRESS_PRODUCT_DESCRIPTION,과즙기에서 만듭니다.
TID_JAM_MAKER_PRODUCT_DESCRIPTION,잼 제조기에서 만듭니다.
TID_ICE_CREAM_MAKER_PRODUCT_DESCRIPTION,아이스크림 제조기에서 만듭니다.
TID_JEWELER_PRODUCT_DESCRIPTION,보석 세공소에서 만듭니다.
TID_APPLE_DESCRIPTION,사과 나무에서 수확합니다.
TID_CHERRY_DESCRIPTION,체리 나무에서 수확합니다.
TID_CACAO_DESCRIPTION,카카오 나무에서 수확합니다.
TID_RASPBERRY_DESCRIPTION,라즈베리 덤불에서 수확합니다.
TID_BLACKBERRY_DESCRIPTION,블랙베리 덤불에서 수확합니다.
TID_EGG_DESCRIPTION,닭에게서 얻습니다.
TID_MILK_DESCRIPTION,소에게서 얻습니다.
TID_WOOL_DESCRIPTION,양에게서 얻습니다.
TID_BACON_DESCRIPTION,돼지에게서 얻습니다.
TID_GOAT_MILK_DESCRIPTION,염소에게서 얻습니다.
TID_CASH,코인
TID_DIAMONDS,다이아몬드
TID_CASH_DESCRIPTION,농장을 개조하고 물건을 구매하는 데 사용합니다.
TID_DIAMONDS_DESCRIPTION,생산을 즉시 마치고 부족한 재료를 구매합니다.
TID_FACEBOOK,Facebook
TID_GAME_CENTER,Game Center
TID_FACEBOOK_ID_NOT_MATCH_TITLE,<SOCIAL_MEDIA> 경고
TID_FACEBOOK_ID_NOT_MATCH,새로운 <SOCIAL_MEDIA> 계정에 현재 게임을 저장하시겠습니까?
TID_FACEBOOK_ID_NOT_MATCH_ACTION_1,계정 변경하기
TID_FACEBOOK_ID_NOT_MATCH_ACTION_2,현재 계정 유지하기
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_TITLE,내 농장 선택
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM,"<SOCIAL_MEDIA> 계정에 연동된 다른 농장이 있습니다.\n(<NEW_FARM_NAME> 농장, <NEW_LEVEL>레벨)\n\n이 농장을 불러오시겠습니까?\n\n경고: 현재 농장(<OLD_FARM_NAME> 농장, <OLD_LEVEL>레벨)이 삭제됩니다."
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_MOBILE,"<SOCIAL_MEDIA> 계정에 연동된 다른 농장이 있습니다.\n(<NEW_FARM_NAME> 농장, <NEW_LEVEL>레벨)\n\n이 농장을 불러오시겠습니까?\n\n경고: 현재 농장(<OLD_FARM_NAME> 농장, <OLD_LEVEL>레벨)이 삭제됩니다."
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_ACTION_1,이전 게임 불러오기
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_ACTION_2,현재 게임 이어가기
TID_INTRO_01,평소와 다름없던 어느 날...
TID_INTRO_02,한 통의 편지가 도착했습니다!
TID_INTRO_03,\q잘 있었니? 삼촌이란다!\q
TID_INTRO_04,\q혹시 농장을 물려받을 생각 없니?\q
TID_INTRO_05,\q난 이제 은퇴하기로 했거든. 원한다면 농장을 한번 운영해 보렴!\q
TID_INTRO_06,새로운 전원생활이 기다리고 있습니다!\n함께 출발해 볼까요?
TID_ANIMATION_Harvest,수확하기
TID_ANIMATION_Seeding,씨 뿌리기
TID_ANIMATION_CropInfo,농작물 증가!
TID_ANIMATION_BuyChicken,닭 3마리 구매하기
TID_ANIMATION_FeedChicken,닭 모이 주기
TID_ANIMATION_CollectEggs,달걀 모으기
TID_ANIMATION_BakeBread,빵 굽기
TID_ANIMATION_6th crop,다양한 씨앗 심는 방법
TID_ANIMATION_EditObjects,농장 정리하기
TID_ANIMATION_Pizzas,피자 찾는 방법
TID_ANIMATION_SendLetter,편지 보내는 방법
TID_DIAMOND_PACK_1,다이아 한 줌
TID_DIAMOND_PACK_2,다이아 주머니
TID_DIAMOND_PACK_3,다이아 자루
TID_DIAMOND_PACK_4,다이아 상자
TID_DIAMOND_PACK_5,다이아 궤짝
TID_DIAMOND_PACK_6,다이아 트렁크
TID_DIAMOND_PACK_2_Birthday_1,생일 패키지 1
TID_DIAMOND_PACK_3_Birthday_2,생일 패키지 2
TID_DIAMOND_PACK_5_Birthday_3,생일 패키지 3
TID_DIAMOND_PACK_2_Special_1,특별 패키지 1
TID_DIAMOND_PACK_3_Special_2,특별 패키지 2
TID_DIAMOND_PACK_5_Special_3,특별 패키지 3
TID_CASH_PACK_1,코인 한 줌
TID_CASH_PACK_2,코인 주머니
TID_CASH_PACK_3,코인 자루
TID_CASH_PACK_4,코인 상자
TID_CASH_PACK_5,코인 궤짝
TID_CASH_PACK_6,코인 트렁크
TID_BUY_DIAMONDS_TITLE,다이아몬드 상점
TID_BUY_CASH_TITLE,코인 상점
TID_ORDER_SCREEN_SELECT_ORDER,왼쪽에서 주문을 선택하세요.
TID_NOTIFICATION_BUILDING_CONSTRUCTION_READY,<NAME> 건설이 완료되었습니다!
TID_NOTIFICATION_PLAYER_PLEASE_COME_BACK,농장의 동물들이 주인의 손길을 그리워합니다!
TID_NOTIFICATION_PLAYER_PLEASE_COME_BACK_MOBILE,농장의 동물들이 주인의 손길을 그리워합니다!
TID_NOTIFICATION_CROPS_READY,농작물이 모두 자랐습니다!
TID_NOTIFICATION_CHICKEN_READY,달걀을 모을 수 있습니다!
TID_NOTIFICATION_COW_READY,우유 짤 준비가 끝났습니다!
TID_NOTIFICATION_SHEEP_READY,양털을 모을 수 있습니다.
TID_NOTIFICATION_PIG_READY,베이컨을 모을 준비가 끝났습니다!
TID_NOTIFICATION_GOAT_READY,염소 우유 짤 준비가 끝났습니다!
TID_NOTIFICATION_ORDER_READY,완료할 수 있는 주문이 있습니다!
TID_NOTIFICATION_DAILY_GIFT,"농부님, 일일 무료 선물이 기다리고 있습니다!"
TID_NATIVE_DIALOG_CONNECTION_LOST_TITLE,연결 끊김
