TID,DE
TID_PUMPKIN_PIE,Kürbiskuchen
TID_BROWN_SUGAR,Brauner Zucker
TID_WHITE_SUGAR,Weißer Zucker
TID_SYRUP,Sirup
TID_SWEATER,Pullover
TID_BLUE_WOOLLY_HAT,Blaue Wollmütze
TID_BLUE_SWEATER,Blauer Pullover
TID_POPCORN,Popcorn
TID_BUTTER_POPCORN,Butter-Popcorn
TID_CHILI_POPCORN,Chili-Popcorn
TID_BACON_AND_EGGS,Speck und Eier
TID_PANCAKE,Pfannkuchen
TID_HAMBURGER,Hamburger
TID_PIZZA,Pizza
TID_SPICY_PIZZA,Scharfe Pizza
TID_ROASTED_TOMATOES,Grilltomaten
TID_CARROT_JUICE,Karottensaft
TID_TOMATO_JUICE,Tomatensaft
TID_APPLE_JUICE,Apfelsaft
TID_CHERRY_JUICE,Kirschsaft
TID_BERRY_JUICE,Beerensaft
TID_APPLE,Äpfel
TID_CHERRY,Kirschen
TID_CACAO,Kakaobohnen
TID_RASPBERRY,Himbeeren
TID_BLACKBERRY,Brombeeren
TID_APPLE_JAM,Apfelmarmelade
TID_RASPBERRY_JAM,Himbeermarmelade
TID_BLUEBERRY_JAM,Brombeermarmelade
TID_CHERRY_JAM,Kirschmarmelade
TID_VANILLA_ICE_CREAM,Vanilleeis
TID_CHERRY_POPSICLE,Kirscheis am Stiel
TID_CHOCOLATE_ICE_CREAM,Schokoladeneis
TID_APPLE_PIE,Apfelkuchen
TID_FETA_PIE,Fetakuchen
TID_BRACELET,Armband
TID_NECKLACE,Halskette
TID_DIAMOND_RING,Diamantring
TID_FEED_MILL,Futtermühle
TID_BAKERY,Backofen
TID_POPCORN_POT,Popcorn-Topf
TID_DAIRY,Molkerei
TID_SUGAR_MILL,Zuckermühle
TID_PIE_OVEN,Kuchenofen
TID_LOOM,Webstuhl
TID_CAKE_OVEN,Tortenofen
TID_BARBECUE_GRILL,Grill
TID_JUICE_PRESS,Saftpresse
TID_JAM_MAKER,Marmeladenkocher
TID_ICE_CREAM_MAKER,Eismaschine
TID_JEWELER,Juwelier
TID_APPLE_TREE,Apfelbaum
TID_CHERRY_TREE,Kirschbaum
TID_CACAO_TREE,Kakaobaum
TID_RASPBERRY_BUSH,Himbeerstrauch
TID_BLACKBERRY_BUSH,Brombeerstrauch
TID_DYNAMITE,Dynamit
TID_DEMOLITION_CHARGE,TNT-Fass
TID_AXE,Axt
TID_SAW,Säge
TID_SHOVEL,Schaufel
TID_PLANK,Brett
TID_NAIL,Nagel
TID_BOLT,Bolzen
TID_SCREW,Schraube
TID_DUCT_TAPE,Klebeband
TID_WOOD_PANEL,Holzschindel
TID_EMPTY_FIELD,Feld
TID_CHICKEN,Huhn
TID_COW,Kuh
TID_SHEEP,Schaf
TID_PIG,Schwein
TID_GOAT,Ziege
TID_CHICKEN_HABITAT,Hühnergatter
TID_COW_HABITAT,Kuhweide
TID_SHEEP_HABITAT,Schafweide
TID_PIG_HABITAT,Schweinepferch
TID_GOAT_HABITAT,Ziegengehege
TID_HAMMERMILL_DESCRIPTION,Produziert Tierfutter
TID_BAKERY_DESCRIPTION,Backt Waren
TID_POPCORN_POT_DESCRIPTION,Produziert Popcorn
TID_DAIRY_DESCRIPTION,Produziert Milchprodukte
TID_SUGAR_MILL_DESCRIPTION,Produziert Zuckerwaren
TID_PIE_OVEN_DESCRIPTION,Backt Kuchen
TID_LOOM_DESCRIPTION,Webt Kleidung
TID_BARBECUE_GRILL_DESCRIPTION,Grillt Nahrung
TID_CAKE_OVEN_DESCRIPTION,Backt Torten
TID_JUICE_PRESS_DESCRIPTION,Presst Saft
TID_JAM_MAKER_DESCRIPTION,Produziert Marmelade
TID_ICE_CREAM_MAKER_DESCRIPTION,Stellt Eiscreme her
TID_JEWELER_DESCRIPTION,Stellt Schmuck her
TID_APPLE_TREE_DESCRIPTION,Dreimal ernten
TID_CHERRY_TREE_DESCRIPTION,Dreimal ernten
TID_CACAO_TREE_DESCRIPTION,Dreimal ernten
TID_RASPBERRY_BUSH_DESCRIPTION,Dreimal ernten
TID_BLACKBERRY_BUSH_DESCRIPTION,Dreimal ernten
TID_NEED_MORE_POPUP_TITLE,Nicht genug Rohstoffe!
TID_NEED_MORE_RESOURCES_CANT_BUY_TEXT,"Beschaffe die fehlenden Ressourcen, um die Bestellung abzuschließen."
TID_NEED_MORE_POPUP_GENERIC_TEXT,Besorge die fehlenden Ressourcen und erledige die Aktion mit Diamanten.
TID_NEED_MORE_CROPS_HINT,Du kannst die fehlenden Pflanzen von einem Freund kaufen.\n\nOder kaufe sie jetzt mit Diamanten!
TID_NEED_MORE_CROPS_HINT_MOBILE,Du kannst die fehlenden Pflanzen von einem Freund kaufen.\n\nOder kaufe sie jetzt mit Diamanten!
TID_NEED_MORE_ANIMAL_FOOD_HINT,Erzeuge mit der Futtermühle mehr Futter für deine Tiere. Oder füttere sie jetzt mithilfe von Diamanten.
TID_SILO_FULL_TITLE,Silo voll
TID_SILO_FULL_DESCRIPTION,Der Silo ist voll! Verbessere den Silo und du gewinnst mehr Platz.
TID_WAREHOUSE_FULL_TITLE,Scheune voll
TID_WAREHOUSE_FULL_DESCRIPTION,Die Scheune ist voll! Verbessere sie und du gewinnst mehr Platz.
TID_WAREHOUSE_FULL_DESCRIPTION_MOBILE,Die Scheune ist voll! Verbessere sie und du gewinnst mehr Platz.
TID_LEVEL_UP_TITLE,GLÜCKWUNSCH!
TID_LEVEL_UP_TEXT,Du bist jetzt ein Level-<LEVEL_NUMBER>-Farmer!
TID_LEVEL_UP_ITEM_NEW,Neu!
TID_LEVEL_UP_ITEM_NEW_AND_REWARD,Neu! +<REWARD>
TID_ORDER_TABLE_TITLE,Bestellungen
TID_ORDER_TITLE_00,Kindergarten
TID_ORDER_TITLE_01,Schule
TID_ORDER_TITLE_02,Kirche
TID_ORDER_TITLE_03,Joans Salon
TID_ORDER_TITLE_04,Susans Shop
TID_ORDER_TITLE_05,Mikes Mühle
TID_ORDER_TITLE_06,Bens Brauerei
TID_ORDER_TITLE_07,Fabios Fischerei
TID_ORDER_TITLE_08,Franks Fabrik
TID_ORDER_TITLE_09,Grants Gottesacker
TID_ORDER_TABLE_WAITING,Bitte warten ...
TID_ORDER_TABLE_WAITING_TEXT,Diese Bestellung ist nicht lieferbar. Warte oder beschleunige sie!
TID_SOCIAL_LOGIN_TITLE,Finde mehr Farmer!
TID_SOCIAL_LOGIN_1_TEXT,Melde dich bei <SOCIAL_1> an und handle mit deinen Freunden!
TID_SOCIAL_LOGIN_2_TEXT,Melde dich bei <SOCIAL_1> oder <SOCIAL_2> an und handle mit deinen Freunden!
TID_ROADSIDE_SHOP_TITLE,Straßenverkauf
TID_ROADSIDE_SHOP_FRIEND_TITLE,Straßenverkauf von <NAME>
TID_ROADSIDE_SHOP_ITEM_COUNT,<COUNT>x
TID_ROADSIDE_SHOP_ITEM_SOLD,VERKAUFT!
TID_ROADSIDE_SHOP_CREATE_NEW_SALE,Neues Angebot erstellen
TID_ROADSIDE_SHOP_NEW_SALE_TITLE,Neues Angebot
TID_ROADSIDE_SHOP_NEW_SALE_ADJUST_PRICE,Preis anpassen
TID_ROADSIDE_SHOP_NEW_SALE_CONFIRM_BUTTON,Anbieten
TID_ROADSIDE_SHOP_ADVERTISE,Inserieren
TID_ROADSIDE_SHOP_ADVERTISE_WITH_TIME,Inserieren
TID_SHOP_TITLE,Laden
TID_TUTORIAL_01,"Hallo! Ich bin Mr. Wicker, und ich helfe dir auf deiner neuen Farm!"
TID_TUTORIAL_02a,"Tippe auf ein Weizenfeld und nimm die Sichel. Ernte, indem du sie über den Weizen ziehst."
TID_TUTORIAL_03a,"Tippe auf ein leeres Feld. Ziehe Weizen über die Felder, um ihn auszusäen."
TID_TUTORIAL_04,Samen brauchen Zeit zum Wachsen. Beim Ernten produziert jedes Feld zwei Pflanzen.
TID_TUTORIAL_05a,"Tippe auf dein Haus und streiche es an, indem du den Pinsel darüber ziehst."
TID_TUTORIAL_06a,Schön! Die Scheune könnte auch etwas Farbe vertragen ...
TID_TUTORIAL_07a,Du solltest auch den Silo streichen!
TID_TUTORIAL_10,Toll! Jetzt laden wir uns ein paar gefiederte Freunde zur Party ein!
TID_TUTORIAL_10a,Ziehe ein Huhn aus dem Laden in das Hühnergatter.
TID_TUTORIAL_11a,Kaufe noch ein Huhn!
TID_TUTORIAL_12a,Wie wäre es mit einem dritten Huhn?
TID_TUTORIAL_13a,"Tippe auf ein Huhn und ziehe den Futtersack über die Hühner, um sie zu füttern."
TID_TUTORIAL_14a,Tippe auf ein Huhn und dann auf das Beschleunigen-Symbol!
TID_TUTORIAL_14b,Tippe auf ein Huhn und dann zweimal auf das Beschleunigen-Symbol!
TID_TUTORIAL_14c,Tippe auf ein Huhn und halte dann das Beschleunigen-Symbol gedrückt!
TID_TUTORIAL_15a,Ei-nmalig! Beschleunige auch das zweite Huhn.
TID_TUTORIAL_16a,Ei-ndrucksvoll! Beschleunige jetzt das letzte Huhn.
TID_TUTORIAL_17a,"Ziehe den Korb über alle Hühner, um die Eier einzusammeln."
TID_TUTORIAL_20,"Schön! Wie wäre es, wenn du mit einem neuen Backofen aus all dem Weizen Brot backen würdest?"
TID_TUTORIAL_20a,"Tippe auf die Schaltfläche links, um das Ladenmenü zu öffnen. Kaufe einen Backofen, indem du ihn auf dein Land ziehst."
TID_TUTORIAL_20a_MOBILE,"Tippe auf die Schaltfläche links, um das Ladenmenü zu öffnen. Kaufe einen Backofen, indem du ihn auf dein Land ziehst."
TID_TUTORIAL_21a,"Warte, bis der Bau abgeschlossen wird, oder beschleunige ihn mit Diamanten."
TID_TUTORIAL_22a,Tippe auf den Backofen und ziehe das Brot in den Ofen.
TID_TUTORIAL_23a,"Beende den Backvorgang sofort, indem du unter dem Brot auf das Beschleunigen-Symbol tippst. Riecht lecker!"
TID_TUTORIAL_24,"Steigst du ein Level auf, schaltest du neue Verbesserungen frei. Gerade warten im Laden drei neue Felder auf dich!"
TID_TUTORIAL_24a,Öffne das Ladenmenü und ziehe die drei neuen Feldflächen auf dein Land.
TID_TUTORIAL_25a,Pflanze mehr Samen an. Weißt du noch wie? (Tippe auf das Feld!)
TID_TUTORIAL_26,"Auf einer glücklichen Farm leben glückliche Tiere. Baue eine Futtermühle, damit deine Tiere nie hungern müssen!"
TID_TUTORIAL_26a,"Kaufe eine Futtermühle, indem du sie vom Laden auf dein Land ziehst."
TID_TUTORIAL_27,"Das Geschäft gedeiht! Ernte weiter die Felder ab, backe Brot und produziere Eier für den Verkauf."
TID_TUTORIAL_27a,"Du kannst das Pflanzenwachstum beschleunigen, indem du auf das Beschleunigen-Symbol tippst."
TID_TUTORIAL_28,"Tut, tut, der Lieferwagen ist da! Bereite dich auf eine Flut von Bestellungen vor!"
TID_TUTORIAL_29,"Die Bestelltafel zeigt an, welche Bestellungen verfügbar sind. Verdiene Geld und sammle Erfahrung, indem du sie auslieferst."
TID_TUTORIAL_29a,"Tippe auf den Lieferwagen oder die Bestelltafel, um deine erste Bestellung auszuführen."
TID_TUTORIAL_30,Auf geht's! Der Lieferwagen ist jetzt unterwegs zum Kindergarten.
TID_TUTORIAL_30a,Diese Städter können einfach nicht genug von unseren frischen Farmprodukten bekommen! Liefere noch eine Bestellung.
TID_TUTORIAL_31,Du hast den Bogen wirklich raus! Arbeite jetzt weiter auf deiner Farm und liefere Bestellungen aus.
TID_TUTORIAL_31a,Arbeite weiter auf deiner Farm und liefere Bestellungen aus!
TID_TUTORIAL_36,"Muuuh! Es ist schon eine Weile her, dass es hier eine Kuh gab!"
TID_TUTORIAL_36a,Kaufe eine Kuhweide und ziehe sie aus dem Laden auf dein Grundstück.
TID_TUTORIAL_37a,Ziehe jetzt eine Kuh auf die Weide.
TID_TUTORIAL_38a,Sie hat Hunger. Füttere sie!
TID_TUTORIAL_39,"Eine wohlgenährte Kuh produziert gesunde Milch, die du einsammeln kannst."
TID_TUTORIAL_40,"Kaufe eine Molkerei, wenn du genug Geld hast. Die Molkerei kann Milch zu Sahne, Butter und sogar Käse verarbeiten!"
TID_TUTORIAL_42,Hallöchen! Ich bin Mike. Ich betreibe die alte Mühle in der Nähe der Stadt. Eine nette kleine Farm hast du hier! Vielleicht solltest du ihr einen passenden Namen geben. Denk daran: Benutze am besten nicht deinen richtigen Namen.
TID_TUTORIAL_45,"Gut, dass sich jemand um die Farm kümmert. Wir sehen uns!"
TID_TUTORIAL_46,"Kommt dieser wunderbare Duft von hier? Oh, wo sind meine Manieren! Mein Name ist Joan."
TID_TUTORIAL_GUEST1,"Wir haben einen Besucher! Tippe auf ihn und erfahre, was er zu sagen hat!"
TID_TUTORIAL_GUEST2,"Noch ein Besucher! Frag sie besser, was sie möchte."
TID_TUTORIAL_47a,"Entferne zuerst die Plane, indem du darauf tippst."
TID_TUTORIAL_48a,"Warte, bis der Lieferwagen mit deiner Belohnung zurückkehrt, und tippe ihn dann an, um sie einzusammeln!"
TID_TUTORIAL_47,"Sieh mal, die Kinder aus dem Kindergarten haben dir eine Dankesnachricht geschickt!"
TID_TUTORIAL_GUEST3,Wer ist der große Kerl?
TID_TUTORIAL_48,"Hallo! Ich bin Greg, dein Nachbar. Wenn du ein paar Werkzeuge brauchst, komm zu mir, ich kann welche besorgen!"
TID_TUTORIAL_49,"Wir könnten ein paar Werkzeuge gebrauchen, um etwas Land freizuräumen. Besuche Gregs Farm!"
TID_TUTORIAL_GUEST4,Öffne die Freundeleiste!
TID_TUTORIAL_50,"Willkommen auf meiner Farm! Sieh dir an, was ich in meinem Straßenverkauf anzubieten habe!"
TID_TUTORIAL_51,"Danke für deinen Besuch! Denk daran, dass du mich oder deine Freunde jederzeit besuchen kannst!"
TID_TUTORIAL_52,"Klasse, Greg war sehr hilfreich. Du kannst auf der Freundeleiste noch mehr Freunde als Nachbarn hinzufügen."
TID_TUTORIAL_53,"Das ist dein Straßenverkauf. Du kannst dort Waren anbieten, die andere Spieler kaufen können."
TID_TUTORIAL_54,"Du kannst festlegen, wie viele deiner Produkte du verkaufen möchtest und wie hoch der Preis sein soll. Du kannst sogar in der Zeitung inserieren! Versuche es!"
TID_TUTORIAL_54a,Sieh dir deinen Straßenverkauf an!
TID_TUTORIAL_55,"Du findest die Zeitung in deinem Briefkasten. Hier kannst du sehen, was andere Leute verkaufen."
TID_TUTORIAL_55a,"Tippe auf den Briefkasten, um die Lokalzeitung zu lesen!"
TID_TUTORIAL_56,Howdy! Brauchst du Hilfe beim Pflanzen deiner neuen Samen? Ich kann dir ein paar Hinweise geben!
TID_TUTORIAL_57,"Hi! Ich wollte dir nur sagen, dass du Objekte bewegen, drehen und löschen kannst. Tippe zuerst auf ein Objekt und halte es."
TID_TUTORIAL_57_MOBILE,"Hi! Ich wollte dir nur sagen, dass du Objekte bewegen, drehen und löschen kannst. Tippe zuerst auf ein Objekt und halte es."
TID_TUTORIAL_58a,Was sind Gutscheine?
TID_TUTORIAL_59,"Es sind Sammelobjekte, die du für den Abschluss von Schiffsbestellungen und von anderen Orten bekommst! Hier ist einer für dich ..."
TID_TUTORIAL_59a,Danke!
TID_TUTORIAL_60,Tippe auf die Hütte und fülle die leere Schüssel mit köstlichem Futter!
TID_TUTORIAL_61,"Warte jetzt, bis dein Tier zum Schlafen wiederkommt."
TID_TUTORIAL_62,"Dein Tier ist zufrieden und entspannt! Tippe es an, um es aufzuwecken und Punkte zu sammeln."
TID_TUTORIAL_63,"Sieh mal, wie dein Tier zu spielen anfängt! Vergiss nicht, es regelmäßig zu füttern, damit es zufrieden ist und du Punkte sammeln kannst, nachdem es geschlafen hat."
TID_TUTORIAL_63_MOBILE,"Sieh mal, wie dein Tier zu spielen anfängt! Vergiss nicht, es regelmäßig zu füttern, damit es zufrieden ist und du Punkte sammeln kannst, nachdem es geschlafen hat."
TID_TUTORIAL_64,Howdy! Brauchst du Hilfe mit den Pizzen?
TID_TUTORIAL_65,Du solltest nun ein paar Münzen sparen. Die Anlegestelle muss repariert werden.
TID_TUTORIAL_66,Du brauchst mehr Platz? Keine Sorge! Du kannst jetzt mit der Erweiterung beginnen.
TID_TUTORIAL_67,"Vielleicht solltest du jetzt die alte Mine reparieren? Wer weiß, welche Schätze dort zu finden sind?"
TID_TUTORIAL_68,"Glückwunsch, die Anlegestelle ist repariert! Du kannst jetzt Schiffsbestellungen ausführen."
TID_TUTORIAL_69,"Dies ist die Schiff-Rangliste. Tippe sie an, um zu sehen, wie sich deine Freunde schlagen."
TID_TUTORIAL_70,"Hast du deinen neuen und glänzenden Briefkasten gesehen? Oh, ich glaube, da kommt jemand. Hörst du das Pfeifen?"
TID_TUTORIAL_71,"Juhu! Du hast deinen ersten Brief erhalten. Öffne ihn, indem du auf den Briefkasten tippst."
TID_TUTORIAL_72,"Wunderbar! Greg hat dir einen Geschenkgutschein geschickt. Sammle genügend davon, dann kannst du über den Katalog ein Überraschungspaket bestellen."
TID_TUTORIAL_72_MOBILE,"Wunderbar! Greg hat dir einen Geschenkgutschein geschickt. Sammle genügend davon, dann kannst du über den Katalog ein Überraschungspaket bestellen."
TID_TUTORIAL_73,"Wie kriegt man selbst mehr Briefe? Hilf einfach anderen Farmern, dann schicken sie dir vielleicht welche!"
TID_TUTORIAL_74,"Mit ein wenig Glück könnte eine Geschenkkarte enthalten sein. Und denk daran, der Postbote kommt jeden Tag einmal!"
TID_TUTORIAL_GUEST5,"Tippe auf Gregs Bild, um seine Farm zu besuchen!"
TID_TUTORIAL_GUEST6,"Tippe auf Gregs Straßenverkauf, um zu sehen, was er anbietet!"
TID_LOADING_SCREEN_CONNECTING,Verbindet
TID_LOADING_SCREEN_LOADING,Lädt
TID_LOADING_SCREEN_UPDATING,Aktualisiert
TID_BUTTON_INCREASE_CAPACITY,Kapazität erhöhen
TID_BUTTON_STORAGE,Zurück
TID_STORAGE_UPGRADE_DESCRIPTION,Kapazität auf <CAPACITY> erhöhen
TID_PLANK_DESCRIPTION,Zum Verbessern deiner Scheune
TID_NAIL_DESCRIPTION,Zum Verbessern deines Silos
TID_BOLT_DESCRIPTION,Zum Verbessern deiner Scheune
TID_SCREW_DESCRIPTION,Zum Verbessern deines Silos
TID_DUCT_TAPE_DESCRIPTION,Zum Verbessern deiner Scheune
TID_WOOD_PANEL_DESCRIPTION,Zum Verbessern deines Silos
TID_DYNAMITE_DESCRIPTION,Zum Zerstören eines kleinen Felsens
TID_DEMOLITION_CHARGE_DESCRIPTION,Zum Zerstören eines großen Felsens
TID_AXE_DESCRIPTION,Zum Fällen eines kleinen Baumes
TID_SAW_DESCRIPTION,Zum Fällen eines großen Baumes
TID_SHOVEL_DESCRIPTION,Zum Entfernen eines Sumpfes
TID_DAIRY_PRODUCT_DESCRIPTION,In Molkerei produzieren
TID_BARBECUE_PRODUCT_DESCRIPTION,Am Grill produzieren
TID_BAKERY_PRODUCT_DESCRIPTION,In Backofen produzieren
TID_LOOM_PRODUCT_DESCRIPTION,Mit Webstuhl produzieren
TID_CAKE_OVEN_PRODUCT_DESCRIPTION,Im Tortenofen produzieren
TID_PIE_OVEN_PRODUCT_DESCRIPTION,Im Kuchenofen produzieren
TID_POPCORN_POT_PRODUCT_DESCRIPTION,Im Popcorn-Topf produzieren
TID_SUGAR_MILL_PRODUCT_DESCRIPTION,In Zuckermühle produzieren
TID_FEED_MILL_PRODUCT_DESCRIPTION,In Futtermühle produzieren
TID_JUICE_PRESS_PRODUCT_DESCRIPTION,In der Saftpresse produzieren
TID_JAM_MAKER_PRODUCT_DESCRIPTION,Im Marmeladenkocher produzieren
TID_ICE_CREAM_MAKER_PRODUCT_DESCRIPTION,In Eismaschine produzieren
TID_JEWELER_PRODUCT_DESCRIPTION,Beim Juwelier produzieren
TID_APPLE_DESCRIPTION,Vom Apfelbaum sammeln
TID_CHERRY_DESCRIPTION,Vom Kirschbaum sammeln
TID_CACAO_DESCRIPTION,Vom Kakaobaum sammeln
TID_RASPBERRY_DESCRIPTION,Vom Himbeerstrauch sammeln
TID_BLACKBERRY_DESCRIPTION,Vom Brombeerstrauch sammeln
TID_EGG_DESCRIPTION,Von Huhn einsammeln
TID_MILK_DESCRIPTION,Von Kuh einsammeln
TID_WOOL_DESCRIPTION,Von Schaf einsammeln
TID_BACON_DESCRIPTION,Von Schwein einsammeln
TID_GOAT_MILK_DESCRIPTION,Von Ziege einsammeln
TID_CASH,Münzen
TID_DIAMONDS,Diamanten
TID_CASH_DESCRIPTION,Waren und Verbesserungen für die Farm kaufen
TID_DIAMONDS_DESCRIPTION,Produktion beschleunigen und fehlende Waren kaufen
TID_FACEBOOK,Facebook
TID_GAME_CENTER,Game Center
TID_FACEBOOK_ID_NOT_MATCH_TITLE,<SOCIAL_MEDIA>-Alarm
TID_FACEBOOK_ID_NOT_MATCH,Möchtest du das aktuelle Spiel auf einem neuen <SOCIAL_MEDIA>-Konto speichern?
TID_FACEBOOK_ID_NOT_MATCH_ACTION_1,"Ja, Konto wechseln"
TID_FACEBOOK_ID_NOT_MATCH_ACTION_2,"Nein, aktuelles Konto beibehalten"
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_TITLE,Wähle deine Farm
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM,"Wir haben eine andere Farm gefunden, die mit diesem <SOCIAL_MEDIA>-Konto verknüpft ist:\n(Farm <NEW_FARM_NAME>, Level <NEW_LEVEL>)\n\nMöchtest du sie laden?\n\nWarnung: Die aktuelle Farm (Farm <OLD_FARM_NAME>, Level <OLD_LEVEL>) geht dabei verloren."
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_MOBILE,"Wir haben eine andere Farm gefunden, die mit diesem <SOCIAL_MEDIA>-Konto verknüpft ist:\n(Farm <NEW_FARM_NAME>, Level <NEW_LEVEL>)\n\nMöchtest du sie laden?\n\nWarnung: Die aktuelle Farm (Farm <OLD_FARM_NAME>, Level <OLD_LEVEL>) geht dabei verloren."
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_ACTION_1,"Ja, Spiel laden"
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_ACTION_2,"Nein, aktuelles Spiel beibehalten"
TID_INTRO_01,Ein ganz gewöhnlicher Tag ...
TID_INTRO_02,Bis der Brief kam!
TID_INTRO_03,\qGrüße von deinem Onkel!\q
TID_INTRO_04,"\qAlso, was hältst du davon, Farmer zu werden?\q"
TID_INTRO_05,"\qIch habe beschlossen, in Rente zu gehen. Die Farm gehört dir, wenn du sie willst!\q"
TID_INTRO_06,Auf geht's! Ein neues Leben auf dem Land wartet.
TID_ANIMATION_Harvest,Ernten
TID_ANIMATION_Seeding,Aussäen
TID_ANIMATION_CropInfo,Pflanzen vermehren sich!
TID_ANIMATION_BuyChicken,3 Hühner kaufen
TID_ANIMATION_FeedChicken,Hühner füttern
TID_ANIMATION_CollectEggs,Eier sammeln
TID_ANIMATION_BakeBread,Brot backen
TID_ANIMATION_6th crop,Wie pflanzt man weitere Samen?
TID_ANIMATION_EditObjects,Gestalte deine Farm
TID_ANIMATION_Pizzas,Wie man Pizzen findet
TID_ANIMATION_SendLetter,Wie man einen Brief schickt
TID_DIAMOND_PACK_1,Häufchen Diamanten
TID_DIAMOND_PACK_2,Säckchen Diamanten
TID_DIAMOND_PACK_3,Sack Diamanten
TID_DIAMOND_PACK_4,Kästchen Diamanten
TID_DIAMOND_PACK_5,Kiste Diamanten
TID_DIAMOND_PACK_6,Truhe Diamanten
TID_DIAMOND_PACK_2_Birthday_1,Geburtstagspaket 1
TID_DIAMOND_PACK_3_Birthday_2,Geburtstagspaket 2
TID_DIAMOND_PACK_5_Birthday_3,Geburtstagspaket 3
TID_DIAMOND_PACK_2_Special_1,Spezialpaket 1
TID_DIAMOND_PACK_3_Special_2,Spezialpaket 2
TID_DIAMOND_PACK_5_Special_3,Spezialpaket 3
TID_CASH_PACK_1,Häufchen Münzen
TID_CASH_PACK_2,Säckchen Münzen
TID_CASH_PACK_3,Sack Münzen
TID_CASH_PACK_4,Kästchen Münzen
TID_CASH_PACK_5,Kiste Münzen
TID_CASH_PACK_6,Truhe Münzen
TID_BUY_DIAMONDS_TITLE,Diamantenladen
TID_BUY_CASH_TITLE,Münzenladen
TID_ORDER_SCREEN_SELECT_ORDER,Wähle links eine Bestellung.
TID_NOTIFICATION_BUILDING_CONSTRUCTION_READY,Bau von <NAME> abgeschlossen
TID_NOTIFICATION_PLAYER_PLEASE_COME_BACK,Deine Farm-Tiere vermissen dich!
TID_NOTIFICATION_PLAYER_PLEASE_COME_BACK_MOBILE,Deine Farm-Tiere vermissen dich!
TID_NOTIFICATION_CROPS_READY,Alle Pflanzen sind erntereif!
TID_NOTIFICATION_CHICKEN_READY,Du kannst jetzt deine Eier einsammeln!
TID_NOTIFICATION_COW_READY,Du kannst jetzt deine Milch einsammeln!
TID_NOTIFICATION_SHEEP_READY,Du kannst jetzt deine Wolle einsammeln!
TID_NOTIFICATION_PIG_READY,Du kannst jetzt deinen Speck einsammeln!
TID_NOTIFICATION_GOAT_READY,Du kannst jetzt deine Ziegenmilch einsammeln!
