Name,TaskType,FarmPoints,Good,Amount,Probability,TID,IconFileName,IconExportName,Tags,DerbyTaskTags,MinXPLevelForSpawn,MinRepLevelForSpawn,MaxXPLevelForSpawn,TimeLimitMinutes,RenewDiamondCost,MaxTimesPerDay
DailyCollectProduction_Honeycomb1,CollectProduction,100,Honeycomb,1,20,TID_FARM_PASS_TASK_COLLECT_HONEYCOMB_ONE,sc/icons.sc,icon_honeycomb,product,,39,,,60,10,
DailyCollectProduction_PeanutBag1,CollectProduction,100,PeanutBag,1,20,TID_FARM_PASS_TASK_COLLECT_PEANUT_ONE,sc/icons.sc,icon_peanut_bag,product,,62,,,60,10,
FeedSanctuaryAnimal_5,FeedSanctuaryAnimal,500,,5,5,TID_FARM_PASS_TASK_FEED_SANCTUARY,sc/icons.sc,tool_feed_herbivore,sanctuary,,36,5,,60,10,
WakeupSanctuaryAnimal_5,WakeupSanctuaryAnimal,500,,5,5,TID_FARM_PASS_TASK_WAKE_SANCTUARY,sc/icons.sc,icon_sanctuary,sanctuary,,36,5,,60,10,
DailyCollect_Egg5,CollectProduction,200,Egg,10,100,TID_FARM_PASS_TASK_COLLECT_EGG,sc/icons.sc,icon_egg,animal,,11,,,60,10,
DailyCollect_Milk5_Lv11,CollectProduction,100,Milk,5,100,TID_FARM_PASS_TASK_COLLECT_MILK,sc/icons.sc,icon_milk,animal,,11,,,60,10,
DailyCollect_Wool5_Lv16,CollectProduction,100,Wool,5,100,TID_FARM_PASS_TASK_COLLECT_WOOL,sc/icons.sc,icon_wool,animal,,16,,,60,10,
DailyCollect_Bacon5_Lv11,CollectProduction,100,Bacon,5,100,TID_FARM_PASS_TASK_COLLECT_BACON,sc/icons.sc,icon_bacon,animal,,11,,,60,10,
DailyCollect_Goat_Milk4_Lv32,CollectProduction,120,Goat Milk,4,50,TID_FARM_PASS_TASK_COLLECT_GOAT_MILK,sc/icons.sc,icon_goat_milk,animal,,32,,,60,10,
BirthdayTask_Plain_Yoghurt,CollectProduction,120,Plain Yoghurt,3,23,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_yoghurt_plain,produce,,103,,,390,10,
BirthdayTask_Strawberry_Yoghurt,CollectProduction,240,Strawberry Yoghurt,3,12,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_yoghurt_strawberry,produce,,105,,,150,10,
BirthdayTask_Tropical_Yoghurt,CollectProduction,250,Tropical Yoghurt,3,11,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_yoghurt_tropical,produce,,109,,,210,10,
BirthdayTask_Fried_rice,CollectProduction,120,Fried rice,3,23,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_fried_rice,produce,,69,,,210,10,
BirthdayTask_Tofu_stir_fry,CollectProduction,170,Tofu stir fry,3,16,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_tofu_stir_fry,produce,,89,,,255,10,
BirthdayTask_Spicy_fish,CollectProduction,320,Spicy fish,3,9,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_spicy_fish,produce,,79,,,300,10,
BirthdayTask_Peanut_noodles,CollectProduction,170,Peanut noodles,3,17,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_peanut_noodles,produce,,86,,,165,10,
BirthdayTask_Green_Tea,CollectProduction,140,Green Tea,3,20,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_green_tea,produce,,80,,,120,10,
BirthdayTask_Milk_Tea,CollectProduction,110,Milk Tea,3,26,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_milk_tea,produce,,81,,,165,10,
BirthdayTask_Honey_Tea,CollectProduction,110,Honey Tea,3,24,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_honey_tea,produce,,83,,,150,10,
BirthdayTask_Lemon_Tea,CollectProduction,140,Lemon Tea,3,20,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_lemon_tea,produce,,86,,,90,10,
BirthdayTask_Orange_Tea,CollectProduction,140,Orange Tea,3,20,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_earlgrey_tea,produce,,89,,,150,10,
BirthdayTask_Ice_Tea,CollectProduction,140,Ice Tea,3,20,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_iced_tea,produce,,92,,,120,10,
BirthdayTask_MintTea,CollectProduction,150,MintTea,3,19,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_mint_tea,produce,,97,,,135,10,
BirthdayTask_GingerTea,CollectProduction,100,GingerTea,3,29,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_ginger_apple_tea,produce,,88,,,120,10,
BirthdayTask_Pomegranate_Tea,CollectProduction,170,Pomegranate Tea,3,17,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_pomegranate_tea,produce,,107,,,135,10,
BirthdayTask_Taco,CollectProduction,220,Taco,3,13,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_taco,produce,,77,,,165,10,
BirthdayTask_Fish_Taco,CollectProduction,220,Fish Taco,3,13,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_fish_taco,produce,,79,,,300,10,
BirthdayTask_Quesadilla,CollectProduction,130,Quesadilla,3,21,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_quesadilla,produce,,82,,,210,10,
BirthdayTask_Nachos,CollectProduction,230,Nachos,3,12,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_nachos,produce,,87,,,255,10,
BirthdayTask_SushiRoll,CollectProduction,260,SushiRoll,3,11,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_sushiroll,produce,,56,,,210,10,
BirthdayTask_LobsterSushi,CollectProduction,290,LobsterSushi,3,10,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_lobstersushi,produce,,59,,,210,10,
BirthdayTask_EggRoll,CollectProduction,290,EggRoll,3,10,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_eggroll,produce,,63,,,390,10,
BirthdayTask_Big_sushi_roll,CollectProduction,370,Big sushi roll,3,8,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_big_sushiroll,produce,,76,,,300,10,
BirthdayTask_Rice_Ball,CollectProduction,250,Rice Ball,3,12,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_rice_balls,produce,,110,,,165,10,
BirthdayTask_Brown_Sugar,CollectProduction,100,Brown_Sugar,7,100,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_brown_sugar,produce,,7,,,170,10,
BirthdayTask_White_Sugar,CollectProduction,100,White Sugar,5,83,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_white_sugar,produce,,13,,,230,10,
BirthdayTask_Syrup,CollectProduction,120,Syrup,4,45,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_syrup,produce,,18,,,390,10,
BirthdayTask_Chickpea_Stew,CollectProduction,160,Chickpea Stew,3,18,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_chickpea_stew,produce,,106,,,300,10,
BirthdayTask_Winter_Stew,CollectProduction,170,Winter Stew,3,16,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_winter_stew,produce,,112,,,450,10,
BirthdayTask_Chili_Stew,CollectProduction,210,Chili Stew,3,13,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_chili_stew,produce,,109,,,390,10,
BirthdayTask_Lobster_Soup,CollectProduction,230,Lobster Soup,3,12,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_lobster_soup,produce,,46,,,480,10,
BirthdayTask_Tomato_Soup,CollectProduction,260,Tomato Soup,3,11,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_tomato_soup,produce,,47,,,300,10,
BirthdayTask_Fish_Soup,CollectProduction,170,Fish Soup,3,16,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_fish_soup,produce,,53,,,570,10,
BirthdayTask_Pumpkin_Soup,CollectProduction,150,Pumpkin Soup,3,18,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_pumpkin_soup,produce,,49,,,390,10,
BirthdayTask_Noodle_Soup,CollectProduction,230,Noodle Soup,3,12,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_noodle_soup,produce,,73,,,390,10,
BirthdayTask_Onion_Soup,CollectProduction,180,Onion Soup,3,15,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_onion_soup,produce,,72,,,480,10,
BirthdayTask_PotatoSoup,CollectProduction,150,PotatoSoup,3,18,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_potato_soup,produce,,78,,,480,10,
BirthdayTask_PepperSoup,CollectProduction,250,PepperSoup,3,11,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_pepper_soup,produce,,81,,,210,10,
BirthdayTask_Broccoli_Soup,CollectProduction,140,Broccoli Soup,3,20,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_broccoli_soup,produce,,87,,,255,10,
BirthdayTask_MushroomSoup,CollectProduction,100,MushroomSoup,3,28,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_mushroom_soup,produce,,104,,,270,10,
BirthdayTask_Cabbage_Soup,CollectProduction,160,Cabbage Soup,3,18,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_cabbage_soup,produce,,65,,,300,10,
BirthdayTask_Asparagus_Soup,CollectProduction,150,Asparagus Soup,3,18,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_asparagus_soup,produce,,78,,,480,10,
BirthdayTask_GreenSmoothie,CollectProduction,190,GreenSmoothie,3,15,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_green_smoothie,produce,,66,,,165,10,
BirthdayTask_BerrySmoothie,CollectProduction,330,BerrySmoothie,3,9,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_berry_smoothie,produce,,64,,,255,10,
BirthdayTask_YogurtSmoothie,CollectProduction,200,YogurtSmoothie,3,14,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_yogurt_smoothie,produce,,70,,,210,10,
BirthdayTask_MixedSmoothie,CollectProduction,270,MixedSmoothie,3,11,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_mixed_smoothie,produce,,88,,,120,10,
BirthdayTask_Cocoa_smoothie,CollectProduction,270,Cocoa smoothie,3,11,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_cocoa_smoothie,produce,,100,,,150,10,
BirthdayTask_PlumSmoothie,CollectProduction,230,PlumSmoothie,3,13,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_plum_smoothie,produce,,102,,,135,10,
BirthdayTask_Cucumber_Smoothie,CollectProduction,90,Cucumber Smoothie,3,31,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_cucumber_smoothie,produce,,70,,,150,10,
BirthdayTask_SesameSmoothie,CollectProduction,170,SesameSmoothie,3,16,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_sesame_smoothie,produce,,93,,,165,10,
BirthdayTask_TropicalSmoothie,CollectProduction,250,TropicalSmoothie,3,12,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_tropical_smoothie,produce,,104,,,150,10,
BirthdayTask_Cotton_Shirt,CollectProduction,140,Cotton Shirt,3,21,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_cotton_shirt,produce,,19,,,165,10,
BirthdayTask_Wooly_Pants,CollectProduction,180,Wooly Pants,3,16,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_wooly_pants,produce,,21,,,300,10,
BirthdayTask_Violet_Dress,CollectProduction,180,Violet Dress,3,15,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_violet_dress,produce,,25,,,435,10,
BirthdayTask_Pillow,CollectProduction,280,Pillow,3,10,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_pillow,produce,,51,,,570,10,
BirthdayTask_Blanket,CollectProduction,450,Blanket,3,6,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_blanket,produce,,59,,,660,10,
BirthdayTask_SoySauce,CollectProduction,80,SoySauce,3,32,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_soy_sauce,produce,,54,,,570,10,
BirthdayTask_OliveOil,CollectProduction,160,OliveOil,3,18,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_olive_oil,produce,,60,,,165,10,
BirthdayTask_Mayonaise,CollectProduction,220,Mayonaise,3,14,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_mayonaise,produce,,62,,,75,10,
BirthdayTask_Lemon_Curd,CollectProduction,210,Lemon Curd,3,14,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_lemon_curd,produce,,66,,,105,10,
BirthdayTask_Tomato_Sauce,CollectProduction,130,Tomato Sauce,3,22,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_tomato_sauce,produce,,69,,,120,10,
BirthdayTask_Salsa,CollectProduction,140,Salsa,3,20,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_salsa,produce,,77,,,90,10,
BirthdayTask_Olive_Dip,CollectProduction,270,Olive Dip,3,11,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_olivedip,produce,,66,,,165,10,
BirthdayTask_Passion_Fruit_Sauce,CollectProduction,100,Passion Fruit Sauce,3,28,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_passionfruit_dressing,produce,,100,,,120,10,
BirthdayTask_Hummus,CollectProduction,160,Hummus,3,18,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_hummus,produce,,95,,,120,10,
BirthdayTask_BLTToast,CollectProduction,380,BLTToast,3,8,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_blt_toast,produce,,65,,,330,10,
BirthdayTask_VeggieBagel,CollectProduction,310,VeggieBagel,3,10,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_veggie_bagel,produce,,61,,,150,10,
BirthdayTask_EggSandwich,CollectProduction,340,EggSandwich,3,9,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_egg_sandwich,produce,,66,,,270,10,
BirthdayTask_Honey_Toast,CollectProduction,80,Honey Toast,3,33,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_honey_toast,produce,,69,,,210,10,
BirthdayTask_Goat_Cheese_Toast,CollectProduction,170,Goat Cheese Toast,3,17,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_goatcheese_toast,produce,,92,,,180,10,
BirthdayTask_Onion_melt,CollectProduction,230,Onion melt,3,12,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_onion_melt,produce,,84,,,300,10,
BirthdayTask_Cucumber_Sandwich,CollectProduction,270,Cucumber Sandwich,3,11,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_cucumber_sandwich,produce,,79,,,135,10,
BirthdayTask_PBJ_Sandwich,CollectProduction,160,PBJ Sandwich,3,18,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_jelly_sandwich,produce,,71,,,105,10,
BirthdayTask_Hummus_Wrap,CollectProduction,220,Hummus Wrap,3,13,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_wrap,produce,,109,,,120,10,
BirthdayTask_GreekSalad,CollectProduction,430,GreekSalad,3,7,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_greek_salad,produce,,58,,,300,10,
BirthdayTask_BaconSalad,CollectProduction,420,BaconSalad,3,7,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_bacon_salad,produce,,62,,,345,10,
BirthdayTask_SeafoodSalad,CollectProduction,390,SeafoodSalad,3,7,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_seafood_salad,produce,,64,,,390,10,
BirthdayTask_Pasta_Salad,CollectProduction,430,Pasta Salad,3,7,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_pasta_salad,produce,,67,,,480,10,
BirthdayTask_Fruit_Salad,CollectProduction,280,Fruit Salad,3,10,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_fruit_salad,produce,,82,,,390,10,
BirthdayTask_Summer_Salad,CollectProduction,310,Summer Salad,3,9,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_summer_salad,produce,,84,,,570,10,
BirthdayTask_Summer_Rolls,CollectProduction,170,Summer Rolls,3,17,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_summer_rolls,produce,,78,,,210,10,
BirthdayTask_VeggieDip,CollectProduction,140,VeggieDip,3,19,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_crudites,produce,,74,,,390,10,
BirthdayTask_MushroomSalad,CollectProduction,120,MushroomSalad,3,22,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_mushroom_salad,produce,,89,,,210,10,
BirthdayTask_Beetroot_salad,CollectProduction,130,Beetroot salad,3,22,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_beetroot_salad,produce,,76,,,165,10,
BirthdayTask_Coleslaw,CollectProduction,270,Coleslaw,3,11,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_coleslaw,produce,,75,,,255,10,
BirthdayTask_Orange_Salad,CollectProduction,300,Orange Salad,3,10,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_pomegranate_salad,produce,,117,,,270,10,
BirthdayTask_SilverBar,CollectProduction,100,SilverBar,4,40,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_silver_bar,produce,,24,,,1950,10,
BirthdayTask_GoldBar,CollectProduction,90,GoldBar,3,33,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_gold_bar,produce,,25,,,2190,10,
BirthdayTask_PlatinumBar,CollectProduction,100,PlatinumBar,3,29,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_platinum_bar,produce,,25,,,2910,10,
BirthdayTask_CoalBar,CollectProduction,70,CoalBar,4,59,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_refined_coal,produce,,33,,,1470,10,
BirthdayTask_IronBar,CollectProduction,80,IronBar,4,48,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_iron_bar,produce,,34,,,1710,10,
BirthdayTask_Dried_Fruit,CollectProduction,150,Dried Fruit,3,18,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_dried_fruit,produce,,102,,,570,10,
BirthdayTask_Pickles,CollectProduction,150,Pickles,3,18,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_pickles,produce,,91,,,750,10,
BirthdayTask_Canned_Fish,CollectProduction,270,Canned Fish,3,10,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_canned_fish,produce,,95,,,690,10,
BirthdayTask_Kimchi,CollectProduction,120,Kimchi,3,21,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_kimchi,produce,,98,,,930,10,
BirthdayTask_Guava_Compote,CollectProduction,220,Guava Compote,3,13,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_guava_compote,produce,,104,,,810,10,
BirthdayTask_Tea_Pot,CollectProduction,120,Tea Pot,3,20,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_tea_pot,produce,,94,,,750,10,
BirthdayTask_Plant_pot,CollectProduction,80,Plant pot,3,29,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_plant_pot,produce,,96,,,690,10,
BirthdayTask_Mug,CollectProduction,120,Mug,3,23,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_mug,produce,,99,,,630,10,
BirthdayTask_Popcorn,CollectProduction,50,Popcorn,6,100,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_popcorn,produce,,8,,,210,10,
BirthdayTask_Butter_Popcorn,CollectProduction,80,Butter Popcorn,4,40,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_butter_popcorn,produce,,16,,,270,10,
BirthdayTask_Chili_Popcorn,CollectProduction,80,Chili Popcorn,4,38,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_chili_popcorn,produce,,25,,,510,10,
BirthdayTask_Chocolate_Popcorn,CollectProduction,130,Chocolate Popcorn,3,19,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_choco_popcorn,produce,,44,,,480,10,
BirthdayTask_Honey_Popcorn,CollectProduction,90,Honey Popcorn,4,36,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_honey_popcorn,produce,,40,,,390,10,
BirthdayTask_Snack_Mix,CollectProduction,60,Snack Mix,4,56,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_snack_mix,produce,,64,,,210,10,
BirthdayTask_Carrot_Pie,CollectProduction,60,Carrot Pie,4,50,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_carrot_pie,produce,,14,,,270,10,
BirthdayTask_Bacon_Pie,CollectProduction,130,Bacon Pie,3,21,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_bacon_pie,produce,,18,,,570,10,
BirthdayTask_Pumpkin_Pie,CollectProduction,90,Pumpkin Pie,3,29,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_pumpkin_pie,produce,,15,,,390,10,
BirthdayTask_Apple_Pie,CollectProduction,150,Apple Pie,3,18,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_apple_pie,produce,,28,,,480,10,
BirthdayTask_Feta_Pie,CollectProduction,130,Feta Pie,3,21,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_feta_pie,produce,,34,,,300,10,
BirthdayTask_Casserole,CollectProduction,210,Casserole,3,14,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_casserole,produce,,36,,,390,10,
BirthdayTask_Shepherds_Pie,CollectProduction,170,Shepherds Pie,3,17,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_shepherds_pie,produce,,39,,,330,10,
BirthdayTask_Fish_Pie,CollectProduction,130,Fish Pie,3,21,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_fishpie,produce,,28,,,390,10,
BirthdayTask_Lemon_Pie,CollectProduction,250,Lemon Pie,3,11,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_lemon_pie,produce,,67,,,435,10,
BirthdayTask_Peach_Tart,CollectProduction,230,Peach Tart,3,12,TID_GENERIC_COLLECTION_TASK,sc/icons.sc,recipe_peach_tart,produce,,76,,,480,10,
