TID,JP
TID_PUMPKIN_PIE,パンプキンパイ
TID_BROWN_SUGAR,黒砂糖
TID_WHITE_SUGAR,白砂糖
TID_SYRUP,シロップ
TID_SWEATER,セーター
TID_BLUE_WOOLLY_HAT,青のウール帽
TID_BLUE_SWEATER,青いセーター
TID_POPCORN,ポップコーン
TID_BUTTER_POPCORN,{size=17}バター味ポップコーン
TID_CHILI_POPCORN,ピリ辛ポップコーン
TID_BACON_AND_EGGS,ベーコンエッグ
TID_PANCAKE,パンケーキ
TID_HAMBURGER,ハンバーガー
TID_PIZZA,ピザ
TID_SPICY_PIZZA,ピリ辛ピザ
TID_ROASTED_TOMATOES,あつあつトマト
TID_CARROT_JUICE,ニンジンジュース
TID_TOMATO_JUICE,トマトジュース
TID_APPLE_JUICE,リンゴジュース
TID_CHERRY_JUICE,サクランボジュース
TID_BERRY_JUICE,ベリージュース
TID_APPLE,リンゴ
TID_CHERRY,サクランボ
TID_CACAO,カカオ
TID_RASPBERRY,ラズベリー
TID_BLACKBERRY,ブラックベリー
TID_APPLE_JAM,リンゴジャム
TID_RASPBERRY_JAM,ラズベリージャム
TID_BLUEBERRY_JAM,{size=17}ブラックベリージャム
TID_CHERRY_JAM,サクランボジャム
TID_VANILLA_ICE_CREAM,バニラアイス
TID_CHERRY_POPSICLE,サクランボアイス
TID_CHOCOLATE_ICE_CREAM,チョコアイス
TID_APPLE_PIE,アップルパイ
TID_FETA_PIE,フェタパイ
TID_BRACELET,ブレスレット
TID_NECKLACE,ネックレス
TID_DIAMOND_RING,ダイヤの指輪
TID_FEED_MILL,エサ作り器
TID_BAKERY,パン焼き窯
TID_POPCORN_POT,ポップコーンなべ
TID_DAIRY,乳製品工場
TID_SUGAR_MILL,製糖機
TID_PIE_OVEN,パイ焼きオーブン
TID_LOOM,織機
TID_CAKE_OVEN,ケーキ用オーブン
TID_BARBECUE_GRILL,BBQグリル
TID_JUICE_PRESS,ジュースメーカー
TID_JAM_MAKER,ジャム製造機
TID_ICE_CREAM_MAKER,アイスクリーム機
TID_JEWELER,宝石職人
TID_APPLE_TREE,リンゴの木
TID_CHERRY_TREE,サクラの木
TID_CACAO_TREE,カカオの木
TID_RASPBERRY_BUSH,ラズベリー
TID_BLACKBERRY_BUSH,ブラックベリーの茂み
TID_DYNAMITE,ダイナマイト
TID_DEMOLITION_CHARGE,TNT爆薬
TID_AXE,オノ
TID_SAW,ノコギリ
TID_SHOVEL,シャベル
TID_PLANK,厚板
TID_NAIL,クギ
TID_BOLT,ボルト
TID_SCREW,ネジ
TID_DUCT_TAPE,粘着テープ
TID_WOOD_PANEL,木の板
TID_EMPTY_FIELD,畑
TID_CHICKEN,ニワトリ
TID_COW,ウシ
TID_SHEEP,ヒツジ
TID_PIG,ブタ
TID_GOAT,ヤギ
TID_CHICKEN_HABITAT,ニワトリ小屋
TID_COW_HABITAT,ウシの放牧場
TID_SHEEP_HABITAT,ヒツジの放牧場
TID_PIG_HABITAT,ブタの囲い
TID_GOAT_HABITAT,ヤギの囲い
TID_HAMMERMILL_DESCRIPTION,家畜用のエサを\n作れます
TID_BAKERY_DESCRIPTION,パンなどを\n焼けます
TID_POPCORN_POT_DESCRIPTION,ポップコーンを\n作れます
TID_DAIRY_DESCRIPTION,乳製品を作れます
TID_SUGAR_MILL_DESCRIPTION,砂糖類を作れます
TID_PIE_OVEN_DESCRIPTION,パイを焼けます
TID_LOOM_DESCRIPTION,服を作れます
TID_BARBECUE_GRILL_DESCRIPTION,食べ物を網焼きに\nできます
TID_CAKE_OVEN_DESCRIPTION,ケーキを焼けます
TID_JUICE_PRESS_DESCRIPTION,ジュースを\n作れます
TID_JAM_MAKER_DESCRIPTION,ジャムを作れます
TID_ICE_CREAM_MAKER_DESCRIPTION,アイスクリームを\n作れます
TID_JEWELER_DESCRIPTION,宝石類を作れます
TID_APPLE_TREE_DESCRIPTION,3回まで収穫できます
TID_CHERRY_TREE_DESCRIPTION,3回まで収穫できます
TID_CACAO_TREE_DESCRIPTION,3回まで収穫できます
TID_RASPBERRY_BUSH_DESCRIPTION,3回まで収穫できます
TID_BLACKBERRY_BUSH_DESCRIPTION,3回まで収穫できます
TID_NEED_MORE_POPUP_TITLE,{size=23}不足しています！
TID_NEED_MORE_RESOURCES_CANT_BUY_TEXT,注文を完了するには、足りない材料を入手してください。
TID_NEED_MORE_POPUP_GENERIC_TEXT,ダイヤモンドを使えば、不足分を補って\nすぐに実行することができます。
TID_NEED_MORE_CROPS_HINT,足りない作物はフレンドから買いましょう。\n\nダイヤモンドを使えば、今すぐ買うこともできます。
TID_NEED_MORE_CROPS_HINT_MOBILE,足りない作物はフレンドから買いましょう。\n\nダイヤモンドを使えば、今すぐ買うこともできます。
TID_NEED_MORE_ANIMAL_FOOD_HINT,エサ作り器を使って家畜用のエサを作るか、\nダイヤモンドを使って\nすぐにお腹一杯にさせてあげましょう。
TID_SILO_FULL_TITLE,{size=23}サイロが一杯です
TID_SILO_FULL_DESCRIPTION,サイロが一杯です！\nサイロをアップグレードして\n容量を増やしましょう。
TID_WAREHOUSE_FULL_TITLE,{size=23}納屋が一杯です
TID_WAREHOUSE_FULL_DESCRIPTION,納屋が一杯です！\n納屋をアップグレードして\n容量を増やしましょう。
TID_WAREHOUSE_FULL_DESCRIPTION_MOBILE,納屋が一杯です！\n納屋をアップグレードして\n容量を増やしましょう。
TID_LEVEL_UP_TITLE,{size=17}おめでとう！
TID_LEVEL_UP_TEXT,レベル<LEVEL_NUMBER>の農場主になりました！
TID_LEVEL_UP_ITEM_NEW,New!
TID_LEVEL_UP_ITEM_NEW_AND_REWARD,New! +<REWARD>
TID_ORDER_TABLE_TITLE,注文
TID_ORDER_TITLE_00,幼稚園
TID_ORDER_TITLE_01,学校
TID_ORDER_TITLE_02,教会
TID_ORDER_TITLE_03,ジョーンのお店
TID_ORDER_TITLE_04,スーザンのお店
TID_ORDER_TITLE_05,マイクの製粉所
TID_ORDER_TITLE_06,ベンの蒸留所
TID_ORDER_TITLE_07,アランの魚屋
TID_ORDER_TITLE_08,ジョンの工場
TID_ORDER_TITLE_09,コナンの霊園
TID_ORDER_TABLE_WAITING,お待ちください...
TID_ORDER_TABLE_WAITING_TEXT,新しい注文を受けるには、時間まで待つか、ダイヤを使いましょう！
TID_SOCIAL_LOGIN_TITLE,仲間を見つけましょう！
TID_SOCIAL_LOGIN_1_TEXT,<SOCIAL_1>にログインしてフレンドと協力し合いましょう！
TID_SOCIAL_LOGIN_2_TEXT,<SOCIAL_1>か<SOCIAL_2>にログインしてフレンドと協力し合いましょう！
TID_ROADSIDE_SHOP_TITLE,売店
TID_ROADSIDE_SHOP_FRIEND_TITLE,<NAME>の売店
TID_ROADSIDE_SHOP_ITEM_COUNT,<COUNT>x
TID_ROADSIDE_SHOP_ITEM_SOLD,{size=15}まいどあり
TID_ROADSIDE_SHOP_CREATE_NEW_SALE,出品する
TID_ROADSIDE_SHOP_NEW_SALE_TITLE,売り物を追加
TID_ROADSIDE_SHOP_NEW_SALE_ADJUST_PRICE,値段を設定
TID_ROADSIDE_SHOP_NEW_SALE_CONFIRM_BUTTON,出品する
TID_ROADSIDE_SHOP_ADVERTISE,宣伝
TID_ROADSIDE_SHOP_ADVERTISE_WITH_TIME,今すぐ宣伝
TID_SHOP_TITLE,ショップ
TID_TUTORIAL_01,はじめまして！\n案内役のウィッカーです。\n少しの間一緒に農場を運営しましょう！
TID_TUTORIAL_02a,小麦を収穫してみましょう。\nまず、小麦をタップして\n刈り取り用のカマを出します。\nそのカマを小麦の上に\nドラッグしてみましょう。
TID_TUTORIAL_03a,種まきをしてみましょう。\nまず、畑をタップして\n小麦を畑の上にドラッグすれば\n種まきができます。
TID_TUTORIAL_04,種が育つには時間がかかります。収穫すると畑1つあたり、\n作物が2個ずつとれます。
TID_TUTORIAL_05a,家に色をぬりましょう！\n家をタップしてブラシを\nドラッグしてください。
TID_TUTORIAL_06a,いい感じ！納屋にも色を\nぬっちゃいましょう。
TID_TUTORIAL_07a,サイロもついでに\nやりましょう。
TID_TUTORIAL_10,これでよし！\nそれじゃ、ニワトリさんを呼んで\n楽しくしていきましょう！
TID_TUTORIAL_10a,ショップからニワトリを\nニワトリ小屋に\nドラッグしてください。
TID_TUTORIAL_11a,ニワトリをもう1羽買いましょう！
TID_TUTORIAL_12a,3羽目のニワトリを\n買いましょう！
TID_TUTORIAL_13a,ニワトリの頭上でエサをドラッグ\nすればエサを食べさせられます。
TID_TUTORIAL_14a,ダイヤが付いているスピードアップボタンをタップしてください！
TID_TUTORIAL_14b,ニワトリをタップし、スピードアップボタンを2回タップしてください！
TID_TUTORIAL_14c,ニワトリをタップし、スピードアップボタンを長押ししてください！
TID_TUTORIAL_15a,スピードアップボタンを\nもう一度押してください。
TID_TUTORIAL_16a,最後のニワトリもスピードアップ\nさせてみましょう。
TID_TUTORIAL_17a,カゴをニワトリの上にドラッグ\nすればタマゴを集められます。
TID_TUTORIAL_20,その調子！せっかく小麦があるので、パン焼き窯を作って\nパンでも焼きますか！
TID_TUTORIAL_20a,画面左下のボタンをタップして\nショップメニューからパン焼き窯を農場内のどこかにドラッグ\nしてください。
TID_TUTORIAL_20a_MOBILE,画面左下のボタンをタップして\nショップメニューからパン焼き窯を農場内のどこかにドラッグ\nしてください。
TID_TUTORIAL_21a,建設が終わるのを待つか、\nダイヤモンドでスピードアップ\nしてください。
TID_TUTORIAL_22a,パン焼き窯をタップして、\nパンを焼き窯に\nドラッグしてください。
TID_TUTORIAL_23a,パンの下に表示されているスピードアップボタンをタップすれば\nすぐに焼き上がります。\nいい匂いですね！
TID_TUTORIAL_24,レベルアップすると\n新たな要素が使用可能になります。\n今回のレベルアップでは\nショップから畑を3マス分\n購入できるようになりました。
TID_TUTORIAL_24a,ショップメニューを開いて\n畑を3マス農場内に\nドラッグしましょう。
TID_TUTORIAL_25a,どんどん種をまきましょう。\nやり方は分かりますね！\n（畑をタップしてください！）
TID_TUTORIAL_26,動物たちが幸せなら農場もうまくいくものです。動物たちが\nお腹を空かせずにすむように、エサ作り器を作りましょう。
TID_TUTORIAL_26a,ショップからエサ作り器を\n農場内にドラッグして\n買いましょう。
TID_TUTORIAL_27,農場が軌道に乗ってきましたね！\n畑の作物を収穫し、パンを焼き、\nタマゴを集めて売りましょう。
TID_TUTORIAL_27a,スピードアップボタンを押せば作物がすぐにできあがります。
TID_TUTORIAL_28,プップー！\n配達トラックがやってきました！\n色々な注文が入ってきそうです！
TID_TUTORIAL_29,掲示板では注文を確認できます。\n注文に応じることでコインと経験値がもらえます。
TID_TUTORIAL_29a,トラックか掲示板をタップして、注文の品を納品してみましょう。
TID_TUTORIAL_30,行ってらっしゃい！配達トラックが幼稚園に向かいました。
TID_TUTORIAL_30a,農場直送の食品は町の人々に\n大好評のようです！\n別の注文を納品しましょう。
TID_TUTORIAL_31,コツがわかってきましたね！\nしばらくは農作業と注文の納品を続けましょう。
TID_TUTORIAL_31a,農作業と注文の納品を続けましょう！
TID_TUTORIAL_36,モーッ！ ここらでウシを見るのは久しぶりかも。
TID_TUTORIAL_36a,ショップからウシの放牧場を\nドラッグして買いましょう。
TID_TUTORIAL_37a,次に、放牧場にウシを1頭\nドラッグしてください。
TID_TUTORIAL_38a,お腹が空いているようです。\nエサをあげないと！
TID_TUTORIAL_39,お腹が一杯になったウシは栄養たっぷりの牛乳を作ってくれます。
TID_TUTORIAL_40,コインがたまったら、ショップから\n乳製品工場を買いましょう。\n乳製品工場では牛乳から\nクリーム、バター、そして\nチーズだって作れるのです！
TID_TUTORIAL_42,やあ、俺はマイク。街のそばで古い製粉所をやってる。ここは実にいい農場だし、かわいい名前をつけてやったらどうだ？おっと、あんたの実名を使っちゃダメだぜ。
TID_TUTORIAL_45,農場の世話をする人が来てくれてよかった！\nよろしくな！
TID_TUTORIAL_46,この素晴らしいにおいは、こちらからかしら？\nごあいさつが遅れました。ジョーンと言います。
TID_TUTORIAL_GUEST1,農場に訪問客ですよ！\nタップして話しかけてみましょう！
TID_TUTORIAL_GUEST2,別の訪問客です！\nあいさつしておかないと！
TID_TUTORIAL_47a,まずはタップしてかぶせてある布をとりましょう。
TID_TUTORIAL_48a,配達トラックが売り上げ金を届けに戻ってくるので、タップして受け取りましょう！
TID_TUTORIAL_47,幼稚園の子供たちがお礼の手紙を書いてくれたみたいです！
TID_TUTORIAL_GUEST3,このかっぷくのいいおじさんは...？
TID_TUTORIAL_48,やあ、となりに住んでるグレッグだ。もし道具が必要に\nなったら、予備のがあるから声をかけてくれ。
TID_TUTORIAL_49,道具があれば農場のまわりを整地できるかも...\nグレッグの農場に遊びに行ってみましょう！
TID_TUTORIAL_GUEST4,フレンドバーを開きましょう。
TID_TUTORIAL_50,やあ、いらっしゃい！\n売店の売り物を忘れずに見てってくれよな！
TID_TUTORIAL_51,来てくれてありがとう！うちや、フレンドの農場には\nいつでも遊びに行けるからな！
TID_TUTORIAL_52,頼りになりそうな人ですね！ フレンドバーからは他の\nフレンドをご近所さんとして追加することもできます。
TID_TUTORIAL_53,売店に手持ちのものを出品して、\n他のプレイヤーに買ってもらうことができます。
TID_TUTORIAL_54,売りたいものの量を決め、値段を指定し、地元の新聞に\n広告を出すことができます。やってみましょう！
TID_TUTORIAL_54a,売店をチェックしましょう！
TID_TUTORIAL_55,新聞は郵便受けから読めます。\n開けば他のプレイヤーが\n何を売っているかがわかります。
TID_TUTORIAL_55a,郵便受けをタップして地元の\n新聞を読んでみましょう！
TID_TUTORIAL_56,順調ですね！ 新しい作物の植えかたはわかりますか？\nヒントを教えちゃいますね！
TID_TUTORIAL_57,農場に配置したものは動かしたり、\n回転させたり、一部の装飾品は消したりもできます。\nまずは何かをタップしてそのままホールドしてください。
TID_TUTORIAL_57_MOBILE,農場に配置したものは動かしたり、\n回転させたり、一部の\n装飾品は消したりも\nできます。\nまずは何かをタップして\nそのままホールドしてください。
TID_TUTORIAL_58a,チケットとは？
TID_TUTORIAL_59,チケットは船の注文を全部そろえるなど、いくつかの方法で\nもらえます。さっそく1枚差し上げましょう...
TID_TUTORIAL_59a,ありがとう！
TID_TUTORIAL_60,ペット小屋をタップして、空になっているボールに美味しい食べ物を\n入れてあげてください。
TID_TUTORIAL_61,では、ペットが眠りに戻ってくるのを待ちましょう。
TID_TUTORIAL_62,ペットはリラックスできて、つかれ\nがとれたようです！ タップして起こ\nせば経験値がもらえます。
TID_TUTORIAL_63,ペットは上機嫌のようです！ 定期的にエサをあげて、\n眠ったらタップして経験値をもらうようにしましょう。
TID_TUTORIAL_63_MOBILE,ペットは上機嫌のようです！\n定期的にエサをあげて、\n眠ったらタップして経験値を\nもらうようにしましょう。
TID_TUTORIAL_64,こんにちは！\nピザの焼き方はわかりますか？
TID_TUTORIAL_65,そろそろ貯金をしたほうがいいかも。\n波止場を修理しましょう！
TID_TUTORIAL_66,農場がせまくなってきましたか？でもご心配なく。\n敷地を広げられるようになりましたよ。
TID_TUTORIAL_67,そろそろ古い鉱山を再開発しましょうか。\n驚くようなお宝が眠っているかもしれません。
TID_TUTORIAL_68,おめでとうございます、波止場の修理が終わりました！ これで船の注文を受けられます。
TID_TUTORIAL_69,船のランキングです。タップすれば自分やフレンドの成績を\nチェックできます。
TID_TUTORIAL_70,真新しい郵便受けを見ましたか？\nおや、誰か来ますね。口笛の音が聞こえます。
TID_TUTORIAL_71,最初の手紙が届きましたよ！\n郵便受けをタップして\n開きましょう！
TID_TUTORIAL_72,やりましたね！\nグレッグがギフト券を送ってくれました。\n十分な枚数を集めれば、カタログからミステリーパック\nを注文できます！
TID_TUTORIAL_72_MOBILE,やりましたね！グレッグが\nギフト券を送ってくれました。\n十分な枚数を集めれば、カタログから\nミステリーパックを\n注文できます！
TID_TUTORIAL_73,ギフト券をもっともらうにはどうすればいいかって？他の農場の\n手伝いをすれば、お礼の手紙がもらえるかもしれません。
TID_TUTORIAL_74,運がよければギフト券もついてくるってわけです。\nちなみに郵便屋さんは1日1回やって来ます。
TID_TUTORIAL_GUEST5,グレッグのアイコンをタップして\n農場に遊びに行きましょう！
TID_TUTORIAL_GUEST6,グレッグの売店をタップして売り物をチェックしましょう！
TID_LOADING_SCREEN_CONNECTING,接続中
TID_LOADING_SCREEN_LOADING,ロード中
TID_LOADING_SCREEN_UPDATING,アップデート中
TID_BUTTON_INCREASE_CAPACITY,拡張する
TID_BUTTON_STORAGE,もどる
TID_STORAGE_UPGRADE_DESCRIPTION,容量を<CAPACITY>に拡張します
TID_PLANK_DESCRIPTION,納屋のアップグレードに\n使う材料です
TID_NAIL_DESCRIPTION,サイロのアップグレードに\n使う材料です
TID_BOLT_DESCRIPTION,納屋のアップグレードに\n使う材料です
TID_SCREW_DESCRIPTION,サイロのアップグレードに\n使う材料です
TID_DUCT_TAPE_DESCRIPTION,納屋のアップグレードに\n使う材料です
TID_WOOD_PANEL_DESCRIPTION,サイロのアップグレードに\n使う材料です
TID_DYNAMITE_DESCRIPTION,小さな岩を除去できます
TID_DEMOLITION_CHARGE_DESCRIPTION,大きな岩を除去できます
TID_AXE_DESCRIPTION,小さな木を除去できます
TID_SAW_DESCRIPTION,大きな木を除去できます
TID_SHOVEL_DESCRIPTION,沼地を除去できます
TID_DAIRY_PRODUCT_DESCRIPTION,乳製品工場で作れます
TID_BARBECUE_PRODUCT_DESCRIPTION,BBQグリルで作れます
TID_BAKERY_PRODUCT_DESCRIPTION,パン焼き窯で作れます
TID_LOOM_PRODUCT_DESCRIPTION,織機で作れます
TID_CAKE_OVEN_PRODUCT_DESCRIPTION,ケーキ用オーブンで作れます
TID_PIE_OVEN_PRODUCT_DESCRIPTION,パイ焼きオーブンで作れます
TID_POPCORN_POT_PRODUCT_DESCRIPTION,ポップコーンなべで作れます
TID_SUGAR_MILL_PRODUCT_DESCRIPTION,製糖機で作れます
TID_FEED_MILL_PRODUCT_DESCRIPTION,エサ作り器で作れます
TID_JUICE_PRESS_PRODUCT_DESCRIPTION,ジュースメーカーで作れます
TID_JAM_MAKER_PRODUCT_DESCRIPTION,ジャム製造機で作れます
TID_ICE_CREAM_MAKER_PRODUCT_DESCRIPTION,アイスクリーム機で作れます
TID_JEWELER_PRODUCT_DESCRIPTION,宝石職人が作ります
TID_APPLE_DESCRIPTION,リンゴの木から収穫できます
TID_CHERRY_DESCRIPTION,サクラの木から\n収穫できます
TID_CACAO_DESCRIPTION,カカオの木から収穫できます
TID_RASPBERRY_DESCRIPTION,ラズベリーの茂みから\n収穫できます
TID_BLACKBERRY_DESCRIPTION,ブラックベリーの茂みから収穫できます
TID_EGG_DESCRIPTION,ニワトリから\nとれます
TID_MILK_DESCRIPTION,ウシから搾乳できます
TID_WOOL_DESCRIPTION,ヒツジからとれます
TID_BACON_DESCRIPTION,ブタからとれます
TID_GOAT_MILK_DESCRIPTION,ヤギからとれます
TID_CASH,コイン
TID_DIAMONDS,ダイヤモンド
TID_CASH_DESCRIPTION,農場用の製品やアップグレードを買うのに使います
TID_DIAMONDS_DESCRIPTION,生産をスピードアップしたり足りない材料を買ったりできます
TID_FACEBOOK,Facebook
TID_GAME_CENTER,Game Center
TID_FACEBOOK_ID_NOT_MATCH_TITLE,<SOCIAL_MEDIA>の警告
TID_FACEBOOK_ID_NOT_MATCH,現在プレイ中のゲームを新しい<SOCIAL_MEDIA>アカウントにセーブしますか？
TID_FACEBOOK_ID_NOT_MATCH_ACTION_1,はい、アカウントを変更します
TID_FACEBOOK_ID_NOT_MATCH_ACTION_2,いいえ、現在のアカウントを使います
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_TITLE,農場を選択
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM,{size=13}この<SOCIAL_MEDIA>アカウントには別の農場が関連付けられています。\n（名前：<NEW_FARM_NAME>、レベル：<NEW_LEVEL>）\n\nこちらをロードしますか？\n\n警告：現在の農場（名前：<OLD_FARM_NAME>、レベル：<OLD_LEVEL>）は失われます。
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_MOBILE,{size=13}この<SOCIAL_MEDIA>アカウントには別の農場が関連付けられています。\n（名前：<NEW_FARM_NAME>、レベル：<NEW_LEVEL>）\n\nこちらをロードしますか？\n\n警告：現在の農場（名前：<OLD_FARM_NAME>、レベル：<OLD_LEVEL>）は失われます。
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_ACTION_1,はい、ロードします
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_ACTION_2,いいえ
TID_INTRO_01,何のへんてつもない、ある普通の日...
TID_INTRO_02,一通の手紙が届きました。
TID_INTRO_03,\q伯父さんだよ、久しぶりだね。\q
TID_INTRO_04,\qいきなりだけど、農業に興味はあるかな？\q
TID_INTRO_05,\qそろそろ引退するんで、もしよければ農場を\n引きついでほしい。\q
TID_INTRO_06,さっそく行ってみましょう！ 農場での楽しい\n暮らしが待っています！
TID_ANIMATION_Harvest,{size=23}収穫する
TID_ANIMATION_Seeding,{size=23}種をまく
TID_ANIMATION_CropInfo,{size=23}作物が倍に！
TID_ANIMATION_BuyChicken,{size=23}ニワトリを3羽買う
TID_ANIMATION_FeedChicken,{size=23}ニワトリにエサをやる
TID_ANIMATION_CollectEggs,{size=23}タマゴを集める
TID_ANIMATION_BakeBread,{size=23}パンを焼く
TID_ANIMATION_6th crop,{size=23}種の種類が増えたら
TID_ANIMATION_EditObjects,{size=23}農場のレイアウト
TID_ANIMATION_Pizzas,{size=23}ピザを焼く
TID_ANIMATION_SendLetter,{size=23}手紙の送りかた
TID_DIAMOND_PACK_1,ダイヤモンド\nひと山
TID_DIAMOND_PACK_2,ダイヤモンドの小袋
TID_DIAMOND_PACK_3,ダイヤモンドの大袋
TID_DIAMOND_PACK_4,ダイヤモンドの小箱
TID_DIAMOND_PACK_5,ダイヤモンドの箱
TID_DIAMOND_PACK_6,ダイヤモンドの大箱
TID_DIAMOND_PACK_2_Birthday_1,バースデーパッケージ1
TID_DIAMOND_PACK_3_Birthday_2,バースデーパッケージ2
TID_DIAMOND_PACK_5_Birthday_3,バースデーパッケージ3
TID_DIAMOND_PACK_2_Special_1,スペシャルパッケージ1
TID_DIAMOND_PACK_3_Special_2,スペシャルパッケージ2
TID_DIAMOND_PACK_5_Special_3,スペシャルパッケージ3
TID_CASH_PACK_1,コインひと山
TID_CASH_PACK_2,コインの小袋
TID_CASH_PACK_3,コインの大袋
TID_CASH_PACK_4,コインの小箱
TID_CASH_PACK_5,コインの箱
TID_CASH_PACK_6,コインの大箱
TID_BUY_DIAMONDS_TITLE,ダイヤモンドショップ
TID_BUY_CASH_TITLE,コインショップ
TID_ORDER_SCREEN_SELECT_ORDER,注文を選んで\nください。
TID_NOTIFICATION_BUILDING_CONSTRUCTION_READY,<NAME>の建設が完了しました。
TID_NOTIFICATION_PLAYER_PLEASE_COME_BACK,農場の動物たちがさびしがってます！
TID_NOTIFICATION_PLAYER_PLEASE_COME_BACK_MOBILE,農場の動物たちがさびしがってます！
TID_NOTIFICATION_CROPS_READY,作物がすべて収穫可能になりました！
TID_NOTIFICATION_CHICKEN_READY,タマゴを集められます！
TID_NOTIFICATION_COW_READY,牛乳を集められます！
TID_NOTIFICATION_SHEEP_READY,羊毛を集められます！
TID_NOTIFICATION_PIG_READY,ベーコンを集められます！
TID_NOTIFICATION_GOAT_READY,ヤギのミルクを集められます！
TID_NOTIFICATION_ORDER_READY,完了できる注文があります！
TID_NOTIFICATION_DAILY_GIFT,本日の無料ギフトをお受け取りください！
TID_NATIVE_DIALOG_CONNECTION_LOST_TITLE,接続切断
TID_NATIVE_DIALOG_CONNECTION_LOST_MESSAGE,サーバーとの接続が切断されました。インターネット接続状況を確認してもう一度お試しください。
TID_NATIVE_DIALOG_CONNECTION_LOST_BUTTON,再接続
TID_NATIVE_DIALOG_GAME_SERVER_NOT_RESPONDING_TITLE,接続切断
TID_NATIVE_DIALOG_GAME_SERVER_NOT_RESPONDING_MESSAGE,サーバーからの応答がありません。インターネット接続を確認してもう一度お試しください。
TID_NATIVE_DIALOG_GAME_SERVER_NOT_RESPONDING_BUTTON,再接続
TID_NATIVE_DIALOG_BILLING_SERVER_NOT_RESPONDING_TITLE,接続切断
TID_NATIVE_DIALOG_BILLING_SERVER_NOT_RESPONDING_MESSAGE,課金処理サーバーが応答していません。後ほどお試しください
TID_NATIVE_DIALOG_BILLING_SERVER_NOT_RESPONDING_BUTTON,OK
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_TITLE,アップデートが必要です
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_MESSAGE,新アップデートが登場！今すぐゲームを最新バージョンに更新し、報酬の無料ダイヤモンドをショップで受け取りましょう！
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_BUTTON,ダウンロード
TID_NATIVE_DIALOG_LOGIN_FAILED_TITLE,接続できません
TID_NATIVE_DIALOG_LOGIN_FAILED_MESSAGE,サーバーに接続できませんでした。エラーコード：<CODE>
TID_NATIVE_DIALOG_LOGIN_FAILED_BUTTON,再接続
