TID,NO
TID_BLUE_WOOLLY_HAT,Blå ullue
TID_BLUE_SWEATER,Blå genser
TID_POPCORN,Popkorn
TID_BUTTER_POPCORN,Popkorn med smør
TID_CHILI_POPCORN,Chili-popkorn
TID_BACON_AND_EGGS,Egg og bacon
TID_PANCAKE,Pannekake
TID_HAMBURGER,Hamburger
TID_PIZZA,Pizza
TID_SPICY_PIZZA,Sterk pizza
TID_ROASTED_TOMATOES,Stekte tomater
TID_CARROT_JUICE,Gulrotjus
TID_TOMATO_JUICE,Tomatjus
TID_APPLE_JUICE,Eplejus
TID_CHERRY_JUICE,Kirsebærjus
TID_BERRY_JUICE,Bærjus
TID_APPLE,Epler
TID_CHERRY,Kirsebær
TID_CACAO,Kakaobønner
TID_RASPBERRY,Bringebær
TID_BLACKBERRY,Bjørnebær
TID_APPLE_JAM,Eplesyltetøy
TID_RASPBERRY_JAM,Bringebærsyltetøy
TID_BLUEBERRY_JAM,Bjørnebærsyltetøy
TID_CHERRY_JAM,Kirsebærsyltetøy
TID_VANILLA_ICE_CREAM,Vaniljeis
TID_CHERRY_POPSICLE,Kirsebærsaftis
TID_CHOCOLATE_ICE_CREAM,Sjokoladeis
TID_APPLE_PIE,Eplepai
TID_FETA_PIE,Fetapai
TID_BRACELET,Armbånd
TID_NECKLACE,Halskjede
TID_DIAMOND_RING,Diamantring
TID_FEED_MILL,Fôrmølle
TID_BAKERY,Bakerovn
TID_POPCORN_POT,Popkornkjele
TID_DAIRY,Meieri
TID_SUGAR_MILL,Sukkermølle
TID_PIE_OVEN,Paiovn
TID_LOOM,Vev
TID_CAKE_OVEN,Kakeovn
TID_BARBECUE_GRILL,Grill
TID_JUICE_PRESS,Juspresse
TID_JAM_MAKER,Syltetøykoker
TID_ICE_CREAM_MAKER,Ismaskin
TID_JEWELER,Gullsmed
TID_APPLE_TREE,Epletre
TID_CHERRY_TREE,Kirsebærtre
TID_CACAO_TREE,Kakaotre
TID_RASPBERRY_BUSH,Bringebærbusk
TID_BLACKBERRY_BUSH,Bjørnebærbusk
TID_DYNAMITE,Dynamitt
TID_DEMOLITION_CHARGE,TNT-tønne
TID_AXE,Øks
TID_SAW,Sag
TID_SHOVEL,Skuffe
TID_PLANK,Planke
TID_NAIL,Spiker
TID_BOLT,Bolt
TID_SCREW,Skrue
TID_DUCT_TAPE,Pakketeip
TID_WOOD_PANEL,Trepanel
TID_EMPTY_FIELD,Jordlapp
TID_CHICKEN,Høne
TID_COW,Ku
TID_SHEEP,Sau
TID_PIG,Gris
TID_GOAT,Geit
TID_CHICKEN_HABITAT,Hønsegård
TID_COW_HABITAT,Kubeite
TID_SHEEP_HABITAT,Sauebeite
TID_PIG_HABITAT,Grisehegn
TID_GOAT_HABITAT,Geitegård
TID_HAMMERMILL_DESCRIPTION,Produserer dyrefôr
TID_BAKERY_DESCRIPTION,Produserer bakervarer
TID_POPCORN_POT_DESCRIPTION,Produserer popkorn
TID_DAIRY_DESCRIPTION,Produserer meierivarer
TID_SUGAR_MILL_DESCRIPTION,Produserer sukkervarer
TID_PIE_OVEN_DESCRIPTION,Steker paier
TID_LOOM_DESCRIPTION,Vever klær
TID_BARBECUE_GRILL_DESCRIPTION,Griller mat
TID_CAKE_OVEN_DESCRIPTION,Steker kaker
TID_JUICE_PRESS_DESCRIPTION,Presser jus
TID_JAM_MAKER_DESCRIPTION,Lager syltetøy
TID_ICE_CREAM_MAKER_DESCRIPTION,Lager iskrem
TID_JEWELER_DESCRIPTION,Lager smykker
TID_APPLE_TREE_DESCRIPTION,Samle inn tre ganger
TID_CHERRY_TREE_DESCRIPTION,Samle inn tre ganger
TID_CACAO_TREE_DESCRIPTION,Samle inn tre ganger
TID_RASPBERRY_BUSH_DESCRIPTION,Samle inn tre ganger
TID_BLACKBERRY_BUSH_DESCRIPTION,Samle inn tre ganger
TID_NEED_MORE_POPUP_TITLE,Ikke nok ressurser!
TID_NEED_MORE_RESOURCES_CANT_BUY_TEXT,Skaff de manglende ressursene for å innfri bestillingen.
TID_NEED_MORE_POPUP_GENERIC_TEXT,Bruk diamanter for å skaffe de manglende ressursene og utføre handlingen.
TID_NEED_MORE_CROPS_HINT,Du kan kjøpe manglende avlinger av en venn.\n\nEller kjøpe dem nå med diamanter!
TID_NEED_MORE_CROPS_HINT_MOBILE,Du kan kjøpe manglende avlinger av en venn.\n\nEller kjøpe dem nå med diamanter!
TID_NEED_MORE_ANIMAL_FOOD_HINT,"Bruk fôrmøllen til å lage mer fôr til dyrene dine, eller bruk diamanter for å mate dem umiddelbart."
TID_SILO_FULL_TITLE,Siloen er full
TID_SILO_FULL_DESCRIPTION,Siloen er full! Oppgrader siloen for å få mer plass.
TID_WAREHOUSE_FULL_TITLE,Låven er full
TID_WAREHOUSE_FULL_DESCRIPTION,Låven er full! Oppgrader låven for å få mer plass.
TID_WAREHOUSE_FULL_DESCRIPTION_MOBILE,Låven er full! Oppgrader låven for å få mer plass.
TID_LEVEL_UP_TITLE,GRATULERER!
TID_LEVEL_UP_TEXT,Du er nå BONDE PÅ NIVÅ <LEVEL_NUMBER>!
TID_LEVEL_UP_ITEM_NEW,Ny!
TID_LEVEL_UP_ITEM_NEW_AND_REWARD,Ny! +<REWARD>
TID_ORDER_TABLE_TITLE,Bestillinger
TID_ORDER_TITLE_00,Barnehage
TID_ORDER_TITLE_01,Skole
TID_ORDER_TITLE_02,Kirke
TID_ORDER_TITLE_03,Siris salong
TID_ORDER_TITLE_04,Bentes butikk
TID_ORDER_TITLE_05,Mikkels mølle
TID_ORDER_TITLE_06,Brages bryggeri
TID_ORDER_TITLE_07,Fabians fiskeri
TID_ORDER_TITLE_08,Finns fabrikk
TID_ORDER_TITLE_09,Knuts kirkegård
TID_ORDER_TABLE_WAITING,Et øyeblikk ...
TID_ORDER_TABLE_WAITING_TEXT,Denne bestillingen er ikke klar. Vent eller øk farten!
TID_SOCIAL_LOGIN_TITLE,Finn flere bønder!
TID_SOCIAL_LOGIN_1_TEXT,Logg inn på <SOCIAL_1> for å begynne å handle med vennene dine!
TID_SOCIAL_LOGIN_2_TEXT,Logg inn på <SOCIAL_1> eller <SOCIAL_2> for å begynne å handle med vennene dine!
TID_ROADSIDE_SHOP_TITLE,Landhandel
TID_ROADSIDE_SHOP_FRIEND_TITLE,<NAME> sin landhandel
TID_ROADSIDE_SHOP_ITEM_COUNT,<COUNT>x
TID_ROADSIDE_SHOP_ITEM_SOLD,SOLGT!
TID_ROADSIDE_SHOP_CREATE_NEW_SALE,Lag nytt salg
TID_ROADSIDE_SHOP_NEW_SALE_TITLE,Nytt salg
TID_ROADSIDE_SHOP_NEW_SALE_ADJUST_PRICE,Endre pris
TID_ROADSIDE_SHOP_NEW_SALE_CONFIRM_BUTTON,Legg ut for salg
TID_ROADSIDE_SHOP_ADVERTISE,Bruk annonse
TID_ROADSIDE_SHOP_ADVERTISE_WITH_TIME,Annonser nå
TID_SHOP_TITLE,Butikk
TID_TUTORIAL_01,Hei sann! Jeg heter Wicker. Jeg skal hjelpe deg med å komme i gang med den nye gården!
TID_TUTORIAL_02a,Trykk på en hveteåker og plukk opp sigden. Dra sigden over hveteåkeren for å høste inn hveten.
TID_TUTORIAL_03a,Trykk på en tom åker. Dra deretter hvete over åkeren for å plante frø.
TID_TUTORIAL_04,Frø bruker tid på å vokse. Hver jordlapp gir to avlinger.
TID_TUTORIAL_05a,"Trykk på huset, og dra penselen over det for å male det."
TID_TUTORIAL_06a,Nydelig! Låven kan også trenge et malingsstrøk ...
TID_TUTORIAL_07a,Du kan male siloen mens du er i gang!
TID_TUTORIAL_10,Flott! Nå kan vi invitere noen av våre fjærkledde venner til festen!
TID_TUTORIAL_10a,Dra ei høne fra butikken til hønsegården.
TID_TUTORIAL_11a,La oss kjøpe ei høne til!
TID_TUTORIAL_12a,Hva med å kjøpe ei tredje høne?
TID_TUTORIAL_13a,"Trykk på ei høne, og dra deretter fôrposen over hønene for å mate dem."
TID_TUTORIAL_14a,"Trykk på ei høne, og deretter på fartsøkningsknappen."
TID_TUTORIAL_14b,"Trykk på ei høne, og deretter to ganger på fartsøkningsknappen."
TID_TUTORIAL_14c,"Trykk på ei høne, og hold deretter fartsøkningsknappen nede."
TID_TUTORIAL_15a,Eggsemplarisk! Få fart på den andre høna også.
TID_TUTORIAL_16a,Eggsepsjonelt! Få fart på den siste høna også.
TID_TUTORIAL_17a,Dra kurven over hønene for å samle egg.
TID_TUTORIAL_20,Bra! Har du lyst på en bakerovn slik at du kan lage brød med all hveten?
TID_TUTORIAL_20a,Åpne butikkmenyen ved å trykke på knappen nede i venstre hjørne. Dra bakerovnen inn på tomten din for å kjøpe den.
TID_TUTORIAL_20a_MOBILE,Åpne butikkmenyen ved å trykke på knappen nede i venstre hjørne. Dra bakerovnen inn på tomten din for å kjøpe den.
TID_TUTORIAL_21a,"Vent til bygget er ferdig, eller bruk diamanter for å bygge raskere."
TID_TUTORIAL_22a,Trykk på bakerovnen og dra brødet til den.
TID_TUTORIAL_23a,"Bak ferdig brødet umiddelbart ved å trykke på fartsøkningsknappen under det. Mmm, det lukter godt!"
TID_TUTORIAL_24,"Når du går opp et nivå, låser du opp nye forbedringer. Nå venter tre nye jordlapper på deg i butikken!"
TID_TUTORIAL_24a,Åpne butikkmenyen og dra de tre nye åkerlappene til tomten.
TID_TUTORIAL_25a,Plant flere frø! Husker du hvordan? (Trykk på åkeren!)
TID_TUTORIAL_26,Glade dyr gir en lykkelig gård. Bygg ei fôrmølle slik at dyrene aldri går sultne!
TID_TUTORIAL_26a,Dra fôrmøllen fra butikken til tomten din for å kjøpe den.
TID_TUTORIAL_27,"Forretningene blomstrer! Fortsett å høste inn avlinger, bake brød og samle egg som du kan selge."
TID_TUTORIAL_27a,Husk at du avlingene modnes raskere når du trykker på fartsøkningsknappen.
TID_TUTORIAL_28,"Tut, tut, budbilen har kommet! Gjør deg klar for en flom av bestillinger!"
TID_TUTORIAL_29,Bestillingstavlen viser hvilke bestillinger som er tilgjengelige. Fullfør bestillingene for å tjene penger og få erfaring.
TID_TUTORIAL_29a,Trykk på lastebilen eller bestillingstavlen for å levere dine første varer.
TID_TUTORIAL_30,Der kjører den! Budbilen er på vei til barnehagen.
TID_TUTORIAL_30a,Byfolkene får rett og slett ikke nok av gårdsproduktene våre! La oss fullføre en bestilling til.
TID_TUTORIAL_31,Du begynner virkelig å få dreisen på dette! Nå er det bare å fortsette arbeidet på gården og fullføre bestillinger.
TID_TUTORIAL_31a,"Fortsett arbeidet, og fullfør flere bestillinger!"
TID_TUTORIAL_36,Møøø! Det er en stund siden vi hadde kyr her!
TID_TUTORIAL_36a,Dra et kubeite fra butikken for å kjøpe det.
TID_TUTORIAL_37a,Deretter drar du ei ku inn på kubeitet.
TID_TUTORIAL_38a,"Hun er sulten, la oss mate henne!"
TID_TUTORIAL_39,Ei velfødd ku produserer næringsrik melk som du kan samle inn.
TID_TUTORIAL_40,"Når du har nok penger, kan du kjøpe et meieri i butikken. Med meieriet kan du bruke melk til å lage fløte, smør og til og med ost!"
TID_TUTORIAL_42,"Hei sann, jeg heter Mike. Det er jeg som driver den gamle møllen utenfor byen. Du har en flott gård, så hva om du gir den et morsomt navn? Husk at det ikke er lurt å bruke det ekte navnet ditt."
TID_TUTORIAL_45,"Godt å se at noen tar vare på stedet. Vel vel, ser deg senere!"
TID_TUTORIAL_46,"Kommer den vidunderlige duften herfra? Å, men nå har jeg glemt takt og tone! Jeg heter Siri."
TID_TUTORIAL_GUEST1,Vi har fått en gjest! Trykk på ham for å se hva han har å si.
TID_TUTORIAL_GUEST2,Enda en gjest! Vi får spørre om vi kan hjelpe henne med noe.
TID_TUTORIAL_47a,Trykk først på presenningen for å ta den av.
TID_TUTORIAL_48a,"Vent til budbilen kommer tilbake med belønningen, og trykk for å få den!"
TID_TUTORIAL_47,"Se, ungene i barnehagen har sendt deg et takkebrev!"
TID_TUTORIAL_GUEST3,Hvem er denne store fyren?
TID_TUTORIAL_48,"Hei! Jeg er Gregor, naboen din. Hvis du trenger verktøy, er det bare å stikke innom!"
TID_TUTORIAL_49,Med verktøy kunne vi ha ryddet litt jord. La oss besøke Gregors gård!
TID_TUTORIAL_GUEST4,Åpne vennelinjen!
TID_TUTORIAL_50,Velkommen til gården min! Ta en titt på hva jeg selger i landhandelen.
TID_TUTORIAL_51,Takk for besøket! Husk at du kan besøke meg eller vennene dine når du vil!
TID_TUTORIAL_52,"Wow, Gregor var veldig hjelpsom. Fra nabolinjen kan du legge til flere venner som naboer."
TID_TUTORIAL_53,Dette er landhandelen din. Her kan du selge varer til andre spillere.
TID_TUTORIAL_54,"Du kan bestemme hvor mange varer du ønsker å selge, sette prisen og til og med annonsere i lokalavisen! Prøv det!"
TID_TUTORIAL_54a,Ta en titt på landhandelen din!
TID_TUTORIAL_55,Ta en titt i postkassen for å finne avisen. Der kan du se hva andre selger.
TID_TUTORIAL_55a,Trykk på postkassen for å lese lokalavisen!
TID_TUTORIAL_56,Hei sann! Trenger du hjelp med å plante den nye avlingen? Jeg kan gi deg noen tips!
TID_TUTORIAL_57,"Hei! Ville bare nevne at du kan flytte, snu og til og med kaste gjenstander. Begynn med å trykke på og holde en gjenstand."
TID_TUTORIAL_57_MOBILE,"Hei! Ville bare nevne at du kan flytte, snu og til og med kaste gjenstander. Begynn med å trykke på og holde en gjenstand."
TID_TUTORIAL_58a,Hva er kuponger?
TID_TUTORIAL_59,Kuponger er samlegjenstander som du kan få ved å fullføre bestillinger på båten og andre steder! Her har du en ...
TID_TUTORIAL_59a,Takk!
TID_TUTORIAL_60,Trykk på huset og fyll den tomme bollen med deilig mat!
TID_TUTORIAL_61,Vent til kjæledyret kommer tilbake for å sove.
TID_TUTORIAL_62,Kjæledyret ditt er fornøyd og slapper av! Trykk på det for å vekke det og få poeng.
TID_TUTORIAL_63,"Kjæledyret ditt elsker å leke! Husk å mate det jevnlig slik at det alltid er fornøyd, og samle poeng etter at det har sovnet."
TID_TUTORIAL_63_MOBILE,"Kjæledyret ditt elsker å leke! Husk å mate det jevnlig slik at det alltid er fornøyd, og samle poeng etter at det har sovnet."
TID_TUTORIAL_64,Hei sann! Trenger du hjelp med pizzaene?
TID_TUTORIAL_65,Vi får spare litt mynter. Bryggen må repareres.
TID_TUTORIAL_66,Trenger du mer plass? Ikke noe problem! Du kan begynne å utvide nå.
TID_TUTORIAL_67,Kanskje det er lurt å reparere den gamle gruven nå? Det kan hende det er flotte skatter å finne der.
TID_TUTORIAL_68,"Gratulerer, bryggen er reparert! Nå kan du fullføre båtbestillinger."
TID_TUTORIAL_69,Dette er resultatlisten for båter. Trykk på den for å se hvordan du og vennene dine ligger an.
TID_TUTORIAL_70,"Har du sett den nye, skinnende postkassen din? Å, jeg tror det kommer noen. Hører du plystringen?"
TID_TUTORIAL_71,Jippi! Du har fått ditt første brev. Trykk på postkassen for å åpne det.
TID_TUTORIAL_72,"Herlig! Gregor har sendt deg et gavekort. Samler du mange nok, kan du bestille en forundringspakke fra katalogen."
TID_TUTORIAL_72_MOBILE,"Herlig! Gregor har sendt deg et gavekort. Samler du mange nok, kan du bestille en forundringspakke fra katalogen."
TID_TUTORIAL_73,"Hvordan får du flere brev? Hjelp til på andres gårder, så sender de deg kanskje et brev som takk!"
TID_TUTORIAL_74,"Hvis du har litt flaks, så inneholder det et gavekort. Og husk: Postmannen kommer innom én gang om dagen."
TID_TUTORIAL_GUEST5,Trykk på bildet av Gregor for å besøke gården hans!
TID_TUTORIAL_GUEST6,Trykk på Gregors landhandel for å se hva han selger!
TID_LOADING_SCREEN_CONNECTING,Kobler til
TID_LOADING_SCREEN_LOADING,Laster inn
TID_LOADING_SCREEN_UPDATING,Oppdaterer
TID_BUTTON_INCREASE_CAPACITY,Utvid lageret
TID_BUTTON_STORAGE,Tilbake
TID_STORAGE_UPGRADE_DESCRIPTION,Utvid lageret til <CAPACITY>
TID_PLANK_DESCRIPTION,Brukes til å oppgradere låven
TID_NAIL_DESCRIPTION,Brukes til å oppgradere siloen
TID_BOLT_DESCRIPTION,Brukes til å oppgradere låven
TID_SCREW_DESCRIPTION,Brukes til å oppgradere siloen
TID_DUCT_TAPE_DESCRIPTION,Brukes til å oppgradere låven
TID_WOOD_PANEL_DESCRIPTION,Brukes til å oppgradere siloen
TID_DYNAMITE_DESCRIPTION,Brukes til å bryte småstein
TID_DEMOLITION_CHARGE_DESCRIPTION,Brukes til å bryte store steiner
TID_AXE_DESCRIPTION,Brukes til å hugge ned små trær
TID_SAW_DESCRIPTION,Brukes til å sage ned store trær
TID_SHOVEL_DESCRIPTION,Brukes til å fjerne myr
TID_DAIRY_PRODUCT_DESCRIPTION,Produseres i meieriet
TID_BARBECUE_PRODUCT_DESCRIPTION,Produseres på grillen
TID_BAKERY_PRODUCT_DESCRIPTION,Produseres i bakerovnen
TID_LOOM_PRODUCT_DESCRIPTION,Produseres med veven
TID_CAKE_OVEN_PRODUCT_DESCRIPTION,Produseres i kakeovnen
TID_PIE_OVEN_PRODUCT_DESCRIPTION,Produseres i paiovnen
TID_POPCORN_POT_PRODUCT_DESCRIPTION,Produseres i popkornkjelen
TID_SUGAR_MILL_PRODUCT_DESCRIPTION,Produseres i sukkermøllen
TID_FEED_MILL_PRODUCT_DESCRIPTION,Produseres i fôrmøllen
TID_JUICE_PRESS_PRODUCT_DESCRIPTION,Produseres i juspressen
TID_JAM_MAKER_PRODUCT_DESCRIPTION,Produseres i syltetøykokeren
TID_ICE_CREAM_MAKER_PRODUCT_DESCRIPTION,Produseres i ismaskinen
TID_JEWELER_PRODUCT_DESCRIPTION,Produseres i gullsmeden
TID_APPLE_DESCRIPTION,Samle inn fra epletre
TID_CHERRY_DESCRIPTION,Samle inn fra kirsebærtre
TID_CACAO_DESCRIPTION,Høst inn fra kakaotreet
TID_RASPBERRY_DESCRIPTION,Samle inn fra bringebærbusk
TID_BLACKBERRY_DESCRIPTION,Samle inn fra bjørnebærbusk
TID_EGG_DESCRIPTION,Samle inn fra høne
TID_MILK_DESCRIPTION,Samle inn fra ku
TID_WOOL_DESCRIPTION,Samle inn fra sau
TID_BACON_DESCRIPTION,Samle inn fra gris
TID_GOAT_MILK_DESCRIPTION,Samle inn fra geit
TID_CASH,Mynter
TID_DIAMONDS,Diamanter
TID_CASH_DESCRIPTION,Kjøp varer og forbedringer til gården
TID_DIAMONDS_DESCRIPTION,Øk produksjonen og kjøp varene du mangler
TID_FACEBOOK,Facebook
TID_GAME_CENTER,Game Center
TID_FACEBOOK_ID_NOT_MATCH_TITLE,<SOCIAL_MEDIA>-varsel
TID_FACEBOOK_ID_NOT_MATCH,Ønsker du å lagre det gjeldende spillet på en ny <SOCIAL_MEDIA>-konto?
TID_FACEBOOK_ID_NOT_MATCH_ACTION_1,"Ja, endre konto"
TID_FACEBOOK_ID_NOT_MATCH_ACTION_2,"Nei, behold gjeldende konto"
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_TITLE,Velg gården din
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM,"Vi fant en annen gård som er knyttet til denne <SOCIAL_MEDIA>-kontoen:\n(Gård <NEW_FARM_NAME>, nivå <NEW_LEVEL>)\n\nVil du laste inn denne gården?\n\nAdvarsel: Den gjeldende gården (Gård <OLD_FARM_NAME>, nivå <OLD_LEVEL>) vil gå tapt."
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_MOBILE,"Vi fant en annen gård som er knyttet til denne <SOCIAL_MEDIA>-kontoen:\n(Gård <NEW_FARM_NAME>, nivå <NEW_LEVEL>)\n\nVil du laste inn denne gården?\n\nAdvarsel: Den gjeldende gården (Gård <OLD_FARM_NAME>, nivå <OLD_LEVEL>) vil gå tapt."
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_ACTION_1,"Ja, last inn spill"
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_ACTION_2,"Nei, behold gjeldende spill"
TID_INTRO_01,Det var en dag akkurat som alle dager ...
TID_INTRO_02,Inntil et brev dumpet ned i postkassen!
TID_INTRO_03,\qHilsen onkel!\q
TID_INTRO_04,"\qNå, har du lyst til å bli bonde?\q"
TID_INTRO_05,"\qJeg skal snart pensjonere meg, så gården er din hvis du vil overta den!\q"
TID_INTRO_06,Ut på eventyr! Et nytt liv på landet venter.
TID_ANIMATION_Harvest,Innhøsting
TID_ANIMATION_Seeding,Dyrke marken
TID_ANIMATION_CropInfo,Avlingene vokser!
TID_ANIMATION_BuyChicken,Kjøp 3 høner
TID_ANIMATION_FeedChicken,Mate hønene
TID_ANIMATION_CollectEggs,Samle egg
TID_ANIMATION_BakeBread,Bake brød
TID_ANIMATION_6th crop,Slik sår du flere frø
TID_ANIMATION_EditObjects,Organiser gården din
TID_ANIMATION_Pizzas,Slik finner du pizzaer
TID_ANIMATION_SendLetter,Slik sender du brev
TID_DIAMOND_PACK_1,Haug med diamanter
TID_DIAMOND_PACK_2,Pose med diamanter
TID_DIAMOND_PACK_3,Sekk med diamanter
TID_DIAMOND_PACK_4,Skrin med diamanter
TID_DIAMOND_PACK_5,Kiste med diamanter
TID_DIAMOND_PACK_6,Stor kiste med diamanter
TID_DIAMOND_PACK_2_Birthday_1,Bursdagspakke 1
TID_DIAMOND_PACK_3_Birthday_2,Bursdagspakke 2
TID_DIAMOND_PACK_5_Birthday_3,Bursdagspakke 3
TID_DIAMOND_PACK_2_Special_1,Spesialpakke 1
TID_DIAMOND_PACK_3_Special_2,Spesialpakke 2
TID_DIAMOND_PACK_5_Special_3,Spesialpakke 3
TID_CASH_PACK_1,Haug med mynter
TID_CASH_PACK_2,Pose med mynter
TID_CASH_PACK_3,Sekk med mynter
TID_CASH_PACK_4,Skrin med mynter
TID_CASH_PACK_5,Kiste med mynter
TID_CASH_PACK_6,Stor kiste med mynter
TID_BUY_DIAMONDS_TITLE,Diamantbutikk
TID_BUY_CASH_TITLE,Myntbutikk
TID_ORDER_SCREEN_SELECT_ORDER,Velg en bestilling til venstre.
TID_NOTIFICATION_BUILDING_CONSTRUCTION_READY,<NAME> er ferdig!
TID_NOTIFICATION_PLAYER_PLEASE_COME_BACK,Gårdsdyrene savner deg!
TID_NOTIFICATION_PLAYER_PLEASE_COME_BACK_MOBILE,Gårdsdyrene savner deg!
TID_NOTIFICATION_CROPS_READY,Alle avlingene er modne!
TID_NOTIFICATION_CHICKEN_READY,Egg kan samles inn!
TID_NOTIFICATION_COW_READY,Melk kan samles inn!
TID_NOTIFICATION_SHEEP_READY,Ull kan samles inn!
TID_NOTIFICATION_PIG_READY,Bacon kan samles inn!
TID_NOTIFICATION_GOAT_READY,Geitemelken kan samles inn!
TID_NOTIFICATION_ORDER_READY,Du har en bestilling som du kan fullføre!
TID_NOTIFICATION_DAILY_GIFT,"Hei Farmer, din daglige gratis gave venter på deg!"
TID_NATIVE_DIALOG_CONNECTION_LOST_TITLE,Forbindelse brutt
TID_NATIVE_DIALOG_CONNECTION_LOST_MESSAGE,Forbindelsen med serveren ble brutt. Sjekk Internett-forbindelsen og prøv igjen.
TID_NATIVE_DIALOG_CONNECTION_LOST_BUTTON,Prøv igjen
TID_NATIVE_DIALOG_GAME_SERVER_NOT_RESPONDING_TITLE,Forbindelse brutt
TID_NATIVE_DIALOG_GAME_SERVER_NOT_RESPONDING_MESSAGE,Serveren svarer ikke. Sjekk Internett-forbindelsen og prøv igjen.
TID_NATIVE_DIALOG_GAME_SERVER_NOT_RESPONDING_BUTTON,Prøv igjen
TID_NATIVE_DIALOG_BILLING_SERVER_NOT_RESPONDING_TITLE,Forbindelse brutt
TID_NATIVE_DIALOG_BILLING_SERVER_NOT_RESPONDING_MESSAGE,Betalingsserveren svarer ikke. Prøv igjen senere.
TID_NATIVE_DIALOG_BILLING_SERVER_NOT_RESPONDING_BUTTON,OK
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_TITLE,Oppdatering kreves
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_MESSAGE,"En ny oppdatering er her! Oppdater nå for å glede deg over den nyeste versjonen av spillet, og gjør deg klar for en skikkelig godbit: Snart vanker det gratis diamanter på deg i butikken!"
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_BUTTON,Last ned
TID_NATIVE_DIALOG_LOGIN_FAILED_TITLE,Tilkobling mislyktes
TID_NATIVE_DIALOG_LOGIN_FAILED_MESSAGE,Ikke mulig å koble til serveren. Feilkode <CODE>
TID_NATIVE_DIALOG_LOGIN_FAILED_BUTTON,Prøv igjen
TID_NATIVE_DIALOG_UNABLE_TO_CONNECT_TITLE,Tilkobling mislyktes
TID_NATIVE_DIALOG_UNABLE_TO_CONNECT_MESSAGE,Får ikke kontakt med serveren. Sjekk Internett-forbindelsen og prøv igjen.
TID_NATIVE_DIALOG_UNABLE_TO_CONNECT_BUTTON,Prøv igjen
TID_FENCE_01,Gjerde
TID_FENCE_01_DESCRIPTION,Pynt opp gården
TID_FENCE_02,Steinmur
