Name,ToolIconExportName,TID,RequirementAmount,Requirement,TimeMin,OrderPrice,OrderExp,ExpCollect,InstantComplete,DumbValue,OrderValue,BoatOrderValue,ProcessingBuilding,UnlockLevel,DescriptionTID,Difficulty,PendingRelease,Deprecated,DiamondPrice
Gift_Box2_24,gift_package11,TID_GIFT_BOX2_24,1,Chili Popcorn,10,85,10,85,10,85,82,100,Gift_Wrapping_Station_2024,25,TID_GIFT_BOX_DESCRIPTION,92,,,
,,,3,Cherry,,,,,,,,,,,,,,,
,,,3,Egg,,,,,,,,,,,,,,,
Gift_Box3_24,gift_package10,TID_GIFT_BOX3_24,1,Chocolate Cake,10,122,25,122,10,122,113,100,Gift_Wrapping_Station_2024,45,TID_GIFT_BOX_DESCRIPTION,123,,,
,,,3,Coffee,,,,,,,,,,,,,,,
,,,5,Chamomile,,,,,,,,,,,,,,,
Gift_Box4_24,gift_package12,TID_GIFT_BOX4_24,1,Toffee,10,106,35,106,10,106,103,100,Gift_Wrapping_Station_2024,60,TID_GIFT_BOX_DESCRIPTION,113,,,
,,,3,Blackberry,,,,,,,,,,,,,,,
,,,5,Pineapple,,,,,,,,,,,,,,,
Easter_egg1_25,egg_package09,TID_EASTER_EGG1_25,1,Pancakes,10,44,10,44,10,44,41,100,Easter_Egg_Maker_2025,17,TID_EASTER_EGG_DESCRIPTION,51,,,
,,,5,Corn,,,,,,,,,,,,,,,
,,,1,Milk,,,,,,,,,,,,,,,
Easter_egg2_25,egg_package10,TID_EASTER_EGG2_25,1,Blue Woolly Hat,10,70,20,70,10,70,70,100,Easter_Egg_Maker_2025,20,TID_EASTER_EGG_DESCRIPTION,80,,,
,,,5,Carrot,,,,,,,,,,,,,,,
,,,3,Bacon,,,,,,,,,,,,,,,
Easter_egg3_25,egg_package11,TID_EASTER_EGG3_25,1,Fish Pie,10,145,10,145,10,145,142,100,Easter_Egg_Maker_2025,30,TID_EASTER_EGG_DESCRIPTION,152,,,
,,,5,Tomato,,,,,,,,,,,,,,,
,,,3,Blackberry,,,,,,,,,,,,,,,
Easter_egg4_25,egg_package12,TID_EASTER_EGG4_25,1,Chocolate Cake,10,122,25,122,10,122,113,100,Easter_Egg_Maker_2025,45,TID_EASTER_EGG_DESCRIPTION,123,,,
,,,3,Coffee,,,,,,,,,,,,,,,
,,,5,Chamomile,,,,,,,,,,,,,,,
Birthday_balloon1_25,balloon_package05,TID_BIRTHDAY_BALLOON1_25,1,Bacon and Eggs,10,84,10,84,3,84,78,100,Birthday_Balloon_Maker_2025,17,TID_BIRTHDAY_BALLOON_DESCRIPTION,81,,,
,,,5,Carrot,,,,,,,,,,,,,,,
,,,5,Indigo,,,,,,,,,,,,,,,
Birthday_balloon2_25,balloon_package01,TID_BIRTHDAY_BALLOON1_24,1,Corn Bread,10,75,10,75,3,75,67,100,Birthday_Balloon_Maker_2025,17,TID_BIRTHDAY_BALLOON_DESCRIPTION,70,,,
,,,3,Apple,,,,,,,,,,,,,,,
,,,3,Bacon,,,,,,,,,,,,,,,
Birthday_balloon3_25,balloon_package06,TID_BIRTHDAY_BALLOON2_25,1,Blue Woolly Hat,10,70,10,70,3,70,60,100,Birthday_Balloon_Maker_2025,20,TID_BIRTHDAY_BALLOON_DESCRIPTION,63,,,
,,,3,Raspberry,,,,,,,,,,,,,,,
,,,5,Soybean,,,,,,,,,,,,,,,
Birthday_balloon4_25,balloon_package02,TID_BIRTHDAY_BALLOON2_24,1,Chili Popcorn,10,45,10,45,3,45,33,100,Birthday_Balloon_Maker_2025,25,TID_BIRTHDAY_BALLOON_DESCRIPTION,36,,,
,,,1,Bread,,,,,,,,,,,,,,,
,,,5,Corn,,,,,,,,,,,,,,,
Birthday_balloon5_25,balloon_package07,TID_BIRTHDAY_BALLOON3_25,1,Vanilla Ice Cream,10,127,20,127,3,127,114,100,Birthday_Balloon_Maker_2025,30,TID_BIRTHDAY_BALLOON_DESCRIPTION,117,,,
,,,3,Blackberry,,,,,,,,,,,,,,,
,,,5,Chili,,,,,,,,,,,,,,,
Birthday_balloon6_25,balloon_package03,TID_BIRTHDAY_BALLOON3_24,1,Fish Pie,10,129,20,129,3,129,121,100,Birthday_Balloon_Maker_2025,35,TID_BIRTHDAY_BALLOON_DESCRIPTION,124,,,
,,,3,Cherry,,,,,,,,,,,,,,,
,,,5,Potato,,,,,,,,,,,,,,,
Birthday_balloon7_25,balloon_package04,TID_BIRTHDAY_BALLOON4_24,1,Soothing Pad,10,140,25,140,3,140,130,100,Birthday_Balloon_Maker_2025,45,TID_BIRTHDAY_BALLOON_DESCRIPTION,133,,,
,,,3,Coffee,,,,,,,,,,,,,,,
,,,3,Strawberry,,,,,,,,,,,,,,,
Birthday_balloon8_25,balloon_package08,TID_BIRTHDAY_BALLOON4_25,1,Tomato Soup,10,133,35,133,3,133,121,100,Birthday_Balloon_Maker_2025,60,TID_BIRTHDAY_BALLOON_DESCRIPTION,124,,,
,,,5,Pineapple,,,,,,,,,,,,,,,
,,,5,Garlic,,,,,,,,,,,,,,,
