TID,SV
TID_BIRTHDAY_CAKE,Gräddtårta
TID_CHOCOLATE_CAKE,Chokladtårta
TID_STRAWBERRY_CAKE,Jordgubbstårta
TID_CARROT_PIE,Morotspaj
TID_BACON_PIE,Baconpaj
TID_PUMPKIN_PIE,Pumpapaj
TID_BROWN_SUGAR,Farinsocker
TID_WHITE_SUGAR,Strösocker
TID_SYRUP,Sirap
TID_SWEATER,Tröja
TID_BLUE_WOOLLY_HAT,Blå ullmössa
TID_BLUE_SWEATER,Blå tröja
TID_POPCORN,Popcorn
TID_BUTTER_POPCORN,Smörpopcorn
TID_CHILI_POPCORN,Chilipopcorn
TID_BACON_AND_EGGS,Bacon och ägg
TID_PANCAKE,Pannkaka
TID_HAMBURGER,Hamburgare
TID_PIZZA,Pizza
TID_SPICY_PIZZA,Kryddstark pizza
TID_ROASTED_TOMATOES,Rostade tomater
TID_CARROT_JUICE,Morotsjuice
TID_TOMATO_JUICE,Tomatjuice
TID_APPLE_JUICE,Äppeljuice
TID_CHERRY_JUICE,Körsbärsjuice
TID_BERRY_JUICE,Bärjuice
TID_APPLE,Äpple
TID_CHERRY,Körsbär
TID_CACAO,Kakao
TID_RASPBERRY,Hallon
TID_BLACKBERRY,Björnbär
TID_APPLE_JAM,Äppelsylt
TID_RASPBERRY_JAM,Hallonsylt
TID_BLUEBERRY_JAM,Björnbärssylt
TID_CHERRY_JAM,Körsbärssylt
TID_VANILLA_ICE_CREAM,Vaniljglass
TID_CHERRY_POPSICLE,Körsbärsglass
TID_CHOCOLATE_ICE_CREAM,Chokladglass
TID_APPLE_PIE,Äppelpaj
TID_FETA_PIE,Fetaostpaj
TID_BRACELET,Armband
TID_NECKLACE,Halsband
TID_DIAMOND_RING,Diamantring
TID_FEED_MILL,Foderkvarn
TID_BAKERY,Bageri
TID_POPCORN_POT,Popcornkastrull
TID_DAIRY,Mejeri
TID_SUGAR_MILL,Sockerbruk
TID_PIE_OVEN,Pajugn
TID_LOOM,Vävstol
TID_CAKE_OVEN,Tårtugn
TID_BARBECUE_GRILL,Grill
TID_JUICE_PRESS,Juicepress
TID_JAM_MAKER,Syltkokare
TID_ICE_CREAM_MAKER,Glassmaskin
TID_JEWELER,Guldsmed
TID_APPLE_TREE,Äppelträd
TID_CHERRY_TREE,Körsbärsträd
TID_CACAO_TREE,Kakaoträd
TID_RASPBERRY_BUSH,Hallonbuske
TID_BLACKBERRY_BUSH,Björnbärsbuske
TID_DYNAMITE,Dynamit
TID_DEMOLITION_CHARGE,TNT-tunna
TID_AXE,Yxa
TID_SAW,Såg
TID_SHOVEL,Spade
TID_PLANK,Planka
TID_NAIL,Spik
TID_BOLT,Bult
TID_SCREW,Skruv
TID_DUCT_TAPE,Tejp
TID_WOOD_PANEL,Träpanel
TID_EMPTY_FIELD,Fält
TID_CHICKEN,Höna
TID_COW,Ko
TID_SHEEP,Får
TID_PIG,Gris
TID_GOAT,Get
TID_CHICKEN_HABITAT,Hönshus
TID_COW_HABITAT,Kohage
TID_SHEEP_HABITAT,Fårhage
TID_PIG_HABITAT,Svinstia
TID_GOAT_HABITAT,Gethage
TID_HAMMERMILL_DESCRIPTION,Producerar djurfoder
TID_BAKERY_DESCRIPTION,Bakar varor
TID_POPCORN_POT_DESCRIPTION,Poppar popcorn
TID_DAIRY_DESCRIPTION,Producerar mejerivaror
TID_SUGAR_MILL_DESCRIPTION,Producerar sockervaror
TID_PIE_OVEN_DESCRIPTION,Bakar pajer
TID_LOOM_DESCRIPTION,Väver kläder
TID_BARBECUE_GRILL_DESCRIPTION,Grillar mat
TID_CAKE_OVEN_DESCRIPTION,Bakar bakverk
TID_JUICE_PRESS_DESCRIPTION,Pressar juice
TID_JAM_MAKER_DESCRIPTION,Kokar sylt
TID_ICE_CREAM_MAKER_DESCRIPTION,Tillverkar glass
TID_JEWELER_DESCRIPTION,Tillverkar smycken
TID_APPLE_TREE_DESCRIPTION,Kan skördas tre gånger
TID_CHERRY_TREE_DESCRIPTION,Kan skördas tre gånger
TID_CACAO_TREE_DESCRIPTION,Kan skördas tre gånger
TID_RASPBERRY_BUSH_DESCRIPTION,Kan skördas tre gånger
TID_BLACKBERRY_BUSH_DESCRIPTION,Kan skördas tre gånger
TID_NEED_MORE_POPUP_TITLE,Resurser saknas!
TID_NEED_MORE_RESOURCES_CANT_BUY_TEXT,Skaffa resurserna som saknas för att göra klart beställningen.
TID_NEED_MORE_POPUP_GENERIC_TEXT,Använd diamanter för att få de resurser som saknas och utföra sysslan.
TID_NEED_MORE_CROPS_HINT,Du kan köpa grödorna som saknas av en vän.\n\nDu kan även köpa dem nu för diamanter!
TID_NEED_MORE_CROPS_HINT_MOBILE,Du kan köpa grödorna som saknas av en vän.\n\nDu kan även köpa dem nu för diamanter!
TID_NEED_MORE_ANIMAL_FOOD_HINT,Använd foderkvarnen för att tillverka mer foder åt dina djur eller använd diamanter för att mata dem på en gång.
TID_SILO_FULL_TITLE,Silo full
TID_SILO_FULL_DESCRIPTION,Silon är full! Skaffa mer utrymme genom att uppgradera den.
TID_WAREHOUSE_FULL_TITLE,Lada full
TID_WAREHOUSE_FULL_DESCRIPTION,Ladan är full! Skaffa mer utrymme genom att uppgradera den.
TID_WAREHOUSE_FULL_DESCRIPTION_MOBILE,Ladan är full! Skaffa mer utrymme genom att uppgradera den.
TID_LEVEL_UP_TITLE,GRATTIS!
TID_LEVEL_UP_TEXT,Nu är du en NIVÅ <LEVEL_NUMBER>-BONDE!
TID_LEVEL_UP_ITEM_NEW,Ny!
TID_LEVEL_UP_ITEM_NEW_AND_REWARD,Ny! +<REWARD>
TID_ORDER_TABLE_TITLE,Beställningar
TID_ORDER_TITLE_00,Förskola
TID_ORDER_TITLE_01,Skola
TID_ORDER_TITLE_02,Kyrka
TID_ORDER_TITLE_03,Joans salong
TID_ORDER_TITLE_04,Susans butik
TID_ORDER_TITLE_05,Mikes kvarn
TID_ORDER_TITLE_06,Bens bryggeri
TID_ORDER_TITLE_07,Fabios fiskeri
TID_ORDER_TITLE_08,Franks fabrik
TID_ORDER_TITLE_09,Grants kyrkogård
TID_ORDER_TABLE_WAITING,Vänta ...
TID_ORDER_TABLE_WAITING_TEXT,Den här beställningen är inte tillgänglig. Vänta eller snabba på den!
TID_SOCIAL_LOGIN_TITLE,Hitta fler bönder!
TID_SOCIAL_LOGIN_1_TEXT,Logga in på <SOCIAL_1> och börja byta med dina vänner!
TID_SOCIAL_LOGIN_2_TEXT,Logga in på <SOCIAL_1> eller <SOCIAL_2> och börja byta med dina vänner!
TID_ROADSIDE_SHOP_TITLE,Vägbutik
TID_ROADSIDE_SHOP_FRIEND_TITLE,<NAME>s vägbutik
TID_ROADSIDE_SHOP_ITEM_COUNT,<COUNT>x
TID_ROADSIDE_SHOP_ITEM_SOLD,SÅLD!
TID_ROADSIDE_SHOP_CREATE_NEW_SALE,Lägg ut ny vara till salu
TID_ROADSIDE_SHOP_NEW_SALE_TITLE,Nytt erbjudande
TID_ROADSIDE_SHOP_NEW_SALE_ADJUST_PRICE,Ändra pris
TID_ROADSIDE_SHOP_NEW_SALE_CONFIRM_BUTTON,Skapa erbjudande
TID_ROADSIDE_SHOP_ADVERTISE,Annonsera
TID_ROADSIDE_SHOP_ADVERTISE_WITH_TIME,Annonsera nu
TID_SHOP_TITLE,Butik
TID_TUTORIAL_01,Hej! Mitt namn är Wicker och jag ska hjälpa dig att komma igång med din nya bondgård!
TID_TUTORIAL_02a,Tryck på ett vetefält och plocka upp skäran. Skörda sedan genom att dra den över vetet.
TID_TUTORIAL_03a,Tryck på ett tomt fält. Dra sedan vete över fälten för att plantera fröna.
TID_TUTORIAL_04,Frön behöver tid för att växa. Vid skörd ger varje fält två grödor.
TID_TUTORIAL_05a,Tryck på ditt hus och måla det genom att dra penseln över det.
TID_TUTORIAL_06a,Snyggt! Ladan behöver också lite färg ...
TID_TUTORIAL_07a,Du borde måla silon också!
TID_TUTORIAL_10,Bra! Bjud in några fjäderfän till partyt!
TID_TUTORIAL_10a,Dra en höna från butiken till hönshuset.
TID_TUTORIAL_11a,Köp en höna till!
TID_TUTORIAL_12a,Vad sägs om att köpa en tredje höna?
TID_TUTORIAL_13a,Tryck på en höna och dra fodersäcken över hönorna för att mata dem.
TID_TUTORIAL_14a,Tryck på en höna och sedan på \qSnabba på\q-knappen!
TID_TUTORIAL_14b,Tryck på en höna och tryck sedan på \qSnabba på\q-knappen två gånger!
TID_TUTORIAL_14c,Tryck på en höna och tryck sedan på \qSnabba på\q-knappen!
TID_TUTORIAL_15a,Äggstremt bra! Snabba på den andra hönan också.
TID_TUTORIAL_16a,Äggceptionellt! Snabba på den sista hönan.
TID_TUTORIAL_17a,Dra korgen över alla hönorna för att samla in äggen.
TID_TUTORIAL_20,Snyggt! Vad sägs om att förvandla allt det här vetet till bröd med ett nytt bageri?
TID_TUTORIAL_20a,Öppna butiksmenyn genom att trycka på knappen längst ner till vänster. Köp ett bageri genom att dra det till din mark.
TID_TUTORIAL_20a_MOBILE,Öppna butiksmenyn genom att trycka på knappen längst ner till vänster. Köp ett bageri genom att dra det till din mark.
TID_TUTORIAL_21a,Vänta på att byggnaden blir klar eller snabba på den med diamanter.
TID_TUTORIAL_22a,Tryck på bageriet och dra brödet till ugnen.
TID_TUTORIAL_23a,Slutför bakningen direkt genom att trycka på \qSnabba på\q-knappen under brödet. Doftar underbart!
TID_TUTORIAL_24,Du låser upp nya förbättringar vartefter du går upp i nivå. Nu väntar tre nya fält på dig i butiken!
TID_TUTORIAL_24a,Öppna butiksmenyn och dra tre nya fält till din mark.
TID_TUTORIAL_25a,Plantera några frön till. Minns du hur man gör? (Tryck på fältet!)
TID_TUTORIAL_26,Nöjda djur ger en nöjd bondgård. Bygg en foderkvarn för att se till att dina djur aldrig går hungriga.
TID_TUTORIAL_26a,Köp en foderkvarn genom att dra den från butiken till din mark.
TID_TUTORIAL_27,"Affärerna blomstrar! Fortsätt att skörda fälten, baka bröd och samla in ägg till försäljning."
TID_TUTORIAL_27a,Kom ihåg att du kan skynda på grödorna genom att trycka på \qSnabba på\q-knappen.
TID_TUTORIAL_28,"Tut tut, varubilen är här! Gör dig redo för en ström av beställningar!"
TID_TUTORIAL_29,Beställningstavlan visar vilka beställningar som är tillgängliga. Tjäna ihop pengar och erfarenhet genom att leverera dem.
TID_TUTORIAL_29a,Tryck på varubilen eller beställningslistan för att göra din första leverans.
TID_TUTORIAL_30,Såja! Varubilen är nu på väg till förskolan.
TID_TUTORIAL_30a,De här stadsmänniskorna kan inte få nog av våra färska varor! Gör klart en ny beställning.
TID_TUTORIAL_31,Du börjar bli riktigt bra på det här! Fortsätt att odla och göra klart beställningar.
TID_TUTORIAL_31a,Fortsätt att odla och göra klart beställningar!
TID_TUTORIAL_36,Muuu! Det var ett tag sedan vi hade en ko här!
TID_TUTORIAL_36a,Köp en kohage genom att dra den från butiken.
TID_TUTORIAL_37a,Dra nu en ko till kohagen.
TID_TUTORIAL_38a,Hon är hungrig. Mata henne!
TID_TUTORIAL_39,En välfödd ko ger näringsrik mjölk som du kan samla in.
TID_TUTORIAL_40,"När du har tjänat tillräckligt med pengar kan du köpa ett mejeri i butiken. Mejeriet förvandlar mjölk till grädde, smör och ost!"
TID_TUTORIAL_42,Hejsan! Jag heter Mike och driver den gamla kvarnen nära stan. Vilken tjusig gård du har här. Vad sägs om att välja ett roligt namn åt den? Det är bäst att inte använda ditt riktiga namn.
TID_TUTORIAL_45,Härligt att se att du sköter om stället. Vi ses!
TID_TUTORIAL_46,"Är det härifrån det doftar så ljuvligt? Nämen, vad oartig jag är! Jag heter Joan."
TID_TUTORIAL_GUEST1,Vi har besök! Tryck på honom för att se vad han har att säga.
TID_TUTORIAL_GUEST2,Ännu en besökare! Bäst att fråga vad hon vill.
TID_TUTORIAL_47a,Ta först bort presenningen genom att trycka på den.
TID_TUTORIAL_48a,Vänta tills varubilen återvänder med din belöning. Tryck sedan för att ta emot den!
TID_TUTORIAL_47,"Titta, barnen från förskolan har skickat ett tackkort!"
TID_TUTORIAL_GUEST3,Vem är den här store killen?
TID_TUTORIAL_48,Hej! Jag heter Greg. Vi är grannar. Om du behöver redskap så kan jag fixa det!
TID_TUTORIAL_49,Vi behöver redskap för att röja mark. Besök Gregs bondgård!
TID_TUTORIAL_GUEST4,Öppna vänlistan!
TID_TUTORIAL_50,Välkommen till min bondgård! Glöm inte att kolla in vad jag säljer i min vägbutik!
TID_TUTORIAL_51,Tack för ditt besök! Kom ihåg att du kan besöka mig eller dina vänner när du vill!
TID_TUTORIAL_52,"Wow, Greg var verkligen hjälpsam. Du kan lägga till fler vänner som grannar via vänlistan."
TID_TUTORIAL_53,Det här är din vägbutik. Här kan du lägga ut varor som du vill sälja till andra spelare.
TID_TUTORIAL_54,"Du kan välja vilka och hur många varor du vill sälja, bestämma priset och sedan annonsera i lokaltidningen. Prova det!"
TID_TUTORIAL_54a,Kolla in din vägbutik!
TID_TUTORIAL_55,Du hittar tidningen i din brevlåda. I den kan du se vad andra personer säljer.
TID_TUTORIAL_55a,Tryck på brevlådan för att läsa lokaltidningen.
TID_TUTORIAL_56,Tjenare! Behöver du hjälp med att plantera nya grödor? Jag kan ge dig några tips!
TID_TUTORIAL_57,"Hej! Jag ville bara berätta att du kan flytta, vrida och ta bort föremål. Börja med att hålla in föremålet."
TID_TUTORIAL_57_MOBILE,"Hej! Jag ville bara berätta att du kan flytta, vrida och ta bort föremål. Börja med att hålla in föremålet."
TID_TUTORIAL_58a,Vad är kuponger?
TID_TUTORIAL_59,De är samlarföremål du kan få genom att göra klart båtbeställningar och andra saker. Här får du en!
TID_TUTORIAL_59a,Tack!
TID_TUTORIAL_60,Tryck på huset och fyll den tomma skålen med läcker mat!
TID_TUTORIAL_61,Vänta nu tills ditt husdjur återvänder för att sova.
TID_TUTORIAL_62,Ditt husdjur är nöjt och avslappnat. Tryck på det för att väcka det och få poäng.
TID_TUTORIAL_63,Ser du hur lekfullt ditt husdjur är! Kom ihåg att mata det regelbundet för att hålla det nöjt och samla in poäng när det har somnat.
TID_TUTORIAL_63_MOBILE,Ser du hur lekfullt ditt husdjur är! Kom ihåg att mata det regelbundet för att hålla det nöjt och samla in poäng när det har somnat.
TID_TUTORIAL_64,Tjenare! Behöver du hjälp med pizzor?
TID_TUTORIAL_65,Det är dags att börja spara ihop lite mynt. Hamnen behöver repareras.
TID_TUTORIAL_66,Behöver du mer utrymme? Oroa dig inte! Du kan börja expandera nu.
TID_TUTORIAL_67,Nu är det kanske lämpligt att reparera den gamla gruvan? Vem vet vilka skatter den innehåller.
TID_TUTORIAL_68,"Grattis, hamnen är reparerad! Nu kan du slutföra båtbeställningar."
TID_TUTORIAL_69,Det här är båtrankningslistan. Tryck för att se hur bra det går för dig och dina vänner.
TID_TUTORIAL_70,"Har du sett din nya, skinande brevlåda? Åh, jag tror att någon kommer. Hör du visslandet?"
TID_TUTORIAL_71,Hurra! Du har fått ditt första brev. Öppna det genom att klicka på brevlådan.
TID_TUTORIAL_72,Underbart! Greg har skickat en kupong till dig. Om du samlar ihop tillräckligt många kan du beställa ett hemligt paket från katalogen.
TID_TUTORIAL_72_MOBILE,Underbart! Greg har skickat en kupong till dig. Om du samlar ihop tillräckligt många kan du beställa ett hemligt paket från katalogen.
TID_TUTORIAL_73,Hur du får fler brev? Hjälp bara andra på deras bondgårdar så kanske de skickar dig ett tackbrev!
TID_TUTORIAL_74,Och med lite tur kanske det även innehåller ett presentkort. Kom ihåg: brevbäraren besöker dig en gång per dag.
TID_TUTORIAL_GUEST5,Tryck på Gregs porträtt för att besöka hans bondgård!
TID_TUTORIAL_GUEST6,Tryck på Gregs vägbutik för att se vad han säljer!
TID_LOADING_SCREEN_CONNECTING,Ansluter
TID_LOADING_SCREEN_LOADING,Laddar
TID_LOADING_SCREEN_UPDATING,Uppdaterar
TID_BUTTON_INCREASE_CAPACITY,Öka lagerutrymmet
TID_BUTTON_STORAGE,Tillbaka
TID_STORAGE_UPGRADE_DESCRIPTION,Öka lagerutrymmet till <CAPACITY>.
TID_PLANK_DESCRIPTION,Används till att uppgradera ladan
TID_NAIL_DESCRIPTION,Används till att uppgradera silon
TID_BOLT_DESCRIPTION,Används till att uppgradera ladan
TID_SCREW_DESCRIPTION,Används till att uppgradera silon
TID_DUCT_TAPE_DESCRIPTION,Används till att uppgradera ladan
TID_WOOD_PANEL_DESCRIPTION,Används till att uppgradera silon
TID_DYNAMITE_DESCRIPTION,Används till att förstöra små klippblock
TID_DEMOLITION_CHARGE_DESCRIPTION,Används till att förstöra stora klippblock
TID_AXE_DESCRIPTION,Används till att fälla små träd
TID_SAW_DESCRIPTION,Används till att fälla stora träd
TID_SHOVEL_DESCRIPTION,Används till att gräva bort kärr
TID_DAIRY_PRODUCT_DESCRIPTION,Produceras i mejeriet
TID_BARBECUE_PRODUCT_DESCRIPTION,Tillagas i grillen
TID_BAKERY_PRODUCT_DESCRIPTION,Bakas i bageriet
TID_LOOM_PRODUCT_DESCRIPTION,Vävs i vävstolen
TID_CAKE_OVEN_PRODUCT_DESCRIPTION,Bakas i tårtugnen
TID_PIE_OVEN_PRODUCT_DESCRIPTION,Bakas i pajugnen
TID_POPCORN_POT_PRODUCT_DESCRIPTION,Poppas i popcornkastrullen
TID_SUGAR_MILL_PRODUCT_DESCRIPTION,Produceras i sockerbruket
TID_FEED_MILL_PRODUCT_DESCRIPTION,Produceras i foderkvarnen
TID_JUICE_PRESS_PRODUCT_DESCRIPTION,Pressas i juicepressen
TID_JAM_MAKER_PRODUCT_DESCRIPTION,Kokas i syltkokaren
TID_ICE_CREAM_MAKER_PRODUCT_DESCRIPTION,Tillverkas i glassmaskinen
TID_JEWELER_PRODUCT_DESCRIPTION,Tillverkas hos guldsmeden
TID_APPLE_DESCRIPTION,Plockas från äppelträd
TID_CHERRY_DESCRIPTION,Plockas från körsbärsträd
TID_CACAO_DESCRIPTION,Plockas från kakaoträd
TID_RASPBERRY_DESCRIPTION,Plockas från hallonbuskar
TID_BLACKBERRY_DESCRIPTION,Plockas från björnbärsbuskar
TID_EGG_DESCRIPTION,Samlas in från hönor
TID_MILK_DESCRIPTION,Mjölkas från kor
TID_WOOL_DESCRIPTION,Klipps från får
TID_BACON_DESCRIPTION,Samlas in från grisar
TID_GOAT_MILK_DESCRIPTION,Mjölkas från getter
TID_CASH,Mynt
TID_DIAMONDS,Diamanter
TID_CASH_DESCRIPTION,Köp varor och förbättringar till din bondgård
TID_DIAMONDS_DESCRIPTION,Öka produktionen och köp varor som du saknar
TID_FACEBOOK,Facebook
TID_GAME_CENTER,Game Center
TID_FACEBOOK_ID_NOT_MATCH_TITLE,<SOCIAL_MEDIA>-meddelande
TID_FACEBOOK_ID_NOT_MATCH,Vill du spara ditt nuvarande spel på ett nytt <SOCIAL_MEDIA>-konto?
TID_FACEBOOK_ID_NOT_MATCH_ACTION_1,"Ja, byt konto"
TID_FACEBOOK_ID_NOT_MATCH_ACTION_2,"Nej, behåll nuvarande konto"
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_TITLE,Välj din bondgård
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM,"Vi hittade en annan bondgård som är knuten till detta <SOCIAL_MEDIA>-konto:\n(<NEW_FARM_NAME>, nivå <NEW_LEVEL>)\n\nVill du ladda den?\n\nVarning: din nuvarande bondgård (<OLD_FARM_NAME>, nivå <OLD_LEVEL>) kommer att gå förlorad."
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_MOBILE,"Vi hittade en annan bondgård som är knuten till detta <SOCIAL_MEDIA>-konto:\n(<NEW_FARM_NAME>, nivå <NEW_LEVEL>)\n\nVill du ladda den?\n\nVarning: din nuvarande bondgård (<OLD_FARM_NAME>, nivå <OLD_LEVEL>) kommer att gå förlorad."
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_ACTION_1,"Ja, ladda spel"
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_ACTION_2,"Nej, behåll nuvarande spel"
TID_INTRO_01,Det började som en helt vanlig dag ...
TID_INTRO_02,Ända tills brevet kom!
TID_INTRO_03,\qHär kommer en hälsning från din farbror!\q
TID_INTRO_04,\qKänner du att bondelivet är något som lockar?\q
TID_INTRO_05,\qJag ska gå i pension. Bondgården är din om du vill ha den!\q
TID_INTRO_06,Nu bär det av! Ett nytt liv på landet väntar.
TID_ANIMATION_Harvest,Skörda
TID_ANIMATION_Seeding,Så
TID_ANIMATION_CropInfo,Grödor mångfaldigas!
TID_ANIMATION_BuyChicken,Köp 3 hönor
TID_ANIMATION_FeedChicken,Mata hönor
TID_ANIMATION_CollectEggs,Samla in ägg
TID_ANIMATION_BakeBread,Baka bröd
TID_ANIMATION_6th crop,Hur planterar man fler frön?
TID_ANIMATION_EditObjects,Organisera din bondgård
TID_ANIMATION_Pizzas,Var hittar man pizzor?
TID_ANIMATION_SendLetter,Hur man skickar brev
TID_DIAMOND_PACK_1,Hög med diamanter
TID_DIAMOND_PACK_2,Påse med diamanter
TID_DIAMOND_PACK_3,Säck med diamanter
TID_DIAMOND_PACK_4,Låda med diamanter
TID_DIAMOND_PACK_5,Kista med diamanter
TID_DIAMOND_PACK_6,Koffert med diamanter
TID_DIAMOND_PACK_2_Birthday_1,Födelsedagspaket 1
TID_DIAMOND_PACK_3_Birthday_2,Födelsedagspaket 2
TID_DIAMOND_PACK_5_Birthday_3,Födelsedagspaket 3
TID_DIAMOND_PACK_2_Special_1,Specialpaket 1
TID_DIAMOND_PACK_3_Special_2,Specialpaket 2
TID_DIAMOND_PACK_5_Special_3,Specialpaket 3
TID_CASH_PACK_1,Hög med mynt
TID_CASH_PACK_2,Påse med mynt
TID_CASH_PACK_3,Säck med mynt
TID_CASH_PACK_4,Låda med mynt
TID_CASH_PACK_5,Kista med mynt
TID_CASH_PACK_6,Koffert med mynt
TID_BUY_DIAMONDS_TITLE,Diamantbutik
TID_BUY_CASH_TITLE,Myntbutik
TID_ORDER_SCREEN_SELECT_ORDER,Välj en beställning till vänster.
TID_NOTIFICATION_BUILDING_CONSTRUCTION_READY,Byggnaden <NAME> är klar
TID_NOTIFICATION_PLAYER_PLEASE_COME_BACK,Djuren på gården saknar dig!
TID_NOTIFICATION_PLAYER_PLEASE_COME_BACK_MOBILE,Djuren på gården saknar dig!
TID_NOTIFICATION_CROPS_READY,Alla grödor kan nu skördas!
TID_NOTIFICATION_CHICKEN_READY,Äggen kan nu samlas in!
TID_NOTIFICATION_COW_READY,Mjölken kan nu samlas in!
TID_NOTIFICATION_SHEEP_READY,Ullen kan nu samlas in!
TID_NOTIFICATION_PIG_READY,Baconet kan nu samlas in!
TID_NOTIFICATION_GOAT_READY,Getmjölken kan nu samlas in!
TID_NOTIFICATION_ORDER_READY,Du kan nu göra klart en beställning!
TID_NOTIFICATION_DAILY_GIFT,"Hallå bonde, din dagliga gratisgåva väntar på dig!"
TID_NATIVE_DIALOG_CONNECTION_LOST_TITLE,Anslutningen bröts!
TID_NATIVE_DIALOG_CONNECTION_LOST_MESSAGE,Du har förlorat anslutningen till servern. Kontrollera din internetanslutning och försök igen.
TID_NATIVE_DIALOG_CONNECTION_LOST_BUTTON,Försök igen
TID_NATIVE_DIALOG_GAME_SERVER_NOT_RESPONDING_TITLE,Anslutningen bröts!
TID_NATIVE_DIALOG_GAME_SERVER_NOT_RESPONDING_MESSAGE,Servern svarar inte. Kontrollera din internetanslutning och försök igen.
TID_NATIVE_DIALOG_GAME_SERVER_NOT_RESPONDING_BUTTON,Försök igen
TID_NATIVE_DIALOG_BILLING_SERVER_NOT_RESPONDING_TITLE,Anslutningen bröts!
TID_NATIVE_DIALOG_BILLING_SERVER_NOT_RESPONDING_MESSAGE,Betalningsservern svarar inte. Försök igen senare.
TID_NATIVE_DIALOG_BILLING_SERVER_NOT_RESPONDING_BUTTON,OK
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_TITLE,Uppdatering krävs!
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_MESSAGE,En ny uppdatering är här! Uppdatera nu för att få den senaste versionen av spelet och förbered dig på en specialbelöning – gratis diamanter väntar dig snart i butiken!
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_BUTTON,Ladda ner
TID_NATIVE_DIALOG_LOGIN_FAILED_TITLE,Anslutningen misslyckades!
TID_NATIVE_DIALOG_LOGIN_FAILED_MESSAGE,Det gick inte att ansluta till servern. Felkod <CODE>.
TID_NATIVE_DIALOG_LOGIN_FAILED_BUTTON,Försök igen
TID_NATIVE_DIALOG_UNABLE_TO_CONNECT_TITLE,Anslutningen misslyckades!
TID_NATIVE_DIALOG_UNABLE_TO_CONNECT_MESSAGE,Kunde inte etablera en anslutning till servern. Kontrollera din internetanslutning och försök igen.
TID_NATIVE_DIALOG_UNABLE_TO_CONNECT_BUTTON,Försök igen
TID_FENCE_01,Staket
TID_FENCE_01_DESCRIPTION,Dekorerar din bondgård
TID_FENCE_02,Stenmur
TID_FENCE_02_DESCRIPTION,Dekorerar din bondgård
TID_FENCE_03,Stenstig
TID_FENCE_03_DESCRIPTION,Dekorerar din bondgård
TID_FLOWERPOT_1,Dahlior
TID_FLOWERPOT_1_DESCRIPTION,Lockar fjärilar
TID_FLOWERBED_1,Prästkragar
TID_FLOWERBED_1_DESCRIPTION,Lockar fjärilar
TID_FLOWERBED_2,Lupiner
