TID,PT
TID_CARROT_PIE,Torta de cenoura
TID_BACON_PIE,Torta de bacon
TID_PUMPKIN_PIE,Torta de abóbora
TID_BROWN_SUGAR,Açúcar mascavo
TID_WHITE_SUGAR,Açúcar refinado
TID_SYRUP,Xarope
TID_SWEATER,Suéter
TID_BLUE_WOOLLY_HAT,Gorro azul de lã
TID_BLUE_SWEATER,Suéter azul
TID_POPCORN,Pipoca
TID_BUTTER_POPCORN,Pipoca amanteigada
TID_CHILI_POPCORN,Pipoca apimentada
TID_BACON_AND_EGGS,Bacon e ovos
TID_PANCAKE,Panqueca
TID_HAMBURGER,Hambúrguer
TID_PIZZA,Pizza
TID_SPICY_PIZZA,Pizza apimentada
TID_ROASTED_TOMATOES,Tomates assados
TID_CARROT_JUICE,Suco de cenoura
TID_TOMATO_JUICE,Suco de tomate
TID_APPLE_JUICE,Suco de maçã
TID_CHERRY_JUICE,Suco de cereja
TID_BERRY_JUICE,Suco de amora
TID_APPLE,Maçãs
TID_CHERRY,Cerejas
TID_CACAO,Cacau
TID_RASPBERRY,Framboesas
TID_BLACKBERRY,Amoras
TID_APPLE_JAM,Geleia de maçã
TID_RASPBERRY_JAM,Geleia de framboesa
TID_BLUEBERRY_JAM,Geleia de amora
TID_CHERRY_JAM,Geleia de cereja
TID_VANILLA_ICE_CREAM,Sorvete de baunilha
TID_CHERRY_POPSICLE,Picolé de cereja
TID_CHOCOLATE_ICE_CREAM,Sorvete de chocolate
TID_APPLE_PIE,Torta de maçã
TID_FETA_PIE,Torta de queijo
TID_BRACELET,Pulseira
TID_NECKLACE,Colar
TID_DIAMOND_RING,Anel de diamantes
TID_FEED_MILL,Fábrica de ração
TID_BAKERY,Padaria
TID_POPCORN_POT,Pipoqueira
TID_DAIRY,Fábrica de laticínios
TID_SUGAR_MILL,Engenho
TID_PIE_OVEN,Forno de tortas
TID_LOOM,Tear
TID_CAKE_OVEN,Forno de bolos
TID_BARBECUE_GRILL,Churrasqueira
TID_JUICE_PRESS,Prensa de suco
TID_JAM_MAKER,Fazedor de geleia
TID_ICE_CREAM_MAKER,Máquina de sorvete
TID_JEWELER,Joalheiro
TID_APPLE_TREE,Macieira
TID_CHERRY_TREE,Cerejeira
TID_CACAO_TREE,Cacaueiro
TID_RASPBERRY_BUSH,Arbusto de framboesas
TID_BLACKBERRY_BUSH,Arbusto de amoras
TID_DYNAMITE,Dinamite
TID_DEMOLITION_CHARGE,Barril de TNT
TID_AXE,Machado
TID_SAW,Serrote
TID_SHOVEL,Pá
TID_PLANK,Tábua
TID_NAIL,Prego
TID_BOLT,Rebite
TID_SCREW,Parafuso
TID_DUCT_TAPE,Fita adesiva
TID_WOOD_PANEL,Painel de madeira
TID_EMPTY_FIELD,Campo
TID_CHICKEN,Galinha
TID_COW,Vaca
TID_SHEEP,Ovelha
TID_PIG,Porco
TID_GOAT,Cabra
TID_CHICKEN_HABITAT,Galinheiro
TID_COW_HABITAT,Curral de vacas
TID_SHEEP_HABITAT,Curral de ovelhas
TID_PIG_HABITAT,Chiqueiro
TID_GOAT_HABITAT,Curral das cabras
TID_HAMMERMILL_DESCRIPTION,Produz ração para os animais.
TID_BAKERY_DESCRIPTION,Assa pães e bolos.
TID_POPCORN_POT_DESCRIPTION,Produz pipoca.
TID_DAIRY_DESCRIPTION,Produz laticínios.
TID_SUGAR_MILL_DESCRIPTION,Produz açúcar.
TID_PIE_OVEN_DESCRIPTION,Assa tortas.
TID_LOOM_DESCRIPTION,Tece roupas.
TID_BARBECUE_GRILL_DESCRIPTION,Assa carnes.
TID_CAKE_OVEN_DESCRIPTION,Assa bolos.
TID_JUICE_PRESS_DESCRIPTION,Faz suco.
TID_JAM_MAKER_DESCRIPTION,Faz geleia.
TID_ICE_CREAM_MAKER_DESCRIPTION,Faz sorvete.
TID_JEWELER_DESCRIPTION,Cria joias.
TID_APPLE_TREE_DESCRIPTION,Colete três vezes.
TID_CHERRY_TREE_DESCRIPTION,Colete três vezes.
TID_CACAO_TREE_DESCRIPTION,Colete três vezes.
TID_RASPBERRY_BUSH_DESCRIPTION,Colete três vezes.
TID_BLACKBERRY_BUSH_DESCRIPTION,Colete três vezes.
TID_NEED_MORE_POPUP_TITLE,Recursos insuficientes!
TID_NEED_MORE_RESOURCES_CANT_BUY_TEXT,Obtenha os recursos que faltam para completar o pedido.
TID_NEED_MORE_POPUP_GENERIC_TEXT,Consiga os recursos que faltam e realize a ação utilizando diamantes.
TID_NEED_MORE_CROPS_HINT,Você pode comprar as plantações que faltam de um amigo.\n\nOu pode comprá-las agora com diamantes!
TID_NEED_MORE_CROPS_HINT_MOBILE,Você pode comprar as plantações que faltam de um amigo.\n\nOu pode comprá-las agora com diamantes!
TID_NEED_MORE_ANIMAL_FOOD_HINT,Faça mais comida para os animais com a fábrica de ração ou alimente-os agora usando diamantes.
TID_SILO_FULL_TITLE,Silo cheio
TID_SILO_FULL_DESCRIPTION,O silo está cheio! Melhore-o para conseguir mais espaço.
TID_WAREHOUSE_FULL_TITLE,Celeiro cheio
TID_WAREHOUSE_FULL_DESCRIPTION,O celeiro está cheio! Melhore-o para conseguir mais espaço.
TID_WAREHOUSE_FULL_DESCRIPTION_MOBILE,O celeiro está cheio! Melhore-o para conseguir mais espaço.
TID_LEVEL_UP_TITLE,PARABÉNS!
TID_LEVEL_UP_TEXT,Agora você é um FAZENDEIRO NÍVEL <LEVEL_NUMBER>!
TID_LEVEL_UP_ITEM_NEW,Novo!
TID_LEVEL_UP_ITEM_NEW_AND_REWARD,Novo! +<REWARD>
TID_ORDER_TABLE_TITLE,Pedidos
TID_ORDER_TITLE_00,Jardim de infância
TID_ORDER_TITLE_01,Escola
TID_ORDER_TITLE_02,Igreja
TID_ORDER_TITLE_03,Salão da Joana
TID_ORDER_TITLE_04,Loja da Susana
TID_ORDER_TITLE_05,Moinho do Marcos
TID_ORDER_TITLE_06,Cervejaria do Beto
TID_ORDER_TITLE_07,Peixaria do Fábio
TID_ORDER_TITLE_08,Fábrica do Francisco
TID_ORDER_TITLE_09,Cemitério do Bruno
TID_ORDER_TABLE_WAITING,"Por favor, aguarde..."
TID_ORDER_TABLE_WAITING_TEXT,Este pedido não está disponível. Aguarde ou acelere!
TID_SOCIAL_LOGIN_TITLE,Encontre mais fazendeiros!
TID_SOCIAL_LOGIN_1_TEXT,Acesse o <SOCIAL_1> e comece a negociar com seus amigos!
TID_SOCIAL_LOGIN_2_TEXT,Acesse o <SOCIAL_1> ou <SOCIAL_2> e comece a negociar com seus amigos!
TID_ROADSIDE_SHOP_TITLE,Loja de beira de estrada
TID_ROADSIDE_SHOP_FRIEND_TITLE,Loja de beira de estrada de <NAME>
TID_ROADSIDE_SHOP_ITEM_COUNT,<COUNT>x
TID_ROADSIDE_SHOP_ITEM_SOLD,VENDIDO!
TID_ROADSIDE_SHOP_CREATE_NEW_SALE,Criar nova venda
TID_ROADSIDE_SHOP_NEW_SALE_TITLE,Nova venda
TID_ROADSIDE_SHOP_NEW_SALE_ADJUST_PRICE,Ajustar preço
TID_ROADSIDE_SHOP_NEW_SALE_CONFIRM_BUTTON,Colocar à venda
TID_ROADSIDE_SHOP_ADVERTISE,Anunciar
TID_ROADSIDE_SHOP_ADVERTISE_WITH_TIME,Anunciar
TID_SHOP_TITLE,Loja
TID_TUTORIAL_01,Olá! Eu sou o Sr. Wicker e vou ajudar você com a sua nova fazenda!
TID_TUTORIAL_02a,"Toque em um campo de trigo e pegue a foice. Depois, faça a colheita passando a foice sobre o trigo."
TID_TUTORIAL_03a,"Toque em um campo vazio. Depois, arraste o trigo pelos campos para semeá-los."
TID_TUTORIAL_04,"As sementes precisam de tempo para crescer. Quando colhido, cada lote rende duas plantações."
TID_TUTORIAL_05a,Toque na sua casa e pinte-a arrastando o pincel sobre ela.
TID_TUTORIAL_06a,Legal! O celeiro também precisa de uma pintura...
TID_TUTORIAL_07a,Pinte o silo também!
TID_TUTORIAL_10,Ótimo! Agora vamos convidar algumas amigas penosas para a festa!
TID_TUTORIAL_10a,Arraste uma galinha da loja até o galinheiro.
TID_TUTORIAL_11a,Vamos comprar outra galinha!
TID_TUTORIAL_12a,Que tal comprar mais uma galinha?
TID_TUTORIAL_13a,Toque em uma galinha e arraste o saco de ração até as galinhas para alimentá-las.
TID_TUTORIAL_14a,Toque em uma galinha e depois no botão acelerador!
TID_TUTORIAL_14b,Toque em uma galinha e depois no botão acelerador duas vezes!
TID_TUTORIAL_14c,Toque em uma galinha e segure o botão acelerador!
TID_TUTORIAL_15a,Ovocelente! Acelere a segunda galinha também.
TID_TUTORIAL_16a,Extraovinário! Agora acelere a última galinha.
TID_TUTORIAL_17a,Passe o cesto sobre todas as galinhas para coletar os ovos.
TID_TUTORIAL_20,Ótimo! Que tal transformar todo esse trigo em pão com uma nova padaria?
TID_TUTORIAL_20a,Abra o menu da loja tocando no botão no canto inferior esquerdo. Compre uma padaria arrastando-a até o terreno.
TID_TUTORIAL_20a_MOBILE,Abra o menu da loja tocando no botão no canto inferior esquerdo. Compre uma padaria arrastando-a até o terreno.
TID_TUTORIAL_21a,Aguarde até a construção terminar ou acelere-a com diamantes.
TID_TUTORIAL_22a,Toque na padaria e arraste o pão até o forno.
TID_TUTORIAL_23a,"Para assar instantaneamente, toque no botão acelerador abaixo do pão. Que cheirinho bom!"
TID_TUTORIAL_24,"Ao subir de nível, você desbloqueia novas melhorias. Três novos lotes de cultivo esperam por você na loja!"
TID_TUTORIAL_24a,Abra o menu da loja e arraste os três novos lotes de cultivo até o terreno.
TID_TUTORIAL_25a,Vamos plantar mais sementes. Lembra-se de como fazer isso? Toque no lote de cultivo!
TID_TUTORIAL_26,Animais felizes alegram a fazenda. Nunca deixe seus animais com fome. Construa uma fábrica de ração!
TID_TUTORIAL_26a,Compre uma fábrica de ração arrastando-a da loja até o terreno.
TID_TUTORIAL_27,"Seu negócio está crescendo! Continue a colher plantações, assar pães e produzir ovos para vender."
TID_TUTORIAL_27a,É possível acelerar as plantações tocando no botão acelerador.
TID_TUTORIAL_28,"Bi bi, o caminhão de entregas chegou! Prepare-se para uma enxurrada de pedidos!"
TID_TUTORIAL_29,O quadro de pedidos mostra quais pedidos estão disponíveis. Ganhe dinheiro e experiência entregando-os.
TID_TUTORIAL_29a,Toque no caminhão ou no quadro de pedidos para fazer a sua primeira entrega.
TID_TUTORIAL_30,E lá vai ele! O caminhão de entrega está a caminho do jardim de infância.
TID_TUTORIAL_30a,Os moradores da cidade querem cada vez mais produtos fresquinhos da fazenda! Vamos atender mais um pedido.
TID_TUTORIAL_31,"Você está realmente pegando o jeito! Por enquanto, continue a produzir e a atender pedidos."
TID_TUTORIAL_31a,Continue a produzir e a atender pedidos!
TID_TUTORIAL_36,Muuu! Fazia tempo que não víamos uma vaca por aqui!
TID_TUTORIAL_36a,"Para comprar um curral de vacas, arraste-o da loja."
TID_TUTORIAL_37a,"Em seguida, arraste uma vaca para o curral."
TID_TUTORIAL_38a,Ela está com fome. Vamos alimentá-la!
TID_TUTORIAL_39,Uma vaca bem alimentada produz leite nutritivo para você vender.
TID_TUTORIAL_40,"Quando tiver bastante dinheiro, compre a fábrica de laticínios na loja. Ela pode transformar o leite em nata, em manteiga e até mesmo em queijo!"
TID_TUTORIAL_42,"Como vai? Eu sou o Marcos, responsável pelo velho moinho perto da cidade. Que fazenda linda a sua! Que tal escolher um nome divertido para ela? E lembre-se: é melhor não usar o seu nome verdadeiro."
TID_TUTORIAL_45,"É bom ter alguém tomando conta deste lugar. Bem, nos vemos por aí!"
TID_TUTORIAL_46,"Este cheiro maravilhoso está vindo daqui? Ah, me desculpe os maus modos! Meu nome é Joana."
TID_TUTORIAL_GUEST1,Temos um visitante! Toque nele para ver o que tem a dizer!
TID_TUTORIAL_GUEST2,Outra visita! É melhor perguntar o que ela deseja.
TID_TUTORIAL_47a,Primeiro toque na lona para removê-la.
TID_TUTORIAL_48a,Aguarde até que o caminhão de entrega volte com a sua recompensa e toque para resgatá-la!
TID_TUTORIAL_47,As crianças do jardim de infância lhe enviaram uma cartinha de agradecimento!
TID_TUTORIAL_GUEST3,Quem é esse grandalhão?
TID_TUTORIAL_48,"Oi! Sou seu vizinho Greg. Se você precisar de algumas ferramentas, venha me visitar!"
TID_TUTORIAL_49,Acho que precisamos de umas ferramentas para limpar o terreno. Vamos visitar a fazenda do Greg!
TID_TUTORIAL_GUEST4,Abra a barra de amigos!
TID_TUTORIAL_50,Bem-vindo à minha fazenda! Não deixe de conferir o que eu vendo em minha loja de beira de estrada!
TID_TUTORIAL_51,Obrigado pela visita! Você pode me visitar ou visitar seus amigos sempre que quiser!
TID_TUTORIAL_52,"Uau, o Greg ajudou muito. Você pode adicionar mais amigos como vizinhos na barra de amigos."
TID_TUTORIAL_53,Esta é sua loja de beira de estrada. Você pode colocar as mercadorias à venda aqui para os outros jogadores comprarem.
TID_TUTORIAL_54,Você pode definir a quantidade e o preço dos produtos que deseja vender e até mesmo anunciar no jornal local! Experimente!
TID_TUTORIAL_54a,Confira sua loja de beira de estrada!
TID_TUTORIAL_55,Encontre o jornal em sua caixa de correio. Lá você pode ver o que os outros têm para vender.
TID_TUTORIAL_55a,Toque na caixa de correio para ler o jornal local!
TID_TUTORIAL_56,Como vai? Precisa de ajuda com sua nova plantação? Eu posso lhe dar algumas dicas!
TID_TUTORIAL_57,"Oi! Só queria dizer que você pode mover, girar e até mesmo descartar objetos. Primeiro, toque e segure um objeto."
TID_TUTORIAL_57_MOBILE,"Oi! Só queria dizer que você pode mover, girar e até mesmo descartar objetos. Primeiro, toque e segure um objeto."
TID_TUTORIAL_58a,O que são os vales?
TID_TUTORIAL_59,São itens colecionáveis que você ganha ao completar pedidos do barco e de outros lugares! Aqui tem um para você...
TID_TUTORIAL_59a,Valeu!
TID_TUTORIAL_60,Toque na casa e encha a tigela de ração!
TID_TUTORIAL_61,Agora espere até que o seu bichinho volte a dormir.
TID_TUTORIAL_62,O seu bichinho está feliz e relaxado! Toque para acordá-lo e coletar pontos.
TID_TUTORIAL_63,Veja o seu bichinho cheio de energia! Não se esqueça de alimentá-lo e mantê-lo feliz para coletar pontos depois que ele dormir.
TID_TUTORIAL_63_MOBILE,Veja o seu bichinho cheio de energia! Não se esqueça de alimentá-lo e mantê-lo feliz para coletar pontos depois que ele dormir.
TID_TUTORIAL_64,Como vai? Precisa de ajuda com as pizzas?
TID_TUTORIAL_65,É hora de poupar algumas moedas. As docas necessitam de conserto.
TID_TUTORIAL_66,Precisa de mais espaço? Não se preocupe! Você pode começar a expandir agora.
TID_TUTORIAL_67,Talvez seja uma boa hora para consertar a velha mina. Quem sabe quais tesouros ela guarda?
TID_TUTORIAL_68,"Parabéns, as docas estão prontas! Você agora pode completar os pedidos do barco."
TID_TUTORIAL_69,Este é o placar do barco. Toque para ver como você e seus amigos estão se saindo.
TID_TUTORIAL_70,"Já conferiu a sua nova caixa de correio? Ah, eu acho que está chegando alguém. Você consegue ouvir o assobio?"
TID_TUTORIAL_71,Eba! Você recebeu a sua primeira carta. Toque na caixa de correio para abri-la agora mesmo.
TID_TUTORIAL_72,Maravilha! O Greg mandou um cartão-presente para você. Junte o suficiente para pedir um pacote surpresa do catálogo.
TID_TUTORIAL_72_MOBILE,Maravilha! O Greg mandou um cartão-presente para você. Junte o suficiente para pedir um pacote surpresa do catálogo.
TID_TUTORIAL_73,Quer ganhar mais cartas? Ajude outros fazendeiros e talvez eles expressem seu agradecimento!
TID_TUTORIAL_74,"E, com um pouquinho de sorte, pode conter um cartão-presente. O carteiro visitará você uma vez por dia."
TID_TUTORIAL_GUEST5,Toque na foto do Greg para visitar a fazenda dele!
TID_TUTORIAL_GUEST6,Toque na loja de beira de estrada do Greg para ver o que ele vende!
TID_LOADING_SCREEN_CONNECTING,Conectando
TID_LOADING_SCREEN_LOADING,Carregando
TID_LOADING_SCREEN_UPDATING,Atualizando
TID_BUTTON_INCREASE_CAPACITY,Aumentar a capacidade
TID_BUTTON_STORAGE,Voltar
TID_STORAGE_UPGRADE_DESCRIPTION,Aumente a capacidade para <CAPACITY>.
TID_PLANK_DESCRIPTION,Use para expandir seu celeiro.
TID_NAIL_DESCRIPTION,Use para expandir seu silo.
TID_BOLT_DESCRIPTION,Use para expandir seu celeiro.
TID_SCREW_DESCRIPTION,Use para expandir seu silo.
TID_DUCT_TAPE_DESCRIPTION,Use para expandir seu celeiro.
TID_WOOD_PANEL_DESCRIPTION,Use para expandir seu silo.
TID_DYNAMITE_DESCRIPTION,Use para destruir uma pedra pequena.
TID_DEMOLITION_CHARGE_DESCRIPTION,Use para destruir uma pedra grande.
TID_AXE_DESCRIPTION,Use para cortar uma árvore pequena.
TID_SAW_DESCRIPTION,Use para cortar uma árvore grande.
TID_SHOVEL_DESCRIPTION,Use para remover um pântano.
TID_DAIRY_PRODUCT_DESCRIPTION,Produza na fábrica de laticínios.
TID_BARBECUE_PRODUCT_DESCRIPTION,Produza na churrasqueira.
TID_BAKERY_PRODUCT_DESCRIPTION,Produza na padaria.
TID_LOOM_PRODUCT_DESCRIPTION,Produza no tear.
TID_CAKE_OVEN_PRODUCT_DESCRIPTION,Produza no forno de bolos.
TID_PIE_OVEN_PRODUCT_DESCRIPTION,Produza no forno de tortas.
TID_POPCORN_POT_PRODUCT_DESCRIPTION,Produza na pipoqueira.
TID_SUGAR_MILL_PRODUCT_DESCRIPTION,Produza no engenho.
TID_FEED_MILL_PRODUCT_DESCRIPTION,Produza na fábrica de ração.
TID_JUICE_PRESS_PRODUCT_DESCRIPTION,Produza na prensa de suco.
TID_JAM_MAKER_PRODUCT_DESCRIPTION,Produza no fazedor de geleia.
TID_ICE_CREAM_MAKER_PRODUCT_DESCRIPTION,Produza na máquina de sorvete.
TID_JEWELER_PRODUCT_DESCRIPTION,Produza no joalheiro.
TID_APPLE_DESCRIPTION,Colete da macieira.
TID_CHERRY_DESCRIPTION,Colete da cerejeira.
TID_CACAO_DESCRIPTION,Colete do cacaueiro.
TID_RASPBERRY_DESCRIPTION,Colete do arbusto de framboesas.
TID_BLACKBERRY_DESCRIPTION,Colete do arbusto de amoras.
TID_EGG_DESCRIPTION,Colete da galinha.
TID_MILK_DESCRIPTION,Colete da vaca.
TID_WOOL_DESCRIPTION,Colete da ovelha.
TID_BACON_DESCRIPTION,Colete do porco.
TID_GOAT_MILK_DESCRIPTION,Colete da cabra.
TID_CASH,Moedas
TID_DIAMONDS,Diamantes
TID_CASH_DESCRIPTION,Compre produtos e melhorias para sua fazenda.
TID_DIAMONDS_DESCRIPTION,Acelere a produção e compre os produtos que faltam.
TID_FACEBOOK,Facebook
TID_GAME_CENTER,Game Center
TID_FACEBOOK_ID_NOT_MATCH_TITLE,Alerta do <SOCIAL_MEDIA>
TID_FACEBOOK_ID_NOT_MATCH,Quer salvar o jogo atual em uma nova conta do <SOCIAL_MEDIA>?
TID_FACEBOOK_ID_NOT_MATCH_ACTION_1,"Sim, alterar a conta"
TID_FACEBOOK_ID_NOT_MATCH_ACTION_2,"Não, manter a conta atual"
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_TITLE,Escolha sua fazenda
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM,"Encontramos outra fazenda vinculada a esta conta do <SOCIAL_MEDIA>:\n(<NEW_FARM_NAME>, nível<NEW_LEVEL>)\n\nQuer carregá-la?\n\nAtenção: a fazenda atual (<OLD_FARM_NAME>, nível <OLD_LEVEL>) será perdida."
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_MOBILE,"Encontramos outra fazenda vinculada a esta conta do <SOCIAL_MEDIA>:\n(<NEW_FARM_NAME>, nível<NEW_LEVEL>)\n\nQuer carregá-la?\n\nAtenção: a fazenda atual (<OLD_FARM_NAME>, nível <OLD_LEVEL>) será perdida."
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_ACTION_1,"Sim, carregar o jogo"
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_ACTION_2,"Não, manter o jogo atual"
TID_INTRO_01,O dia começou como outro qualquer...
TID_INTRO_02,Até que a carta chegou!
TID_INTRO_03,\qSaudações do seu tio!\q
TID_INTRO_04,"\qEntão, você gostaria de ser fazendeiro?\q"
TID_INTRO_05,"\qEu decidi me aposentar. A fazenda é sua, se quiser!\q"
TID_INTRO_06,Lá vamos nós! Uma nova vida no campo me espera.
TID_ANIMATION_Harvest,Colher
TID_ANIMATION_Seeding,Semear
TID_ANIMATION_CropInfo,As plantações se multiplicam!
TID_ANIMATION_BuyChicken,Compre 3 galinhas
TID_ANIMATION_FeedChicken,Alimente as galinhas
TID_ANIMATION_CollectEggs,Recolha os ovos
TID_ANIMATION_BakeBread,Asse pão
TID_ANIMATION_6th crop,Como plantar mais sementes?
TID_ANIMATION_EditObjects,Organize sua fazenda
TID_ANIMATION_Pizzas,Como encontrar pizzas?
TID_ANIMATION_SendLetter,Como enviar uma carta
TID_DIAMOND_PACK_1,Pilha de diamantes
TID_DIAMOND_PACK_2,Bolsa de diamantes
TID_DIAMOND_PACK_3,Saco de diamantes
TID_DIAMOND_PACK_4,Caixa de diamantes
TID_DIAMOND_PACK_5,Baú de diamantes
TID_DIAMOND_PACK_6,Arca de diamantes
TID_DIAMOND_PACK_2_Birthday_1,Pacote de aniversário 1
TID_DIAMOND_PACK_3_Birthday_2,Pacote de aniversário 2
TID_DIAMOND_PACK_5_Birthday_3,Pacote de aniversário 3
TID_DIAMOND_PACK_2_Special_1,Pacote especial 1
TID_DIAMOND_PACK_3_Special_2,Pacote especial 2
TID_DIAMOND_PACK_5_Special_3,Pacote especial 3
TID_CASH_PACK_1,Pilha de moedas
TID_CASH_PACK_2,Bolsa de moedas
TID_CASH_PACK_3,Saco de moedas
TID_CASH_PACK_4,Caixa de moedas
TID_CASH_PACK_5,Baú de moedas
TID_CASH_PACK_6,Arca de moedas
TID_BUY_DIAMONDS_TITLE,Loja de Diamantes
TID_BUY_CASH_TITLE,Loja de Moedas
TID_ORDER_SCREEN_SELECT_ORDER,Selecione um pedido à esquerda.
TID_NOTIFICATION_BUILDING_CONSTRUCTION_READY,A construção de <NAME> terminou.
TID_NOTIFICATION_PLAYER_PLEASE_COME_BACK,Os animais da fazenda estão sentindo sua falta!
TID_NOTIFICATION_PLAYER_PLEASE_COME_BACK_MOBILE,Os animais da fazenda estão sentindo sua falta!
TID_NOTIFICATION_CROPS_READY,Todas as plantações estão prontas para a colheita!
TID_NOTIFICATION_CHICKEN_READY,Os ovos estão prontos para serem recolhidos!
TID_NOTIFICATION_COW_READY,O leite está pronto para ser recolhido!
TID_NOTIFICATION_SHEEP_READY,A lã está pronta para ser recolhida!
TID_NOTIFICATION_PIG_READY,O bacon está pronto para ser recolhido!
TID_NOTIFICATION_GOAT_READY,O leite de cabra está pronto para ser recolhido!
TID_NOTIFICATION_ORDER_READY,Você tem um pedido que pode atender!
TID_NOTIFICATION_DAILY_GIFT,"Olá, fazendeiro! O presente diário está à sua espera!"
TID_NATIVE_DIALOG_CONNECTION_LOST_TITLE,Conexão perdida
TID_NATIVE_DIALOG_CONNECTION_LOST_MESSAGE,Conexão perdida com o servidor. Verifique sua conexão com a internet e tente novamente.
TID_NATIVE_DIALOG_CONNECTION_LOST_BUTTON,Tentar novamente
TID_NATIVE_DIALOG_GAME_SERVER_NOT_RESPONDING_TITLE,Conexão perdida
TID_NATIVE_DIALOG_GAME_SERVER_NOT_RESPONDING_MESSAGE,O servidor não está respondendo. Verifique sua conexão com a internet e tente novamente.
TID_NATIVE_DIALOG_GAME_SERVER_NOT_RESPONDING_BUTTON,Tentar novamente
TID_NATIVE_DIALOG_BILLING_SERVER_NOT_RESPONDING_TITLE,Conexão perdida
TID_NATIVE_DIALOG_BILLING_SERVER_NOT_RESPONDING_MESSAGE,O servidor de cobrança não responde. Tente novamente mais tarde.
TID_NATIVE_DIALOG_BILLING_SERVER_NOT_RESPONDING_BUTTON,Ok
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_TITLE,Atualização necessária
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_MESSAGE,Chegou uma nova atualização! Atualize o jogo agora para aproveitar a versão mais recente e prepare-se para receber um presente especial: em breve você poderá resgatar diamantes grátis loja!
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_BUTTON,Baixar
TID_NATIVE_DIALOG_LOGIN_FAILED_TITLE,Falha na conexão
TID_NATIVE_DIALOG_LOGIN_FAILED_MESSAGE,Não foi possível conectar-se ao servidor. Código de erro <CODE>
TID_NATIVE_DIALOG_LOGIN_FAILED_BUTTON,Tentar novamente
TID_NATIVE_DIALOG_UNABLE_TO_CONNECT_TITLE,Falha na conexão
TID_NATIVE_DIALOG_UNABLE_TO_CONNECT_MESSAGE,Não foi possível conectar ao servidor. Verifique sua conexão com a internet e tente novamente.
TID_NATIVE_DIALOG_UNABLE_TO_CONNECT_BUTTON,Tentar novamente
TID_FENCE_01,Cerca
TID_FENCE_01_DESCRIPTION,Decore a sua fazenda.
TID_FENCE_02,Muro de pedras
TID_FENCE_02_DESCRIPTION,Decore a sua fazenda.
TID_FENCE_03,Caminho de pedras
